Date,SK하이닉스
2002-10-01,430.0
2002-10-02,370.0
2002-10-04,315.0
2002-10-07,300.0
2002-10-08,305.0
2002-10-09,285.0
2002-10-10,280.0
2002-10-11,285.0
2002-10-14,295.0
2002-10-15,335.0
2002-10-16,350.0
2002-10-17,400.0
2002-10-18,460.0
2002-10-21,465.0
2002-10-22,460.0
2002-10-23,525.0
2002-10-24,545.0
2002-10-25,515.0
2002-10-28,590.0
2002-10-29,505.0
2002-10-30,460.0
2002-10-31,475.0
2002-11-01,455.0
2002-11-04,520.0
2002-11-05,500.0
2002-11-06,530.0
2002-11-07,495.0
2002-11-08,500.0
2002-11-11,480.0
2002-11-12,490.0
2002-11-13,470.0
2002-11-14,455.0
2002-11-15,420.0
2002-11-18,410.0
2002-11-19,470.0
2002-11-20,460.0
2002-11-21,460.0
2002-11-22,440.0
2002-11-25,485.0
2002-11-26,465.0
2002-11-27,450.0
2002-11-28,440.0
2002-11-29,435.0
2002-12-02,440.0
2002-12-03,460.0
2002-12-04,440.0
2002-12-05,445.0
2002-12-06,440.0
2002-12-09,390.0
2002-12-10,410.0
2002-12-11,350.0
2002-12-12,330.0
2002-12-13,315.0
2002-12-16,360.0
2002-12-17,355.0
2002-12-18,380.0
2002-12-20,325.0
2002-12-23,315.0
2002-12-24,295.0
2002-12-26,285.0
2002-12-27,285.0
2002-12-30,280.0
2003-01-02,320.0
2003-01-03,330.0
2003-01-06,325.0
2003-01-07,305.0
2003-01-08,300.0
2003-01-09,295.0
2003-01-10,290.0
2003-01-13,325.0
2003-01-14,310.0
2003-01-15,305.0
2003-01-16,295.0
2003-01-17,290.0
2003-01-20,295.0
2003-01-21,295.0
2003-01-22,290.0
2003-01-23,285.0
2003-01-24,275.0
2003-01-27,260.0
2003-01-28,255.0
2003-01-29,220.0
2003-01-30,235.0
2003-02-03,235.0
2003-02-04,270.0
2003-02-05,245.0
2003-02-06,240.0
2003-02-07,230.0
2003-02-10,230.0
2003-02-11,225.0
2003-02-12,225.0
2003-02-13,220.0
2003-02-14,225.0
2003-02-17,245.0
2003-02-18,235.0
2003-02-19,230.0
2003-02-20,260.0
2003-02-21,240.0
2003-02-24,235.0
2003-02-25,220.0
2003-02-26,210.0
2003-02-27,205.0
2003-02-28,200.0
2003-03-03,205.0
2003-03-04,195.0
2003-03-05,190.0
2003-03-06,190.0
2003-03-07,180.0
2003-03-10,170.0
2003-03-11,160.0
2003-03-12,170.0
2003-03-13,165.0
2003-03-14,165.0
2003-03-17,145.0
2003-03-18,150.0
2003-03-19,145.0
2003-03-20,165.0
2003-03-21,165.0
2003-03-24,155.0
2003-03-25,145.0
2003-03-26,135.0
2003-03-27,135.0
2003-03-28,135.0
2003-03-31,135.0
2003-04-01,135.0
2003-04-02,135.0
2003-04-03,135.0
2003-04-04,135.0
2003-04-07,135.0
2003-04-08,135.0
2003-04-09,135.0
2003-04-10,135.0
2003-04-11,135.0
2003-04-14,3045.0
2003-04-15,3500.0
2003-04-16,4025.0
2003-04-17,4420.0
2003-04-18,4580.0
2003-04-21,4430.0
2003-04-22,4140.0
2003-04-23,3870.0
2003-04-24,3880.0
2003-04-25,3300.0
2003-04-28,3215.0
2003-04-29,3250.0
2003-04-30,3230.0
2003-05-02,3230.0
2003-05-06,3610.0
2003-05-07,3490.0
2003-05-09,3615.0
2003-05-12,4155.0
2003-05-13,4100.0
2003-05-14,4350.0
2003-05-15,3960.0
2003-05-16,3800.0
2003-05-19,3390.0
2003-05-20,3440.0
2003-05-21,3420.0
2003-05-22,3280.0
2003-05-23,3770.0
2003-05-26,3800.0
2003-05-27,3900.0
2003-05-28,3905.0
2003-05-29,3800.0
2003-05-30,3815.0
2003-06-02,3960.0
2003-06-03,3835.0
2003-06-04,3845.0
2003-06-05,4105.0
2003-06-09,4055.0
2003-06-10,4150.0
2003-06-11,4230.0
2003-06-12,4860.0
2003-06-13,5580.0
2003-06-16,5590.0
2003-06-17,6090.0
2003-06-18,5180.0
2003-06-19,5950.0
2003-06-20,6320.0
2003-06-23,6160.0
2003-06-24,6010.0
2003-06-25,6060.0
2003-06-26,5840.0
2003-06-27,5930.0
2003-06-30,5790.0
2003-07-01,5900.0
2003-07-02,6700.0
2003-07-03,6810.0
2003-07-04,7300.0
2003-07-07,8050.0
2003-07-08,7830.0
2003-07-09,7980.0
2003-07-10,7960.0
2003-07-11,8060.0
2003-07-14,9260.0
2003-07-15,9150.0
2003-07-16,9740.0
2003-07-18,9630.0
2003-07-21,8860.0
2003-07-22,8780.0
2003-07-23,8490.0
2003-07-24,8330.0
2003-07-25,7710.0
2003-07-28,7480.0
2003-07-29,7070.0
2003-07-30,7440.0
2003-07-31,7390.0
2003-08-01,8490.0
2003-08-04,8430.0
2003-08-05,9310.0
2003-08-06,9580.0
2003-08-07,9350.0
2003-08-08,8800.0
2003-08-11,9000.0
2003-08-12,8900.0
2003-08-13,8900.0
2003-08-14,8640.0
2003-08-18,8270.0
2003-08-19,8870.0
2003-08-20,8350.0
2003-08-21,8390.0
2003-08-22,8080.0
2003-08-25,8130.0
2003-08-26,7870.0
2003-08-27,7720.0
2003-08-28,8060.0
2003-08-29,7970.0
2003-09-01,8140.0
2003-09-02,9060.0
2003-09-03,8420.0
2003-09-04,8210.0
2003-09-05,8150.0
2003-09-08,7770.0
2003-09-09,8080.0
2003-09-15,8120.0
2003-09-16,8100.0
2003-09-17,8160.0
2003-09-18,7910.0
2003-09-19,7740.0
2003-09-22,7150.0
2003-09-23,7180.0
2003-09-24,7100.0
2003-09-25,6810.0
2003-09-26,6970.0
2003-09-29,6840.0
2003-09-30,6710.0
2003-10-01,6700.0
2003-10-02,6840.0
2003-10-06,6850.0
2003-10-07,7050.0
2003-10-08,6800.0
2003-10-09,6780.0
2003-10-10,6960.0
2003-10-13,6860.0
2003-10-14,7100.0
2003-10-15,7230.0
2003-10-16,7150.0
2003-10-17,7700.0
2003-10-20,7900.0
2003-10-21,7710.0
2003-10-22,7500.0
2003-10-23,7130.0
2003-10-24,7000.0
2003-10-27,7110.0
2003-10-28,7600.0
2003-10-29,7340.0
2003-10-30,7440.0
2003-10-31,7530.0
2003-11-03,7820.0
2003-11-04,7250.0
2003-11-05,7530.0
2003-11-06,7210.0
2003-11-07,7250.0
2003-11-10,7060.0
2003-11-11,6900.0
2003-11-12,7020.0
2003-11-13,7140.0
2003-11-14,6990.0
2003-11-17,6990.0
2003-11-18,7080.0
2003-11-19,6730.0
2003-11-20,6660.0
2003-11-21,6580.0
2003-11-24,6110.0
2003-11-25,6140.0
2003-11-26,6700.0
2003-11-27,6480.0
2003-11-28,6630.0
2003-12-01,6880.0
2003-12-02,6800.0
2003-12-03,6750.0
2003-12-04,6660.0
2003-12-05,6450.0
2003-12-08,6290.0
2003-12-09,6330.0
2003-12-10,6350.0
2003-12-11,6280.0
2003-12-12,6300.0
2003-12-15,6620.0
2003-12-16,6310.0
2003-12-17,6210.0
2003-12-18,6170.0
2003-12-19,6160.0
2003-12-22,5850.0
2003-12-23,5570.0
2003-12-24,5200.0
2003-12-26,5040.0
2003-12-29,5250.0
2003-12-30,5600.0
2004-01-02,5600.0
2004-01-05,6250.0
2004-01-06,6130.0
2004-01-07,6620.0
2004-01-08,6510.0
2004-01-09,7160.0
2004-01-12,7260.0
2004-01-13,7050.0
2004-01-14,7480.0
2004-01-15,7230.0
2004-01-16,7430.0
2004-01-19,7430.0
2004-01-20,7400.0
2004-01-26,7420.0
2004-01-27,7920.0
2004-01-28,8720.0
2004-01-29,8960.0
2004-01-30,8950.0
2004-02-02,8830.0
2004-02-03,8300.0
2004-02-04,8580.0
2004-02-05,8230.0
2004-02-06,8430.0
2004-02-09,8440.0
2004-02-10,8400.0
2004-02-11,8420.0
2004-02-12,8320.0
2004-02-13,8420.0
2004-02-16,8460.0
2004-02-17,8660.0
2004-02-18,8730.0
2004-02-19,9300.0
2004-02-20,9110.0
2004-02-23,9830.0
2004-02-24,9070.0
2004-02-25,8890.0
2004-02-26,8870.0
2004-02-27,8970.0
2004-03-02,9250.0
2004-03-03,9770.0
2004-03-04,9790.0
2004-03-05,9900.0
2004-03-08,9650.0
2004-03-09,9430.0
2004-03-10,9310.0
2004-03-11,10650.0
2004-03-12,10200.0
2004-03-15,10450.0
2004-03-16,11000.0
2004-03-17,11100.0
2004-03-18,11700.0
2004-03-19,11650.0
2004-03-22,12000.0
2004-03-23,12200.0
2004-03-24,11550.0
2004-03-25,10600.0
2004-03-26,10850.0
2004-03-29,11550.0
2004-03-30,11400.0
2004-03-31,12250.0
2004-04-01,12450.0
2004-04-02,12550.0
2004-04-06,13750.0
2004-04-07,13750.0
2004-04-08,13500.0
2004-04-09,13600.0
2004-04-12,13600.0
2004-04-13,13900.0
2004-04-14,13250.0
2004-04-16,12450.0
2004-04-19,12650.0
2004-04-20,12800.0
2004-04-21,13200.0
2004-04-22,12200.0
2004-04-23,12150.0
2004-04-26,11250.0
2004-04-27,11450.0
2004-04-28,11250.0
2004-04-29,10650.0
2004-04-30,11900.0
2004-05-03,12200.0
2004-05-04,13200.0
2004-05-06,12250.0
2004-05-07,13100.0
2004-05-10,12400.0
2004-05-11,13000.0
2004-05-12,12900.0
2004-05-13,12450.0
2004-05-14,11350.0
