Date,adj_close,Mkt,SMB,HML,RMW,CMA,MOM,Rf
1989.4.1,,0.003914892,0.00021054,-0.00159456,0.000372355,-0.001275273,0.005757076,0.000485108
1989.4.3,,-0.002106133,-0.002050525,-0.00107814,0.000195097,0.009161481,0.005249026,0.000506133
1989.4.4,,-0.005585108,0.013125512,0.00046197,-0.001848912,0.00021838,-0.013392093,0.000485108
1989.4.6,,-0.018785108,0.013770386,0.004797524,-0.003313185,0.001603908,-0.010203469,0.000485108
1989.4.7,,-0.005085108,0.017720029,0.004956819,-0.007158993,0.003016467,-0.012862973,0.000485108
1989.4.8,,0.004114892,0.007400942,-0.000252219,-0.00578018,0.001263592,-0.004545509,0.000485108
1989.4.10,,-0.020085108,0.007207826,0.001537332,-0.001029302,3.15E-05,-0.000834768,0.000485108
1989.4.11,,-0.008685108,0.011077586,0.002406624,-0.004548546,0.003882366,-0.005261142,0.000485108
1989.4.12,,-0.029285108,0.007153463,0.004429253,0.001368922,0.0028054,-0.008205919,0.000485108
1989.4.13,,0.024814892,-0.004062518,-0.009274571,-1.60E-05,-0.002083787,0.001924235,0.000485108
1989.4.14,,-0.007685108,-0.000240082,-0.002238539,0.001575527,0.002206276,-0.000781527,0.000485108
1989.4.15,,0.005614892,-0.001949518,-0.000636447,-0.000210928,0.000773633,-0.004583538,0.000485108
1989.4.17,,0.012514892,-0.010378426,-0.004414084,0.002814867,-0.008429434,0.002218706,0.000485108
1989.4.18,,-0.003285108,0.002768877,-0.000763883,-0.000465203,-0.000443284,-0.00126584,0.000485108
1989.4.19,,-0.002285108,0.004856069,-0.000176364,0.003751727,-0.001644798,0.001776951,0.000485108
1989.4.20,,-0.004985108,0.002831205,-0.001719589,0.000729512,0.001680548,-0.002513064,0.000485108
1989.4.21,,-0.006985108,0.002604178,-0.004567358,-0.000781866,0.001750356,0.002955483,0.000485108
1989.4.22,,-0.006685108,0.002247691,0.000880174,0.003268372,0.003480571,0.004610811,0.000485108
1989.4.24,,0.007214892,-0.019924074,-0.002738912,-0.000853606,0.000106988,0.01752799,0.000485108
1989.4.25,,-0.006085108,0.001321419,-0.003261588,-0.003767316,0.000854059,0.004000059,0.000485108
1989.4.26,,-0.010085108,-0.002314311,0.000459304,0.00109419,-0.002263893,0.0056805,0.000485108
1989.4.27,,0.004314892,-0.00962959,-0.001685317,0.005962014,-0.000779172,0.004043816,0.000485108
