Date,close,adj_close
2002.10.1,297500,5950
2002.10.2,299500,5990
2002.10.4,306000,6120
2002.10.7,296000,5920
2002.10.8,300000,6000
2002.10.9,297500,5950
2002.10.10,273500,5470
2002.10.11,273500,5470
2002.10.14,288000,5760
2002.10.15,300000,6000
2002.10.16,305000,6100
2002.10.17,307500,6150
2002.10.18,326500,6530
2002.10.21,324000,6480
2002.10.22,319500,6390
2002.10.23,328000,6560
2002.10.24,334000,6680
2002.10.25,340000,6800
2002.10.28,361000,7220
2002.10.29,353000,7060
2002.10.30,338000,6760
2002.10.31,345000,6900
2002.11.1,341000,6820
2002.11.4,367500,7350
2002.11.5,361500,7230
2002.11.6,365500,7310
2002.11.7,366500,7330
2002.11.8,359500,7190
2002.11.11,349000,6980
2002.11.12,346500,6930
2002.11.13,349000,6980
2002.11.14,340000,6800
2002.11.15,358000,7160
2002.11.18,351000,7020
2002.11.19,352500,7050
2002.11.20,360000,7200
2002.11.21,369000,7380
2002.11.22,373000,7460
2002.11.25,378500,7570
2002.11.26,378500,7570
2002.11.27,380000,7600
2002.11.28,385000,7700
2002.11.29,387000,7740
2002.12.2,387000,7740
2002.12.3,393000,7860
2002.12.4,373500,7470
2002.12.5,373500,7470
2002.12.6,372000,7440
2002.12.9,372500,7450
2002.12.10,364500,7290
2002.12.11,366000,7320
2002.12.12,368000,7360
2002.12.13,362000,7240
2002.12.16,348500,6970
2002.12.17,353500,7070
2002.12.18,357500,7150
2002.12.20,358000,7160
2002.12.23,348000,6960
2002.12.24,342500,6850
2002.12.26,339500,6790
2002.12.27,336000,6720
2002.12.30,314000,6280
2003.1.2,321500,6430
2003.1.3,344000,6880
2003.1.6,349500,6990
2003.1.7,342500,6850
2003.1.8,340000,6800
2003.1.9,323000,6460
2003.1.10,324000,6480
2003.1.13,334500,6690
2003.1.14,328500,6570
2003.1.15,324000,6480
2003.1.16,330000,6600
2003.1.17,320500,6410
2003.1.20,320000,6400
2003.1.21,319000,6380
2003.1.22,311500,6230
2003.1.23,316000,6320
2003.1.24,313000,6260
2003.1.27,299000,5980
2003.1.28,307000,6140
2003.1.29,291500,5830
2003.1.30,291500,5830
2003.2.3,293000,5860
2003.2.4,294000,5880
2003.2.5,291000,5820
2003.2.6,283000,5660
2003.2.7,274000,5480
2003.2.10,269500,5390
2003.2.11,271500,5430
2003.2.12,280000,5600
2003.2.13,271500,5430
2003.2.14,273000,5460
2003.2.17,290500,5810
2003.2.18,293000,5860
2003.2.19,297000,5940
2003.2.20,302500,6050
2003.2.21,302000,6040
2003.2.24,309500,6190
2003.2.25,289500,5790
2003.2.26,284000,5680
2003.2.27,283500,5670
2003.2.28,279500,5590
2003.3.3,295000,5900
2003.3.4,285000,5700
2003.3.5,276000,5520
2003.3.6,276000,5520
2003.3.7,281000,5620
2003.3.10,286500,5730
2003.3.11,287500,5750
2003.3.12,290000,5800
2003.3.13,290000,5800
2003.3.14,296500,5930
2003.3.17,288000,5760
2003.3.18,299000,5980
2003.3.19,296000,5920
2003.3.20,311500,6230
2003.3.21,315000,6300
2003.3.24,312500,6250
2003.3.25,306000,6120
2003.3.26,304000,6080
2003.3.27,298500,5970
2003.3.28,307000,6140
2003.3.31,284000,5680
2003.4.1,284000,5680
2003.4.2,279000,5580
2003.4.3,279000,5580
2003.4.4,283500,5670
2003.4.7,299000,5980
2003.4.8,299000,5980
2003.4.9,286500,5730
2003.4.10,288000,5760
2003.4.11,285000,5700
2003.4.14,285500,5710
2003.4.15,296000,5920
2003.4.16,310500,6210
2003.4.17,302000,6040
2003.4.18,315000,6300
2003.4.21,309000,6180
2003.4.22,298500,5970
2003.4.23,300000,6000
2003.4.24,295000,5900
2003.4.25,287500,5750
2003.4.28,285000,5700
2003.4.29,300500,6010
2003.4.30,305000,6100
2003.5.2,307000,6140
2003.5.6,313000,6260
2003.5.7,319500,6390
2003.5.9,317000,6340
2003.5.12,327000,6540
2003.5.13,316000,6320
2003.5.14,309500,6190
2003.5.15,315000,6300
2003.5.16,307000,6140
2003.5.19,301000,6020
2003.5.20,306500,6130
2003.5.21,304000,6080
2003.5.22,300000,6000
2003.5.23,312000,6240
2003.5.26,317000,6340
2003.5.27,314000,6280
2003.5.28,321000,6420
2003.5.29,324500,6490
2003.5.30,324000,6480
2003.6.2,334000,6680
2003.6.3,323500,6470
2003.6.4,329000,6580
2003.6.5,333500,6670
2003.6.9,344000,6880
2003.6.10,344000,6880
2003.6.11,345000,6900
2003.6.12,350000,7000
2003.6.13,350500,7010
2003.6.16,341000,6820
2003.6.17,357000,7140
2003.6.18,354000,7080
2003.6.19,370000,7400
2003.6.20,364000,7280
2003.6.23,357000,7140
2003.6.24,351500,7030
2003.6.25,359500,7190
2003.6.26,364500,7290
2003.6.27,361000,7220
2003.6.30,355000,7100
2003.7.1,362000,7240
2003.7.2,371000,7420
2003.7.3,382000,7640
2003.7.4,384000,7680
2003.7.7,386000,7720
2003.7.8,398500,7970
2003.7.9,396500,7930
2003.7.10,392000,7840
2003.7.11,394000,7880
2003.7.14,409500,8190
2003.7.15,408000,8160
2003.7.16,418000,8360
2003.7.18,404000,8080
2003.7.21,407000,8140
2003.7.22,412000,8240
2003.7.23,403500,8070
2003.7.24,406500,8130
2003.7.25,408000,8160
2003.7.28,418000,8360
2003.7.29,423500,8470
2003.7.30,421500,8430
2003.7.31,416000,8320
2003.8.1,426000,8520
2003.8.4,421500,8430
2003.8.5,428000,8560
2003.8.6,413000,8260
2003.8.7,410000,8200
2003.8.8,406000,8120
2003.8.11,408000,8160
2003.8.12,400000,8000
2003.8.13,412500,8250
2003.8.14,425000,8500
