Date,ARIRANG 200
2014-01-13,25675.0
2014-01-14,25635.0
2014-01-15,25715.0
2014-01-16,25825.0
2014-01-17,25635.0
2014-01-20,25770.0
2014-01-21,25960.0
2014-01-22,25915.0
2014-01-23,25625.0
2014-01-24,25525.0
2014-01-27,25220.0
2014-01-28,25305.0
2014-01-29,25595.0
2014-02-03,25235.0
2014-02-04,24795.0
2014-02-05,24885.0
2014-02-06,25075.0
2014-02-07,25285.0
2014-02-10,25290.0
2014-02-11,25410.0
2014-02-12,25465.0
2014-02-13,25255.0
2014-02-14,25570.0
2014-02-17,25620.0
2014-02-18,25620.0
2014-02-19,25465.0
2014-02-20,25350.0
2014-02-21,25735.0
2014-02-24,25635.0
2014-02-25,25845.0
2014-02-26,25945.0
2014-02-27,25985.0
2014-02-28,25990.0
2014-03-03,25815.0
2014-03-04,25730.0
2014-03-05,25980.0
2014-03-06,25995.0
2014-03-07,25960.0
2014-03-10,25625.0
2014-03-11,25740.0
2014-03-12,25350.0
2014-03-13,25435.0
2014-03-14,25150.0
2014-03-17,25250.0
2014-03-18,25405.0
2014-03-19,25455.0
2014-03-20,25100.0
2014-03-21,25315.0
2014-03-24,25465.0
2014-03-25,25410.0
2014-03-26,25780.0
2014-03-27,25885.0
2014-03-28,25910.0
2014-03-31,26065.0
2014-04-01,26065.0
2014-04-02,26135.0
2014-04-03,26090.0
2014-04-04,26215.0
2014-04-07,26145.0
2014-04-08,26295.0
2014-04-09,26335.0
2014-04-10,26380.0
2014-04-11,26215.0
2014-04-14,26270.0
2014-04-15,26135.0
2014-04-16,26230.0
2014-04-17,26210.0
2014-04-18,26405.0
2014-04-21,26340.0
2014-04-22,26365.0
2014-04-23,26335.0
2014-04-24,26300.0
2014-04-25,25905.0
2014-04-28,25930.0
2014-04-29,25555.0
2014-04-30,25420.0
2014-05-02,25445.0
2014-05-07,25190.0
2014-05-08,25325.0
2014-05-09,25315.0
2014-05-12,25470.0
2014-05-13,25845.0
2014-05-14,26185.0
2014-05-15,26175.0
2014-05-16,26155.0
2014-05-19,26205.0
2014-05-20,26200.0
2014-05-21,26185.0
2014-05-22,26325.0
2014-05-23,26275.0
2014-05-26,26220.0
2014-05-27,25950.0
2014-05-28,26245.0
2014-05-29,26235.0
2014-05-30,26035.0
2014-06-02,26065.0
2014-06-03,26085.0
2014-06-05,25945.0
2014-06-09,25935.0
2014-06-10,26200.0
2014-06-11,26200.0
2014-06-12,26095.0
2014-06-13,25795.0
2014-06-16,25930.0
2014-06-17,25970.0
2014-06-18,25800.0
2014-06-19,25870.0
2014-06-20,25510.0
2014-06-23,25665.0
2014-06-24,25945.0
2014-06-25,25780.0
2014-06-26,25970.0
2014-06-27,25860.0
2014-06-30,26080.0
2014-07-01,25935.0
2014-07-02,26115.0
2014-07-03,26080.0
2014-07-04,26040.0
2014-07-07,25895.0
2014-07-08,25895.0
2014-07-09,25800.0
2014-07-10,25825.0
2014-07-11,25640.0
2014-07-14,25750.0
2014-07-15,25980.0
2014-07-16,26025.0
2014-07-17,26105.0
2014-07-18,26065.0
2014-07-21,26100.0
2014-07-22,26245.0
2014-07-23,26225.0
2014-07-24,26240.0
2014-07-25,26305.0
2014-07-28,26535.0
2014-07-29,26790.0
2014-07-30,27140.0
2014-07-31,27020.0
2014-08-01,26870.0
2014-08-04,26870.0
2014-08-05,26680.0
2014-08-06,26615.0
2014-08-07,26525.0
2014-08-08,26190.0
2014-08-11,26315.0
2014-08-12,26350.0
2014-08-13,26475.0
2014-08-14,26580.0
2014-08-18,26430.0
2014-08-19,26625.0
2014-08-20,26625.0
2014-08-21,26175.0
2014-08-22,26400.0
2014-08-25,26460.0
2014-08-26,26560.0
2014-08-27,26540.0
2014-08-28,26575.0
2014-08-29,26600.0
2014-09-01,26455.0
2014-09-02,26220.0
2014-09-03,26175.0
2014-09-04,26240.0
2014-09-05,26190.0
2014-09-11,26025.0
2014-09-12,26135.0
2014-09-15,26035.0
2014-09-16,26095.0
2014-09-17,26355.0
2014-09-18,26215.0
2014-09-19,26275.0
2014-09-22,25965.0
2014-09-23,25905.0
2014-09-24,25895.0
2014-09-25,25870.0
2014-09-26,25805.0
2014-09-29,25765.0
2014-09-30,25750.0
2014-10-01,25295.0
2014-10-02,25030.0
2014-10-06,24970.0
2014-10-07,24990.0
2014-10-08,24920.0
2014-10-10,24500.0
2014-10-13,24460.0
2014-10-14,24475.0
2014-10-15,24405.0
2014-10-16,24295.0
2014-10-17,24020.0
2014-10-20,24355.0
2014-10-21,24200.0
2014-10-22,24360.0
2014-10-23,24365.0
2014-10-24,24325.0
2014-10-27,24410.0
2014-10-28,24400.0
2014-10-29,24840.0
2014-10-30,24830.0
2014-10-31,25095.0
2014-11-03,24845.0
2014-11-04,24670.0
2014-11-05,24620.0
2014-11-06,24755.0
2014-11-07,24785.0
2014-11-10,24990.0
2014-11-11,25000.0
2014-11-12,25100.0
2014-11-13,25000.0
2014-11-14,24785.0
2014-11-17,24870.0
2014-11-18,25065.0
2014-11-19,25000.0
2014-11-20,24910.0
2014-11-21,24990.0
2014-11-24,25220.0
2014-11-25,25205.0
2014-11-26,25165.0
2014-11-27,25335.0
2014-11-28,25440.0
2014-12-01,25115.0
2014-12-02,25070.0
2014-12-03,25160.0
2014-12-04,25425.0
2014-12-05,25415.0
2014-12-08,25380.0
2014-12-09,25320.0
2014-12-10,24960.0
2014-12-11,24635.0
2014-12-12,24690.0
2014-12-15,24690.0
2014-12-16,24490.0
2014-12-17,24435.0
2014-12-18,24385.0
2014-12-19,24790.0
2014-12-22,24975.0
2014-12-23,24910.0
2014-12-24,25005.0
2014-12-26,25015.0
2014-12-29,24950.0
2014-12-30,24780.0
2015-01-02,24775.0
2015-01-05,24730.0
2015-01-06,24245.0
2015-01-07,24315.0
2015-01-08,24640.0
2015-01-09,24920.0
2015-01-12,24855.0
2015-01-13,24960.0
2015-01-14,24825.0
2015-01-15,24930.0
2015-01-16,24590.0
2015-01-19,24830.0
2015-01-20,25060.0
2015-01-21,25110.0
2015-01-22,25160.0
2015-01-23,25315.0
2015-01-26,25340.0
2015-01-27,25520.0
2015-01-28,25525.0
2015-01-29,25410.0
2015-01-30,25400.0
2015-02-02,25310.0
2015-02-03,25325.0
2015-02-04,25495.0
2015-02-05,25225.0
2015-02-06,25275.0
2015-02-09,25250.0
2015-02-10,25135.0
2015-02-11,25155.0
2015-02-12,25075.0
2015-02-13,25275.0
2015-02-16,25310.0
2015-02-17,25345.0
2015-02-23,25440.0
2015-02-24,25485.0
2015-02-25,25565.0
2015-02-26,25565.0
2015-02-27,25520.0
2015-03-02,25605.0
2015-03-03,25710.0
2015-03-04,25710.0
2015-03-05,25710.0
2015-03-06,25855.0
2015-03-09,25615.0
2015-03-10,25495.0
2015-03-11,25515.0
2015-03-12,25420.0
2015-03-13,25575.0
2015-03-16,25590.0
2015-03-17,26150.0
2015-03-18,26145.0
2015-03-19,26250.0
2015-03-20,26115.0
2015-03-23,26185.0
2015-03-24,26225.0
2015-03-25,26200.0
2015-03-26,25975.0
2015-03-27,25940.0
2015-03-30,25955.0
2015-03-31,26100.0
2015-04-01,25795.0
2015-04-02,25840.0
2015-04-03,26025.0
2015-04-06,26035.0
2015-04-07,25955.0
2015-04-08,26140.0
2015-04-09,26135.0
2015-04-10,26460.0
2015-04-13,26655.0
2015-04-14,26790.0
2015-04-15,26880.0
2015-04-16,27130.0
2015-04-17,27150.0
2015-04-20,27085.0
2015-04-21,27080.0
2015-04-22,27195.0
2015-04-23,27605.0
2015-04-24,27435.0
2015-04-27,27340.0
2015-04-28,27240.0
2015-04-29,26805.0
2015-04-30,26710.0
2015-05-04,26800.0
2015-05-06,26415.0
2015-05-07,26250.0
2015-05-08,26140.0
2015-05-11,26165.0
2015-05-12,26165.0
2015-05-13,26310.0
2015-05-14,26375.0
2015-05-15,26105.0
2015-05-18,26180.0
2015-05-19,26280.0
2015-05-20,26510.0
2015-05-21,26240.0
2015-05-22,26555.0
2015-05-26,26490.0
2015-05-27,25960.0
2015-05-28,25945.0
2015-05-29,26115.0
2015-06-01,25885.0
2015-06-02,25640.0
2015-06-03,25380.0
2015-06-04,25505.0
2015-06-05,25470.0
2015-06-08,25360.0
2015-06-09,25385.0
2015-06-10,25235.0
2015-06-11,25300.0
2015-06-12,25125.0
2015-06-15,25030.0
2015-06-16,24815.0
2015-06-17,24835.0
2015-06-18,24915.0
2015-06-19,25035.0
2015-06-22,25110.0
2015-06-23,25445.0
2015-06-24,25420.0
2015-06-25,25405.0
2015-06-26,25455.0
2015-06-29,25095.0
2015-06-30,25320.0
2015-07-01,25485.0
2015-07-02,25510.0
2015-07-03,25455.0
2015-07-06,24810.0
2015-07-07,24890.0
2015-07-08,24535.0
2015-07-09,24700.0
2015-07-10,24705.0
2015-07-13,24965.0
2015-07-14,24860.0
2015-07-15,24935.0
2015-07-16,25135.0
2015-07-17,25035.0
2015-07-20,24945.0
2015-07-21,25015.0
2015-07-22,24785.0
2015-07-23,24730.0
2015-07-24,24495.0
2015-07-27,24550.0
2015-07-28,24585.0
2015-07-29,24685.0
2015-07-30,24455.0
2015-07-31,24535.0
2015-08-03,24255.0
2015-08-04,24360.0
2015-08-05,24380.0
2015-08-06,24100.0
2015-08-07,24035.0
2015-08-10,24030.0
2015-08-11,23930.0
2015-08-12,23755.0
2015-08-13,23875.0
2015-08-17,23670.0
2015-08-18,23655.0
2015-08-19,23480.0
2015-08-20,23240.0
2015-08-21,22870.0
2015-08-24,22250.0
2015-08-25,22385.0
2015-08-26,22755.0
2015-08-27,22895.0
2015-08-28,23265.0
2015-08-31,23385.0
2015-09-01,23025.0
2015-09-02,23025.0
2015-09-03,23095.0
2015-09-04,22935.0
2015-09-07,22865.0
2015-09-08,22935.0
2015-09-09,23605.0
2015-09-10,23660.0
2015-09-11,23415.0
2015-09-14,23375.0
2015-09-15,23430.0
2015-09-16,23930.0
2015-09-17,24035.0
2015-09-18,24155.0
2015-09-21,23810.0
2015-09-22,23885.0
2015-09-23,23605.0
2015-09-24,23530.0
2015-09-25,23540.0
2015-09-30,23845.0
2015-10-01,23965.0
2015-10-02,23830.0
2015-10-05,23850.0
2015-10-06,24095.0
2015-10-07,24430.0
2015-10-08,24600.0
2015-10-12,24775.0
2015-10-13,24730.0
2015-10-14,24615.0
2015-10-15,24915.0
2015-10-16,24845.0
2015-10-19,24835.0
2015-10-20,24915.0
2015-10-21,24990.0
2015-10-22,24880.0
2015-10-23,25040.0
2015-10-26,25125.0
2015-10-27,25070.0
2015-10-28,25085.0
2015-10-29,25015.0
2015-10-30,25110.0
2015-11-02,25090.0
2015-11-03,25350.0
2015-11-04,25330.0
2015-11-05,25275.0
2015-11-06,25110.0
2015-11-09,25050.0
2015-11-10,24650.0
2015-11-11,24645.0
2015-11-12,24635.0
2015-11-13,24315.0
2015-11-16,24035.0
2015-11-17,24225.0
2015-11-18,24180.0
2015-11-19,24510.0
2015-11-20,24565.0
2015-11-23,24705.0
2015-11-24,24810.0
2015-11-25,24770.0
2015-11-26,25070.0
2015-11-27,25030.0
2015-11-30,24600.0
2015-12-01,24910.0
2015-12-02,24765.0
2015-12-03,24560.0
2015-12-04,24295.0
2015-12-07,24195.0
2015-12-08,24085.0
2015-12-09,24065.0
2015-12-10,24200.0
2015-12-11,24145.0
2015-12-14,23935.0
2015-12-15,24050.0
2015-12-16,24485.0
2015-12-17,24435.0
2015-12-18,24430.0
2015-12-21,24505.0
2015-12-22,24585.0
2015-12-23,24775.0
2015-12-24,24635.0
2015-12-28,24290.0
2015-12-29,24570.0
2015-12-30,24595.0
2016-01-04,23925.0
2016-01-05,24065.0
2016-01-06,23925.0
2016-01-07,23690.0
2016-01-08,23840.0
2016-01-11,23595.0
2016-01-12,23545.0
2016-01-13,23835.0
2016-01-14,23655.0
2016-01-15,23390.0
2016-01-18,23360.0
2016-01-19,23465.0
2016-01-20,22945.0
2016-01-21,22885.0
2016-01-22,23385.0
2016-01-25,23540.0
2016-01-26,23205.0
2016-01-27,23540.0
2016-01-28,23585.0
2016-01-29,23735.0
2016-02-01,23755.0
2016-02-02,23620.0
2016-02-03,23360.0
2016-02-04,23790.0
2016-02-05,23830.0
2016-02-11,23195.0
2016-02-12,22970.0
2016-02-15,23300.0
2016-02-16,23655.0
2016-02-17,23690.0
2016-02-18,23895.0
2016-02-19,23920.0
2016-02-22,23970.0
2016-02-23,23955.0
2016-02-24,23965.0
2016-02-25,23975.0
2016-02-26,24040.0
2016-02-29,23955.0
2016-03-02,24345.0
2016-03-03,24445.0
2016-03-04,24450.0
2016-03-07,24495.0
2016-03-08,24330.0
2016-03-09,24400.0
2016-03-10,24655.0
2016-03-11,24690.0
2016-03-14,24680.0
2016-03-15,24675.0
2016-03-16,24735.0
2016-03-17,24855.0
2016-03-18,24860.0
2016-03-21,24885.0
2016-03-22,24970.0
2016-03-23,24955.0
2016-03-24,24865.0
2016-03-25,24850.0
2016-03-28,24935.0
2016-03-29,24995.0
2016-03-30,25160.0
2016-03-31,25100.0
2016-04-01,24680.0
2016-04-04,24710.0
2016-04-05,24525.0
2016-04-06,24630.0
2016-04-07,24660.0
2016-04-08,24625.0
2016-04-11,24705.0
2016-04-12,24825.0
2016-04-14,25310.0
2016-04-15,25285.0
2016-04-18,25250.0
2016-04-19,25255.0
2016-04-20,25170.0
2016-04-21,25380.0
2016-04-22,25300.0
2016-04-25,25250.0
2016-04-26,25345.0
2016-04-27,25335.0
2016-04-28,24660.0
2016-04-29,24625.0
2016-05-02,24395.0
2016-05-03,24475.0
2016-05-04,24315.0
2016-05-09,24325.0
2016-05-10,24420.0
2016-05-11,24350.0
2016-05-12,24335.0
2016-05-13,24140.0
2016-05-16,24175.0
