Date,ARIRANG 고배당주
2014-01-13,11515.0
2014-01-14,11405.0
2014-01-15,11545.0
2014-01-16,11520.0
2014-01-17,11530.0
2014-01-20,11530.0
2014-01-21,11475.0
2014-01-22,11530.0
2014-01-23,11445.0
2014-01-24,11495.0
2014-01-27,11330.0
2014-01-28,11350.0
2014-01-29,11565.0
2014-02-03,11380.0
2014-02-04,11225.0
2014-02-05,11210.0
2014-02-06,11205.0
2014-02-07,11290.0
2014-02-10,11325.0
2014-02-11,11390.0
2014-02-12,11405.0
2014-02-13,11350.0
2014-02-14,11470.0
2014-02-17,11480.0
2014-02-18,11480.0
2014-02-19,11380.0
2014-02-20,11400.0
2014-02-21,11395.0
2014-02-24,11395.0
2014-02-25,11465.0
2014-02-26,11460.0
2014-02-27,11505.0
2014-02-28,11550.0
2014-03-03,11410.0
2014-03-04,11380.0
2014-03-05,11415.0
2014-03-06,11465.0
2014-03-07,11445.0
2014-03-10,11355.0
2014-03-11,11435.0
2014-03-12,11305.0
2014-03-13,11405.0
2014-03-14,11320.0
2014-03-17,11340.0
2014-03-18,11400.0
2014-03-19,11420.0
2014-03-20,11340.0
2014-03-21,11340.0
2014-03-24,11380.0
2014-03-25,11425.0
2014-03-26,11490.0
2014-03-27,11505.0
2014-03-28,11475.0
2014-03-31,11535.0
2014-04-01,11520.0
2014-04-02,11435.0
2014-04-03,11395.0
2014-04-04,11455.0
2014-04-07,11425.0
2014-04-08,11495.0
2014-04-09,11705.0
2014-04-10,11785.0
2014-04-11,11715.0
2014-04-14,11725.0
2014-04-15,11725.0
2014-04-16,11615.0
2014-04-17,11610.0
2014-04-18,11700.0
2014-04-21,11615.0
2014-04-22,11660.0
2014-04-23,11645.0
2014-04-24,11635.0
2014-04-25,11450.0
2014-04-28,11455.0
2014-04-29,11210.0
2014-04-30,11305.0
2014-05-02,11235.0
2014-05-07,11130.0
2014-05-08,11065.0
2014-05-09,11200.0
2014-05-12,11080.0
2014-05-13,11070.0
2014-05-14,11220.0
2014-05-15,11205.0
2014-05-16,11155.0
2014-05-19,11150.0
2014-05-20,11120.0
2014-05-21,11115.0
2014-05-22,11125.0
2014-05-23,11165.0
2014-05-26,11230.0
2014-05-27,11160.0
2014-05-28,11165.0
2014-05-29,11055.0
2014-05-30,11015.0
2014-06-02,11015.0
2014-06-03,10890.0
2014-06-05,10845.0
2014-06-09,10910.0
2014-06-10,10940.0
2014-06-11,10990.0
2014-06-12,10980.0
2014-06-13,10975.0
2014-06-16,10945.0
2014-06-17,10855.0
2014-06-18,10900.0
2014-06-19,11020.0
2014-06-20,10850.0
2014-06-23,10905.0
2014-06-24,11020.0
2014-06-25,10965.0
2014-06-26,11085.0
2014-06-27,11080.0
2014-06-30,11230.0
2014-07-01,11195.0
2014-07-02,11240.0
2014-07-03,11180.0
2014-07-04,11230.0
2014-07-07,11135.0
2014-07-08,11090.0
2014-07-09,11050.0
2014-07-10,11070.0
2014-07-11,11040.0
2014-07-14,11070.0
2014-07-15,11155.0
2014-07-16,11180.0
2014-07-17,11260.0
2014-07-18,11200.0
2014-07-21,11260.0
2014-07-22,11300.0
2014-07-23,11350.0
2014-07-24,11380.0
2014-07-25,11325.0
2014-07-28,11455.0
2014-07-29,11555.0
2014-07-30,11690.0
2014-07-31,11825.0
2014-08-01,11910.0
2014-08-04,11900.0
2014-08-05,11745.0
2014-08-06,11745.0
2014-08-07,11675.0
2014-08-08,11670.0
2014-08-11,11700.0
2014-08-12,11610.0
2014-08-13,11680.0
2014-08-14,11710.0
2014-08-18,11695.0
2014-08-19,11670.0
2014-08-20,11590.0
2014-08-21,11450.0
2014-08-22,11575.0
2014-08-25,11535.0
2014-08-26,11620.0
2014-08-27,11615.0
2014-08-28,11700.0
2014-08-29,11575.0
2014-09-01,11555.0
