Date,ARIRANG 글로벌MSCI(합성 H)
2014-01-13,10255.0
2014-01-14,10180.0
2014-01-15,10230.0
2014-01-16,10280.0
2014-01-17,10275.0
2014-01-20,10245.0
2014-01-21,10260.0
2014-01-22,10265.0
2014-01-23,10270.0
2014-01-24,10210.0
2014-01-27,10020.0
2014-01-28,9935.0
2014-01-29,9995.0
2014-02-03,9885.0
2014-02-04,9700.0
2014-02-05,9740.0
2014-02-06,9710.0
2014-02-07,9845.0
2014-02-10,9975.0
2014-02-11,9990.0
2014-02-12,10105.0
2014-02-13,10105.0
2014-02-14,10160.0
2014-02-17,10225.0
2014-02-18,10235.0
2014-02-19,10255.0
2014-02-20,10200.0
2014-02-21,10255.0
2014-02-24,10255.0
2014-02-25,10300.0
2014-02-26,10315.0
2014-02-27,10285.0
2014-02-28,10330.0
2014-03-03,10325.0
2014-03-04,10240.0
2014-03-05,10370.0
2014-03-06,10375.0
2014-03-07,10430.0
2014-03-10,10385.0
2014-03-11,10365.0
2014-03-12,10315.0
2014-03-13,10315.0
2014-03-14,10180.0
2014-03-17,10150.0
2014-03-18,10250.0
2014-03-19,10275.0
2014-03-20,10210.0
2014-03-21,10200.0
2014-03-24,10245.0
2014-03-25,10205.0
2014-03-26,10275.0
2014-03-27,10260.0
2014-03-28,10265.0
2014-03-31,10335.0
2014-04-01,10390.0
2014-04-02,10470.0
2014-04-03,10460.0
2014-04-04,10455.0
2014-04-07,10430.0
2014-04-08,10335.0
2014-04-09,10360.0
2014-04-10,10415.0
2014-04-11,10330.0
2014-04-14,10250.0
2014-04-15,10275.0
2014-04-16,10280.0
2014-04-17,10350.0
2014-04-18,10380.0
2014-04-21,10405.0
2014-04-22,10385.0
2014-04-23,10445.0
2014-04-24,10435.0
2014-04-25,10430.0
2014-04-28,10370.0
2014-04-29,10365.0
2014-04-30,10460.0
2014-05-02,10495.0
2014-05-07,10435.0
2014-05-08,10490.0
2014-05-09,10500.0
2014-05-12,10485.0
2014-05-13,10570.0
2014-05-14,10585.0
2014-05-15,10545.0
2014-05-16,10480.0
2014-05-19,10515.0
2014-05-20,10500.0
2014-05-21,10500.0
2014-05-22,10565.0
2014-05-23,10610.0
2014-05-26,10590.0
2014-05-27,10645.0
2014-05-28,10635.0
2014-05-29,10665.0
2014-05-30,10690.0
2014-06-02,10680.0
2014-06-03,10695.0
2014-06-05,10690.0
2014-06-09,10820.0
2014-06-10,10825.0
2014-06-11,10800.0
2014-06-12,10810.0
2014-06-13,10780.0
2014-06-16,10785.0
2014-06-17,10775.0
2014-06-18,10780.0
2014-06-19,10870.0
2014-06-20,10900.0
2014-06-23,10880.0
2014-06-24,10855.0
2014-06-25,10845.0
2014-06-26,10860.0
2014-06-27,10850.0
2014-06-30,10875.0
2014-07-01,10850.0
2014-07-02,10955.0
2014-07-03,10960.0
2014-07-04,11020.0
2014-07-07,11000.0
2014-07-08,10955.0
2014-07-09,10875.0
2014-07-10,10910.0
2014-07-11,10800.0
2014-07-14,10820.0
2014-07-15,10925.0
2014-07-16,10885.0
2014-07-17,10950.0
2014-07-18,10845.0
2014-07-21,10915.0
2014-07-22,10895.0
2014-07-23,10960.0
2014-07-24,10930.0
2014-07-25,10950.0
2014-07-28,10950.0
2014-07-29,10950.0
2014-07-30,10935.0
2014-07-31,10895.0
2014-08-01,10725.0
2014-08-04,10680.0
2014-08-05,10725.0
2014-08-06,10635.0
2014-08-07,10570.0
2014-08-08,10530.0
2014-08-11,10605.0
2014-08-12,10675.0
2014-08-13,10665.0
2014-08-14,10720.0
2014-08-18,10760.0
2014-08-19,10805.0
2014-08-20,10840.0
2014-08-21,10830.0
2014-08-22,10925.0
2014-08-25,10885.0
2014-08-26,10905.0
2014-08-27,10930.0
2014-08-28,10945.0
2014-08-29,10920.0
2014-09-01,10965.0
2014-09-02,10935.0
2014-09-03,10955.0
2014-09-04,11005.0
2014-09-05,10965.0
2014-09-11,10890.0
2014-09-12,10880.0
2014-09-15,10830.0
2014-09-16,10780.0
2014-09-17,10860.0
2014-09-18,10870.0
2014-09-19,10910.0
2014-09-22,10885.0
2014-09-23,10810.0
2014-09-24,10725.0
2014-09-25,10775.0
2014-09-26,10630.0
2014-09-29,10670.0
2014-09-30,10615.0
2014-10-01,10590.0
2014-10-02,10475.0
2014-10-06,10475.0
2014-10-07,10485.0
2014-10-08,10390.0
2014-10-10,10295.0
2014-10-13,10185.0
2014-10-14,10095.0
2014-10-15,10095.0
2014-10-16,9990.0
2014-10-17,9950.0
2014-10-20,10085.0
2014-10-21,10160.0
2014-10-22,10310.0
2014-10-23,10295.0
2014-10-24,10370.0
2014-10-27,10415.0
2014-10-28,10395.0
2014-10-29,10505.0
2014-10-30,10500.0
2014-10-31,10580.0
2014-11-03,10660.0
2014-11-04,10625.0
2014-11-05,10585.0
2014-11-06,10605.0
2014-11-07,10620.0
2014-11-10,10660.0
2014-11-11,10685.0
2014-11-12,10680.0
2014-11-13,10680.0
2014-11-14,10680.0
2014-11-17,10680.0
2014-11-18,10690.0
2014-11-19,10740.0
2014-11-20,10730.0
2014-11-21,10745.0
2014-11-24,10835.0
2014-11-25,10855.0
2014-11-26,10840.0
2014-11-27,10900.0
2014-11-28,10880.0
2014-12-01,10825.0
2014-12-02,10780.0
2014-12-03,10765.0
2014-12-04,10825.0
2014-12-05,10770.0
2014-12-08,10810.0
2014-12-09,10730.0
2014-12-10,10675.0
2014-12-11,10555.0
2014-12-12,10570.0
2014-12-15,10385.0
2014-12-16,10270.0
2014-12-17,10290.0
2014-12-18,10395.0
2014-12-19,10595.0
2014-12-22,10670.0
2014-12-23,10680.0
2014-12-24,10680.0
2014-12-26,10720.0
2014-12-29,10745.0
2014-12-30,10705.0
2015-01-02,10585.0
2015-01-05,10565.0
2015-01-06,10365.0
2015-01-07,10290.0
2015-01-08,10355.0
2015-01-09,10545.0
2015-01-12,10500.0
2015-01-13,10450.0
2015-01-14,10470.0
2015-01-15,10395.0
2015-01-16,10335.0
2015-01-19,10465.0
2015-01-20,10475.0
2015-01-21,10485.0
2015-01-22,10540.0
2015-01-23,10640.0
2015-01-26,10645.0
2015-01-27,10665.0
2015-01-28,10635.0
2015-01-29,10510.0
2015-01-30,10565.0
2015-02-02,10455.0
2015-02-03,10510.0
2015-02-04,10695.0
2015-02-05,10670.0
2015-02-06,10740.0
2015-02-09,10705.0
2015-02-10,10675.0
2015-02-11,10725.0
2015-02-12,10675.0
2015-02-13,10825.0
2015-02-16,10860.0
2015-02-17,10875.0
2015-02-23,10955.0
2015-02-24,10995.0
2015-02-25,11045.0
2015-02-26,11005.0
2015-02-27,11010.0
2015-03-02,10990.0
2015-03-03,10985.0
2015-03-04,10985.0
2015-03-05,10935.0
2015-03-06,10970.0
2015-03-09,10805.0
2015-03-10,10800.0
2015-03-11,10625.0
2015-03-12,10625.0
2015-03-13,10700.0
