Date,ARIRANG 단기유동성
2014-01-13,100215.0
2014-01-14,100215.0
2014-01-15,100220.0
2014-01-16,100240.0
2014-01-17,100260.0
2014-01-20,100250.0
2014-01-21,100255.0
2014-01-22,100260.0
2014-01-23,100280.0
2014-01-24,100290.0
2014-01-27,100300.0
2014-01-28,100330.0
2014-01-29,100340.0
2014-02-03,100340.0
2014-02-04,100350.0
2014-02-05,100360.0
2014-02-06,100380.0
2014-02-07,100370.0
2014-02-10,100390.0
2014-02-11,100415.0
2014-02-12,100410.0
2014-02-13,100440.0
2014-02-14,100450.0
2014-02-17,100440.0
2014-02-18,100460.0
2014-02-19,100470.0
2014-02-20,100490.0
2014-02-21,100490.0
2014-02-24,100505.0
2014-02-25,100510.0
2014-02-26,100515.0
2014-02-27,100540.0
2014-02-28,100545.0
2014-03-03,100555.0
2014-03-04,100555.0
2014-03-05,100560.0
2014-03-06,100585.0
2014-03-07,100590.0
2014-03-10,100595.0
2014-03-11,100605.0
2014-03-12,100615.0
2014-03-13,100635.0
2014-03-14,100640.0
2014-03-17,100650.0
2014-03-18,100655.0
2014-03-19,100665.0
2014-03-20,100685.0
2014-03-21,100690.0
2014-03-24,100700.0
2014-03-25,100700.0
2014-03-26,100710.0
2014-03-27,100730.0
2014-03-28,100735.0
2014-03-31,100750.0
2014-04-01,100755.0
2014-04-02,100770.0
2014-04-03,100780.0
2014-04-04,100785.0
2014-04-07,100800.0
2014-04-08,100810.0
2014-04-09,100820.0
2014-04-10,100840.0
2014-04-11,100840.0
2014-04-14,100850.0
2014-04-15,100850.0
2014-04-16,100860.0
2014-04-17,100885.0
2014-04-18,100890.0
2014-04-21,100895.0
2014-04-22,100900.0
2014-04-23,100910.0
2014-04-24,100925.0
2014-04-25,100930.0
2014-04-28,100935.0
2014-04-29,100950.0
2014-04-30,100990.0
2014-05-02,100990.0
2014-05-07,101000.0
2014-05-08,101025.0
2014-05-09,101035.0
2014-05-12,101045.0
2014-05-13,101050.0
2014-05-14,101060.0
2014-05-15,101080.0
2014-05-16,101085.0
2014-05-19,101095.0
2014-05-20,101100.0
2014-05-21,101110.0
2014-05-22,101125.0
2014-05-23,101130.0
2014-05-26,101140.0
2014-05-27,101145.0
2014-05-28,101150.0
2014-05-29,101175.0
2014-05-30,101185.0
2014-06-02,101195.0
2014-06-03,101225.0
2014-06-05,101235.0
2014-06-09,101240.0
2014-06-10,101250.0
2014-06-11,101260.0
2014-06-12,101280.0
2014-06-13,101295.0
2014-06-16,101305.0
2014-06-17,101315.0
2014-06-18,101320.0
2014-06-19,101340.0
2014-06-20,101355.0
2014-06-23,101365.0
2014-06-24,101375.0
2014-06-25,101380.0
2014-06-26,101395.0
2014-06-27,101405.0
2014-06-30,101410.0
2014-07-01,101415.0
2014-07-02,101425.0
2014-07-03,101470.0
2014-07-04,101480.0
2014-07-07,101490.0
2014-07-08,101500.0
2014-07-09,101505.0
2014-07-10,101535.0
2014-07-11,101545.0
2014-07-14,101560.0
2014-07-15,101560.0
2014-07-16,101575.0
2014-07-17,101600.0
2014-07-18,101630.0
2014-07-21,101640.0
2014-07-22,101645.0
2014-07-23,101670.0
2014-07-24,101695.0
2014-07-25,101700.0
2014-07-28,101705.0
2014-07-29,101710.0
2014-07-30,101720.0
2014-07-31,101745.0
2014-08-01,101750.0
2014-08-04,101755.0
2014-08-05,101760.0
2014-08-06,101770.0
2014-08-07,101785.0
2014-08-08,101800.0
2014-08-11,101815.0
2014-08-12,101825.0
2014-08-13,101850.0
2014-08-14,101910.0
2014-08-18,101870.0
2014-08-19,101860.0
2014-08-20,101875.0
2014-08-21,101875.0
2014-08-22,101895.0
2014-08-25,101890.0
2014-08-26,101915.0
2014-08-27,101900.0
2014-08-28,101935.0
2014-08-29,101945.0
2014-09-01,101950.0
