Date,ARIRANG 바벨 채권
2014-01-13,100285.0
2014-01-14,100270.0
2014-01-15,100180.0
2014-01-16,100095.0
2014-01-17,100110.0
2014-01-20,100235.0
2014-01-21,100060.0
2014-01-22,100145.0
2014-01-23,100275.0
2014-01-24,100465.0
2014-01-27,100405.0
2014-01-28,100435.0
2014-01-29,100385.0
2014-02-03,100465.0
2014-02-04,100615.0
2014-02-05,100475.0
2014-02-06,100465.0
2014-02-07,100630.0
2014-02-10,100650.0
2014-02-11,100770.0
2014-02-12,100730.0
2014-02-13,100875.0
2014-02-14,100930.0
2014-02-17,100905.0
2014-02-18,100835.0
2014-02-19,100895.0
2014-02-20,100925.0
2014-02-21,100865.0
2014-02-24,100920.0
2014-02-25,100930.0
2014-02-26,100910.0
2014-02-27,100970.0
2014-02-28,100955.0
2014-03-03,100805.0
2014-03-04,100770.0
2014-03-05,100815.0
2014-03-06,100760.0
2014-03-07,100720.0
2014-03-10,100775.0
2014-03-11,100800.0
2014-03-12,100870.0
2014-03-13,100920.0
2014-03-14,101095.0
2014-03-17,100940.0
2014-03-18,100985.0
2014-03-19,101020.0
2014-03-20,101000.0
2014-03-21,100930.0
2014-03-24,100965.0
2014-03-25,101010.0
2014-03-26,100995.0
2014-03-27,101065.0
2014-03-28,101110.0
2014-03-31,101110.0
2014-04-01,101070.0
2014-04-02,101020.0
2014-04-03,101015.0
2014-04-04,101035.0
2014-04-07,101145.0
2014-04-08,101110.0
2014-04-09,101180.0
2014-04-10,101135.0
2014-04-11,101165.0
2014-04-14,101160.0
2014-04-15,101195.0
2014-04-16,101140.0
2014-04-17,101265.0
2014-04-18,101175.0
2014-04-21,101145.0
2014-04-22,101175.0
2014-04-23,101185.0
2014-04-24,101220.0
2014-04-25,101275.0
2014-04-28,101275.0
2014-04-29,101310.0
2014-04-30,101350.0
2014-05-02,101345.0
2014-05-07,101525.0
2014-05-08,101515.0
2014-05-09,101655.0
2014-05-12,101660.0
2014-05-13,101595.0
2014-05-14,101630.0
2014-05-15,101900.0
2014-05-16,101815.0
2014-05-19,101870.0
2014-05-20,101835.0
2014-05-21,101890.0
2014-05-22,101845.0
2014-05-23,101885.0
2014-05-26,101935.0
2014-05-27,101935.0
2014-05-28,101985.0
2014-05-29,102115.0
2014-05-30,102070.0
2014-06-02,102030.0
2014-06-03,102030.0
2014-06-05,101980.0
2014-06-09,102020.0
2014-06-10,102125.0
2014-06-11,102100.0
2014-06-12,102270.0
2014-06-13,102275.0
2014-06-16,102275.0
2014-06-17,102290.0
2014-06-18,102345.0
2014-06-19,102365.0
2014-06-20,102565.0
2014-06-23,102540.0
2014-06-24,102600.0
2014-06-25,102615.0
2014-06-26,102650.0
2014-06-27,102745.0
2014-06-30,102805.0
2014-07-01,102720.0
2014-07-02,102940.0
2014-07-03,103030.0
2014-07-04,102900.0
2014-07-07,102960.0
2014-07-08,102890.0
2014-07-09,102875.0
2014-07-10,103140.0
2014-07-11,103210.0
2014-07-14,103165.0
2014-07-15,103180.0
2014-07-16,103300.0
2014-07-17,103610.0
2014-07-18,103515.0
2014-07-21,103440.0
2014-07-22,103470.0
2014-07-23,103535.0
2014-07-24,103435.0
2014-07-25,103460.0
2014-07-28,103370.0
2014-07-29,103400.0
2014-07-30,103390.0
2014-07-31,103385.0
2014-08-01,103245.0
2014-08-04,103240.0
2014-08-05,103265.0
2014-08-06,103170.0
2014-08-07,103335.0
2014-08-08,103485.0
2014-08-11,103480.0
2014-08-12,103415.0
2014-08-13,103430.0
2014-08-14,103370.0
2014-08-18,103355.0
2014-08-19,103225.0
2014-08-20,103230.0
2014-08-21,103175.0
2014-08-22,103245.0
2014-08-25,103385.0
2014-08-26,103525.0
2014-08-27,103600.0
2014-08-28,103585.0
2014-08-29,103635.0
2014-09-01,103540.0
