Date,ARIRANG 코스피50
2014-01-13,16760.0
2014-01-14,16780.0
2014-01-15,16805.0
2014-01-16,16855.0
2014-01-17,16720.0
2014-01-20,16820.0
2014-01-21,16935.0
2014-01-22,16990.0
2014-01-23,16740.0
2014-01-24,16680.0
2014-01-27,16450.0
2014-01-28,16515.0
2014-01-29,16580.0
2014-02-03,16480.0
2014-02-04,16165.0
2014-02-05,16220.0
2014-02-06,16400.0
2014-02-07,16520.0
2014-02-10,16500.0
2014-02-11,16615.0
2014-02-12,16630.0
2014-02-13,16530.0
2014-02-14,16670.0
2014-02-17,16700.0
2014-02-18,16715.0
2014-02-19,16640.0
2014-02-20,16555.0
2014-02-21,16820.0
2014-02-24,16760.0
2014-02-25,16920.0
2014-02-26,16985.0
2014-02-27,17010.0
2014-02-28,17055.0
2014-03-03,16905.0
2014-03-04,16760.0
2014-03-05,16955.0
2014-03-06,16960.0
2014-03-07,16930.0
2014-03-10,16720.0
2014-03-11,16750.0
2014-03-12,16480.0
2014-03-13,16485.0
2014-03-14,16300.0
2014-03-17,16395.0
2014-03-18,16520.0
2014-03-19,16470.0
2014-03-20,16295.0
2014-03-21,16445.0
2014-03-24,16565.0
2014-03-25,16480.0
2014-03-26,16760.0
2014-03-27,16945.0
2014-03-28,16960.0
2014-03-31,16970.0
2014-04-01,17045.0
2014-04-02,17100.0
2014-04-03,17105.0
2014-04-04,17100.0
2014-04-07,17160.0
2014-04-08,17175.0
2014-04-09,17220.0
2014-04-10,17310.0
2014-04-11,17135.0
2014-04-14,17175.0
2014-04-15,17130.0
2014-04-16,17150.0
2014-04-17,17125.0
2014-04-18,17250.0
2014-04-21,17220.0
2014-04-22,17250.0
2014-04-23,17225.0
2014-04-24,17245.0
2014-04-25,17005.0
2014-04-28,16945.0
2014-04-29,16675.0
2014-04-30,16630.0
2014-05-02,16625.0
2014-05-07,16455.0
2014-05-08,16565.0
2014-05-09,16570.0
2014-05-12,16705.0
2014-05-13,16880.0
2014-05-14,17150.0
2014-05-15,17155.0
2014-05-16,17190.0
2014-05-19,17250.0
2014-05-20,17220.0
2014-05-21,17170.0
2014-05-22,17225.0
2014-05-23,17225.0
2014-05-26,17150.0
2014-05-27,16980.0
2014-05-28,17165.0
2014-05-29,17170.0
2014-05-30,17060.0
2014-06-02,17105.0
2014-06-03,17175.0
2014-06-05,17070.0
2014-06-09,16975.0
2014-06-10,17170.0
2014-06-11,17170.0
2014-06-12,17020.0
2014-06-13,16800.0
2014-06-16,16940.0
2014-06-17,17015.0
2014-06-18,16890.0
2014-06-19,16855.0
2014-06-20,16610.0
2014-06-23,16730.0
2014-06-24,16950.0
2014-06-25,16845.0
2014-06-26,16955.0
2014-06-27,16870.0
2014-06-30,16980.0
2014-07-01,16900.0
2014-07-02,17060.0
2014-07-03,16975.0
2014-07-04,16915.0
2014-07-07,16895.0
