Date,KBSTAR 200
2014-01-13,25730.0
2014-01-14,25695.0
2014-01-15,25750.0
2014-01-16,25885.0
2014-01-17,25660.0
2014-01-20,25805.0
2014-01-21,26025.0
2014-01-22,25995.0
2014-01-23,25705.0
2014-01-24,25595.0
2014-01-27,25270.0
2014-01-28,25365.0
2014-01-29,25650.0
2014-02-03,25315.0
2014-02-04,24850.0
2014-02-05,24950.0
2014-02-06,25140.0
2014-02-07,25310.0
2014-02-10,25325.0
2014-02-11,25470.0
2014-02-12,25515.0
2014-02-13,25340.0
2014-02-14,25615.0
2014-02-17,25675.0
2014-02-18,25680.0
2014-02-19,25545.0
2014-02-20,25405.0
2014-02-21,25760.0
2014-02-24,25705.0
2014-02-25,25910.0
2014-02-26,26000.0
2014-02-27,26060.0
2014-02-28,26135.0
2014-03-03,25875.0
2014-03-04,25770.0
2014-03-05,26025.0
2014-03-06,26035.0
2014-03-07,26025.0
2014-03-10,25685.0
2014-03-11,25785.0
2014-03-12,25400.0
2014-03-13,25445.0
2014-03-14,25195.0
2014-03-17,25275.0
2014-03-18,25460.0
2014-03-19,25475.0
2014-03-20,25170.0
2014-03-21,25360.0
2014-03-24,25475.0
2014-03-25,25465.0
2014-03-26,25825.0
2014-03-27,25950.0
2014-03-28,25980.0
2014-03-31,26120.0
2014-04-01,26100.0
2014-04-02,26210.0
2014-04-03,26185.0
2014-04-04,26265.0
2014-04-07,26210.0
2014-04-08,26355.0
2014-04-09,26415.0
2014-04-10,26445.0
2014-04-11,26245.0
2014-04-14,26345.0
2014-04-15,26205.0
2014-04-16,26270.0
2014-04-17,26255.0
2014-04-18,26440.0
2014-04-21,26400.0
2014-04-22,26400.0
2014-04-23,26400.0
2014-04-24,26340.0
2014-04-25,25960.0
2014-04-28,25985.0
2014-04-29,25605.0
2014-04-30,25600.0
2014-05-02,25470.0
2014-05-07,25235.0
2014-05-08,25325.0
2014-05-09,25390.0
2014-05-12,25535.0
2014-05-13,25905.0
2014-05-14,26220.0
2014-05-15,26230.0
2014-05-16,26205.0
2014-05-19,26250.0
2014-05-20,26225.0
2014-05-21,26250.0
2014-05-22,26385.0
2014-05-23,26335.0
2014-05-26,26275.0
2014-05-27,26010.0
2014-05-28,26320.0
2014-05-29,26270.0
2014-05-30,26070.0
2014-06-02,26130.0
2014-06-03,26150.0
2014-06-05,26015.0
2014-06-09,25995.0
2014-06-10,26255.0
2014-06-11,26240.0
2014-06-12,26165.0
2014-06-13,25845.0
2014-06-16,25965.0
2014-06-17,26010.0
2014-06-18,25870.0
2014-06-19,25930.0
2014-06-20,25570.0
2014-06-23,25720.0
2014-06-24,25980.0
2014-06-25,25835.0
2014-06-26,25995.0
2014-06-27,25920.0
2014-06-30,26060.0
2014-07-01,25985.0
2014-07-02,26190.0
2014-07-03,26160.0
2014-07-04,26095.0
2014-07-07,25975.0
2014-07-08,25970.0
2014-07-09,25830.0
2014-07-10,25880.0
2014-07-11,25690.0
2014-07-14,25785.0
2014-07-15,26035.0
2014-07-16,26075.0
2014-07-17,26185.0
2014-07-18,26120.0
2014-07-21,26135.0
2014-07-22,26295.0
2014-07-23,26275.0
2014-07-24,26290.0
2014-07-25,26355.0
2014-07-28,26595.0
2014-07-29,26845.0
2014-07-30,27165.0
2014-07-31,27070.0
2014-08-01,26950.0
2014-08-04,26925.0
2014-08-05,26765.0
2014-08-06,26665.0
2014-08-07,26560.0
