Date,KBSTAR 5대그룹주
2014-01-13,5020.0
2014-01-14,5020.0
2014-01-15,5030.0
2014-01-16,5035.0
2014-01-17,5000.0
2014-01-20,5010.0
2014-01-21,5050.0
2014-01-22,5070.0
2014-01-23,5005.0
2014-01-24,5000.0
2014-01-27,4910.0
2014-01-28,4945.0
2014-01-29,5005.0
2014-02-03,4930.0
2014-02-04,4840.0
2014-02-05,4865.0
2014-02-06,4880.0
2014-02-07,4940.0
2014-02-10,4950.0
2014-02-11,4950.0
2014-02-12,4950.0
2014-02-13,4940.0
2014-02-14,4985.0
2014-02-17,4980.0
2014-02-18,4950.0
2014-02-19,4950.0
2014-02-20,4930.0
2014-02-21,4980.0
2014-02-24,4950.0
2014-02-25,4980.0
2014-02-26,5010.0
2014-02-27,5045.0
2014-02-28,5030.0
2014-03-03,5005.0
2014-03-04,4965.0
2014-03-05,4975.0
2014-03-06,4970.0
2014-03-07,4975.0
2014-03-10,4915.0
2014-03-11,4900.0
2014-03-12,4860.0
2014-03-13,4860.0
2014-03-14,4860.0
2014-03-17,4880.0
2014-03-18,4885.0
2014-03-19,4880.0
2014-03-20,4855.0
2014-03-21,4880.0
2014-03-24,4945.0
2014-03-25,4930.0
2014-03-26,5020.0
2014-03-27,5035.0
2014-03-28,5035.0
2014-03-31,5050.0
2014-04-01,5065.0
2014-04-02,5075.0
2014-04-03,5065.0
2014-04-04,5065.0
2014-04-07,5090.0
2014-04-08,5110.0
2014-04-09,5105.0
2014-04-10,5120.0
2014-04-11,5085.0
2014-04-14,5125.0
2014-04-15,5115.0
2014-04-16,5120.0
2014-04-17,5115.0
2014-04-18,5150.0
2014-04-21,5125.0
2014-04-22,5150.0
2014-04-23,5115.0
2014-04-24,5105.0
2014-04-25,5060.0
2014-04-28,5040.0
2014-04-29,5010.0
2014-04-30,4995.0
2014-05-02,4995.0
2014-05-07,4930.0
2014-05-08,4970.0
2014-05-09,4985.0
2014-05-12,4970.0
2014-05-13,5045.0
2014-05-14,5105.0
2014-05-15,5110.0
2014-05-16,5105.0
2014-05-19,5120.0
2014-05-20,5100.0
2014-05-21,5100.0
2014-05-22,5150.0
2014-05-23,5135.0
2014-05-26,5135.0
2014-05-27,5110.0
2014-05-28,5105.0
2014-05-29,5105.0
2014-05-30,5100.0
2014-06-02,5100.0
2014-06-03,5130.0
2014-06-05,5120.0
2014-06-09,5120.0
2014-06-10,5165.0
2014-06-11,5170.0
2014-06-12,5135.0
2014-06-13,5100.0
2014-06-16,5135.0
2014-06-17,5185.0
2014-06-18,5160.0
2014-06-19,5175.0
2014-06-20,5060.0
2014-06-23,5090.0
2014-06-24,5145.0
2014-06-25,5140.0
2014-06-26,5170.0
2014-06-27,5155.0
2014-06-30,5190.0
2014-07-01,5160.0
2014-07-02,5230.0
2014-07-03,5195.0
2014-07-04,5190.0
2014-07-07,5190.0
2014-07-08,5175.0
2014-07-09,5120.0
2014-07-10,5130.0
2014-07-11,5075.0
2014-07-14,5070.0
2014-07-15,5150.0
2014-07-16,5190.0
2014-07-17,5225.0
2014-07-18,5205.0
2014-07-21,5175.0
2014-07-22,5200.0
2014-07-23,5180.0
2014-07-24,5195.0
2014-07-25,5200.0
2014-07-28,5210.0
2014-07-29,5285.0
2014-07-30,5360.0
2014-07-31,5385.0
2014-08-01,5370.0
2014-08-04,5375.0
2014-08-05,5325.0
2014-08-06,5325.0
2014-08-07,5280.0
2014-08-08,5210.0
2014-08-11,5235.0
2014-08-12,5205.0
2014-08-13,5255.0
2014-08-14,5240.0
2014-08-18,5215.0
2014-08-19,5250.0
2014-08-20,5285.0
2014-08-21,5230.0
2014-08-22,5245.0
2014-08-25,5255.0
2014-08-26,5265.0
2014-08-27,5285.0
2014-08-28,5275.0
