Date,KBSTAR 국고채3년
2014-01-13,107200.0
2014-01-14,107135.0
2014-01-15,107155.0
2014-01-16,107240.0
2014-01-17,107250.0
2014-01-20,107240.0
2014-01-21,107250.0
2014-01-22,107220.0
2014-01-23,107305.0
2014-01-24,107425.0
2014-01-27,107395.0
2014-01-28,107420.0
2014-01-29,107405.0
2014-02-03,107460.0
2014-02-04,107540.0
2014-02-05,107560.0
2014-02-06,107545.0
2014-02-07,107625.0
2014-02-10,107625.0
2014-02-11,107660.0
2014-02-12,107640.0
2014-02-13,107730.0
2014-02-14,107730.0
2014-02-17,107720.0
2014-02-18,107695.0
2014-02-19,107725.0
2014-02-20,107710.0
2014-02-21,107715.0
2014-02-24,107715.0
2014-02-25,107785.0
2014-02-26,107785.0
2014-02-27,107860.0
2014-02-28,107880.0
2014-03-03,107765.0
2014-03-04,107700.0
2014-03-05,107735.0
2014-03-06,107255.0
2014-03-07,107245.0
2014-03-10,107285.0
2014-03-11,107345.0
2014-03-12,107380.0
2014-03-13,107415.0
2014-03-14,107550.0
2014-03-17,107535.0
2014-03-18,107510.0
2014-03-19,107525.0
2014-03-20,107490.0
2014-03-21,107415.0
2014-03-24,107445.0
2014-03-25,107465.0
2014-03-26,107445.0
2014-03-27,107525.0
2014-03-28,107550.0
2014-03-31,107550.0
2014-04-01,107535.0
2014-04-02,107520.0
2014-04-03,107530.0
2014-04-04,107540.0
2014-04-07,107630.0
2014-04-08,107600.0
2014-04-09,107660.0
2014-04-10,107690.0
2014-04-11,107690.0
2014-04-14,107675.0
2014-04-15,107670.0
2014-04-16,107670.0
2014-04-17,107695.0
2014-04-18,107700.0
2014-04-21,107690.0
2014-04-22,107705.0
2014-04-23,107710.0
2014-04-24,107740.0
2014-04-25,107750.0
2014-04-28,107750.0
2014-04-29,107830.0
2014-04-30,107865.0
2014-05-02,107905.0
2014-05-07,107955.0
2014-05-08,107985.0
2014-05-09,108025.0
2014-05-12,108025.0
2014-05-13,108030.0
2014-05-14,108040.0
2014-05-15,108175.0
2014-05-16,108115.0
2014-05-19,108145.0
2014-05-20,108145.0
2014-05-21,108180.0
2014-05-22,108160.0
2014-05-23,108150.0
2014-05-26,108220.0
2014-05-27,108250.0
2014-05-28,108295.0
2014-05-29,108365.0
2014-05-30,108360.0
2014-06-02,108370.0
2014-06-03,108350.0
2014-06-05,107375.0
2014-06-09,107400.0
2014-06-10,107470.0
2014-06-11,107470.0
2014-06-12,107590.0
2014-06-13,107710.0
2014-06-16,107760.0
2014-06-17,107755.0
2014-06-18,107755.0
2014-06-19,107880.0
2014-06-20,107970.0
2014-06-23,107945.0
2014-06-24,107950.0
2014-06-25,107940.0
2014-06-26,107930.0
2014-06-27,107970.0
2014-06-30,108050.0
2014-07-01,108125.0
2014-07-02,108290.0
2014-07-03,108290.0
2014-07-04,108315.0
2014-07-07,108315.0
2014-07-08,108210.0
2014-07-09,108265.0
2014-07-10,108455.0
2014-07-11,108430.0
2014-07-14,108440.0
2014-07-15,108480.0
2014-07-16,108465.0
2014-07-17,108715.0
2014-07-18,108745.0
2014-07-21,108705.0
2014-07-22,108720.0
2014-07-23,108845.0
2014-07-24,108755.0
2014-07-25,108795.0
2014-07-28,108800.0
2014-07-29,108745.0
2014-07-30,108765.0
2014-07-31,108775.0
2014-08-01,108715.0
2014-08-04,108695.0
2014-08-05,108770.0
2014-08-06,108765.0
2014-08-07,108820.0
2014-08-08,108920.0
2014-08-11,108895.0
2014-08-12,108875.0
2014-08-13,108940.0
2014-08-14,108885.0
2014-08-18,108870.0
2014-08-19,108775.0
2014-08-20,108790.0
2014-08-21,108815.0
2014-08-22,108800.0
2014-08-25,108815.0
2014-08-26,108930.0
2014-08-27,109000.0
2014-08-28,109025.0
2014-08-29,109050.0
2014-09-01,109060.0
2014-09-02,109070.0
2014-09-03,109030.0
2014-09-04,108465.0
2014-09-05,108605.0
2014-09-11,108680.0
2014-09-12,108885.0
2014-09-15,108910.0
2014-09-16,109045.0
2014-09-17,109015.0
2014-09-18,109050.0
2014-09-19,109085.0
2014-09-22,109155.0
2014-09-23,109185.0
2014-09-24,109235.0
2014-09-25,109280.0
2014-09-26,109335.0
2014-09-29,109350.0
2014-09-30,109410.0
2014-10-01,109665.0
2014-10-02,109685.0
2014-10-06,109650.0
2014-10-07,109650.0
2014-10-08,109585.0
2014-10-10,109685.0
2014-10-13,109660.0
2014-10-14,109645.0
2014-10-15,109690.0
2014-10-16,109680.0
2014-10-17,109790.0
2014-10-20,109755.0
2014-10-21,109810.0
2014-10-22,109840.0
2014-10-23,109920.0
2014-10-24,109990.0
2014-10-27,109965.0
2014-10-28,109965.0
2014-10-29,110000.0
2014-10-30,110075.0
2014-10-31,110270.0
2014-11-03,110265.0
2014-11-04,110345.0
2014-11-05,110385.0
2014-11-06,110410.0
2014-11-07,110405.0
2014-11-10,110285.0
2014-11-11,110185.0
2014-11-12,110015.0
2014-11-13,109950.0
2014-11-14,110065.0
2014-11-17,110125.0
2014-11-18,110180.0
2014-11-19,110215.0
2014-11-20,110300.0
2014-11-21,110325.0
2014-11-24,110395.0
2014-11-25,110495.0
2014-11-26,110535.0
2014-11-27,110530.0
2014-11-28,110600.0
2014-12-01,110600.0
2014-12-02,110610.0
2014-12-03,110415.0
2014-12-04,110265.0
2014-12-05,110310.0
2014-12-08,109245.0
2014-12-09,109300.0
2014-12-10,109320.0
2014-12-11,109440.0
2014-12-12,109550.0
2014-12-15,109540.0
2014-12-16,109540.0
2014-12-17,109440.0
2014-12-18,109415.0
2014-12-19,109405.0
2014-12-22,109495.0
2014-12-23,109465.0
2014-12-24,109540.0
2014-12-26,109570.0
2014-12-29,109590.0
2014-12-30,109730.0
2015-01-02,109770.0
2015-01-05,109720.0
2015-01-06,109850.0
2015-01-07,109935.0
2015-01-08,109930.0
2015-01-09,109990.0
2015-01-12,110145.0
2015-01-13,110150.0
2015-01-14,110300.0
2015-01-15,110155.0
2015-01-16,110370.0
2015-01-19,110230.0
2015-01-20,110235.0
2015-01-21,110185.0
2015-01-22,110150.0
2015-01-23,110260.0
2015-01-26,110355.0
2015-01-27,110290.0
2015-01-28,110360.0
2015-01-29,110365.0
2015-01-30,110455.0
2015-02-02,110420.0
2015-02-03,110615.0
2015-02-04,110480.0
2015-02-05,110585.0
2015-02-06,110550.0
2015-02-09,110520.0
2015-02-10,110310.0
2015-02-11,110325.0
2015-02-12,110300.0
2015-02-13,110270.0
2015-02-16,110215.0
2015-02-17,110320.0
2015-02-23,110335.0
2015-02-24,110340.0
2015-02-25,110390.0
2015-02-26,110405.0
2015-02-27,110490.0
2015-03-02,110590.0
2015-03-03,110570.0
2015-03-04,110580.0
2015-03-05,110665.0
2015-03-06,110345.0
2015-03-09,110320.0
2015-03-10,110340.0
2015-03-11,110450.0
2015-03-12,110520.0
2015-03-13,110545.0
2015-03-16,110580.0
2015-03-17,110575.0
2015-03-18,110595.0
2015-03-19,110675.0
2015-03-20,110855.0
2015-03-23,110875.0
2015-03-24,110860.0
2015-03-25,110930.0
2015-03-26,110955.0
2015-03-27,110980.0
2015-03-30,110975.0
2015-03-31,111125.0
2015-04-01,111140.0
2015-04-02,111135.0
2015-04-03,111140.0
2015-04-06,111200.0
2015-04-07,111145.0
2015-04-08,111160.0
2015-04-09,111260.0
2015-04-10,111295.0
2015-04-13,111205.0
2015-04-14,111145.0
2015-04-15,111210.0
2015-04-16,111215.0
2015-04-17,111320.0
2015-04-20,111335.0
2015-04-21,111280.0
2015-04-22,111280.0
2015-04-23,111185.0
2015-04-24,111085.0
2015-04-27,111060.0
2015-04-28,110875.0
2015-04-29,110790.0
2015-04-30,110820.0
2015-05-04,110700.0
2015-05-06,110500.0
2015-05-07,110450.0
2015-05-08,110545.0
2015-05-11,110840.0
2015-05-12,110570.0
2015-05-13,110655.0
2015-05-14,110750.0
2015-05-15,110650.0
2015-05-18,110735.0
2015-05-19,110655.0
2015-05-20,110745.0
2015-05-21,110710.0
2015-05-22,110800.0
2015-05-26,110885.0
2015-05-27,111005.0
2015-05-28,111005.0
2015-05-29,111250.0
2015-06-01,111270.0
2015-06-02,111415.0
2015-06-03,111215.0
2015-06-04,111120.0
2015-06-05,111240.0
2015-06-08,110455.0
2015-06-09,110495.0
2015-06-10,110510.0
2015-06-11,110495.0
2015-06-12,110460.0
2015-06-15,110460.0
2015-06-16,110420.0
2015-06-17,110380.0
2015-06-18,110400.0
2015-06-19,110505.0
2015-06-22,110415.0
2015-06-23,110415.0
2015-06-24,110355.0
2015-06-25,110430.0
2015-06-26,110375.0
2015-06-29,110455.0
2015-06-30,110450.0
2015-07-01,110440.0
2015-07-02,110355.0
2015-07-03,110360.0
2015-07-06,110445.0
2015-07-07,110450.0
2015-07-08,110500.0
2015-07-09,110530.0
2015-07-10,110400.0
2015-07-13,110465.0
2015-07-14,110490.0
2015-07-15,110460.0
2015-07-16,110565.0
2015-07-17,110530.0
2015-07-20,110630.0
2015-07-21,110685.0
2015-07-22,110680.0
2015-07-23,110880.0
2015-07-24,110925.0
2015-07-27,110945.0
2015-07-28,110865.0
2015-07-29,110865.0
2015-07-30,110865.0
2015-07-31,110760.0
2015-08-03,110795.0
2015-08-04,110745.0
2015-08-05,110685.0
2015-08-06,110755.0
2015-08-07,110740.0
2015-08-10,110840.0
2015-08-11,110895.0
2015-08-12,111060.0
2015-08-13,111005.0
2015-08-17,111025.0
2015-08-18,111085.0
2015-08-19,111080.0
2015-08-20,111075.0
2015-08-21,111165.0
2015-08-24,111165.0
2015-08-25,111185.0
2015-08-26,111175.0
2015-08-27,111140.0
2015-08-28,111145.0
2015-08-31,111090.0
2015-09-01,111100.0
2015-09-02,111220.0
2015-09-03,111270.0
2015-09-04,111375.0
2015-09-07,111395.0
2015-09-08,110990.0
2015-09-09,110980.0
2015-09-10,111075.0
2015-09-11,111070.0
2015-09-14,111050.0
2015-09-15,111075.0
2015-09-16,111020.0
2015-09-17,111045.0
2015-09-18,111195.0
2015-09-21,111305.0
2015-09-22,111265.0
2015-09-23,111295.0
2015-09-24,111300.0
2015-09-25,111300.0
2015-09-30,111480.0
2015-10-01,111450.0
2015-10-02,111435.0
2015-10-05,111520.0
2015-10-06,111500.0
2015-10-07,111420.0
2015-10-08,111395.0
2015-10-12,111335.0
2015-10-13,111320.0
2015-10-14,111320.0
2015-10-15,111400.0
2015-10-16,111435.0
2015-10-19,111420.0
2015-10-20,111380.0
2015-10-21,111335.0
2015-10-22,111335.0
2015-10-23,111355.0
2015-10-26,111385.0
2015-10-27,111420.0
2015-10-28,111540.0
2015-10-29,111455.0
2015-10-30,111390.0
2015-11-02,111385.0
2015-11-03,111340.0
2015-11-04,111290.0
2015-11-05,111315.0
2015-11-06,111190.0
2015-11-09,110965.0
2015-11-10,110965.0
2015-11-11,110885.0
2015-11-12,110930.0
2015-11-13,110970.0
2015-11-16,111095.0
2015-11-17,111075.0
2015-11-18,111085.0
2015-11-19,111135.0
2015-11-20,111110.0
2015-11-23,111100.0
