Date,KBSTAR 수출주
2014-01-13,9600.0
2014-01-14,9535.0
2014-01-15,9635.0
2014-01-16,9670.0
2014-01-17,9610.0
2014-01-20,9635.0
2014-01-21,9710.0
2014-01-22,9750.0
2014-01-23,9625.0
2014-01-24,9605.0
2014-01-27,9465.0
2014-01-28,9465.0
2014-01-29,9570.0
2014-02-03,9410.0
2014-02-04,9275.0
2014-02-05,9300.0
2014-02-06,9360.0
2014-02-07,9425.0
2014-02-10,9495.0
2014-02-11,9495.0
2014-02-12,9550.0
2014-02-13,9495.0
2014-02-14,9585.0
2014-02-17,9575.0
2014-02-18,9565.0
2014-02-19,9575.0
2014-02-20,9525.0
2014-02-21,9575.0
2014-02-24,9490.0
2014-02-25,9555.0
2014-02-26,9560.0
2014-02-27,9545.0
2014-02-28,9495.0
2014-03-03,9425.0
2014-03-04,9370.0
2014-03-05,9445.0
2014-03-06,9485.0
2014-03-07,9505.0
2014-03-10,9405.0
2014-03-11,9385.0
2014-03-12,9210.0
2014-03-13,9255.0
2014-03-14,9190.0
2014-03-17,9270.0
2014-03-18,9290.0
2014-03-19,9275.0
2014-03-20,9170.0
2014-03-21,9230.0
2014-03-24,9320.0
2014-03-25,9395.0
2014-03-26,9430.0
2014-03-27,9415.0
2014-03-28,9440.0
2014-03-31,9590.0
2014-04-01,9570.0
2014-04-02,9525.0
2014-04-03,9455.0
2014-04-04,9545.0
2014-04-07,9545.0
2014-04-08,9560.0
2014-04-09,9615.0
2014-04-10,9615.0
2014-04-11,9575.0
2014-04-14,9570.0
2014-04-15,9505.0
2014-04-16,9535.0
2014-04-17,9560.0
2014-04-18,9625.0
2014-04-21,9565.0
2014-04-22,9570.0
2014-04-23,9515.0
2014-04-24,9455.0
2014-04-25,9360.0
2014-04-28,9420.0
2014-04-29,9360.0
2014-04-30,9330.0
2014-05-02,9215.0
2014-05-07,9095.0
2014-05-08,9105.0
2014-05-09,9125.0
2014-05-12,9055.0
2014-05-13,9245.0
2014-05-14,9290.0
2014-05-15,9335.0
2014-05-16,9270.0
2014-05-19,9250.0
2014-05-20,9190.0
2014-05-21,9250.0
2014-05-22,9355.0
2014-05-23,9325.0
2014-05-26,9335.0
2014-05-27,9320.0
2014-05-28,9360.0
2014-05-29,9295.0
2014-05-30,9290.0
2014-06-02,9245.0
2014-06-03,9235.0
2014-06-05,9200.0
2014-06-09,9275.0
2014-06-10,9380.0
2014-06-11,9390.0
2014-06-12,9360.0
2014-06-13,9350.0
2014-06-16,9345.0
2014-06-17,9405.0
2014-06-18,9375.0
2014-06-19,9460.0
2014-06-20,9345.0
2014-06-23,9370.0
2014-06-24,9435.0
2014-06-25,9395.0
2014-06-26,9420.0
2014-06-27,9445.0
2014-06-30,9565.0
2014-07-01,9475.0
2014-07-02,9545.0
2014-07-03,9565.0
2014-07-04,9545.0
2014-07-07,9475.0
2014-07-08,9465.0
2014-07-09,9405.0
2014-07-10,9380.0
2014-07-11,9315.0
2014-07-14,9360.0
2014-07-15,9430.0
2014-07-16,9450.0
2014-07-17,9500.0
2014-07-18,9490.0
2014-07-21,9440.0
2014-07-22,9515.0
2014-07-23,9540.0
2014-07-24,9570.0
2014-07-25,9575.0
2014-07-28,9565.0
2014-07-29,9615.0
2014-07-30,9560.0
2014-07-31,9620.0
2014-08-01,9630.0
2014-08-04,9635.0
2014-08-05,9490.0
2014-08-06,9390.0
2014-08-07,9405.0
2014-08-08,9325.0
2014-08-11,9370.0
2014-08-12,9350.0
2014-08-13,9410.0
2014-08-14,9390.0
2014-08-18,9325.0
2014-08-19,9395.0
2014-08-20,9350.0
2014-08-21,9225.0
2014-08-22,9260.0
2014-08-25,9220.0
2014-08-26,9305.0
