Date,KBSTAR 주식혼합
2014-01-13,29325.0
2014-01-14,29425.0
2014-01-15,29390.0
2014-01-16,29350.0
2014-01-17,29310.0
2014-01-20,29310.0
2014-01-21,29435.0
2014-01-22,29435.0
2014-01-23,29330.0
2014-01-24,29195.0
2014-01-27,28795.0
2014-01-28,29015.0
2014-01-29,29220.0
2014-02-03,28985.0
2014-02-04,28610.0
2014-02-05,28670.0
2014-02-06,28835.0
2014-02-07,28925.0
2014-02-10,28995.0
2014-02-11,29175.0
2014-02-12,29175.0
2014-02-13,29055.0
2014-02-14,29180.0
2014-02-17,29225.0
2014-02-18,29245.0
2014-02-19,29180.0
2014-02-20,29130.0
2014-02-21,29345.0
2014-02-24,29345.0
2014-02-25,29410.0
2014-02-26,29610.0
2014-02-27,29610.0
2014-02-28,29610.0
2014-03-03,29420.0
2014-03-04,29355.0
2014-03-05,29530.0
2014-03-06,29530.0
2014-03-07,29530.0
2014-03-10,29330.0
2014-03-11,29350.0
2014-03-12,29045.0
2014-03-13,29210.0
2014-03-14,28900.0
2014-03-17,28940.0
2014-03-18,29025.0
2014-03-19,29185.0
2014-03-20,28940.0
2014-03-21,28980.0
2014-03-24,29125.0
2014-03-25,29105.0
2014-03-26,29400.0
2014-03-27,29535.0
2014-03-28,29550.0
2014-03-31,29680.0
2014-04-01,29680.0
2014-04-02,29680.0
2014-04-03,29680.0
2014-04-04,29680.0
2014-04-07,29680.0
2014-04-08,29735.0
2014-04-09,29760.0
2014-04-10,29860.0
2014-04-11,29805.0
2014-04-14,29805.0
2014-04-15,29795.0
2014-04-16,29795.0
2014-04-17,29760.0
2014-04-18,29805.0
2014-04-21,29805.0
2014-04-22,29805.0
2014-04-23,29810.0
2014-04-24,29810.0
2014-04-25,29615.0
2014-04-28,29615.0
2014-04-29,29460.0
2014-04-30,29410.0
2014-05-02,29410.0
2014-05-07,29365.0
2014-05-08,29320.0
2014-05-09,29320.0
2014-05-12,29385.0
2014-05-13,29450.0
2014-05-14,29875.0
2014-05-15,29935.0
2014-05-16,29935.0
2014-05-19,29985.0
2014-05-20,29985.0
2014-05-21,29985.0
2014-05-22,30070.0
2014-05-23,29990.0
2014-05-26,29990.0
2014-05-27,29920.0
2014-05-28,29955.0
2014-05-29,29960.0
2014-05-30,29965.0
2014-06-02,29965.0
2014-06-03,29990.0
2014-06-05,29650.0
2014-06-09,29650.0
2014-06-10,29745.0
2014-06-11,29745.0
2014-06-12,29745.0
2014-06-13,29580.0
2014-06-16,29580.0
2014-06-17,29620.0
2014-06-18,29570.0
2014-06-19,29570.0
2014-06-20,29345.0
2014-06-23,29385.0
2014-06-24,29625.0
2014-06-25,29565.0
2014-06-26,29570.0
2014-06-27,29570.0
2014-06-30,29720.0
2014-07-01,29665.0
2014-07-02,29760.0
2014-07-03,29760.0
2014-07-04,29760.0
2014-07-07,29685.0
2014-07-08,29685.0
2014-07-09,29635.0
2014-07-10,29635.0
2014-07-11,29470.0
2014-07-14,29475.0
2014-07-15,29705.0
2014-07-16,29725.0
2014-07-17,29840.0
2014-07-18,29840.0
2014-07-21,29840.0
2014-07-22,29880.0
2014-07-23,29890.0
2014-07-24,29910.0
2014-07-25,29970.0
2014-07-28,30145.0
2014-07-29,30300.0
2014-07-30,30515.0
2014-07-31,30540.0
2014-08-01,30435.0
2014-08-04,30515.0
2014-08-05,30340.0
2014-08-06,30280.0
2014-08-07,30145.0
2014-08-08,29950.0
2014-08-11,30050.0
2014-08-12,30050.0
2014-08-13,30145.0
2014-08-14,30145.0
2014-08-18,30155.0
2014-08-19,30225.0
2014-08-20,30180.0
2014-08-21,29900.0
2014-08-22,29995.0
2014-08-25,30095.0
2014-08-26,30150.0
