Date,KBSTAR 중국본토대형주CSI100
2014-01-13,7855.0
2014-01-14,7925.0
2014-01-15,7895.0
2014-01-16,7985.0
2014-01-17,7820.0
2014-01-20,7770.0
2014-01-21,7870.0
2014-01-22,8015.0
2014-01-23,8070.0
2014-01-24,8170.0
2014-01-27,8065.0
2014-01-28,8060.0
2014-01-29,8100.0
2014-02-03,8030.0
2014-02-04,8005.0
2014-02-05,7965.0
2014-02-06,7965.0
2014-02-07,7955.0
2014-02-10,8085.0
2014-02-11,8230.0
2014-02-12,8105.0
2014-02-13,8125.0
2014-02-14,8105.0
2014-02-17,8120.0
2014-02-18,8120.0
2014-02-19,8140.0
2014-02-20,8175.0
2014-02-21,8105.0
2014-02-24,7875.0
2014-02-25,7885.0
2014-02-26,7550.0
2014-02-27,7600.0
2014-02-28,7680.0
2014-03-03,7680.0
2014-03-04,7675.0
2014-03-05,7650.0
2014-03-06,7590.0
2014-03-07,7670.0
2014-03-10,7505.0
2014-03-11,7430.0
2014-03-12,7450.0
2014-03-13,7560.0
2014-03-14,7495.0
2014-03-17,7525.0
2014-03-18,7495.0
2014-03-19,7305.0
2014-03-20,7385.0
2014-03-21,7520.0
2014-03-24,7580.0
2014-03-25,7630.0
2014-03-26,7620.0
2014-03-27,7630.0
2014-03-28,7600.0
2014-03-31,7600.0
2014-04-01,7550.0
2014-04-02,7600.0
2014-04-03,7570.0
2014-04-04,7490.0
2014-04-07,7570.0
2014-04-08,7740.0
2014-04-09,7700.0
2014-04-10,7760.0
2014-04-11,7770.0
2014-04-14,7685.0
2014-04-15,7610.0
2014-04-16,7635.0
2014-04-17,7525.0
2014-04-18,7550.0
2014-04-21,7510.0
2014-04-22,7390.0
2014-04-23,7410.0
2014-04-24,7450.0
2014-04-25,7385.0
2014-04-28,7230.0
2014-04-29,7250.0
2014-04-30,7390.0
2014-05-02,7285.0
2014-05-07,7215.0
2014-05-08,7230.0
2014-05-09,7270.0
2014-05-12,7365.0
2014-05-13,7335.0
2014-05-14,7355.0
2014-05-15,7275.0
2014-05-16,7225.0
2014-05-19,7115.0
2014-05-20,7115.0
2014-05-21,7190.0
2014-05-22,7215.0
2014-05-23,7210.0
2014-05-26,7230.0
2014-05-27,7250.0
2014-05-28,7240.0
2014-05-29,7250.0
2014-05-30,7345.0
2014-06-02,7250.0
2014-06-03,7260.0
2014-06-05,7230.0
2014-06-09,7165.0
2014-06-10,7270.0
2014-06-11,7265.0
2014-06-12,7260.0
2014-06-13,7370.0
2014-06-16,7370.0
2014-06-17,7325.0
2014-06-18,7340.0
2014-06-19,7250.0
2014-06-20,7220.0
2014-06-23,7135.0
2014-06-24,7215.0
2014-06-25,7230.0
2014-06-26,7250.0
2014-06-27,7260.0
2014-06-30,7340.0
2014-07-01,7245.0
2014-07-02,7215.0
2014-07-03,7275.0
2014-07-04,7290.0
2014-07-07,7300.0
2014-07-08,7330.0
2014-07-09,7320.0
2014-07-10,7205.0
2014-07-11,7210.0
2014-07-14,7280.0
2014-07-15,7410.0
2014-07-16,7480.0
2014-07-17,7460.0
2014-07-18,7465.0
2014-07-21,7485.0
2014-07-22,7540.0
2014-07-23,7600.0
2014-07-24,7750.0
2014-07-25,7820.0
2014-07-28,8090.0
2014-07-29,8160.0
2014-07-30,8130.0
2014-07-31,8230.0
2014-08-01,8325.0
2014-08-04,8340.0
2014-08-05,8285.0
2014-08-06,8280.0
2014-08-07,8270.0
2014-08-08,8235.0
2014-08-11,8300.0
2014-08-12,8235.0
2014-08-13,8205.0
2014-08-14,8130.0
2014-08-18,8185.0
2014-08-19,8120.0
2014-08-20,8175.0
2014-08-21,8065.0
2014-08-22,8050.0
2014-08-25,8045.0
2014-08-26,7980.0
2014-08-27,7940.0
2014-08-28,7910.0
2014-08-29,8000.0
2014-09-01,8015.0
2014-09-02,8100.0
2014-09-03,8225.0
2014-09-04,8255.0
2014-09-05,8290.0
2014-09-11,8400.0
2014-09-12,8420.0
2014-09-15,8410.0
2014-09-16,8410.0
2014-09-17,8280.0
2014-09-18,8360.0
2014-09-19,8460.0
2014-09-22,8295.0
2014-09-23,8310.0
2014-09-24,8500.0
2014-09-25,8540.0
2014-09-26,8505.0
2014-09-29,8530.0
2014-09-30,8655.0
2014-10-01,8650.0
2014-10-02,8650.0
2014-10-06,8665.0
2014-10-07,8660.0
2014-10-08,8695.0
2014-10-10,8780.0
2014-10-13,8700.0
2014-10-14,8640.0
2014-10-15,8700.0
2014-10-16,8700.0
2014-10-17,8650.0
2014-10-20,8710.0
2014-10-21,8560.0
2014-10-22,8555.0
2014-10-23,8430.0
2014-10-24,8480.0
2014-10-27,8320.0
2014-10-28,8385.0
2014-10-29,8490.0
2014-10-30,8680.0
2014-10-31,9000.0
2014-11-03,9025.0
2014-11-04,9030.0
2014-11-05,9050.0
2014-11-06,9050.0
2014-11-07,9185.0
2014-11-10,9235.0
2014-11-11,9400.0
2014-11-12,9450.0
2014-11-13,9510.0
2014-11-14,9495.0
2014-11-17,9485.0
2014-11-18,9345.0
2014-11-19,9360.0
2014-11-20,9490.0
2014-11-21,9480.0
2014-11-24,9825.0
2014-11-25,9820.0
2014-11-26,9950.0
2014-11-27,10060.0
2014-11-28,10400.0
2014-12-01,10645.0
2014-12-02,10890.0
2014-12-03,11235.0
2014-12-04,11610.0
2014-12-05,12235.0
2014-12-08,12500.0
2014-12-09,12605.0
2014-12-10,11895.0
2014-12-11,11995.0
2014-12-12,11930.0
2014-12-15,11770.0
2014-12-16,11980.0
2014-12-17,12505.0
2014-12-18,12800.0
2014-12-19,12875.0
2014-12-22,13120.0
2014-12-23,13070.0
2014-12-24,12290.0
2014-12-26,12830.0
2014-12-29,13490.0
2014-12-30,13500.0
2015-01-02,13930.0
2015-01-05,14300.0
2015-01-06,14175.0
2015-01-07,14115.0
2015-01-08,13850.0
2015-01-09,14150.0
2015-01-12,13350.0
2015-01-13,13450.0
2015-01-14,13420.0
2015-01-15,13580.0
2015-01-16,13880.0
2015-01-19,12730.0
2015-01-20,12715.0
2015-01-21,13250.0
2015-01-22,13275.0
2015-01-23,13490.0
2015-01-26,13370.0
2015-01-27,13255.0
2015-01-28,13255.0
2015-01-29,13025.0
2015-01-30,13075.0
2015-02-02,12750.0
2015-02-03,12660.0
2015-02-04,12700.0
2015-02-05,12845.0
2015-02-06,12430.0
2015-02-09,12620.0
2015-02-10,12610.0
2015-02-11,12900.0
2015-02-12,13045.0
2015-02-13,13070.0
2015-02-16,13030.0
2015-02-17,13000.0
2015-02-23,13215.0
2015-02-24,13230.0
2015-02-25,13015.0
2015-02-26,13100.0
2015-02-27,13300.0
2015-03-02,13185.0
2015-03-03,12950.0
2015-03-04,12755.0
2015-03-05,12600.0
2015-03-06,12750.0
2015-03-09,12845.0
2015-03-10,13140.0
2015-03-11,13100.0
2015-03-12,13525.0
2015-03-13,13640.0
2015-03-16,13925.0
2015-03-17,14090.0
2015-03-18,14345.0
2015-03-19,14440.0
2015-03-20,14845.0
2015-03-23,14760.0
2015-03-24,14505.0
2015-03-25,14330.0
2015-03-26,14575.0
2015-03-27,14630.0
2015-03-30,15040.0
2015-03-31,15360.0
2015-04-01,15145.0
2015-04-02,14875.0
2015-04-03,15060.0
2015-04-06,15015.0
2015-04-07,15320.0
2015-04-08,15635.0
2015-04-09,15540.0
2015-04-10,15660.0
2015-04-13,16135.0
2015-04-14,16215.0
2015-04-15,16450.0
2015-04-16,16620.0
2015-04-17,16960.0
2015-04-20,16835.0
2015-04-21,16860.0
2015-04-22,17170.0
2015-04-23,17535.0
2015-04-24,16970.0
2015-04-27,17330.0
2015-04-28,17475.0
2015-04-29,17390.0
2015-04-30,17420.0
2015-05-04,17405.0
2015-05-06,16970.0
2015-05-07,16665.0
2015-05-08,16450.0
2015-05-11,16980.0
2015-05-12,17250.0
2015-05-13,17200.0
2015-05-14,16995.0
2015-05-15,16610.0
2015-05-18,16325.0
