Date,KBSTAR 중기우량회사채
2014-01-13,101600.0
2014-01-14,101600.0
2014-01-15,101660.0
2014-01-16,101670.0
2014-01-17,101750.0
2014-01-20,101720.0
2014-01-21,101785.0
2014-01-22,101780.0
2014-01-23,101785.0
2014-01-24,101875.0
2014-01-27,101900.0
2014-01-28,101965.0
2014-01-29,101965.0
2014-02-03,101985.0
2014-02-04,102000.0
2014-02-05,102035.0
2014-02-06,102100.0
2014-02-07,102135.0
2014-02-10,102075.0
2014-02-11,102125.0
2014-02-12,102150.0
2014-02-13,102150.0
2014-02-14,102200.0
2014-02-17,102170.0
2014-02-18,102205.0
2014-02-19,102235.0
2014-02-20,102270.0
2014-02-21,102180.0
2014-02-24,102200.0
2014-02-25,102275.0
2014-02-26,102325.0
2014-02-27,102360.0
2014-02-28,102380.0
2014-03-03,102320.0
2014-03-04,102230.0
2014-03-05,102230.0
2014-03-06,102295.0
2014-03-07,102295.0
2014-03-10,102320.0
2014-03-11,102385.0
2014-03-12,102375.0
2014-03-13,102435.0
2014-03-14,102540.0
2014-03-17,102550.0
2014-03-18,102550.0
2014-03-19,102550.0
2014-03-20,102510.0
2014-03-21,102510.0
2014-03-24,102510.0
2014-03-25,102520.0
2014-03-26,102510.0
2014-03-27,102590.0
2014-03-28,102600.0
2014-03-31,102675.0
2014-04-01,102665.0
2014-04-02,102590.0
2014-04-03,102660.0
2014-04-04,102660.0
2014-04-07,102690.0
2014-04-08,102725.0
2014-04-09,102750.0
2014-04-10,102765.0
2014-04-11,102825.0
2014-04-14,102790.0
2014-04-15,102795.0
2014-04-16,102795.0
2014-04-17,102830.0
2014-04-18,102805.0
2014-04-21,102805.0
2014-04-22,102840.0
2014-04-23,102805.0
2014-04-24,102830.0
2014-04-25,102880.0
2014-04-28,102865.0
2014-04-29,102900.0
2014-04-30,102855.0
2014-05-02,103055.0
2014-05-07,103060.0
2014-05-08,103100.0
2014-05-09,103100.0
2014-05-12,103150.0
2014-05-13,103110.0
2014-05-14,103125.0
2014-05-15,103210.0
2014-05-16,103220.0
2014-05-19,103255.0
2014-05-20,103255.0
2014-05-21,103290.0
2014-05-22,103290.0
2014-05-23,103340.0
2014-05-26,103370.0
2014-05-27,103400.0
2014-05-28,103360.0
2014-05-29,103425.0
2014-05-30,103490.0
2014-06-02,103470.0
2014-06-03,103500.0
2014-06-05,101725.0
2014-06-09,101750.0
2014-06-10,101795.0
2014-06-11,101830.0
2014-06-12,101850.0
2014-06-13,101980.0
2014-06-16,102000.0
2014-06-17,102010.0
2014-06-18,102030.0
2014-06-19,102165.0
2014-06-20,102160.0
2014-06-23,102215.0
2014-06-24,102180.0
2014-06-25,102185.0
2014-06-26,102185.0
2014-06-27,102240.0
2014-06-30,102275.0
2014-07-01,102240.0
2014-07-02,102475.0
2014-07-03,102465.0
2014-07-04,102435.0
2014-07-07,102430.0
2014-07-08,102430.0
2014-07-09,102410.0
2014-07-10,102485.0
2014-07-11,102505.0
2014-07-14,102485.0
2014-07-15,102535.0
2014-07-16,102525.0
2014-07-17,102785.0
2014-07-18,102730.0
2014-07-21,102735.0
2014-07-22,102820.0
2014-07-23,102880.0
2014-07-24,102895.0
2014-07-25,102855.0
2014-07-28,102900.0
2014-07-29,102825.0
2014-07-30,102880.0
2014-07-31,102910.0
2014-08-01,102850.0
2014-08-04,102905.0
2014-08-05,102855.0
2014-08-06,102905.0
2014-08-07,102890.0
2014-08-08,102975.0
2014-08-11,102990.0
2014-08-12,102945.0
2014-08-13,103080.0
2014-08-14,102995.0
2014-08-18,102925.0
2014-08-19,102875.0
2014-08-20,102915.0
2014-08-21,102900.0
2014-08-22,102900.0
2014-08-25,102995.0
2014-08-26,103060.0
2014-08-27,103075.0
2014-08-28,103170.0
2014-08-29,103210.0
2014-09-01,103200.0
2014-09-02,103155.0
2014-09-03,103120.0
2014-09-04,103175.0
2014-09-05,103275.0
2014-09-11,103300.0
2014-09-12,103495.0
2014-09-15,103560.0
2014-09-16,103655.0
2014-09-17,103670.0
2014-09-18,103720.0
2014-09-19,103635.0
2014-09-22,103610.0
2014-09-23,103610.0
2014-09-24,103640.0
2014-09-25,103705.0
2014-09-26,103610.0
2014-09-29,103660.0
2014-09-30,103780.0
2014-10-01,103935.0
2014-10-02,103940.0
2014-10-06,103875.0
2014-10-07,103925.0
2014-10-08,103865.0
2014-10-10,103975.0
2014-10-13,103970.0
2014-10-14,103965.0
2014-10-15,104060.0
2014-10-16,104115.0
2014-10-17,104020.0
2014-10-20,104070.0
2014-10-21,104080.0
2014-10-22,104125.0
2014-10-23,104195.0
2014-10-24,104185.0
2014-10-27,104185.0
2014-10-28,104200.0
2014-10-29,104200.0
2014-10-30,104250.0
2014-10-31,104480.0
2014-11-03,104450.0
2014-11-04,104570.0
2014-11-05,104510.0
2014-11-06,104585.0
2014-11-07,104565.0
2014-11-10,104550.0
2014-11-11,104410.0
2014-11-12,104320.0
2014-11-13,104355.0
2014-11-14,104320.0
2014-11-17,104330.0
2014-11-18,104380.0
2014-11-19,104425.0
2014-11-20,104500.0
2014-11-21,104420.0
2014-11-24,104505.0
2014-11-25,104540.0
2014-11-26,104570.0
2014-11-27,104595.0
2014-11-28,104650.0
2014-12-01,104635.0
2014-12-02,104605.0
2014-12-03,104535.0
2014-12-04,104280.0
2014-12-05,104390.0
2014-12-08,102755.0
2014-12-09,102775.0
2014-12-10,102980.0
2014-12-11,102935.0
2014-12-12,103000.0
2014-12-15,102970.0
2014-12-16,102960.0
2014-12-17,102885.0
2014-12-18,102930.0
2014-12-19,102830.0
2014-12-22,102965.0
2014-12-23,103010.0
2014-12-24,103000.0
2014-12-26,102975.0
2014-12-29,103030.0
2014-12-30,103170.0
2015-01-02,103145.0
2015-01-05,103140.0
2015-01-06,103215.0
2015-01-07,103330.0
2015-01-08,103310.0
2015-01-09,103400.0
2015-01-12,103455.0
2015-01-13,103430.0
2015-01-14,103540.0
2015-01-15,103575.0
2015-01-16,103660.0
2015-01-19,103550.0
2015-01-20,103570.0
2015-01-21,103545.0
2015-01-22,103520.0
2015-01-23,103620.0
2015-01-26,103680.0
2015-01-27,103620.0
2015-01-28,103700.0
2015-01-29,103690.0
2015-01-30,103785.0
2015-02-02,103730.0
2015-02-03,103880.0
2015-02-04,103840.0
2015-02-05,103880.0
2015-02-06,103850.0
2015-02-09,103765.0
2015-02-10,103670.0
2015-02-11,103650.0
2015-02-12,103640.0
2015-02-13,103655.0
2015-02-16,103690.0
2015-02-17,103720.0
2015-02-23,103715.0
2015-02-24,103775.0
2015-02-25,103840.0
2015-02-26,103865.0
2015-02-27,103915.0
2015-03-02,103985.0
2015-03-03,103925.0
2015-03-04,103980.0
2015-03-05,104075.0
2015-03-06,104175.0
2015-03-09,104085.0
2015-03-10,104140.0
2015-03-11,104220.0
2015-03-12,104295.0
2015-03-13,104355.0
2015-03-16,104340.0
2015-03-17,104385.0
2015-03-18,104380.0
2015-03-19,104520.0
2015-03-20,104605.0
2015-03-23,104620.0
2015-03-24,104625.0
2015-03-25,104595.0
2015-03-26,104655.0
2015-03-27,104710.0
2015-03-30,104655.0
2015-03-31,104860.0
2015-04-01,104855.0
2015-04-02,104840.0
2015-04-03,104795.0
2015-04-06,104850.0
2015-04-07,104965.0
2015-04-08,104870.0
2015-04-09,104880.0
2015-04-10,104970.0
2015-04-13,104915.0
