Date,KBSTAR 채권혼합
2014-01-13,49705.0
2014-01-14,49785.0
2014-01-15,49735.0
2014-01-16,49780.0
2014-01-17,49695.0
2014-01-20,49695.0
2014-01-21,49700.0
2014-01-22,49700.0
2014-01-23,49710.0
2014-01-24,49645.0
2014-01-27,49420.0
2014-01-28,49455.0
2014-01-29,49490.0
2014-02-03,49450.0
2014-02-04,49260.0
2014-02-05,49260.0
2014-02-06,49370.0
2014-02-07,49505.0
2014-02-10,49570.0
2014-02-11,49650.0
2014-02-12,49665.0
2014-02-13,49635.0
2014-02-14,49690.0
2014-02-17,49720.0
2014-02-18,49720.0
2014-02-19,49655.0
2014-02-20,49655.0
2014-02-21,49780.0
2014-02-24,49830.0
2014-02-25,49930.0
2014-02-26,50030.0
2014-02-27,50030.0
2014-02-28,50055.0
2014-03-03,49865.0
2014-03-04,49770.0
2014-03-05,49985.0
2014-03-06,50000.0
2014-03-07,49955.0
2014-03-10,49830.0
2014-03-11,49785.0
2014-03-12,49755.0
2014-03-13,49755.0
2014-03-14,49430.0
2014-03-17,49550.0
2014-03-18,49675.0
2014-03-19,49675.0
2014-03-20,49590.0
2014-03-21,49550.0
2014-03-24,49665.0
2014-03-25,49665.0
2014-03-26,49920.0
2014-03-27,49970.0
2014-03-28,49980.0
2014-03-31,50170.0
2014-04-01,50170.0
2014-04-02,50170.0
2014-04-03,50170.0
2014-04-04,50170.0
2014-04-07,50170.0
2014-04-08,50170.0
2014-04-09,50170.0
2014-04-10,50220.0
2014-04-11,50220.0
2014-04-14,50220.0
2014-04-15,50220.0
2014-04-16,50220.0
2014-04-17,50220.0
2014-04-18,50220.0
2014-04-21,50220.0
2014-04-22,50220.0
2014-04-23,50230.0
2014-04-24,50345.0
2014-04-25,50160.0
2014-04-28,50150.0
2014-04-29,50125.0
2014-04-30,50025.0
2014-05-02,49900.0
2014-05-07,49900.0
2014-05-08,49900.0
2014-05-09,49900.0
2014-05-12,50000.0
2014-05-13,50165.0
2014-05-14,50345.0
2014-05-15,50445.0
2014-05-16,50345.0
2014-05-19,50465.0
2014-05-20,50440.0
2014-05-21,50440.0
2014-05-22,50535.0
2014-05-23,50485.0
2014-05-26,50485.0
2014-05-27,50485.0
2014-05-28,50485.0
2014-05-29,50495.0
2014-05-30,50550.0
2014-06-02,50550.0
2014-06-03,50560.0
2014-06-05,50110.0
2014-06-09,50110.0
2014-06-10,50175.0
2014-06-11,50175.0
2014-06-12,50175.0
2014-06-13,50155.0
2014-06-16,50155.0
2014-06-17,50155.0
2014-06-18,50155.0
2014-06-19,50155.0
2014-06-20,50050.0
2014-06-23,50050.0
2014-06-24,50190.0
2014-06-25,50190.0
2014-06-26,50190.0
2014-06-27,50190.0
2014-06-30,50330.0
2014-07-01,50315.0
2014-07-02,50405.0
2014-07-03,50410.0
2014-07-04,50410.0
2014-07-07,50395.0
2014-07-08,50390.0
2014-07-09,50345.0
2014-07-10,50345.0
2014-07-11,50275.0
2014-07-14,50275.0
2014-07-15,50415.0
2014-07-16,50440.0
2014-07-17,50580.0
2014-07-18,50580.0
2014-07-21,50580.0
2014-07-22,50605.0
2014-07-23,50645.0
2014-07-24,50645.0
2014-07-25,50690.0
