Date,KINDEX 200
2014-01-13,25720.0
2014-01-14,25680.0
2014-01-15,25735.0
2014-01-16,25860.0
2014-01-17,25650.0
2014-01-20,25785.0
2014-01-21,25990.0
2014-01-22,25970.0
2014-01-23,25705.0
2014-01-24,25560.0
2014-01-27,25280.0
2014-01-28,25350.0
2014-01-29,25630.0
2014-02-03,25310.0
2014-02-04,24845.0
2014-02-05,24930.0
2014-02-06,25115.0
2014-02-07,25280.0
2014-02-10,25305.0
2014-02-11,25420.0
2014-02-12,25515.0
2014-02-13,25290.0
2014-02-14,25580.0
2014-02-17,25645.0
2014-02-18,25625.0
2014-02-19,25520.0
2014-02-20,25385.0
2014-02-21,25770.0
2014-02-24,25670.0
2014-02-25,25895.0
2014-02-26,26000.0
2014-02-27,26040.0
2014-02-28,26150.0
2014-03-03,25865.0
2014-03-04,25790.0
2014-03-05,26010.0
2014-03-06,26045.0
2014-03-07,25985.0
2014-03-10,25655.0
2014-03-11,25760.0
2014-03-12,25395.0
2014-03-13,25430.0
2014-03-14,25180.0
2014-03-17,25280.0
2014-03-18,25440.0
2014-03-19,25460.0
2014-03-20,25155.0
2014-03-21,25345.0
2014-03-24,25485.0
2014-03-25,25450.0
2014-03-26,25800.0
2014-03-27,25945.0
2014-03-28,25930.0
2014-03-31,26110.0
2014-04-01,26095.0
2014-04-02,26170.0
2014-04-03,26140.0
2014-04-04,26245.0
2014-04-07,26185.0
2014-04-08,26360.0
2014-04-09,26370.0
2014-04-10,26425.0
2014-04-11,26220.0
2014-04-14,26295.0
2014-04-15,26155.0
2014-04-16,26260.0
2014-04-17,26250.0
2014-04-18,26430.0
2014-04-21,26360.0
2014-04-22,26390.0
2014-04-23,26335.0
2014-04-24,26340.0
2014-04-25,25925.0
2014-04-28,25940.0
2014-04-29,25545.0
2014-04-30,25570.0
2014-05-02,25420.0
2014-05-07,25205.0
2014-05-08,25325.0
2014-05-09,25350.0
2014-05-12,25505.0
2014-05-13,25860.0
2014-05-14,26180.0
2014-05-15,26175.0
2014-05-16,26175.0
2014-05-19,26210.0
2014-05-20,26210.0
2014-05-21,26175.0
2014-05-22,26315.0
2014-05-23,26290.0
2014-05-26,26255.0
2014-05-27,25990.0
2014-05-28,26280.0
2014-05-29,26220.0
2014-05-30,26025.0
2014-06-02,26080.0
2014-06-03,26105.0
2014-06-05,25980.0
2014-06-09,25955.0
2014-06-10,26235.0
2014-06-11,26200.0
2014-06-12,26125.0
2014-06-13,25800.0
2014-06-16,25935.0
2014-06-17,26000.0
2014-06-18,25850.0
2014-06-19,25925.0
2014-06-20,25540.0
2014-06-23,25680.0
2014-06-24,25970.0
2014-06-25,25805.0
2014-06-26,25975.0
2014-06-27,25910.0
2014-06-30,25940.0
2014-07-01,25970.0
2014-07-02,26170.0
2014-07-03,26120.0
2014-07-04,26075.0
2014-07-07,25965.0
2014-07-08,25925.0
2014-07-09,25830.0
2014-07-10,25890.0
2014-07-11,25675.0
2014-07-14,25780.0
2014-07-15,26025.0
2014-07-16,26055.0
2014-07-17,26150.0
2014-07-18,26130.0
2014-07-21,26140.0
2014-07-22,26275.0
2014-07-23,26270.0
2014-07-24,26285.0
2014-07-25,26370.0
2014-07-28,26580.0
2014-07-29,26820.0
2014-07-30,27130.0
2014-07-31,27050.0
2014-08-01,26910.0
2014-08-04,26905.0
2014-08-05,26725.0
2014-08-06,26650.0
2014-08-07,26555.0
2014-08-08,26215.0
2014-08-11,26365.0
2014-08-12,26375.0
2014-08-13,26500.0
2014-08-14,26605.0
2014-08-18,26435.0
2014-08-19,26650.0
2014-08-20,26625.0
2014-08-21,26215.0
2014-08-22,26400.0
2014-08-25,26470.0
2014-08-26,26570.0
2014-08-27,26570.0
2014-08-28,26590.0
2014-08-29,26590.0
2014-09-01,26465.0
2014-09-02,26225.0
2014-09-03,26190.0
2014-09-04,26255.0
2014-09-05,26180.0
2014-09-11,26120.0
2014-09-12,26175.0
2014-09-15,26050.0
2014-09-16,26100.0
2014-09-17,26370.0
2014-09-18,26205.0
2014-09-19,26320.0
2014-09-22,26020.0
2014-09-23,25890.0
2014-09-24,25880.0
2014-09-25,25875.0
2014-09-26,25790.0
2014-09-29,25760.0
2014-09-30,25720.0
2014-10-01,25250.0
2014-10-02,25005.0
2014-10-06,24970.0
2014-10-07,24980.0
2014-10-08,24880.0
2014-10-10,24515.0
2014-10-13,24435.0
2014-10-14,24460.0
2014-10-15,24390.0
2014-10-16,24275.0
2014-10-17,24035.0
2014-10-20,24330.0
2014-10-21,24180.0
2014-10-22,24335.0
2014-10-23,24375.0
2014-10-24,24290.0
2014-10-27,24355.0
2014-10-28,24370.0
2014-10-29,24830.0
2014-10-30,24805.0
2014-10-31,25035.0
2014-11-03,24835.0
2014-11-04,24655.0
2014-11-05,24580.0
2014-11-06,24735.0
2014-11-07,24770.0
2014-11-10,25025.0
2014-11-11,24975.0
2014-11-12,25090.0
2014-11-13,25025.0
2014-11-14,24800.0
2014-11-17,24840.0
2014-11-18,25055.0
2014-11-19,25010.0
2014-11-20,24905.0
2014-11-21,24980.0
2014-11-24,25220.0
2014-11-25,25230.0
