Date,KINDEX 단기통안채
2014-01-13,100195.0
2014-01-14,100205.0
2014-01-15,100210.0
2014-01-16,100220.0
2014-01-17,100210.0
2014-01-20,100235.0
2014-01-21,100240.0
2014-01-22,100240.0
2014-01-23,100265.0
2014-01-24,100270.0
2014-01-27,100275.0
2014-01-28,100300.0
2014-01-29,100315.0
2014-02-03,100320.0
2014-02-04,100330.0
2014-02-05,100335.0
2014-02-06,100350.0
2014-02-07,100365.0
2014-02-10,100380.0
2014-02-11,100370.0
2014-02-12,100380.0
2014-02-13,100390.0
2014-02-14,100400.0
2014-02-17,100415.0
2014-02-18,100440.0
2014-02-19,100435.0
2014-02-20,100440.0
2014-02-21,100460.0
2014-02-24,100460.0
2014-02-25,100460.0
2014-02-26,100470.0
2014-02-27,100500.0
2014-02-28,100505.0
2014-03-03,100515.0
2014-03-04,100515.0
2014-03-05,100525.0
2014-03-06,100545.0
2014-03-07,100555.0
2014-03-10,100555.0
2014-03-11,100565.0
2014-03-12,100570.0
2014-03-13,100590.0
2014-03-14,100600.0
2014-03-17,100605.0
2014-03-18,100610.0
2014-03-19,100615.0
2014-03-20,100640.0
2014-03-21,100645.0
2014-03-24,100650.0
2014-03-25,100655.0
2014-03-26,100665.0
2014-03-27,100685.0
2014-03-28,100685.0
2014-03-31,100695.0
2014-04-01,100705.0
2014-04-02,100710.0
2014-04-03,100730.0
2014-04-04,100735.0
2014-04-07,100745.0
2014-04-08,100755.0
2014-04-09,100760.0
2014-04-10,100780.0
2014-04-11,100785.0
2014-04-14,100790.0
2014-04-15,100800.0
2014-04-16,100805.0
2014-04-17,100820.0
2014-04-18,100830.0
2014-04-21,100840.0
2014-04-22,100845.0
2014-04-23,100850.0
2014-04-24,100870.0
2014-04-25,100875.0
2014-04-28,100880.0
2014-04-29,100890.0
2014-04-30,100930.0
2014-05-02,100935.0
2014-05-07,100940.0
2014-05-08,100965.0
2014-05-09,100970.0
2014-05-12,100980.0
2014-05-13,100985.0
2014-05-14,100985.0
2014-05-15,101010.0
2014-05-16,101020.0
2014-05-19,101025.0
2014-05-20,101030.0
2014-05-21,101040.0
2014-05-22,101060.0
2014-05-23,101065.0
2014-05-26,101065.0
2014-05-27,101075.0
2014-05-28,101085.0
2014-05-29,101100.0
2014-05-30,101105.0
2014-06-02,101115.0
2014-06-03,101155.0
2014-06-05,101160.0
2014-06-09,101160.0
2014-06-10,101170.0
2014-06-11,101180.0
2014-06-12,101200.0
2014-06-13,101220.0
2014-06-16,101220.0
2014-06-17,101225.0
2014-06-18,101235.0
2014-06-19,101255.0
2014-06-20,101260.0
2014-06-23,101265.0
2014-06-24,101275.0
2014-06-25,101280.0
2014-06-26,101295.0
2014-06-27,101300.0
2014-06-30,101315.0
2014-07-01,101325.0
2014-07-02,101340.0
2014-07-03,101365.0
2014-07-04,101370.0
2014-07-07,101380.0
2014-07-08,101385.0
2014-07-09,101390.0
2014-07-10,101415.0
2014-07-11,101430.0
2014-07-14,101430.0
2014-07-15,101435.0
2014-07-16,101455.0
2014-07-17,101475.0
2014-07-18,101490.0
2014-07-21,101500.0
2014-07-22,101505.0
2014-07-23,101515.0
2014-07-24,101535.0
2014-07-25,101540.0
2014-07-28,101550.0
2014-07-29,101550.0
2014-07-30,101555.0
2014-07-31,101580.0
2014-08-01,101590.0
2014-08-04,101600.0
2014-08-05,101610.0
2014-08-06,101610.0
2014-08-07,101640.0
2014-08-08,101655.0
2014-08-11,101655.0
2014-08-12,101660.0
2014-08-13,101695.0
2014-08-14,101700.0
2014-08-18,101705.0
2014-08-19,101715.0
2014-08-20,101720.0
2014-08-21,101740.0
2014-08-22,101745.0
2014-08-25,101750.0
2014-08-26,101755.0
2014-08-27,101765.0
2014-08-28,101785.0
2014-08-29,101785.0
2014-09-01,101790.0
2014-09-02,101800.0
2014-09-03,101805.0
2014-09-04,101845.0
2014-09-05,101855.0
2014-09-11,101875.0
2014-09-12,101885.0
2014-09-15,101890.0
2014-09-16,101900.0
2014-09-17,101915.0
2014-09-18,101935.0
2014-09-19,101940.0
2014-09-22,101945.0
2014-09-23,101945.0
2014-09-24,101955.0
2014-09-25,101970.0
2014-09-26,101975.0
2014-09-29,101985.0
2014-09-30,101990.0
2014-10-01,102020.0
2014-10-02,102035.0
2014-10-06,102045.0
2014-10-07,102055.0
2014-10-08,102070.0
2014-10-10,102075.0
2014-10-13,102085.0
2014-10-14,102090.0
2014-10-15,102095.0
2014-10-16,102125.0
2014-10-17,102140.0
2014-10-20,102140.0
2014-10-21,102145.0
2014-10-22,102150.0
2014-10-23,102165.0
2014-10-24,102170.0
2014-10-27,102180.0
2014-10-28,102185.0
2014-10-29,102190.0
2014-10-30,102205.0
2014-10-31,102210.0
2014-11-03,102215.0
2014-11-04,102230.0
2014-11-05,102240.0
2014-11-06,102250.0
2014-11-07,102265.0
2014-11-10,102270.0
2014-11-11,102275.0
2014-11-12,102275.0
2014-11-13,102285.0
2014-11-14,102290.0
2014-11-17,102290.0
2014-11-18,102300.0
2014-11-19,102300.0
2014-11-20,102325.0
2014-11-21,102330.0
2014-11-24,102335.0
2014-11-25,102340.0
2014-11-26,102350.0
2014-11-27,102365.0
2014-11-28,102365.0
2014-12-01,102370.0
2014-12-02,102370.0
2014-12-03,102380.0
2014-12-04,102400.0
2014-12-05,102400.0
2014-12-08,102400.0
2014-12-09,102400.0
2014-12-10,102405.0
2014-12-11,102420.0
2014-12-12,102430.0
2014-12-15,102435.0
2014-12-16,102445.0
2014-12-17,102445.0
2014-12-18,102455.0
2014-12-19,102460.0
2014-12-22,102465.0
2014-12-23,102475.0
2014-12-24,102490.0
2014-12-26,102500.0
2014-12-29,100115.0
2014-12-30,100130.0
2015-01-02,100140.0
2015-01-05,100150.0
2015-01-06,100155.0
2015-01-07,100165.0
2015-01-08,100190.0
2015-01-09,100195.0
2015-01-12,100200.0
2015-01-13,100215.0
2015-01-14,100220.0
2015-01-15,100235.0
2015-01-16,100240.0
2015-01-19,100245.0
2015-01-20,100250.0
2015-01-21,100255.0
2015-01-22,100265.0
2015-01-23,100270.0
2015-01-26,100270.0
2015-01-27,100280.0
2015-01-28,100280.0
2015-01-29,100300.0
2015-01-30,100305.0
2015-02-02,100315.0
2015-02-03,100320.0
2015-02-04,100335.0
2015-02-05,100340.0
2015-02-06,100350.0
2015-02-09,100350.0
2015-02-10,100355.0
2015-02-11,100345.0
2015-02-12,100365.0
2015-02-13,100375.0
2015-02-16,100405.0
2015-02-17,100410.0
2015-02-23,100415.0
2015-02-24,100420.0
2015-02-25,100420.0
2015-02-26,100445.0
2015-02-27,100440.0
2015-03-02,100450.0
2015-03-03,100455.0
2015-03-04,100465.0
2015-03-05,100480.0
2015-03-06,100495.0
2015-03-09,100500.0
2015-03-10,100510.0
