Date,KINDEX 레버리지
2014-01-13,4370.0
2014-01-14,4355.0
2014-01-15,4385.0
2014-01-16,4420.0
2014-01-17,4345.0
2014-01-20,4390.0
2014-01-21,4460.0
2014-01-22,4460.0
2014-01-23,4360.0
2014-01-24,4310.0
2014-01-27,4210.0
2014-01-28,4230.0
2014-01-29,4325.0
2014-02-03,4205.0
2014-02-04,4045.0
2014-02-05,4080.0
2014-02-06,4145.0
2014-02-07,4205.0
2014-02-10,4205.0
2014-02-11,4245.0
2014-02-12,4265.0
2014-02-13,4200.0
2014-02-14,4305.0
2014-02-17,4325.0
2014-02-18,4325.0
2014-02-19,4275.0
2014-02-20,4225.0
2014-02-21,4365.0
2014-02-24,4325.0
2014-02-25,4390.0
2014-02-26,4425.0
2014-02-27,4440.0
2014-02-28,4455.0
2014-03-03,4380.0
2014-03-04,4355.0
2014-03-05,4445.0
2014-03-06,4445.0
2014-03-07,4430.0
2014-03-10,4325.0
2014-03-11,4350.0
2014-03-12,4220.0
2014-03-13,4230.0
2014-03-14,4150.0
2014-03-17,4185.0
2014-03-18,4230.0
2014-03-19,4235.0
2014-03-20,4135.0
2014-03-21,4190.0
2014-03-24,4245.0
2014-03-25,4235.0
2014-03-26,4335.0
2014-03-27,4395.0
2014-03-28,4400.0
2014-03-31,4420.0
2014-04-01,4450.0
2014-04-02,4470.0
2014-04-03,4480.0
2014-04-04,4515.0
2014-04-07,4475.0
2014-04-08,4550.0
2014-04-09,4555.0
2014-04-10,4565.0
2014-04-11,4500.0
2014-04-14,4510.0
2014-04-15,4470.0
2014-04-16,4520.0
2014-04-17,4500.0
2014-04-18,4560.0
2014-04-21,4545.0
2014-04-22,4550.0
2014-04-23,4530.0
2014-04-24,4535.0
2014-04-25,4400.0
2014-04-28,4395.0
2014-04-29,4345.0
2014-04-30,4340.0
2014-05-02,4310.0
2014-05-07,4230.0
2014-05-08,4275.0
2014-05-09,4280.0
2014-05-12,4325.0
2014-05-13,4445.0
2014-05-14,4545.0
2014-05-15,4560.0
2014-05-16,4575.0
2014-05-19,4570.0
2014-05-20,4565.0
2014-05-21,4565.0
2014-05-22,4615.0
2014-05-23,4620.0
2014-05-26,4590.0
2014-05-27,4490.0
2014-05-28,4595.0
2014-05-29,4585.0
2014-05-30,4510.0
2014-06-02,4515.0
2014-06-03,4515.0
2014-06-05,4480.0
2014-06-09,4485.0
2014-06-10,4555.0
2014-06-11,4565.0
2014-06-12,4535.0
2014-06-13,4425.0
2014-06-16,4450.0
2014-06-17,4460.0
2014-06-18,4425.0
2014-06-19,4445.0
2014-06-20,4320.0
2014-06-23,4365.0
2014-06-24,4450.0
2014-06-25,4405.0
2014-06-26,4465.0
2014-06-27,4445.0
2014-06-30,4470.0
2014-07-01,4445.0
2014-07-02,4525.0
2014-07-03,4515.0
2014-07-04,4505.0
2014-07-07,4465.0
2014-07-08,4445.0
2014-07-09,4405.0
2014-07-10,4425.0
2014-07-11,4360.0
2014-07-14,4380.0
2014-07-15,4455.0
2014-07-16,4470.0
2014-07-17,4500.0
2014-07-18,4480.0
2014-07-21,4505.0
2014-07-22,4560.0
2014-07-23,4540.0
2014-07-24,4545.0
2014-07-25,4575.0
2014-07-28,4645.0
2014-07-29,4725.0
2014-07-30,4850.0
2014-07-31,4825.0
2014-08-01,4785.0
2014-08-04,4770.0
2014-08-05,4715.0
2014-08-06,4685.0
2014-08-07,4645.0
2014-08-08,4510.0
2014-08-11,4580.0
2014-08-12,4585.0
2014-08-13,4620.0
2014-08-14,4640.0
2014-08-18,4600.0
2014-08-19,4680.0
2014-08-20,4675.0
2014-08-21,4520.0
2014-08-22,4580.0
2014-08-25,4595.0
2014-08-26,4640.0
2014-08-27,4650.0
2014-08-28,4635.0
2014-08-29,4635.0
2014-09-01,4610.0
2014-09-02,4525.0
2014-09-03,4500.0
2014-09-04,4535.0
2014-09-05,4505.0
2014-09-11,4425.0
2014-09-12,4480.0
2014-09-15,4445.0
2014-09-16,4470.0
2014-09-17,4545.0
2014-09-18,4515.0
2014-09-19,4530.0
2014-09-22,4435.0
2014-09-23,4400.0
2014-09-24,4395.0
2014-09-25,4390.0
2014-09-26,4360.0
2014-09-29,4345.0
2014-09-30,4320.0
2014-10-01,4195.0
2014-10-02,4100.0
2014-10-06,4075.0
2014-10-07,4080.0
2014-10-08,4055.0
2014-10-10,3940.0
2014-10-13,3905.0
2014-10-14,3910.0
2014-10-15,3885.0
2014-10-16,3855.0
2014-10-17,3775.0
2014-10-20,3865.0
2014-10-21,3800.0
