Date,KINDEX 미국다우존스리츠(합성 H)
2014-01-13,48500.0
2014-01-14,48050.0
2014-01-15,48240.0
2014-01-16,48760.0
2014-01-17,48565.0
2014-01-20,48655.0
2014-01-21,48160.0
2014-01-22,48765.0
2014-01-23,49230.0
2014-01-24,49000.0
2014-01-27,48060.0
2014-01-28,47790.0
2014-01-29,48565.0
2014-02-03,48865.0
2014-02-04,48030.0
2014-02-05,48860.0
2014-02-06,48530.0
2014-02-07,48905.0
2014-02-10,49580.0
2014-02-11,49990.0
2014-02-12,50185.0
2014-02-13,50165.0
2014-02-14,50110.0
2014-02-17,50575.0
2014-02-18,50260.0
2014-02-19,50515.0
2014-02-20,50810.0
2014-02-21,50445.0
2014-02-24,50495.0
2014-02-25,50910.0
2014-02-26,50955.0
2014-02-27,51090.0
2014-02-28,51030.0
2014-03-03,51085.0
2014-03-04,51385.0
2014-03-05,51700.0
2014-03-06,51875.0
2014-03-07,51650.0
2014-03-10,51100.0
2014-03-11,50890.0
2014-03-12,50965.0
2014-03-13,50985.0
2014-03-14,51090.0
2014-03-17,50880.0
2014-03-18,51270.0
2014-03-19,51190.0
2014-03-20,50505.0
2014-03-21,50500.0
2014-03-24,51080.0
2014-03-25,50445.0
2014-03-26,50790.0
2014-03-27,50515.0
2014-03-28,50795.0
2014-03-31,50995.0
2014-04-01,51460.0
2014-04-02,51590.0
2014-04-03,51670.0
2014-04-04,51255.0
2014-04-07,51690.0
2014-04-08,51830.0
2014-04-09,51740.0
2014-04-10,51740.0
2014-04-11,51465.0
2014-04-14,51125.0
2014-04-15,51165.0
2014-04-16,51630.0
2014-04-17,51860.0
2014-04-18,52050.0
2014-04-21,51745.0
2014-04-22,51990.0
2014-04-23,52145.0
2014-04-24,51950.0
2014-04-25,52080.0
2014-04-28,52055.0
2014-04-29,52565.0
2014-04-30,52400.0
2014-05-02,53170.0
2014-05-07,53170.0
2014-05-08,53775.0
2014-05-09,53650.0
2014-05-12,53845.0
2014-05-13,53700.0
2014-05-14,53570.0
2014-05-15,53720.0
2014-05-16,53615.0
2014-05-19,54310.0
2014-05-20,53780.0
2014-05-21,53320.0
2014-05-22,53400.0
2014-05-23,53360.0
2014-05-26,53510.0
2014-05-27,53405.0
2014-05-28,53775.0
2014-05-29,53820.0
2014-05-30,53615.0
2014-06-02,54220.0
2014-06-03,54280.0
2014-06-05,54300.0
2014-06-09,55005.0
2014-06-10,54390.0
2014-06-11,54040.0
2014-06-12,53575.0
2014-06-13,53800.0
2014-06-16,53890.0
2014-06-17,53690.0
2014-06-18,53445.0
2014-06-19,54060.0
2014-06-20,54080.0
2014-06-23,54590.0
2014-06-24,54445.0
2014-06-25,54155.0
2014-06-26,54495.0
2014-06-27,54150.0
2014-06-30,54795.0
2014-07-01,54805.0
2014-07-02,54920.0
2014-07-03,54775.0
2014-07-04,54230.0
2014-07-07,54270.0
2014-07-08,54295.0
2014-07-09,54350.0
2014-07-10,54575.0
2014-07-11,55060.0
2014-07-14,54820.0
2014-07-15,55340.0
2014-07-16,55025.0
2014-07-17,55130.0
2014-07-18,55025.0
2014-07-21,55740.0
2014-07-22,55535.0
2014-07-23,55460.0
2014-07-24,55550.0
2014-07-25,55785.0
2014-07-28,55425.0
2014-07-29,55475.0
2014-07-30,55215.0
2014-07-31,55460.0
2014-08-01,54420.0
2014-08-04,54515.0
2014-08-05,54400.0
2014-08-06,54350.0
2014-08-07,54355.0
2014-08-08,54510.0
2014-08-11,54995.0
2014-08-12,54845.0
2014-08-13,55065.0
2014-08-14,55525.0
2014-08-18,55565.0
2014-08-19,56090.0
2014-08-20,56110.0
2014-08-21,56580.0
2014-08-22,56610.0
2014-08-25,55880.0
2014-08-26,56080.0
2014-08-27,56155.0
2014-08-28,56245.0
2014-08-29,55940.0
2014-09-01,56030.0
2014-09-02,56430.0
2014-09-03,56200.0
2014-09-04,56550.0
2014-09-05,56400.0
2014-09-11,55730.0
2014-09-12,55800.0
2014-09-15,54025.0
2014-09-16,54000.0
2014-09-17,54410.0
2014-09-18,54410.0
2014-09-19,54045.0
2014-09-22,53910.0
2014-09-23,53485.0
2014-09-24,53000.0
2014-09-25,53100.0
2014-09-26,52850.0
2014-09-29,53345.0
2014-09-30,53375.0
2014-10-01,53530.0
2014-10-02,53105.0
2014-10-06,53450.0
2014-10-07,53140.0
2014-10-08,53050.0
2014-10-10,53550.0
2014-10-13,53450.0
2014-10-14,53695.0
2014-10-15,54650.0
2014-10-16,54145.0
2014-10-17,54735.0
2014-10-20,54795.0
2014-10-21,55680.0
2014-10-22,55950.0
2014-10-23,55915.0
2014-10-24,56545.0
2014-10-27,56215.0
2014-10-28,56890.0
2014-10-29,56850.0
2014-10-30,56590.0
2014-10-31,56920.0
2014-11-03,57335.0
2014-11-04,57760.0
2014-11-05,57865.0
2014-11-06,57815.0
2014-11-07,57570.0
2014-11-10,57545.0
2014-11-11,57815.0
2014-11-12,57645.0
2014-11-13,57350.0
2014-11-14,57595.0
2014-11-17,57235.0
2014-11-18,57470.0
2014-11-19,57745.0
2014-11-20,57355.0
2014-11-21,57585.0
2014-11-24,57940.0
2014-11-25,58165.0
2014-11-26,58300.0
2014-11-27,58825.0
2014-11-28,58780.0
2014-12-01,59010.0
2014-12-02,58785.0
2014-12-03,59010.0
2014-12-04,58890.0
2014-12-05,58980.0
2014-12-08,58685.0
2014-12-09,58990.0
2014-12-10,59235.0
2014-12-11,58975.0
2014-12-12,59030.0
2014-12-15,58510.0
2014-12-16,57795.0
2014-12-17,57485.0
2014-12-18,58810.0
2014-12-19,59415.0
2014-12-22,59460.0
2014-12-23,60395.0
2014-12-24,60285.0
2014-12-26,59795.0
2014-12-29,60160.0
2014-12-30,60520.0
2015-01-02,59515.0
2015-01-05,60305.0
2015-01-06,60410.0
2015-01-07,60955.0
2015-01-08,61795.0
2015-01-09,62120.0
2015-01-12,62085.0
2015-01-13,62410.0
2015-01-14,62255.0
2015-01-15,62640.0
2015-01-16,62760.0
2015-01-19,63210.0
2015-01-20,63305.0
2015-01-21,62845.0
2015-01-22,62720.0
2015-01-23,63920.0
2015-01-26,63835.0
2015-01-27,64465.0
2015-01-28,64380.0
2015-01-29,63945.0
2015-01-30,64060.0
2015-02-02,63000.0
2015-02-03,62920.0
2015-02-04,63510.0
2015-02-05,63155.0
2015-02-06,63810.0
2015-02-09,62220.0
2015-02-10,61895.0
2015-02-11,62070.0
2015-02-12,61985.0
2015-02-13,62710.0
2015-02-16,62360.0
2015-02-17,62340.0
2015-02-23,62110.0
2015-02-24,62555.0
2015-02-25,61405.0
2015-02-26,61385.0
2015-02-27,60820.0
2015-03-02,61300.0
2015-03-03,61650.0
2015-03-04,61455.0
2015-03-05,60850.0
2015-03-06,61120.0
2015-03-09,59265.0
2015-03-10,59605.0
2015-03-11,59430.0
2015-03-12,59560.0
2015-03-13,60550.0
2015-03-16,60410.0
2015-03-17,61050.0
2015-03-18,61005.0
2015-03-19,62210.0
2015-03-20,62180.0
2015-03-23,63665.0
2015-03-24,63635.0
2015-03-25,62990.0
2015-03-26,61895.0
2015-03-27,61615.0
2015-03-30,61785.0
2015-03-31,62465.0
2015-04-01,62035.0
2015-04-02,62030.0
2015-04-03,62460.0
2015-04-06,62385.0
2015-04-07,62900.0
2015-04-08,62065.0
2015-04-09,62165.0
2015-04-10,61005.0
2015-04-13,60925.0
2015-04-14,60735.0
2015-04-15,60970.0
2015-04-16,60650.0
2015-04-17,60840.0
2015-04-20,60480.0
2015-04-21,60575.0
2015-04-22,60620.0
2015-04-23,60760.0
2015-04-24,60850.0
2015-04-27,60885.0
2015-04-28,61070.0
2015-04-29,60505.0
2015-04-30,59850.0
2015-05-04,59140.0
2015-05-06,58010.0
2015-05-07,57810.0
2015-05-08,58610.0
2015-05-11,59565.0
2015-05-12,58750.0
2015-05-13,58835.0
2015-05-14,58375.0
2015-05-15,59320.0
2015-05-18,59885.0
2015-05-19,59820.0
2015-05-20,59740.0
2015-05-21,59615.0
2015-05-22,59295.0
2015-05-26,59200.0
2015-05-27,58850.0
2015-05-28,59435.0
2015-05-29,59320.0
2015-06-01,58725.0
2015-06-02,59245.0
2015-06-03,58830.0
2015-06-04,58010.0
2015-06-05,57920.0
2015-06-08,57245.0
2015-06-09,57090.0
2015-06-10,56680.0
2015-06-11,57070.0
2015-06-12,57580.0
2015-06-15,57495.0
2015-06-16,57190.0
2015-06-17,57540.0
2015-06-18,58080.0
2015-06-19,58880.0
2015-06-22,58440.0
2015-06-23,57930.0
2015-06-24,57575.0
2015-06-25,57145.0
2015-06-26,56615.0
2015-06-29,56865.0
2015-06-30,56090.0
2015-07-01,56035.0
2015-07-02,56775.0
2015-07-03,57065.0
2015-07-06,57000.0
2015-07-07,57315.0
2015-07-08,58130.0
2015-07-09,57860.0
2015-07-10,57585.0
2015-07-13,58005.0
2015-07-14,58205.0
2015-07-15,58355.0
2015-07-16,58370.0
2015-07-17,58830.0
2015-07-20,58675.0
2015-07-21,58715.0
2015-07-22,58510.0
2015-07-23,58740.0
2015-07-24,58290.0
2015-07-27,58240.0
2015-07-28,58395.0
2015-07-29,58460.0
2015-07-30,58765.0
2015-07-31,58640.0
2015-08-03,58900.0
2015-08-04,59230.0
2015-08-05,59045.0
2015-08-06,58675.0
2015-08-07,58710.0
2015-08-10,58910.0
2015-08-11,58940.0
2015-08-12,59280.0
2015-08-13,59520.0
2015-08-17,60000.0
2015-08-18,60455.0
2015-08-19,60545.0
2015-08-20,60180.0
2015-08-21,59630.0
2015-08-24,58420.0
2015-08-25,55620.0
2015-08-26,53940.0
2015-08-27,55150.0
2015-08-28,56365.0
2015-08-31,56425.0
2015-09-01,55365.0
2015-09-02,54175.0
2015-09-03,54635.0
2015-09-04,54765.0
2015-09-07,53720.0
2015-09-08,53630.0
2015-09-09,54365.0
2015-09-10,53810.0
2015-09-11,53895.0
2015-09-14,54720.0
2015-09-15,54810.0
2015-09-16,55285.0
2015-09-17,56020.0
2015-09-18,56670.0
2015-09-21,56600.0
2015-09-22,56995.0
2015-09-23,56280.0
2015-09-24,56515.0
2015-09-25,56040.0
2015-09-30,55650.0
2015-10-01,56075.0
2015-10-02,56380.0
2015-10-05,56945.0
2015-10-06,58045.0
2015-10-07,58060.0
2015-10-08,58570.0
2015-10-12,58670.0
2015-10-13,59345.0
2015-10-14,58930.0
2015-10-15,58485.0
2015-10-16,59155.0
2015-10-19,59645.0
2015-10-20,60385.0
2015-10-21,60475.0
2015-10-22,60350.0
2015-10-23,60930.0
2015-10-26,60395.0
2015-10-27,60435.0
2015-10-28,60205.0
2015-10-29,60565.0
2015-10-30,60450.0
2015-11-02,60020.0
2015-11-03,61345.0
2015-11-04,60840.0
2015-11-05,60555.0
2015-11-06,60650.0
2015-11-09,59005.0
2015-11-10,58180.0
2015-11-11,58645.0
2015-11-12,58765.0
2015-11-13,58370.0
2015-11-16,57750.0
2015-11-17,58315.0
2015-11-18,58380.0
2015-11-19,58995.0
2015-11-20,59170.0
2015-11-23,59805.0
2015-11-24,59960.0
2015-11-25,59890.0
2015-11-26,59915.0
2015-11-27,59915.0
2015-11-30,60320.0
2015-12-01,59950.0
2015-12-02,60670.0
2015-12-03,59545.0
2015-12-04,58605.0
2015-12-07,59635.0
2015-12-08,59450.0
2015-12-09,59385.0
2015-12-10,58995.0
2015-12-11,58600.0
2015-12-14,58385.0
2015-12-15,58425.0
2015-12-16,59145.0
2015-12-17,60260.0
2015-12-18,60045.0
2015-12-21,59230.0
2015-12-22,59515.0
2015-12-23,59835.0
2015-12-24,60485.0
2015-12-28,60455.0
2015-12-29,60805.0
2015-12-30,61320.0
2016-01-04,60585.0
2016-01-05,59945.0
2016-01-06,60985.0
2016-01-07,60670.0
2016-01-08,59490.0
2016-01-11,58685.0
2016-01-12,58905.0
2016-01-13,58455.0
2016-01-14,57595.0
2016-01-15,57470.0
2016-01-18,56835.0
2016-01-19,56810.0
2016-01-20,57010.0
2016-01-21,55500.0
2016-01-22,55780.0
2016-01-25,57350.0
2016-01-26,56910.0
2016-01-27,58075.0
2016-01-28,57200.0
2016-01-29,56800.0
2016-02-01,57955.0
2016-02-02,58015.0
2016-02-03,57425.0
2016-02-04,57690.0
2016-02-05,57760.0
2016-02-11,54255.0
2016-02-12,53495.0
2016-02-15,54150.0
2016-02-16,54135.0
2016-02-17,55095.0
2016-02-18,55620.0
2016-02-19,56080.0
2016-02-22,56280.0
2016-02-23,56935.0
2016-02-24,56795.0
2016-02-25,56810.0
2016-02-26,57825.0
2016-02-29,57680.0
2016-03-02,59080.0
2016-03-03,59495.0
2016-03-04,59510.0
2016-03-07,59885.0
2016-03-08,60000.0
2016-03-09,59355.0
2016-03-10,59670.0
2016-03-11,59460.0
2016-03-14,60865.0
2016-03-15,60810.0
2016-03-16,60820.0
2016-03-17,61540.0
2016-03-18,62360.0
2016-03-21,62010.0
2016-03-22,61530.0
2016-03-23,61575.0
2016-03-24,61235.0
2016-03-25,61335.0
2016-03-28,61235.0
2016-03-29,61730.0
2016-03-30,62995.0
2016-03-31,62775.0
2016-04-01,63050.0
2016-04-04,63090.0
2016-04-05,62995.0
2016-04-06,62625.0
2016-04-07,62840.0
2016-04-08,62510.0
2016-04-11,62845.0
2016-04-12,62810.0
2016-04-14,63015.0
2016-04-15,62725.0
2016-04-18,63075.0
2016-04-19,63315.0
2016-04-20,63455.0
2016-04-21,62555.0
2016-04-22,61510.0
2016-04-25,62170.0
2016-04-26,62490.0
2016-04-27,62810.0
2016-04-28,62665.0
2016-04-29,62565.0
2016-05-02,62060.0
2016-05-03,62950.0
2016-05-04,62800.0
2016-05-09,64415.0
2016-05-10,65010.0
2016-05-11,65155.0
2016-05-12,63995.0
2016-05-13,64365.0
2016-05-16,63785.0
2016-05-17,64295.0
2016-05-18,63315.0
2016-05-19,62450.0
2016-05-20,61770.0
2016-05-23,62130.0
2016-05-24,62165.0
2016-05-25,63010.0
2016-05-26,63125.0
2016-05-27,63175.0
2016-05-30,63390.0
2016-05-31,63410.0
2016-06-01,63545.0
2016-06-02,63590.0
2016-06-03,63900.0
2016-06-07,63635.0
2016-06-08,64055.0
2016-06-09,64370.0
2016-06-10,64495.0
2016-06-13,64185.0
2016-06-14,64105.0
2016-06-15,63795.0
2016-06-16,64360.0
2016-06-17,64600.0
2016-06-20,64575.0
2016-06-21,64705.0
2016-06-22,64875.0
2016-06-23,64865.0
2016-06-24,65330.0
2016-06-27,64470.0
2016-06-28,64440.0
2016-06-29,65750.0
2016-06-30,66710.0
2016-07-01,67310.0
2016-07-04,67330.0
2016-07-05,67250.0
2016-07-06,67810.0
2016-07-07,67620.0
2016-07-08,66870.0
2016-07-11,67930.0
2016-07-12,68360.0
2016-07-13,68560.0
2016-07-14,68690.0
2016-07-15,68350.0
2016-07-18,68220.0
2016-07-19,68375.0
2016-07-20,68805.0
2016-07-21,68805.0
2016-07-22,68840.0
2016-07-25,69510.0
2016-07-26,69350.0
2016-07-27,69125.0
2016-07-28,68570.0
2016-07-29,68980.0
2016-08-01,69745.0
2016-08-02,69990.0
2016-08-03,68930.0
2016-08-04,68655.0
2016-08-05,68405.0
2016-08-08,68475.0
2016-08-09,68520.0
2016-08-10,68810.0
2016-08-11,68690.0
2016-08-12,68005.0
2016-08-16,68155.0
2016-08-17,67350.0
2016-08-18,67645.0
2016-08-19,67450.0
2016-08-22,66870.0
2016-08-23,67255.0
2016-08-24,67400.0
2016-08-25,67065.0
2016-08-26,67405.0
2016-08-29,66735.0
2016-08-30,67350.0
2016-08-31,67095.0
2016-09-01,67165.0
2016-09-02,67195.0
2016-09-05,67915.0
2016-09-06,67875.0
2016-09-07,68345.0
2016-09-08,68700.0
2016-09-09,67860.0
2016-09-12,65000.0
2016-09-13,65820.0
2016-09-19,64925.0
2016-09-20,65185.0
2016-09-21,65310.0
2016-09-22,66085.0
2016-09-23,67370.0
2016-09-26,67185.0
2016-09-27,67535.0
2016-09-28,66775.0
2016-09-29,67290.0
2016-09-30,66625.0
2016-10-04,65225.0
2016-10-05,64055.0
2016-10-06,62870.0
2016-10-07,63010.0
2016-10-10,62890.0
2016-10-11,63150.0
2016-10-12,62690.0
2016-10-13,63275.0
2016-10-14,63865.0
2016-10-17,63665.0
2016-10-18,63535.0
2016-10-19,63945.0
2016-10-20,64190.0
2016-10-21,64190.0
2016-10-24,64065.0
2016-10-25,64105.0
2016-10-26,64150.0
2016-10-27,63210.0
2016-10-28,61730.0
2016-10-31,61850.0
2016-11-01,62750.0
2016-11-02,61630.0
2016-11-03,60685.0
2016-11-04,60390.0
2016-11-07,60680.0
2016-11-08,61795.0
2016-11-09,62000.0
2016-11-10,60880.0
2016-11-11,59975.0
2016-11-14,59975.0
2016-11-15,60975.0
2016-11-16,60700.0
2016-11-17,60835.0
2016-11-18,60305.0
2016-11-21,60425.0
2016-11-22,60230.0
2016-11-23,61450.0
2016-11-24,61170.0
2016-11-25,61140.0
2016-11-28,61460.0
2016-11-29,61670.0
2016-11-30,61490.0
2016-12-01,61420.0
2016-12-02,60525.0
