Date,KINDEX 밸류대형
2014-01-13,6155.0
2014-01-14,6135.0
2014-01-15,6155.0
2014-01-16,6190.0
2014-01-17,6145.0
2014-01-20,6125.0
2014-01-21,6200.0
2014-01-22,6200.0
2014-01-23,6160.0
2014-01-24,6090.0
2014-01-27,6025.0
2014-01-28,6020.0
2014-01-29,6115.0
2014-02-03,6015.0
2014-02-04,5920.0
2014-02-05,5935.0
2014-02-06,5970.0
2014-02-07,6000.0
2014-02-10,6005.0
2014-02-11,6025.0
2014-02-12,6035.0
2014-02-13,6000.0
2014-02-14,6030.0
2014-02-17,6100.0
2014-02-18,6095.0
2014-02-19,6075.0
2014-02-20,6055.0
2014-02-21,6140.0
2014-02-24,6105.0
2014-02-25,6150.0
2014-02-26,6185.0
2014-02-27,6210.0
2014-02-28,6200.0
2014-03-03,6130.0
2014-03-04,6085.0
2014-03-05,6170.0
2014-03-06,6145.0
2014-03-07,6140.0
2014-03-10,6085.0
2014-03-11,6105.0
2014-03-12,6010.0
2014-03-13,6045.0
2014-03-14,5970.0
2014-03-17,6015.0
2014-03-18,6055.0
2014-03-19,6015.0
2014-03-20,5980.0
2014-03-21,6010.0
2014-03-24,6025.0
2014-03-25,6050.0
2014-03-26,6120.0
2014-03-27,6170.0
2014-03-28,6160.0
2014-03-31,6185.0
2014-04-01,6200.0
2014-04-02,6215.0
2014-04-03,6165.0
2014-04-04,6175.0
2014-04-07,6215.0
2014-04-08,6255.0
2014-04-09,6265.0
2014-04-10,6285.0
2014-04-11,6275.0
2014-04-14,6280.0
2014-04-15,6215.0
2014-04-16,6205.0
2014-04-17,6200.0
2014-04-18,6255.0
2014-04-21,6260.0
2014-04-22,6255.0
2014-04-23,6255.0
2014-04-24,6230.0
2014-04-25,6125.0
2014-04-28,6130.0
2014-04-29,6055.0
2014-04-30,6030.0
2014-05-02,6015.0
2014-05-07,5950.0
2014-05-08,5985.0
2014-05-09,5995.0
2014-05-12,6030.0
2014-05-13,6090.0
2014-05-14,6165.0
2014-05-15,6165.0
2014-05-16,6160.0
2014-05-19,6200.0
2014-05-20,6160.0
2014-05-21,6165.0
2014-05-22,6185.0
2014-05-23,6200.0
2014-05-26,6180.0
2014-05-27,6140.0
2014-05-28,6170.0
2014-05-29,6120.0
2014-05-30,6100.0
2014-06-02,6120.0
2014-06-03,6125.0
2014-06-05,6095.0
2014-06-09,6090.0
2014-06-10,6150.0
2014-06-11,6155.0
2014-06-12,6135.0
2014-06-13,6065.0
2014-06-16,6050.0
2014-06-17,6080.0
2014-06-18,6045.0
2014-06-19,6090.0
2014-06-20,6000.0
2014-06-23,5995.0
2014-06-24,6070.0
2014-06-25,6060.0
2014-06-26,6060.0
2014-06-27,6065.0
2014-06-30,6155.0
2014-07-01,6100.0
2014-07-02,6125.0
2014-07-03,6100.0
2014-07-04,6120.0
2014-07-07,6095.0
2014-07-08,6090.0
2014-07-09,6060.0
2014-07-10,6050.0
2014-07-11,6015.0
2014-07-14,6025.0
2014-07-15,6090.0
2014-07-16,6075.0
2014-07-17,6115.0
2014-07-18,6095.0
2014-07-21,6130.0
2014-07-22,6130.0
2014-07-23,6170.0
2014-07-24,6195.0
2014-07-25,6205.0
2014-07-28,6280.0
2014-07-29,6350.0
2014-07-30,6390.0
2014-07-31,6375.0
2014-08-01,6390.0
2014-08-04,6405.0
2014-08-05,6355.0
2014-08-06,6335.0
2014-08-07,6315.0
2014-08-08,6235.0
2014-08-11,6270.0
2014-08-12,6230.0
2014-08-13,6295.0
2014-08-14,6300.0
2014-08-18,6265.0
2014-08-19,6320.0
2014-08-20,6295.0
2014-08-21,6210.0
2014-08-22,6250.0
2014-08-25,6260.0
2014-08-26,6290.0
2014-08-27,6310.0
2014-08-28,6315.0
2014-08-29,6280.0
2014-09-01,6310.0
2014-09-02,6255.0
2014-09-03,6245.0
2014-09-04,6265.0
2014-09-05,6260.0
2014-09-11,6230.0
2014-09-12,6255.0
2014-09-15,6250.0
2014-09-16,6230.0
2014-09-17,6295.0
2014-09-18,6220.0
2014-09-19,6265.0
2014-09-22,6200.0
2014-09-23,6165.0
2014-09-24,6170.0
2014-09-25,6140.0
2014-09-26,6135.0
2014-09-29,6110.0
2014-09-30,6085.0
2014-10-01,5965.0
2014-10-02,5920.0
2014-10-06,5885.0
2014-10-07,5915.0
2014-10-08,5925.0
2014-10-10,5840.0
2014-10-13,5815.0
2014-10-14,5815.0
2014-10-15,5765.0
2014-10-16,5745.0
2014-10-17,5675.0
2014-10-20,5760.0
2014-10-21,5710.0
2014-10-22,5755.0
2014-10-23,5735.0
2014-10-24,5705.0
2014-10-27,5765.0
2014-10-28,5715.0
2014-10-29,5845.0
2014-10-30,5845.0
2014-10-31,5860.0
2014-11-03,5820.0
2014-11-04,5765.0
2014-11-05,5750.0
2014-11-06,5795.0
2014-11-07,5810.0
2014-11-10,5890.0
2014-11-11,5890.0
2014-11-12,5925.0
2014-11-13,5890.0
2014-11-14,5835.0
2014-11-17,5865.0
2014-11-18,5900.0
2014-11-19,5880.0
2014-11-20,5865.0
2014-11-21,5905.0
2014-11-24,5990.0
2014-11-25,5975.0
2014-11-26,5955.0
2014-11-27,5970.0
2014-11-28,5935.0
2014-12-01,5895.0
2014-12-02,5885.0
2014-12-03,5900.0
2014-12-04,5965.0
2014-12-05,5965.0
2014-12-08,5945.0
2014-12-09,5935.0
2014-12-10,5855.0
2014-12-11,5760.0
2014-12-12,5785.0
2014-12-15,5775.0
2014-12-16,5710.0
2014-12-17,5725.0
2014-12-18,5715.0
2014-12-19,5795.0
2014-12-22,5845.0
2014-12-23,5865.0
2014-12-24,5865.0
2014-12-26,5885.0
2014-12-29,5875.0
2014-12-30,5810.0
2015-01-02,5790.0
2015-01-05,5775.0
2015-01-06,5685.0
2015-01-07,5705.0
2015-01-08,5760.0
2015-01-09,5830.0
2015-01-12,5810.0
2015-01-13,5815.0
2015-01-14,5800.0
2015-01-15,5750.0
2015-01-16,5690.0
2015-01-19,5755.0
2015-01-20,5785.0
2015-01-21,5805.0
2015-01-22,5840.0
2015-01-23,5855.0
2015-01-26,5860.0
2015-01-27,5900.0
2015-01-28,5900.0
2015-01-29,5880.0
2015-01-30,5905.0
2015-02-02,5920.0
2015-02-03,5910.0
2015-02-04,5945.0
2015-02-05,5885.0
2015-02-06,5890.0
2015-02-09,5910.0
2015-02-10,5885.0
2015-02-11,5900.0
2015-02-12,5865.0
2015-02-13,5925.0
2015-02-16,5920.0
2015-02-17,5940.0
2015-02-23,5955.0
2015-02-24,5960.0
2015-02-25,6020.0
2015-02-26,6050.0
2015-02-27,6000.0
2015-03-02,6015.0
2015-03-03,6055.0
2015-03-04,6035.0
2015-03-05,6035.0
2015-03-06,6070.0
2015-03-09,5980.0
2015-03-10,5945.0
2015-03-11,5960.0
2015-03-12,5925.0
2015-03-13,5955.0
2015-03-16,5935.0
2015-03-17,6055.0
2015-03-18,6070.0
2015-03-19,6080.0
2015-03-20,6065.0
2015-03-23,6065.0
2015-03-24,6070.0
2015-03-25,6045.0
2015-03-26,6010.0
2015-03-27,5995.0
2015-03-30,6000.0
2015-03-31,6010.0
2015-04-01,5970.0
2015-04-02,5985.0
2015-04-03,6025.0
2015-04-06,6025.0
2015-04-07,6030.0
2015-04-08,6080.0
2015-04-09,6075.0
2015-04-10,6150.0
2015-04-13,6170.0
2015-04-14,6260.0
2015-04-15,6240.0
2015-04-16,6300.0
2015-04-17,6325.0
2015-04-20,6330.0
2015-04-21,6315.0
2015-04-22,6280.0
2015-04-23,6420.0
2015-04-24,6405.0
2015-04-27,6390.0
2015-04-28,6370.0
2015-04-29,6270.0
2015-04-30,6250.0
2015-05-04,6270.0
2015-05-06,6180.0
2015-05-07,6160.0
2015-05-08,6120.0
2015-05-11,6135.0
2015-05-12,6130.0
