Date,KINDEX 삼성그룹동일가중
2014-01-13,11615.0
2014-01-14,11590.0
2014-01-15,11690.0
2014-01-16,11725.0
2014-01-17,11665.0
2014-01-20,11685.0
2014-01-21,11755.0
2014-01-22,11805.0
2014-01-23,11740.0
2014-01-24,11640.0
2014-01-27,11450.0
2014-01-28,11425.0
2014-01-29,11575.0
2014-02-03,11425.0
2014-02-04,11130.0
2014-02-05,11240.0
2014-02-06,11305.0
2014-02-07,11390.0
2014-02-10,11365.0
2014-02-11,11410.0
2014-02-12,11350.0
2014-02-13,11320.0
2014-02-14,11440.0
2014-02-17,11535.0
2014-02-18,11530.0
2014-02-19,11470.0
2014-02-20,11395.0
2014-02-21,11525.0
2014-02-24,11450.0
2014-02-25,11530.0
2014-02-26,11590.0
2014-02-27,11610.0
2014-02-28,11520.0
2014-03-03,11505.0
2014-03-04,11455.0
2014-03-05,11575.0
2014-03-06,11620.0
2014-03-07,11585.0
2014-03-10,11430.0
2014-03-11,11435.0
2014-03-12,11230.0
2014-03-13,11280.0
2014-03-14,11185.0
2014-03-17,11230.0
2014-03-18,11315.0
2014-03-19,11290.0
2014-03-20,11210.0
2014-03-21,11295.0
2014-03-24,11415.0
2014-03-25,11475.0
2014-03-26,11510.0
2014-03-27,11520.0
2014-03-28,11570.0
2014-03-31,11850.0
2014-04-01,11760.0
2014-04-02,11775.0
2014-04-03,11735.0
2014-04-04,11730.0
2014-04-07,11720.0
2014-04-08,11785.0
2014-04-09,11825.0
2014-04-10,11860.0
2014-04-11,11835.0
2014-04-14,11860.0
2014-04-15,11760.0
2014-04-16,11780.0
2014-04-17,11785.0
2014-04-18,11850.0
2014-04-21,11795.0
2014-04-22,11820.0
2014-04-23,11755.0
2014-04-24,11685.0
2014-04-25,11500.0
2014-04-28,11620.0
2014-04-29,11480.0
2014-04-30,11490.0
2014-05-02,11490.0
2014-05-07,11305.0
2014-05-08,11345.0
2014-05-09,11430.0
2014-05-12,11450.0
2014-05-13,11550.0
2014-05-14,11700.0
2014-05-15,11810.0
2014-05-16,11835.0
2014-05-19,12015.0
2014-05-20,11925.0
2014-05-21,11900.0
2014-05-22,11940.0
2014-05-23,11930.0
2014-05-26,11895.0
2014-05-27,11805.0
2014-05-28,11925.0
2014-05-29,11915.0
2014-05-30,11755.0
2014-06-02,11735.0
2014-06-03,11860.0
2014-06-05,11930.0
2014-06-09,11860.0
2014-06-10,11935.0
2014-06-11,11860.0
2014-06-12,11810.0
