Date,KINDEX 삼성그룹섹터가중
2014-01-13,8815.0
2014-01-14,8800.0
2014-01-15,8825.0
2014-01-16,8855.0
2014-01-17,8760.0
2014-01-20,8790.0
2014-01-21,8910.0
2014-01-22,8900.0
2014-01-23,8850.0
2014-01-24,8780.0
2014-01-27,8680.0
2014-01-28,8605.0
2014-01-29,8700.0
2014-02-03,8600.0
2014-02-04,8365.0
2014-02-05,8450.0
2014-02-06,8510.0
2014-02-07,8550.0
2014-02-10,8570.0
2014-02-11,8640.0
2014-02-12,8580.0
2014-02-13,8535.0
2014-02-14,8610.0
2014-02-17,8670.0
2014-02-18,8675.0
2014-02-19,8635.0
2014-02-20,8600.0
2014-02-21,8720.0
2014-02-24,8690.0
2014-02-25,8715.0
2014-02-26,8785.0
2014-02-27,8770.0
2014-02-28,8720.0
2014-03-03,8630.0
2014-03-04,8600.0
2014-03-05,8680.0
2014-03-06,8680.0
2014-03-07,8700.0
2014-03-10,8565.0
2014-03-11,8545.0
2014-03-12,8360.0
2014-03-13,8415.0
2014-03-14,8285.0
2014-03-17,8360.0
2014-03-18,8415.0
2014-03-19,8360.0
2014-03-20,8275.0
2014-03-21,8290.0
2014-03-24,8405.0
2014-03-25,8405.0
2014-03-26,8525.0
2014-03-27,8610.0
2014-03-28,8620.0
2014-03-31,8825.0
2014-04-01,8725.0
2014-04-02,8780.0
2014-04-03,8820.0
2014-04-04,8785.0
2014-04-07,8825.0
2014-04-08,8860.0
2014-04-09,8835.0
2014-04-10,8875.0
2014-04-11,8845.0
2014-04-14,8880.0
2014-04-15,8795.0
2014-04-16,8800.0
2014-04-17,8750.0
2014-04-18,8845.0
2014-04-21,8775.0
2014-04-22,8780.0
2014-04-23,8685.0
2014-04-24,8665.0
2014-04-25,8610.0
2014-04-28,8645.0
2014-04-29,8475.0
2014-04-30,8455.0
2014-05-02,8450.0
2014-05-07,8300.0
2014-05-08,8370.0
2014-05-09,8395.0
2014-05-12,8485.0
2014-05-13,8595.0
2014-05-14,8670.0
2014-05-15,8750.0
2014-05-16,8825.0
2014-05-19,8960.0
2014-05-20,8915.0
2014-05-21,8875.0
2014-05-22,8880.0
2014-05-23,8865.0
2014-05-26,8860.0
2014-05-27,8770.0
2014-05-28,8925.0
2014-05-29,8930.0
2014-05-30,8825.0
2014-06-02,8830.0
2014-06-03,8950.0
2014-06-05,9045.0
2014-06-09,8960.0
2014-06-10,9015.0
2014-06-11,8960.0
2014-06-12,8895.0
2014-06-13,8770.0
2014-06-16,8830.0
2014-06-17,8865.0
2014-06-18,8805.0
2014-06-19,8790.0
2014-06-20,8655.0
2014-06-23,8715.0
2014-06-24,8790.0
2014-06-25,8655.0
2014-06-26,8650.0
2014-06-27,8650.0
2014-06-30,8705.0
2014-07-01,8720.0
2014-07-02,8835.0
2014-07-03,8865.0
2014-07-04,8815.0
2014-07-07,8745.0
2014-07-08,8765.0
2014-07-09,8725.0
2014-07-10,8685.0
2014-07-11,8600.0
2014-07-14,8675.0
2014-07-15,8765.0
2014-07-16,8725.0
2014-07-17,8770.0
2014-07-18,8785.0
2014-07-21,8805.0
2014-07-22,8840.0
2014-07-23,8880.0
2014-07-24,8880.0
2014-07-25,8860.0
2014-07-28,8840.0
2014-07-29,8940.0
2014-07-30,8975.0
2014-07-31,8945.0
2014-08-01,8870.0
2014-08-04,8925.0
2014-08-05,8820.0
2014-08-06,8755.0
2014-08-07,8745.0
2014-08-08,8525.0
2014-08-11,8615.0
2014-08-12,8600.0
2014-08-13,8680.0
2014-08-14,8745.0
2014-08-18,8730.0
2014-08-19,8735.0
2014-08-20,8730.0
2014-08-21,8560.0
2014-08-22,8580.0
2014-08-25,8545.0
2014-08-26,8535.0
2014-08-27,8595.0
2014-08-28,8625.0
2014-08-29,8650.0
2014-09-01,8740.0
2014-09-02,8600.0
2014-09-03,8550.0
2014-09-04,8550.0
2014-09-05,8545.0
2014-09-11,8405.0
2014-09-12,8460.0
2014-09-15,8410.0
2014-09-16,8400.0
2014-09-17,8530.0
2014-09-18,8500.0
2014-09-19,8510.0
2014-09-22,8385.0
2014-09-23,8280.0
2014-09-24,8185.0
2014-09-25,8190.0
2014-09-26,8255.0
2014-09-29,8205.0
2014-09-30,8135.0
2014-10-01,7985.0
2014-10-02,7930.0
2014-10-06,7900.0
2014-10-07,7980.0
2014-10-08,7905.0
2014-10-10,7680.0
2014-10-13,7655.0
2014-10-14,7755.0
2014-10-15,7620.0
2014-10-16,7525.0
2014-10-17,7490.0
2014-10-20,7715.0
2014-10-21,7585.0
2014-10-22,7740.0
2014-10-23,7640.0
2014-10-24,7640.0
2014-10-27,7660.0
