Date,KINDEX 인버스
2014-01-13,9250.0
2014-01-14,9265.0
2014-01-15,9240.0
2014-01-16,9215.0
2014-01-17,9290.0
2014-01-20,9240.0
2014-01-21,9170.0
2014-01-22,9175.0
2014-01-23,9265.0
2014-01-24,9305.0
2014-01-27,9440.0
2014-01-28,9410.0
2014-01-29,9305.0
2014-02-03,9415.0
2014-02-04,9610.0
2014-02-05,9565.0
2014-02-06,9480.0
2014-02-07,9425.0
2014-02-10,9420.0
2014-02-11,9365.0
2014-02-12,9355.0
2014-02-13,9420.0
2014-02-14,9320.0
2014-02-17,9290.0
2014-02-18,9300.0
2014-02-19,9350.0
2014-02-20,9405.0
2014-02-21,9265.0
2014-02-24,9295.0
2014-02-25,9215.0
2014-02-26,9185.0
2014-02-27,9170.0
2014-02-28,9165.0
2014-03-03,9225.0
2014-03-04,9255.0
2014-03-05,9175.0
2014-03-06,9170.0
2014-03-07,9185.0
2014-03-10,9295.0
2014-03-11,9270.0
2014-03-12,9405.0
2014-03-13,9390.0
2014-03-14,9495.0
2014-03-17,9460.0
2014-03-18,9400.0
2014-03-19,9390.0
2014-03-20,9490.0
2014-03-21,9435.0
2014-03-24,9385.0
2014-03-25,9400.0
2014-03-26,9265.0
2014-03-27,9210.0
2014-03-28,9205.0
2014-03-31,9185.0
2014-04-01,9155.0
2014-04-02,9125.0
2014-04-03,9130.0
2014-04-04,9095.0
2014-04-07,9115.0
2014-04-08,9065.0
2014-04-09,9055.0
2014-04-10,9035.0
2014-04-11,9085.0
2014-04-14,9065.0
2014-04-15,9130.0
2014-04-16,9100.0
2014-04-17,9110.0
2014-04-18,9045.0
2014-04-21,9065.0
2014-04-22,9065.0
2014-04-23,9075.0
2014-04-24,9085.0
2014-04-25,9210.0
2014-04-28,9210.0
2014-04-29,9255.0
2014-04-30,9310.0
2014-05-02,9310.0
2014-05-07,9410.0
2014-05-08,9375.0
2014-05-09,9360.0
2014-05-12,9310.0
2014-05-13,9175.0
2014-05-14,9045.0
2014-05-15,9055.0
2014-05-16,9050.0
2014-05-19,9040.0
2014-05-20,9050.0
2014-05-21,9045.0
2014-05-22,9000.0
2014-05-23,9015.0
2014-05-26,9035.0
2014-05-27,9115.0
2014-05-28,9030.0
2014-05-29,9045.0
2014-05-30,9100.0
2014-06-02,9085.0
2014-06-03,9095.0
2014-06-05,9150.0
2014-06-09,9145.0
2014-06-10,9060.0
2014-06-11,9065.0
2014-06-12,9095.0
2014-06-13,9220.0
2014-06-16,9170.0
2014-06-17,9155.0
2014-06-18,9200.0
2014-06-19,9180.0
2014-06-20,9330.0
2014-06-23,9260.0
2014-06-24,9170.0
2014-06-25,9225.0
2014-06-26,9165.0
2014-06-27,9190.0
2014-06-30,9170.0
2014-07-01,9175.0
2014-07-02,9105.0
2014-07-03,9115.0
2014-07-04,9130.0
2014-07-07,9170.0
2014-07-08,9190.0
2014-07-09,9235.0
2014-07-10,9215.0
2014-07-11,9290.0
2014-07-14,9260.0
2014-07-15,9165.0
2014-07-16,9150.0
2014-07-17,9115.0
2014-07-18,9135.0
2014-07-21,9130.0
2014-07-22,9080.0
2014-07-23,9080.0
2014-07-24,9080.0
2014-07-25,9055.0
2014-07-28,8980.0
2014-07-29,8895.0
2014-07-30,8790.0
2014-07-31,8830.0
2014-08-01,8870.0
2014-08-04,8870.0
2014-08-05,8920.0
2014-08-06,8950.0
2014-08-07,8980.0
2014-08-08,9100.0
2014-08-11,9065.0
2014-08-12,9060.0
2014-08-13,9015.0
2014-08-14,8985.0
2014-08-18,9030.0
2014-08-19,8970.0
2014-08-20,8980.0
2014-08-21,9120.0
2014-08-22,9060.0
2014-08-25,9045.0
2014-08-26,9005.0
2014-08-27,9000.0
2014-08-28,8975.0
2014-08-29,9020.0
2014-09-01,9040.0
2014-09-02,9120.0
2014-09-03,9130.0
2014-09-04,9120.0
2014-09-05,9150.0
2014-09-11,9185.0
2014-09-12,9160.0
2014-09-15,9200.0
2014-09-16,9175.0
2014-09-17,9090.0
2014-09-18,9145.0
2014-09-19,9120.0
2014-09-22,9225.0
2014-09-23,9235.0
2014-09-24,9255.0
2014-09-25,9265.0
2014-09-26,9290.0
2014-09-29,9300.0
2014-09-30,9370.0
2014-10-01,9465.0
2014-10-02,9600.0
2014-10-06,9620.0
2014-10-07,9615.0
2014-10-08,9650.0
2014-10-10,9780.0
2014-10-13,9815.0
2014-10-14,9805.0
2014-10-15,9840.0
2014-10-16,9880.0
2014-10-17,10000.0
2014-10-20,9875.0
2014-10-21,9940.0
2014-10-22,9870.0
2014-10-23,9845.0
2014-10-24,9880.0
2014-10-27,9855.0
2014-10-28,9850.0
2014-10-29,9675.0
2014-10-30,9690.0
2014-10-31,9625.0
2014-11-03,9675.0
2014-11-04,9745.0
2014-11-05,9775.0
2014-11-06,9720.0
2014-11-07,9710.0
2014-11-10,9615.0
2014-11-11,9620.0
2014-11-12,9585.0
2014-11-13,9615.0
2014-11-14,9690.0
2014-11-17,9680.0
2014-11-18,9600.0
2014-11-19,9620.0
2014-11-20,9635.0
2014-11-21,9625.0
2014-11-24,9535.0
2014-11-25,9540.0
2014-11-26,9555.0
2014-11-27,9500.0
2014-11-28,9510.0
2014-12-01,9575.0
2014-12-02,9600.0
2014-12-03,9580.0
2014-12-04,9475.0
2014-12-05,9470.0
2014-12-08,9495.0
2014-12-09,9525.0
2014-12-10,9670.0
2014-12-11,9785.0
2014-12-12,9770.0
2014-12-15,9770.0
2014-12-16,9835.0
2014-12-17,9865.0
2014-12-18,9865.0
2014-12-19,9740.0
2014-12-22,9665.0
2014-12-23,9675.0
2014-12-24,9640.0
2014-12-26,9635.0
2014-12-29,9665.0
2014-12-30,9780.0
2015-01-02,9755.0
2015-01-05,9765.0
2015-01-06,9940.0
2015-01-07,9930.0
2015-01-08,9825.0
2015-01-09,9685.0
2015-01-12,9725.0
2015-01-13,9670.0
2015-01-14,9710.0
2015-01-15,9695.0
2015-01-16,9825.0
2015-01-19,9735.0
2015-01-20,9650.0
2015-01-21,9625.0
2015-01-22,9600.0
2015-01-23,9540.0
2015-01-26,9545.0
2015-01-27,9480.0
2015-01-28,9465.0
2015-01-29,9515.0
2015-01-30,9525.0
2015-02-02,9540.0
2015-02-03,9555.0
2015-02-04,9495.0
2015-02-05,9580.0
2015-02-06,9550.0
2015-02-09,9575.0
2015-02-10,9615.0
2015-02-11,9605.0
2015-02-12,9650.0
2015-02-13,9575.0
2015-02-16,9560.0
2015-02-17,9540.0
2015-02-23,9515.0
2015-02-24,9505.0
2015-02-25,9465.0
2015-02-26,9470.0
2015-02-27,9510.0
2015-03-02,9455.0
2015-03-03,9420.0
2015-03-04,9430.0
2015-03-05,9420.0
2015-03-06,9370.0
2015-03-09,9465.0
2015-03-10,9500.0
2015-03-11,9500.0
2015-03-12,9530.0
2015-03-13,9485.0
2015-03-16,9480.0
2015-03-17,9285.0
2015-03-18,9280.0
2015-03-19,9240.0
2015-03-20,9265.0
2015-03-23,9270.0
2015-03-24,9255.0
2015-03-25,9260.0
2015-03-26,9335.0
2015-03-27,9355.0
2015-03-30,9335.0
2015-03-31,9345.0
2015-04-01,9400.0
2015-04-02,9395.0
2015-04-03,9335.0
2015-04-06,9340.0
2015-04-07,9355.0
2015-04-08,9290.0
2015-04-09,9305.0
2015-04-10,9180.0
2015-04-13,9120.0
2015-04-14,9060.0
2015-04-15,9030.0
2015-04-16,8960.0
2015-04-17,8940.0
2015-04-20,8970.0
2015-04-21,8970.0
2015-04-22,8925.0
2015-04-23,8815.0
2015-04-24,8870.0
2015-04-27,8890.0
2015-04-28,8915.0
2015-04-29,8955.0
2015-04-30,9010.0
2015-05-04,8965.0
2015-05-06,9110.0
2015-05-07,9140.0
2015-05-08,9195.0
2015-05-11,9170.0
2015-05-12,9185.0
2015-05-13,9125.0
2015-05-14,9120.0
2015-05-15,9200.0
2015-05-18,9175.0
2015-05-19,9155.0
2015-05-20,9070.0
2015-05-21,9165.0
2015-05-22,9055.0
2015-05-26,9075.0
2015-05-27,9260.0
2015-05-28,9265.0
2015-05-29,9230.0
2015-06-01,9280.0
2015-06-02,9380.0
2015-06-03,9455.0
2015-06-04,9435.0
2015-06-05,9450.0
2015-06-08,9460.0
2015-06-09,9485.0
2015-06-10,9540.0
2015-06-11,9530.0
2015-06-12,9570.0
2015-06-15,9595.0
2015-06-16,9705.0
2015-06-17,9690.0
2015-06-18,9670.0
2015-06-19,9610.0
2015-06-22,9580.0
2015-06-23,9465.0
2015-06-24,9460.0
2015-06-25,9470.0
2015-06-26,9455.0
2015-06-29,9600.0
2015-06-30,9575.0
2015-07-01,9445.0
2015-07-02,9440.0
2015-07-03,9445.0
2015-07-06,9680.0
2015-07-07,9680.0
2015-07-08,9795.0
2015-07-09,9750.0
2015-07-10,9740.0
2015-07-13,9645.0
2015-07-14,9690.0
2015-07-15,9650.0
2015-07-16,9590.0
2015-07-17,9630.0
2015-07-20,9650.0
2015-07-21,9635.0
2015-07-22,9715.0
2015-07-23,9725.0
2015-07-24,9825.0
2015-07-27,9830.0
2015-07-28,9810.0
2015-07-29,9785.0
2015-07-30,9860.0
2015-07-31,9880.0
2015-08-03,9935.0
2015-08-04,9925.0
2015-08-05,9900.0
2015-08-06,10010.0
2015-08-07,10030.0
2015-08-10,10055.0
2015-08-11,10110.0
2015-08-12,10170.0
2015-08-13,10115.0
2015-08-17,10200.0
2015-08-18,10215.0
2015-08-19,10305.0
2015-08-20,10395.0
2015-08-21,10565.0
2015-08-24,10845.0
2015-08-25,10790.0
2015-08-26,10550.0
2015-08-27,10530.0
2015-08-28,10400.0
2015-08-31,10420.0
2015-09-01,10525.0
2015-09-02,10500.0
2015-09-03,10475.0
2015-09-04,10570.0
2015-09-07,10590.0
2015-09-08,10570.0
2015-09-09,10250.0
2015-09-10,10210.0
2015-09-11,10310.0
2015-09-14,10330.0
2015-09-15,10315.0
2015-09-16,10100.0
2015-09-17,10050.0
2015-09-18,9990.0
2015-09-21,10130.0
2015-09-22,10090.0
2015-09-23,10235.0
2015-09-24,10240.0
2015-09-25,10245.0
2015-09-30,10180.0
2015-10-01,10060.0
2015-10-02,10130.0
2015-10-05,10115.0
2015-10-06,10025.0
2015-10-07,9880.0
2015-10-08,9800.0
2015-10-12,9740.0
2015-10-13,9740.0
2015-10-14,9785.0
2015-10-15,9675.0
2015-10-16,9680.0
2015-10-19,9700.0
2015-10-20,9655.0
2015-10-21,9620.0
2015-10-22,9695.0
2015-10-23,9610.0
2015-10-26,9595.0
2015-10-27,9605.0
2015-10-28,9605.0
2015-10-29,9620.0
2015-10-30,9605.0
2015-11-02,9605.0
2015-11-03,9520.0
2015-11-04,9530.0
2015-11-05,9530.0
2015-11-06,9590.0
2015-11-09,9630.0
2015-11-10,9760.0
2015-11-11,9780.0
2015-11-12,9775.0
2015-11-13,9890.0
2015-11-16,10020.0
2015-11-17,9940.0
2015-11-18,9965.0
2015-11-19,9830.0
2015-11-20,9815.0
2015-11-23,9750.0
2015-11-24,9715.0
2015-11-25,9725.0
2015-11-26,9610.0
2015-11-27,9615.0
2015-11-30,9800.0
2015-12-01,9670.0
2015-12-02,9720.0
2015-12-03,9825.0
2015-12-04,9920.0
2015-12-07,9960.0
2015-12-08,10010.0
2015-12-09,10010.0
2015-12-10,9950.0
2015-12-11,10000.0
2015-12-14,10075.0
2015-12-15,10040.0
2015-12-16,9825.0
2015-12-17,9850.0
2015-12-18,9865.0
2015-12-21,9835.0
2015-12-22,9815.0
2015-12-23,9720.0
2015-12-24,9750.0
2015-12-28,9895.0
2015-12-29,9835.0
2015-12-30,9860.0
2016-01-04,10095.0
2016-01-05,10045.0
2016-01-06,10120.0
2016-01-07,10200.0
2016-01-08,10135.0
2016-01-11,10245.0
2016-01-12,10275.0
2016-01-13,10145.0
2016-01-14,10225.0
2016-01-15,10355.0
2016-01-18,10345.0
2016-01-19,10315.0
2016-01-20,10555.0
2016-01-21,10565.0
2016-01-22,10325.0
2016-01-25,10280.0
2016-01-26,10415.0
2016-01-27,10270.0
2016-01-28,10250.0
2016-01-29,10225.0
2016-02-01,10155.0
2016-02-02,10235.0
2016-02-03,10355.0
2016-02-04,10155.0
2016-02-05,10135.0
2016-02-11,10415.0
2016-02-12,10480.0
2016-02-15,10360.0
2016-02-16,10200.0
2016-02-17,10190.0
2016-02-18,10100.0
2016-02-19,10065.0
2016-02-22,10060.0
2016-02-23,10055.0
2016-02-24,10070.0
2016-02-25,10040.0
2016-02-26,10045.0
2016-02-29,10055.0
2016-03-02,9905.0
2016-03-03,9870.0
2016-03-04,9870.0
2016-03-07,9850.0
2016-03-08,9920.0
2016-03-09,9880.0
2016-03-10,9765.0
2016-03-11,9775.0
2016-03-14,9775.0
2016-03-15,9785.0
2016-03-16,9760.0
2016-03-17,9710.0
2016-03-18,9700.0
2016-03-21,9715.0
2016-03-22,9675.0
2016-03-23,9680.0
2016-03-24,9695.0
2016-03-25,9710.0
2016-03-28,9700.0
2016-03-29,9660.0
2016-03-30,9610.0
2016-03-31,9645.0
2016-04-01,9775.0
2016-04-04,9765.0
2016-04-05,9855.0
2016-04-06,9805.0
2016-04-07,9805.0
2016-04-08,9830.0
2016-04-11,9805.0
2016-04-12,9750.0
2016-04-14,9545.0
2016-04-15,9550.0
2016-04-18,9590.0
2016-04-19,9570.0
2016-04-20,9595.0
2016-04-21,9530.0
2016-04-22,9570.0
2016-04-25,9580.0
2016-04-26,9550.0
2016-04-27,9550.0
2016-04-28,9650.0
2016-04-29,9645.0
2016-05-02,9745.0
2016-05-03,9720.0
2016-05-04,9780.0
2016-05-09,9815.0
2016-05-10,9770.0
2016-05-11,9770.0
2016-05-12,9785.0
2016-05-13,9865.0
2016-05-16,9875.0
2016-05-17,9855.0
2016-05-18,9925.0
2016-05-19,9960.0
2016-05-20,9940.0
2016-05-23,9920.0
2016-05-24,9980.0
2016-05-25,9865.0
2016-05-26,9870.0
2016-05-27,9830.0
2016-05-30,9850.0
2016-05-31,9780.0
2016-06-01,9775.0
2016-06-02,9755.0
2016-06-03,9740.0
2016-06-07,9605.0
2016-06-08,9520.0
2016-06-09,9525.0
2016-06-10,9545.0
2016-06-13,9715.0
2016-06-14,9765.0
