Date,KINDEX 중국본토CSI300
2014-01-13,11450.0
2014-01-14,11460.0
2014-01-15,11505.0
2014-01-16,11555.0
2014-01-17,11390.0
2014-01-20,11310.0
2014-01-21,11420.0
2014-01-22,11665.0
2014-01-23,11675.0
2014-01-24,11865.0
2014-01-27,11765.0
2014-01-28,11690.0
2014-01-29,11695.0
2014-02-03,11560.0
2014-02-04,11505.0
2014-02-05,11495.0
2014-02-06,11465.0
2014-02-07,11490.0
2014-02-10,11795.0
2014-02-11,11905.0
2014-02-12,11900.0
2014-02-13,11870.0
2014-02-14,11860.0
2014-02-17,11910.0
2014-02-18,11880.0
2014-02-19,11920.0
2014-02-20,11945.0
2014-02-21,11795.0
2014-02-24,11580.0
2014-02-25,11400.0
2014-02-26,11170.0
2014-02-27,11215.0
2014-02-28,11135.0
2014-03-03,11270.0
2014-03-04,11240.0
2014-03-05,11255.0
2014-03-06,11225.0
2014-03-07,11200.0
2014-03-10,10905.0
2014-03-11,10855.0
2014-03-12,10780.0
2014-03-13,10955.0
2014-03-14,10870.0
2014-03-17,10940.0
2014-03-18,10945.0
2014-03-19,10805.0
2014-03-20,10820.0
2014-03-21,11015.0
2014-03-24,11155.0
2014-03-25,11190.0
2014-03-26,11145.0
2014-03-27,11115.0
2014-03-28,11080.0
2014-03-31,10980.0
2014-04-01,11035.0
2014-04-02,11015.0
2014-04-03,11025.0
2014-04-04,10995.0
2014-04-07,10980.0
2014-04-08,11215.0
2014-04-09,11150.0
2014-04-10,11180.0
2014-04-11,11220.0
2014-04-14,11210.0
2014-04-15,11125.0
2014-04-16,11060.0
2014-04-17,11040.0
2014-04-18,11000.0
2014-04-21,10950.0
2014-04-22,10820.0
2014-04-23,10805.0
2014-04-24,10810.0
2014-04-25,10800.0
2014-04-28,10600.0
2014-04-29,10505.0
2014-04-30,10580.0
2014-05-02,10605.0
2014-05-07,10500.0
2014-05-08,10575.0
2014-05-09,10450.0
2014-05-12,10680.0
2014-05-13,10645.0
2014-05-14,10705.0
2014-05-15,10685.0
2014-05-16,10525.0
2014-05-19,10420.0
2014-05-20,10430.0
2014-05-21,10440.0
2014-05-22,10490.0
2014-05-23,10475.0
2014-05-26,10590.0
2014-05-27,10575.0
2014-05-28,10550.0
2014-05-29,10550.0
2014-05-30,10545.0
2014-06-02,10560.0
2014-06-03,10560.0
2014-06-05,10415.0
2014-06-09,10450.0
2014-06-10,10540.0
2014-06-11,10525.0
2014-06-12,10555.0
2014-06-13,10660.0
2014-06-16,10780.0
2014-06-17,10790.0
2014-06-18,10645.0
2014-06-19,10535.0
2014-06-20,10465.0
2014-06-23,10455.0
2014-06-24,10480.0
2014-06-25,10430.0
2014-06-26,10485.0
2014-06-27,10495.0
2014-06-30,10595.0
2014-07-01,10605.0
2014-07-02,10570.0
2014-07-03,10670.0
2014-07-04,10650.0
2014-07-07,10665.0
2014-07-08,10675.0
2014-07-09,10625.0
2014-07-10,10540.0
2014-07-11,10575.0
2014-07-14,10670.0
2014-07-15,10765.0
2014-07-16,10840.0
2014-07-17,10790.0
2014-07-18,10825.0
2014-07-21,10810.0
2014-07-22,10935.0
2014-07-23,10990.0
2014-07-24,11175.0
2014-07-25,11285.0
2014-07-28,11610.0
2014-07-29,11700.0
2014-07-30,11705.0
2014-07-31,11705.0
2014-08-01,11890.0
2014-08-04,11975.0
2014-08-05,11875.0
2014-08-06,11880.0
2014-08-07,11910.0
2014-08-08,11900.0
2014-08-11,11955.0
2014-08-12,11940.0
2014-08-13,11860.0
2014-08-14,11890.0
2014-08-18,11855.0
2014-08-19,11895.0
2014-08-20,11925.0
2014-08-21,11725.0
2014-08-22,11770.0
2014-08-25,11770.0
2014-08-26,11625.0
2014-08-27,11580.0
2014-08-28,11540.0
2014-08-29,11615.0
2014-09-01,11715.0
2014-09-02,11850.0
2014-09-03,12085.0
2014-09-04,12120.0
2014-09-05,12230.0
2014-09-11,12300.0
2014-09-12,12350.0
2014-09-15,12365.0
2014-09-16,12275.0
2014-09-17,12160.0
2014-09-18,12215.0
2014-09-19,12315.0
2014-09-22,12055.0
2014-09-23,12170.0
2014-09-24,12450.0
2014-09-25,12625.0
2014-09-26,12545.0
2014-09-29,12600.0
2014-09-30,12680.0
2014-10-01,12670.0
2014-10-02,12460.0
2014-10-06,12695.0
2014-10-07,12755.0
2014-10-08,12960.0
2014-10-10,12900.0
2014-10-13,12755.0
2014-10-14,12720.0
2014-10-15,12800.0
2014-10-16,12830.0
2014-10-17,12570.0
2014-10-20,12795.0
2014-10-21,12680.0
2014-10-22,12645.0
2014-10-23,12510.0
2014-10-24,12505.0
2014-10-27,12330.0
2014-10-28,12470.0
2014-10-29,12685.0
2014-10-30,12770.0
2014-10-31,13100.0
2014-11-03,13300.0
2014-11-04,13295.0
2014-11-05,13360.0
2014-11-06,13315.0
2014-11-07,13600.0
2014-11-10,13690.0
2014-11-11,13800.0
2014-11-12,13925.0
2014-11-13,13950.0
2014-11-14,13970.0
2014-11-17,13990.0
2014-11-18,13750.0
2014-11-19,13845.0
2014-11-20,14000.0
2014-11-21,14020.0
2014-11-24,14735.0
2014-11-25,14590.0
2014-11-26,14640.0
2014-11-27,14875.0
2014-11-28,14990.0
2014-12-01,15275.0
2014-12-02,15650.0
2014-12-03,16200.0
2014-12-04,16850.0
2014-12-05,17300.0
2014-12-08,17800.0
2014-12-09,17920.0
2014-12-10,17000.0
2014-12-11,16905.0
2014-12-12,16990.0
2014-12-15,16980.0
2014-12-16,17040.0
2014-12-17,17515.0
2014-12-18,18000.0
2014-12-19,17935.0
2014-12-22,18260.0
2014-12-23,18035.0
2014-12-24,17050.0
2014-12-26,18060.0
2014-12-29,18260.0
2014-12-30,18205.0
2015-01-02,18915.0
2015-01-05,19490.0
2015-01-06,19275.0
2015-01-07,19100.0
2015-01-08,18900.0
2015-01-09,19165.0
2015-01-12,18265.0
2015-01-13,18340.0
2015-01-14,18195.0
2015-01-15,18395.0
2015-01-16,18820.0
2015-01-19,17235.0
2015-01-20,17570.0
2015-01-21,18270.0
2015-01-22,18370.0
2015-01-23,18540.0
2015-01-26,18545.0
2015-01-27,18500.0
2015-01-28,18520.0
2015-01-29,18110.0
2015-01-30,18010.0
2015-02-02,17665.0
2015-02-03,17820.0
2015-02-04,18000.0
2015-02-05,17930.0
2015-02-06,17595.0
2015-02-09,17715.0
