Date,KINDEX 중기국고채
2014-01-13,102545.0
2014-01-14,102525.0
2014-01-15,102495.0
2014-01-16,102555.0
2014-01-17,102580.0
2014-01-20,102545.0
2014-01-21,102515.0
2014-01-22,102505.0
2014-01-23,102570.0
2014-01-24,102715.0
2014-01-27,102645.0
2014-01-28,102620.0
2014-01-29,102670.0
2014-02-03,102750.0
2014-02-04,102825.0
2014-02-05,102860.0
2014-02-06,102825.0
2014-02-07,102855.0
2014-02-10,102910.0
2014-02-11,102965.0
2014-02-12,102925.0
2014-02-13,102925.0
2014-02-14,102975.0
2014-02-17,103010.0
2014-02-18,102965.0
2014-02-19,103005.0
2014-02-20,103015.0
2014-02-21,102985.0
2014-02-24,103010.0
2014-02-25,103025.0
2014-02-26,103085.0
2014-02-27,103105.0
2014-02-28,103135.0
2014-03-03,103100.0
2014-03-04,102980.0
2014-03-05,102960.0
2014-03-06,102640.0
2014-03-07,102630.0
2014-03-10,102645.0
2014-03-11,102700.0
2014-03-12,102730.0
2014-03-13,102790.0
2014-03-14,102860.0
2014-03-17,102890.0
2014-03-18,102855.0
2014-03-19,102905.0
2014-03-20,102855.0
2014-03-21,102790.0
2014-03-24,102815.0
2014-03-25,102835.0
2014-03-26,102820.0
2014-03-27,102905.0
2014-03-28,102960.0
2014-03-31,102835.0
2014-04-01,102935.0
2014-04-02,102810.0
2014-04-03,102885.0
2014-04-04,102930.0
2014-04-07,102970.0
2014-04-08,103000.0
2014-04-09,103000.0
2014-04-10,103100.0
2014-04-11,103080.0
2014-04-14,103045.0
2014-04-15,103020.0
2014-04-16,103055.0
2014-04-17,103050.0
2014-04-18,103095.0
2014-04-21,103090.0
2014-04-22,103075.0
2014-04-23,103005.0
2014-04-24,103115.0
2014-04-25,103040.0
2014-04-28,103065.0
2014-04-29,103175.0
2014-04-30,103225.0
2014-05-02,103240.0
2014-05-07,103255.0
2014-05-08,103350.0
2014-05-09,103365.0
2014-05-12,103420.0
2014-05-13,103390.0
2014-05-14,103330.0
2014-05-15,103440.0
2014-05-16,103500.0
2014-05-19,103440.0
2014-05-20,103490.0
2014-05-21,103520.0
2014-05-22,103505.0
2014-05-23,103505.0
2014-05-26,103555.0
2014-05-27,103595.0
2014-05-28,103605.0
2014-05-29,103700.0
2014-05-30,103675.0
2014-06-02,103590.0
2014-06-03,103690.0
2014-06-05,102700.0
2014-06-09,102730.0
2014-06-10,102745.0
2014-06-11,102795.0
2014-06-12,102835.0
2014-06-13,103025.0
2014-06-16,103065.0
2014-06-17,103020.0
2014-06-18,103055.0
2014-06-19,103070.0
2014-06-20,103160.0
2014-06-23,103225.0
2014-06-24,103235.0
2014-06-25,103165.0
2014-06-26,103250.0
2014-06-27,103285.0
2014-06-30,103315.0
2014-07-01,103330.0
2014-07-02,103545.0
2014-07-03,103540.0
2014-07-04,103590.0
2014-07-07,103600.0
2014-07-08,103610.0
2014-07-09,103510.0
2014-07-10,103710.0
2014-07-11,103670.0
