Date,KODEX 200
2014-01-13,25630.0
2014-01-14,25595.0
2014-01-15,25670.0
2014-01-16,25790.0
2014-01-17,25550.0
2014-01-20,25705.0
2014-01-21,25910.0
2014-01-22,25870.0
2014-01-23,25605.0
2014-01-24,25490.0
2014-01-27,25185.0
2014-01-28,25250.0
2014-01-29,25530.0
2014-02-03,25200.0
2014-02-04,24720.0
2014-02-05,24830.0
2014-02-06,25025.0
2014-02-07,25240.0
2014-02-10,25250.0
2014-02-11,25345.0
2014-02-12,25410.0
2014-02-13,25225.0
2014-02-14,25525.0
2014-02-17,25570.0
2014-02-18,25560.0
2014-02-19,25435.0
2014-02-20,25290.0
2014-02-21,25685.0
2014-02-24,25595.0
2014-02-25,25810.0
2014-02-26,25915.0
2014-02-27,25955.0
2014-02-28,25985.0
2014-03-03,25775.0
2014-03-04,25695.0
2014-03-05,25930.0
2014-03-06,25955.0
2014-03-07,25900.0
2014-03-10,25575.0
2014-03-11,25690.0
2014-03-12,25300.0
2014-03-13,25360.0
2014-03-14,25110.0
2014-03-17,25205.0
2014-03-18,25370.0
2014-03-19,25370.0
2014-03-20,25070.0
2014-03-21,25265.0
2014-03-24,25400.0
2014-03-25,25365.0
2014-03-26,25725.0
2014-03-27,25870.0
2014-03-28,25870.0
2014-03-31,25990.0
2014-04-01,26010.0
2014-04-02,26090.0
2014-04-03,26070.0
2014-04-04,26165.0
2014-04-07,26105.0
2014-04-08,26240.0
2014-04-09,26280.0
2014-04-10,26350.0
2014-04-11,26145.0
2014-04-14,26225.0
2014-04-15,26075.0
2014-04-16,26185.0
2014-04-17,26145.0
2014-04-18,26340.0
2014-04-21,26300.0
2014-04-22,26295.0
2014-04-23,26265.0
2014-04-24,26240.0
2014-04-25,25865.0
2014-04-28,25870.0
2014-04-29,25530.0
2014-04-30,25515.0
2014-05-02,25420.0
2014-05-07,25175.0
2014-05-08,25290.0
2014-05-09,25325.0
2014-05-12,25485.0
2014-05-13,25835.0
2014-05-14,26160.0
2014-05-15,26165.0
2014-05-16,26150.0
2014-05-19,26205.0
2014-05-20,26170.0
2014-05-21,26175.0
2014-05-22,26315.0
2014-05-23,26270.0
2014-05-26,26225.0
2014-05-27,25960.0
2014-05-28,26245.0
2014-05-29,26220.0
2014-05-30,26000.0
2014-06-02,26060.0
2014-06-03,26085.0
2014-06-05,25950.0
2014-06-09,25945.0
2014-06-10,26215.0
2014-06-11,26195.0
2014-06-12,26100.0
2014-06-13,25780.0
2014-06-16,25920.0
2014-06-17,25965.0
2014-06-18,25815.0
2014-06-19,25880.0
2014-06-20,25505.0
2014-06-23,25645.0
2014-06-24,25930.0
2014-06-25,25780.0
2014-06-26,25950.0
2014-06-27,25885.0
2014-06-30,26000.0
2014-07-01,25935.0
2014-07-02,26115.0
2014-07-03,26085.0
2014-07-04,26050.0
2014-07-07,25910.0
2014-07-08,25910.0
2014-07-09,25785.0
2014-07-10,25835.0
2014-07-11,25630.0
2014-07-14,25720.0
2014-07-15,25990.0
2014-07-16,26030.0
2014-07-17,26110.0
2014-07-18,26075.0
2014-07-21,26085.0
2014-07-22,26240.0
2014-07-23,26235.0
2014-07-24,26245.0
2014-07-25,26300.0
2014-07-28,26545.0
2014-07-29,26800.0
2014-07-30,27120.0
2014-07-31,26990.0
2014-08-01,26870.0
2014-08-04,26865.0
2014-08-05,26685.0
2014-08-06,26605.0
2014-08-07,26495.0
2014-08-08,26160.0
2014-08-11,26315.0
2014-08-12,26315.0
2014-08-13,26465.0
2014-08-14,26540.0
2014-08-18,26395.0
2014-08-19,26615.0
2014-08-20,26580.0
2014-08-21,26165.0
2014-08-22,26360.0
2014-08-25,26430.0
2014-08-26,26525.0
2014-08-27,26530.0
2014-08-28,26555.0
2014-08-29,26480.0
2014-09-01,26430.0
2014-09-02,26200.0
2014-09-03,26130.0
2014-09-04,26220.0
2014-09-05,26170.0
2014-09-11,26050.0
2014-09-12,26100.0
2014-09-15,26005.0
2014-09-16,26090.0
2014-09-17,26330.0
2014-09-18,26160.0
2014-09-19,26265.0
2014-09-22,25950.0
2014-09-23,25865.0
2014-09-24,25855.0
2014-09-25,25850.0
2014-09-26,25765.0
2014-09-29,25725.0
2014-09-30,25615.0
2014-10-01,25265.0
2014-10-02,24960.0
2014-10-06,24920.0
2014-10-07,24965.0
2014-10-08,24885.0
2014-10-10,24500.0
2014-10-13,24440.0
2014-10-14,24415.0
2014-10-15,24380.0
2014-10-16,24260.0
2014-10-17,23975.0
2014-10-20,24305.0
2014-10-21,24130.0
2014-10-22,24295.0
2014-10-23,24345.0
2014-10-24,24250.0
2014-10-27,24365.0
2014-10-28,24345.0
2014-10-29,24795.0
2014-10-30,24780.0
2014-10-31,24970.0
2014-11-03,24810.0
2014-11-04,24640.0
2014-11-05,24570.0
2014-11-06,24710.0
2014-11-07,24725.0
2014-11-10,24965.0
2014-11-11,24965.0
2014-11-12,25045.0
2014-11-13,24970.0
2014-11-14,24755.0
2014-11-17,24815.0
2014-11-18,25015.0
2014-11-19,24980.0
2014-11-20,24880.0
2014-11-21,24965.0
2014-11-24,25200.0
2014-11-25,25200.0
2014-11-26,25145.0
2014-11-27,25290.0
2014-11-28,25285.0
2014-12-01,25070.0
2014-12-02,25060.0
2014-12-03,25110.0
2014-12-04,25375.0
2014-12-05,25390.0
2014-12-08,25350.0
2014-12-09,25270.0
2014-12-10,24900.0
2014-12-11,24610.0
2014-12-12,24640.0
2014-12-15,24650.0
2014-12-16,24465.0
2014-12-17,24385.0
