Date,KODEX China H
2014-01-13,15390.0
2014-01-14,15455.0
2014-01-15,15620.0
2014-01-16,15615.0
2014-01-17,15550.0
2014-01-20,15265.0
2014-01-21,15560.0
2014-01-22,15700.0
2014-01-23,15495.0
2014-01-24,15480.0
2014-01-27,15295.0
2014-01-28,15150.0
2014-01-29,15370.0
2014-02-03,15175.0
2014-02-04,14820.0
2014-02-05,14725.0
2014-02-06,14755.0
2014-02-07,14875.0
2014-02-10,14925.0
2014-02-11,15175.0
2014-02-12,15220.0
2014-02-13,15135.0
2014-02-14,15145.0
2014-02-17,15305.0
2014-02-18,15295.0
2014-02-19,15330.0
2014-02-20,15285.0
2014-02-21,15180.0
2014-02-24,15000.0
2014-02-25,15065.0
2014-02-26,14900.0
2014-02-27,15090.0
2014-02-28,15335.0
2014-03-03,15090.0
2014-03-04,15045.0
2014-03-05,14960.0
2014-03-06,14850.0
2014-03-07,14765.0
2014-03-10,14600.0
2014-03-11,14630.0
2014-03-12,14335.0
2014-03-13,14390.0
2014-03-14,14220.0
2014-03-17,14275.0
2014-03-18,14330.0
2014-03-19,14325.0
2014-03-20,14240.0
2014-03-21,14480.0
2014-03-24,14915.0
2014-03-25,15000.0
2014-03-26,15140.0
2014-03-27,15105.0
2014-03-28,15260.0
2014-03-31,15480.0
2014-04-01,15170.0
2014-04-02,15080.0
2014-04-03,15135.0
2014-04-04,15180.0
2014-04-07,15225.0
2014-04-08,15420.0
2014-04-09,15350.0
2014-04-10,15355.0
2014-04-11,15080.0
2014-04-14,15015.0
2014-04-15,14965.0
2014-04-16,14915.0
2014-04-17,14890.0
2014-04-18,15000.0
2014-04-21,14925.0
2014-04-22,14845.0
2014-04-23,14810.0
2014-04-24,14800.0
2014-04-25,14650.0
2014-04-28,14595.0
2014-04-29,14430.0
2014-04-30,14470.0
2014-05-02,14570.0
2014-05-07,14215.0
2014-05-08,14345.0
2014-05-09,14295.0
2014-05-12,14500.0
2014-05-13,14460.0
2014-05-14,14675.0
2014-05-15,14670.0
2014-05-16,14615.0
2014-05-19,14495.0
2014-05-20,14500.0
2014-05-21,14680.0
2014-05-22,14840.0
2014-05-23,14815.0
2014-05-26,14795.0
2014-05-27,14755.0
2014-05-28,14940.0
2014-05-29,14925.0
2014-05-30,15090.0
2014-06-02,14945.0
2014-06-03,15100.0
2014-06-05,15005.0
2014-06-09,15080.0
2014-06-10,15205.0
2014-06-11,15190.0
2014-06-12,15185.0
2014-06-13,15345.0
2014-06-16,15400.0
2014-06-17,15285.0
2014-06-18,15330.0
2014-06-19,15325.0
2014-06-20,15320.0
2014-06-23,15290.0
2014-06-24,15125.0
2014-06-25,15020.0
2014-06-26,15175.0
2014-06-27,14985.0
2014-06-30,15400.0
2014-07-01,15295.0
2014-07-02,15230.0
2014-07-03,15330.0
2014-07-04,15400.0
2014-07-07,15390.0
2014-07-08,15525.0
2014-07-09,15400.0
2014-07-10,15340.0
2014-07-11,15420.0
2014-07-14,15545.0
2014-07-15,15745.0
2014-07-16,15730.0
2014-07-17,15755.0
2014-07-18,15725.0
2014-07-21,15755.0
2014-07-22,15870.0
2014-07-23,16135.0
2014-07-24,16445.0
2014-07-25,16420.0
2014-07-28,16645.0
2014-07-29,16645.0
2014-07-30,16700.0
2014-07-31,16950.0
2014-08-01,16830.0
2014-08-04,16870.0
2014-08-05,16625.0
2014-08-06,16650.0
2014-08-07,16645.0
2014-08-08,16535.0
2014-08-11,16690.0
2014-08-12,16675.0
2014-08-13,16795.0
2014-08-14,16855.0
2014-08-18,16540.0
2014-08-19,16620.0
2014-08-20,16580.0
2014-08-21,16430.0
2014-08-22,16540.0
2014-08-25,16640.0
2014-08-26,16690.0
2014-08-27,16650.0
2014-08-28,16535.0
2014-08-29,16420.0
2014-09-01,16430.0
2014-09-02,16410.0
2014-09-03,16775.0
2014-09-04,16945.0
2014-09-05,17035.0
2014-09-11,16870.0
2014-09-12,16850.0
2014-09-15,16620.0
2014-09-16,16605.0
2014-09-17,16585.0
2014-09-18,16535.0
2014-09-19,16665.0
2014-09-22,16315.0
2014-09-23,16285.0
2014-09-24,16365.0
2014-09-25,16480.0
2014-09-26,16260.0
2014-09-29,16170.0
2014-09-30,16270.0
2014-10-01,15985.0
2014-10-02,15880.0
2014-10-06,16275.0
2014-10-07,16420.0
2014-10-08,16395.0
2014-10-10,16150.0
2014-10-13,16060.0
2014-10-14,16080.0
2014-10-15,16170.0
2014-10-16,15995.0
2014-10-17,15955.0
2014-10-20,16100.0
2014-10-21,15885.0
2014-10-22,16135.0
2014-10-23,16145.0
2014-10-24,16105.0
2014-10-27,15930.0
2014-10-28,16095.0
2014-10-29,16380.0
2014-10-30,16405.0
2014-10-31,17175.0
2014-11-03,16780.0
2014-11-04,17015.0
2014-11-05,16950.0
2014-11-06,16950.0
2014-11-07,17060.0
2014-11-10,17060.0
2014-11-11,17200.0
2014-11-12,17200.0
2014-11-13,17440.0
2014-11-14,17305.0
2014-11-17,17040.0
2014-11-18,16930.0
2014-11-19,16930.0
2014-11-20,17045.0
2014-11-21,17095.0
2014-11-24,17780.0
2014-11-25,17550.0
2014-11-26,17605.0
2014-11-27,17840.0
2014-11-28,18465.0
2014-12-01,17875.0
2014-12-02,17965.0
2014-12-03,18180.0
2014-12-04,18620.0
2014-12-05,19225.0
2014-12-08,19425.0
2014-12-09,18995.0
2014-12-10,18400.0
2014-12-11,18220.0
2014-12-12,18295.0
2014-12-15,18120.0
2014-12-16,17785.0
2014-12-17,18035.0
2014-12-18,18350.0
2014-12-19,18445.0
2014-12-22,18970.0
2014-12-23,19095.0
2014-12-24,18580.0
2014-12-26,18620.0
2014-12-29,19260.0
2014-12-30,19030.0
2015-01-02,19625.0
2015-01-05,20065.0
2015-01-06,19380.0
2015-01-07,19250.0
2015-01-08,19370.0
2015-01-09,19785.0
2015-01-12,19065.0
2015-01-13,19240.0
2015-01-14,19160.0
2015-01-15,19195.0
2015-01-16,19280.0
2015-01-19,18270.0
2015-01-20,18715.0
2015-01-21,19105.0
2015-01-22,19375.0
2015-01-23,19455.0
2015-01-26,19330.0
2015-01-27,19210.0
2015-01-28,19325.0
2015-01-29,18850.0
2015-01-30,19145.0
2015-02-02,18800.0
2015-02-03,18755.0
2015-02-04,18955.0
2015-02-05,19005.0
2015-02-06,18885.0
2015-02-09,18835.0
2015-02-10,18870.0
2015-02-11,18900.0
2015-02-12,19200.0
2015-02-13,19195.0
2015-02-16,19265.0
2015-02-17,19320.0
2015-02-23,19530.0
2015-02-24,19535.0
2015-02-25,19500.0
2015-02-26,19530.0
2015-02-27,19875.0
2015-03-02,19660.0
2015-03-03,19335.0
2015-03-04,19160.0
2015-03-05,18865.0
2015-03-06,18915.0
2015-03-09,19050.0
2015-03-10,19095.0
2015-03-11,19060.0
2015-03-12,19120.0
2015-03-13,19420.0
2015-03-16,19555.0
2015-03-17,19610.0
2015-03-18,19840.0
2015-03-19,19815.0
2015-03-20,19985.0
2015-03-23,19815.0
2015-03-24,19500.0
2015-03-25,19340.0
2015-03-26,19455.0
2015-03-27,19320.0
2015-03-30,19870.0
2015-03-31,20790.0
2015-04-01,20240.0
2015-04-02,20265.0
2015-04-03,20405.0
2015-04-06,20400.0
2015-04-07,20700.0
2015-04-08,21175.0
2015-04-09,22285.0
2015-04-10,22450.0
2015-04-13,23260.0
2015-04-14,23220.0
2015-04-15,23360.0
2015-04-16,23400.0
2015-04-17,23660.0
2015-04-20,22560.0
2015-04-21,23020.0
2015-04-22,23240.0
2015-04-23,23515.0
2015-04-24,22775.0
2015-04-27,23300.0
2015-04-28,23205.0
2015-04-29,23030.0
2015-04-30,23035.0
2015-05-04,22980.0
2015-05-06,22610.0
2015-05-07,22185.0
2015-05-08,22415.0
2015-05-11,22700.0
2015-05-12,22670.0
2015-05-13,22675.0
2015-05-14,22195.0
2015-05-15,22095.0
2015-05-18,22110.0
2015-05-19,22595.0
2015-05-20,22890.0
2015-05-21,22700.0
2015-05-22,22925.0
2015-05-26,23925.0
2015-05-27,23785.0
2015-05-28,23045.0
2015-05-29,23385.0
2015-06-01,23430.0
2015-06-02,23065.0
2015-06-03,22920.0
2015-06-04,22880.0
2015-06-05,22820.0
2015-06-08,23385.0
2015-06-09,22820.0
2015-06-10,22745.0
2015-06-11,22520.0
2015-06-12,22905.0
2015-06-15,22540.0
2015-06-16,22100.0
2015-06-17,22055.0
2015-06-18,21775.0
2015-06-19,21840.0
2015-06-22,21410.0
2015-06-23,22215.0
2015-06-24,22595.0
2015-06-25,22455.0
2015-06-26,21945.0
