Date,KODEX MSCI Korea
2014-01-13,11280.0
2014-01-14,11280.0
2014-01-15,11310.0
2014-01-16,11325.0
2014-01-17,11265.0
2014-01-20,11285.0
2014-01-21,11370.0
2014-01-22,11395.0
2014-01-23,11310.0
2014-01-24,11195.0
2014-01-27,11075.0
2014-01-28,11085.0
2014-01-29,11200.0
2014-02-03,11110.0
2014-02-04,10905.0
2014-02-05,10910.0
2014-02-06,11015.0
2014-02-07,11090.0
2014-02-10,11090.0
2014-02-11,11150.0
2014-02-12,11220.0
2014-02-13,11175.0
2014-02-14,11215.0
2014-02-17,11305.0
2014-02-18,11285.0
2014-02-19,11230.0
2014-02-20,11170.0
2014-02-21,11340.0
2014-02-24,11340.0
2014-02-25,11370.0
2014-02-26,11330.0
2014-02-27,11470.0
2014-02-28,11475.0
2014-03-03,11400.0
2014-03-04,11375.0
2014-03-05,11445.0
2014-03-06,11485.0
2014-03-07,11495.0
2014-03-10,11360.0
2014-03-11,11360.0
2014-03-12,11245.0
2014-03-13,11245.0
2014-03-14,11090.0
2014-03-17,11090.0
2014-03-18,11140.0
2014-03-19,11140.0
2014-03-20,11065.0
2014-03-21,11090.0
2014-03-24,11155.0
2014-03-25,11155.0
2014-03-26,11275.0
2014-03-27,11405.0
2014-03-28,11425.0
2014-03-31,11500.0
2014-04-01,11500.0
2014-04-02,11530.0
2014-04-03,11585.0
2014-04-04,11585.0
2014-04-07,11585.0
2014-04-08,11590.0
2014-04-09,11615.0
2014-04-10,11655.0
2014-04-11,11630.0
2014-04-14,11620.0
2014-04-15,11620.0
2014-04-16,11610.0
2014-04-17,11570.0
2014-04-18,11615.0
2014-04-21,11615.0
2014-04-22,11615.0
2014-04-23,11650.0
2014-04-24,11650.0
2014-04-25,11580.0
2014-04-28,11510.0
2014-04-29,11380.0
2014-04-30,11330.0
2014-05-02,11320.0
2014-05-07,11165.0
2014-05-08,11240.0
2014-05-09,11240.0
2014-05-12,11290.0
2014-05-13,11450.0
2014-05-14,11595.0
2014-05-15,11620.0
2014-05-16,11665.0
2014-05-19,11705.0
2014-05-20,11705.0
2014-05-21,11675.0
2014-05-22,11765.0
2014-05-23,11710.0
2014-05-26,11655.0
2014-05-27,11570.0
2014-05-28,11640.0
2014-05-29,11705.0
2014-05-30,11605.0
2014-06-02,11605.0
2014-06-03,11660.0
2014-06-05,11660.0
