Date,KODEX 건설
2014-01-13,3535.0
2014-01-14,3480.0
2014-01-15,3485.0
2014-01-16,3515.0
2014-01-17,3495.0
2014-01-20,3505.0
2014-01-21,3545.0
2014-01-22,3530.0
2014-01-23,3540.0
2014-01-24,3475.0
2014-01-27,3430.0
2014-01-28,3410.0
2014-01-29,3535.0
2014-02-03,3495.0
2014-02-04,3425.0
2014-02-05,3515.0
2014-02-06,3580.0
2014-02-07,3560.0
2014-02-10,3570.0
2014-02-11,3550.0
2014-02-12,3535.0
2014-02-13,3535.0
2014-02-14,3560.0
2014-02-17,3700.0
2014-02-18,3700.0
2014-02-19,3715.0
2014-02-20,3780.0
2014-02-21,3810.0
2014-02-24,3815.0
2014-02-25,3805.0
2014-02-26,3775.0
2014-02-27,3805.0
2014-02-28,3750.0
2014-03-03,3725.0
2014-03-04,3685.0
2014-03-05,3770.0
2014-03-06,3770.0
2014-03-07,3755.0
2014-03-10,3690.0
2014-03-11,3715.0
2014-03-12,3585.0
2014-03-13,3600.0
2014-03-14,3535.0
2014-03-17,3555.0
2014-03-18,3565.0
2014-03-19,3555.0
2014-03-20,3505.0
2014-03-21,3520.0
2014-03-24,3510.0
2014-03-25,3575.0
2014-03-26,3600.0
2014-03-27,3620.0
2014-03-28,3665.0
2014-03-31,3700.0
2014-04-01,3660.0
2014-04-02,3680.0
2014-04-03,3690.0
2014-04-04,3670.0
2014-04-07,3625.0
2014-04-08,3655.0
2014-04-09,3700.0
2014-04-10,3730.0
2014-04-11,3710.0
2014-04-14,3710.0
2014-04-15,3695.0
2014-04-16,3695.0
2014-04-17,3695.0
2014-04-18,3720.0
2014-04-21,3695.0
2014-04-22,3715.0
2014-04-23,3710.0
2014-04-24,3695.0
2014-04-25,3630.0
2014-04-28,3650.0
2014-04-29,3680.0
2014-04-30,3725.0
2014-05-02,3715.0
2014-05-07,3650.0
2014-05-08,3625.0
2014-05-09,3645.0
2014-05-12,3590.0
2014-05-13,3625.0
2014-05-14,3640.0
2014-05-15,3735.0
2014-05-16,3710.0
2014-05-19,3690.0
2014-05-20,3660.0
2014-05-21,3645.0
2014-05-22,3680.0
2014-05-23,3670.0
2014-05-26,3685.0
2014-05-27,3670.0
2014-05-28,3690.0
2014-05-29,3650.0
2014-05-30,3600.0
2014-06-02,3600.0
2014-06-03,3595.0
2014-06-05,3555.0
2014-06-09,3580.0
2014-06-10,3610.0
2014-06-11,3580.0
2014-06-12,3550.0
2014-06-13,3515.0
2014-06-16,3550.0
2014-06-17,3530.0
2014-06-18,3540.0
2014-06-19,3580.0
2014-06-20,3560.0
2014-06-23,3595.0
2014-06-24,3630.0
2014-06-25,3595.0
2014-06-26,3640.0
2014-06-27,3680.0
2014-06-30,3765.0
2014-07-01,3810.0
2014-07-02,3815.0
2014-07-03,3825.0
2014-07-04,3850.0
2014-07-07,3890.0
2014-07-08,3870.0
2014-07-09,3880.0
2014-07-10,3860.0
2014-07-11,3800.0
2014-07-14,3895.0
