Date,KODEX 골드선물(H)
2014-01-13,9620.0
2014-01-14,9640.0
2014-01-15,9590.0
2014-01-16,9575.0
2014-01-17,9575.0
2014-01-20,9655.0
2014-01-21,9650.0
2014-01-22,9570.0
2014-01-23,9515.0
2014-01-24,9690.0
2014-01-27,9795.0
2014-01-28,9745.0
2014-01-29,9685.0
2014-02-03,9585.0
2014-02-04,9680.0
2014-02-05,9705.0
2014-02-06,9705.0
2014-02-07,9715.0
2014-02-10,9780.0
2014-02-11,9895.0
2014-02-12,9920.0
2014-02-13,9965.0
2014-02-14,10050.0
2014-02-17,10255.0
2014-02-18,10145.0
2014-02-19,10170.0
2014-02-20,10110.0
2014-02-21,10140.0
2014-02-24,10220.0
2014-02-25,10310.0
2014-02-26,10350.0
2014-02-27,10255.0
2014-02-28,10315.0
2014-03-03,10405.0
2014-03-04,10465.0
2014-03-05,10330.0
2014-03-06,10320.0
2014-03-07,10450.0
2014-03-10,10310.0
2014-03-11,10370.0
2014-03-12,10465.0
2014-03-13,10580.0
2014-03-14,10560.0
2014-03-17,10715.0
2014-03-18,10540.0
2014-03-19,10500.0
2014-03-20,10255.0
2014-03-21,10275.0
2014-03-24,10240.0
2014-03-25,10160.0
2014-03-26,10160.0
2014-03-27,10090.0
2014-03-28,10005.0
2014-03-31,10040.0
2014-04-01,9955.0
2014-04-02,9945.0
2014-04-03,10000.0
2014-04-04,9975.0
2014-04-07,10070.0
2014-04-08,10075.0
2014-04-09,10150.0
2014-04-10,10145.0
2014-04-11,10230.0
2014-04-14,10275.0
2014-04-15,10225.0
2014-04-16,10040.0
2014-04-17,10060.0
2014-04-18,10015.0
2014-04-21,9970.0
2014-04-22,9970.0
2014-04-23,9960.0
2014-04-24,9945.0
2014-04-25,10000.0
2014-04-28,10080.0
2014-04-29,10010.0
2014-04-30,10015.0
2014-05-02,9950.0
2014-05-07,10140.0
2014-05-08,9990.0
2014-05-09,10000.0
2014-05-12,9955.0
2014-05-13,10000.0
2014-05-14,10000.0
2014-05-15,10060.0
2014-05-16,10035.0
2014-05-19,10000.0
2014-05-20,9995.0
2014-05-21,10030.0
2014-05-22,10000.0
2014-05-23,10010.0
2014-05-26,9995.0
2014-05-27,9980.0
2014-05-28,9820.0
2014-05-29,9760.0
2014-05-30,9740.0
2014-06-02,9640.0
2014-06-03,9655.0
2014-06-05,9660.0
2014-06-09,9720.0
2014-06-10,9740.0
2014-06-11,9760.0
2014-06-12,9750.0
2014-06-13,9875.0
2014-06-16,9940.0
2014-06-17,9820.0
2014-06-18,9820.0
2014-06-19,9920.0
2014-06-20,10155.0
2014-06-23,10190.0
2014-06-24,10160.0
2014-06-25,10155.0
2014-06-26,10180.0
2014-06-27,10205.0
2014-06-30,10215.0
2014-07-01,10285.0
2014-07-02,10255.0
2014-07-03,10240.0
2014-07-04,10200.0
2014-07-07,10155.0
2014-07-08,10200.0
2014-07-09,10245.0
2014-07-10,10340.0
2014-07-11,10390.0
2014-07-14,10280.0
2014-07-15,10135.0
2014-07-16,10085.0
2014-07-17,10145.0
2014-07-18,10190.0
2014-07-21,10145.0
2014-07-22,10130.0
2014-07-23,10145.0
2014-07-24,10040.0
2014-07-25,10035.0
2014-07-28,10100.0
2014-07-29,10115.0
2014-07-30,10050.0
2014-07-31,10045.0
2014-08-01,9975.0
2014-08-04,10000.0
2014-08-05,9980.0
2014-08-06,9980.0
2014-08-07,10105.0
2014-08-08,10210.0
2014-08-11,10135.0
2014-08-12,10110.0
2014-08-13,10130.0
2014-08-14,10165.0
2014-08-18,10085.0
2014-08-19,10090.0
2014-08-20,10050.0
2014-08-21,9995.0
2014-08-22,9930.0
2014-08-25,9940.0
2014-08-26,9965.0
2014-08-27,9935.0
2014-08-28,9990.0
2014-08-29,10010.0
2014-09-01,9990.0
2014-09-02,9970.0
2014-09-03,9855.0
2014-09-04,9860.0
2014-09-05,9825.0
2014-09-11,9695.0
2014-09-12,9590.0
2014-09-15,9585.0
2014-09-16,9605.0
2014-09-17,9625.0
2014-09-18,9515.0
2014-09-19,9505.0
2014-09-22,9400.0
2014-09-23,9470.0
2014-09-24,9490.0
2014-09-25,9415.0
2014-09-26,9450.0
2014-09-29,9450.0
2014-09-30,9455.0
2014-10-01,9355.0
2014-10-02,9450.0
2014-10-06,9230.0
2014-10-07,9320.0
2014-10-08,9395.0
2014-10-10,9455.0
