Date,KODEX 구리선물(H)
2014-01-13,7530.0
2014-01-14,7515.0
2014-01-15,7440.0
2014-01-16,7575.0
2014-01-17,7560.0
2014-01-20,7530.0
2014-01-21,7545.0
2014-01-22,7530.0
2014-01-23,7495.0
2014-01-24,7425.0
2014-01-27,7390.0
2014-01-28,7365.0
2014-01-29,7375.0
2014-02-03,7180.0
2014-02-04,7185.0
2014-02-05,7240.0
2014-02-06,7230.0
2014-02-07,7305.0
2014-02-10,7300.0
2014-02-11,7245.0
2014-02-12,7290.0
2014-02-13,7310.0
2014-02-14,7310.0
2014-02-17,7405.0
2014-02-18,7375.0
2014-02-19,7405.0
2014-02-20,7345.0
2014-02-21,7355.0
2014-02-24,7290.0
2014-02-25,7295.0
2014-02-26,7280.0
2014-02-27,7230.0
2014-02-28,7245.0
2014-03-03,7190.0
2014-03-04,7165.0
2014-03-05,7280.0
2014-03-06,7230.0
2014-03-07,7225.0
2014-03-10,6855.0
2014-03-11,6895.0
2014-03-12,6665.0
2014-03-13,6665.0
2014-03-14,6595.0
2014-03-17,6665.0
2014-03-18,6730.0
2014-03-19,6645.0
2014-03-20,6685.0
2014-03-21,6635.0
2014-03-24,6625.0
2014-03-25,6690.0
2014-03-26,6785.0
2014-03-27,6735.0
2014-03-28,6810.0
2014-03-31,6905.0
2014-04-01,6840.0
2014-04-02,6890.0
2014-04-03,6830.0
2014-04-04,6865.0
2014-04-07,6805.0
2014-04-08,6865.0
2014-04-09,6865.0
2014-04-10,6835.0
2014-04-11,6855.0
2014-04-14,6855.0
2014-04-15,6825.0
2014-04-16,6785.0
2014-04-17,6860.0
2014-04-18,6870.0
2014-04-21,6875.0
2014-04-22,6845.0
2014-04-23,6870.0
2014-04-24,6905.0
2014-04-25,6990.0
2014-04-28,7025.0
2014-04-29,6975.0
2014-04-30,6960.0
2014-05-02,6860.0
2014-05-07,6915.0
2014-05-08,6895.0
2014-05-09,6970.0
2014-05-12,7055.0
2014-05-13,7075.0
2014-05-14,7095.0
2014-05-15,7150.0
2014-05-16,7105.0
2014-05-19,7195.0
2014-05-20,7160.0
2014-05-21,7105.0
2014-05-22,7105.0
2014-05-23,7135.0
2014-05-26,7220.0
2014-05-27,7195.0
2014-05-28,7195.0
2014-05-29,7165.0
2014-05-30,7130.0
2014-06-02,7130.0
2014-06-03,7145.0
2014-06-05,7020.0
2014-06-09,6885.0
2014-06-10,6935.0
2014-06-11,6955.0
2014-06-12,6910.0
2014-06-13,6910.0
2014-06-16,6940.0
2014-06-17,6940.0
2014-06-18,6950.0
2014-06-19,6955.0
2014-06-20,7030.0
2014-06-23,7135.0
2014-06-24,7105.0
2014-06-25,7130.0
2014-06-26,7215.0
2014-06-27,7190.0
2014-06-30,7220.0
2014-07-01,7285.0
2014-07-02,7250.0
2014-07-03,7410.0
2014-07-04,7440.0
2014-07-07,7360.0
2014-07-08,7380.0
2014-07-09,7410.0
2014-07-10,7400.0
2014-07-11,7435.0
2014-07-14,7390.0
2014-07-15,7340.0
2014-07-16,7375.0
2014-07-17,7320.0
2014-07-18,7285.0
2014-07-21,7260.0
2014-07-22,7295.0
2014-07-23,7305.0
2014-07-24,7365.0
2014-07-25,7410.0
2014-07-28,7380.0
2014-07-29,7380.0
2014-07-30,7315.0
2014-07-31,7440.0
2014-08-01,7365.0
2014-08-04,7325.0
2014-08-05,7365.0
2014-08-06,7275.0
2014-08-07,7235.0
2014-08-08,7215.0
2014-08-11,7245.0
2014-08-12,7215.0
2014-08-13,7165.0
2014-08-14,7115.0
2014-08-18,7090.0
2014-08-19,7085.0
2014-08-20,7120.0
2014-08-21,7185.0
2014-08-22,7275.0
2014-08-25,7295.0
2014-08-26,7295.0
2014-08-27,7215.0
2014-08-28,7260.0
2014-08-29,7210.0
2014-09-01,7180.0
2014-09-02,7185.0
2014-09-03,7150.0
2014-09-04,7125.0
2014-09-05,7160.0
2014-09-11,6995.0
2014-09-12,6990.0
2014-09-15,6955.0
2014-09-16,7015.0
2014-09-17,7100.0
2014-09-18,7080.0
2014-09-19,7050.0
2014-09-22,6920.0
2014-09-23,6910.0
2014-09-24,6915.0
2014-09-25,6915.0
2014-09-26,6895.0
2014-09-29,6865.0
2014-09-30,6925.0
2014-10-01,6815.0
2014-10-02,6875.0
2014-10-06,6825.0
2014-10-07,6860.0
2014-10-08,6855.0
2014-10-10,6845.0
2014-10-13,6860.0
2014-10-14,6875.0
2014-10-15,6965.0
2014-10-16,6840.0
2014-10-17,6750.0
2014-10-20,6775.0
2014-10-21,6750.0
2014-10-22,6845.0
2014-10-23,6830.0
2014-10-24,6895.0
2014-10-27,6875.0
2014-10-28,6965.0
2014-10-29,6980.0
