Date,KODEX 국고채3년
2014-01-13,53820.0
2014-01-14,53780.0
2014-01-15,53790.0
2014-01-16,53785.0
2014-01-17,53800.0
2014-01-20,53825.0
2014-01-21,53815.0
2014-01-22,53805.0
2014-01-23,53845.0
2014-01-24,53865.0
2014-01-27,53875.0
2014-01-28,53870.0
2014-01-29,53900.0
2014-02-03,53885.0
2014-02-04,53950.0
2014-02-05,54010.0
2014-02-06,53955.0
2014-02-07,54000.0
2014-02-10,53985.0
2014-02-11,54015.0
2014-02-12,54035.0
2014-02-13,54035.0
2014-02-14,54035.0
2014-02-17,54035.0
2014-02-18,54055.0
2014-02-19,54075.0
2014-02-20,54100.0
2014-02-21,54025.0
2014-02-24,54040.0
2014-02-25,54055.0
2014-02-26,54085.0
2014-02-27,54130.0
2014-02-28,54100.0
2014-03-03,54105.0
2014-03-04,54050.0
2014-03-05,54085.0
2014-03-06,54090.0
2014-03-07,54040.0
2014-03-10,54050.0
2014-03-11,53850.0
2014-03-12,53835.0
2014-03-13,53895.0
2014-03-14,53980.0
2014-03-17,53915.0
2014-03-18,53910.0
2014-03-19,53980.0
2014-03-20,53890.0
2014-03-21,53925.0
2014-03-24,53910.0
2014-03-25,53925.0
2014-03-26,53930.0
2014-03-27,53955.0
2014-03-28,53915.0
2014-03-31,53970.0
2014-04-01,53920.0
2014-04-02,53905.0
2014-04-03,53900.0
2014-04-04,53965.0
2014-04-07,53960.0
2014-04-08,53965.0
2014-04-09,54020.0
2014-04-10,53985.0
2014-04-11,54050.0
2014-04-14,54040.0
2014-04-15,53980.0
2014-04-16,54025.0
2014-04-17,54025.0
2014-04-18,54030.0
2014-04-21,54040.0
2014-04-22,54040.0
2014-04-23,54030.0
2014-04-24,54065.0
2014-04-25,54030.0
2014-04-28,54100.0
2014-04-29,54090.0
2014-04-30,54070.0
2014-05-02,54120.0
2014-05-07,53830.0
2014-05-08,54165.0
2014-05-09,54200.0
2014-05-12,54185.0
2014-05-13,54205.0
2014-05-14,54205.0
2014-05-15,54250.0
2014-05-16,54270.0
2014-05-19,54235.0
2014-05-20,54230.0
2014-05-21,54245.0
2014-05-22,54240.0
2014-05-23,54260.0
2014-05-26,54285.0
2014-05-27,54310.0
2014-05-28,54330.0
2014-05-29,54335.0
2014-05-30,54330.0
2014-06-02,54325.0
2014-06-03,54350.0
2014-06-05,54320.0
2014-06-09,54335.0
2014-06-10,54360.0
2014-06-11,53910.0
2014-06-12,53940.0
2014-06-13,54040.0
2014-06-16,54030.0
2014-06-17,54045.0
2014-06-18,54050.0
2014-06-19,54125.0
2014-06-20,54145.0
2014-06-23,54155.0
2014-06-24,54170.0
2014-06-25,54160.0
2014-06-26,54115.0
2014-06-27,54215.0
2014-06-30,54195.0
2014-07-01,54210.0
2014-07-02,54310.0
2014-07-03,54365.0
2014-07-04,54355.0
2014-07-07,54355.0
2014-07-08,54325.0
2014-07-09,54340.0
2014-07-10,54390.0
2014-07-11,54405.0
2014-07-14,54420.0
2014-07-15,54385.0
2014-07-16,54430.0
2014-07-17,54550.0
2014-07-18,54545.0
2014-07-21,54510.0
2014-07-22,54520.0
2014-07-23,54610.0
2014-07-24,54565.0
2014-07-25,54575.0
2014-07-28,54580.0
2014-07-29,54570.0
2014-07-30,54550.0
2014-07-31,54540.0
2014-08-01,54540.0
2014-08-04,54535.0
2014-08-05,54520.0
2014-08-06,54565.0
2014-08-07,54580.0
2014-08-08,54635.0
2014-08-11,54630.0
2014-08-12,54620.0
2014-08-13,54630.0
2014-08-14,54590.0
2014-08-18,54590.0
2014-08-19,54550.0
2014-08-20,54555.0
2014-08-21,54535.0
2014-08-22,54560.0
2014-08-25,54600.0
2014-08-26,54625.0
2014-08-27,54655.0
2014-08-28,54655.0
2014-08-29,54695.0
2014-09-01,54695.0
2014-09-02,54680.0
2014-09-03,54670.0
2014-09-04,54660.0
2014-09-05,54705.0
2014-09-11,54740.0
2014-09-12,54600.0
2014-09-15,54625.0
2014-09-16,54725.0
2014-09-17,54700.0
2014-09-18,54730.0
2014-09-19,54705.0
2014-09-22,54725.0
2014-09-23,54770.0
2014-09-24,54805.0
2014-09-25,54845.0
2014-09-26,54860.0
2014-09-29,54815.0
2014-09-30,54880.0
2014-10-01,54995.0
2014-10-02,55020.0
2014-10-06,54980.0
2014-10-07,54985.0
2014-10-08,54975.0
2014-10-10,55035.0
2014-10-13,55025.0
2014-10-14,55000.0
2014-10-15,54985.0
2014-10-16,55000.0
2014-10-17,55025.0
2014-10-20,55015.0
2014-10-21,55030.0
2014-10-22,55005.0
2014-10-23,55110.0
2014-10-24,55110.0
2014-10-27,55115.0
2014-10-28,55135.0
2014-10-29,55135.0
2014-10-30,55125.0
2014-10-31,55300.0
2014-11-03,55315.0
2014-11-04,55355.0
2014-11-05,55375.0
2014-11-06,55390.0
2014-11-07,55395.0
2014-11-10,55365.0
2014-11-11,55260.0
2014-11-12,55215.0
2014-11-13,55165.0
2014-11-14,55210.0
2014-11-17,55245.0
2014-11-18,55265.0
2014-11-19,55265.0
2014-11-20,55325.0
2014-11-21,55320.0
2014-11-24,55360.0
2014-11-25,55390.0
2014-11-26,55430.0
2014-11-27,55400.0
2014-11-28,55470.0
2014-12-01,55465.0
2014-12-02,55465.0
