Date,KODEX 국채선물10년
2014-01-13,54575.0
2014-01-14,54380.0
2014-01-15,54270.0
2014-01-16,54320.0
2014-01-17,54365.0
2014-01-20,54355.0
2014-01-21,54300.0
2014-01-22,54210.0
2014-01-23,54240.0
2014-01-24,54620.0
2014-01-27,54680.0
2014-01-28,54560.0
2014-01-29,54445.0
2014-02-03,54635.0
2014-02-04,54855.0
2014-02-05,54980.0
2014-02-06,54755.0
2014-02-07,54830.0
2014-02-10,54840.0
2014-02-11,54950.0
2014-02-12,54915.0
2014-02-13,55025.0
2014-02-14,55050.0
2014-02-17,55115.0
2014-02-18,55045.0
2014-02-19,55110.0
2014-02-20,55200.0
2014-02-21,55070.0
2014-02-24,55090.0
2014-02-25,55155.0
2014-02-26,55165.0
2014-02-27,55125.0
2014-02-28,55140.0
2014-03-03,54940.0
2014-03-04,54940.0
2014-03-05,54875.0
2014-03-06,54880.0
2014-03-07,54860.0
2014-03-10,54840.0
2014-03-11,54920.0
2014-03-12,55060.0
2014-03-13,55155.0
2014-03-14,55290.0
2014-03-17,55215.0
2014-03-18,55155.0
2014-03-19,55305.0
2014-03-20,55130.0
2014-03-21,55160.0
2014-03-24,55135.0
2014-03-25,55130.0
2014-03-26,55150.0
2014-03-27,55270.0
2014-03-28,55300.0
2014-03-31,55300.0
2014-04-01,55255.0
2014-04-02,55130.0
2014-04-03,55040.0
2014-04-04,55145.0
2014-04-07,55240.0
2014-04-08,55250.0
2014-04-09,55375.0
2014-04-10,55275.0
2014-04-11,55280.0
2014-04-14,55290.0
2014-04-15,55290.0
2014-04-16,55285.0
2014-04-17,55330.0
2014-04-18,55255.0
2014-04-21,55255.0
2014-04-22,55245.0
2014-04-23,55310.0
2014-04-24,55335.0
2014-04-25,55390.0
2014-04-28,55410.0
2014-04-29,55410.0
2014-04-30,55420.0
2014-05-02,55540.0
2014-05-07,55690.0
2014-05-08,55830.0
2014-05-09,55790.0
2014-05-12,55865.0
2014-05-13,55870.0
2014-05-14,55870.0
2014-05-15,56155.0
2014-05-16,56155.0
2014-05-19,56115.0
2014-05-20,56155.0
2014-05-21,56230.0
2014-05-22,56090.0
2014-05-23,56145.0
2014-05-26,56255.0
2014-05-27,56325.0
2014-05-28,56360.0
2014-05-29,56465.0
2014-05-30,56430.0
2014-06-02,56350.0
2014-06-03,56295.0
2014-06-05,56185.0
2014-06-09,56255.0
2014-06-10,56380.0
2014-06-11,56430.0
2014-06-12,56575.0
2014-06-13,56625.0
2014-06-16,56625.0
2014-06-17,56715.0
2014-06-18,56715.0
2014-06-19,56885.0
2014-06-20,57000.0
2014-06-23,57120.0
2014-06-24,57050.0
2014-06-25,57245.0
2014-06-26,57090.0
2014-06-27,57250.0
2014-06-30,57300.0
2014-07-01,57345.0
2014-07-02,57640.0
2014-07-03,57710.0
2014-07-04,57705.0
2014-07-07,57615.0
2014-07-08,57495.0
2014-07-09,57485.0
2014-07-10,57820.0
2014-07-11,57865.0
2014-07-14,57880.0
2014-07-15,57955.0
2014-07-16,58095.0
2014-07-17,58460.0
2014-07-18,58410.0
2014-07-21,58305.0
2014-07-22,58305.0
2014-07-23,58480.0
2014-07-24,58350.0
2014-07-25,58240.0
2014-07-28,58320.0
2014-07-29,58200.0
2014-07-30,58175.0
2014-07-31,58045.0
2014-08-01,57940.0
2014-08-04,57880.0
2014-08-05,57920.0
2014-08-06,58025.0
2014-08-07,57995.0
2014-08-08,58240.0
2014-08-11,58185.0
2014-08-12,58135.0
2014-08-13,58135.0
2014-08-14,57990.0
2014-08-18,58000.0
2014-08-19,57830.0
2014-08-20,57695.0
2014-08-21,57710.0
2014-08-22,57725.0
2014-08-25,57885.0
2014-08-26,58100.0
2014-08-27,58190.0
2014-08-28,58255.0
2014-08-29,58270.0
2014-09-01,58290.0
2014-09-02,58190.0
2014-09-03,57970.0
2014-09-04,57965.0
2014-09-05,58125.0
2014-09-11,58065.0
2014-09-12,58340.0
2014-09-15,58315.0
2014-09-16,58460.0
2014-09-17,58385.0
2014-09-18,58535.0
2014-09-19,58525.0
2014-09-22,58705.0
2014-09-23,58800.0
2014-09-24,58885.0
2014-09-25,58850.0
2014-09-26,58960.0
2014-09-29,59065.0
2014-09-30,59270.0
2014-10-01,59480.0
2014-10-02,59400.0
2014-10-06,59390.0
2014-10-07,59395.0
2014-10-08,59375.0
2014-10-10,59550.0
2014-10-13,59520.0
2014-10-14,59490.0
2014-10-15,59550.0
2014-10-16,59815.0
2014-10-17,59895.0
2014-10-20,59805.0
2014-10-21,59880.0
2014-10-22,59900.0
2014-10-23,60055.0
2014-10-24,60230.0
2014-10-27,60140.0
2014-10-28,60080.0
2014-10-29,60200.0
2014-10-30,60290.0
2014-10-31,60405.0
2014-11-03,60445.0
2014-11-04,60590.0
2014-11-05,60555.0
2014-11-06,60475.0
2014-11-07,60425.0
2014-11-10,60365.0
2014-11-11,60200.0
2014-11-12,59990.0
2014-11-13,59805.0
2014-11-14,59885.0
2014-11-17,59905.0
2014-11-18,60055.0
2014-11-19,60165.0
2014-11-20,60230.0
2014-11-21,60225.0
2014-11-24,60415.0
2014-11-25,60600.0
2014-11-26,60700.0
2014-11-27,60650.0
2014-11-28,60880.0
2014-12-01,60870.0
2014-12-02,60870.0
2014-12-03,60590.0
2014-12-04,60150.0
2014-12-05,60235.0
2014-12-08,59990.0
2014-12-09,60165.0
2014-12-10,60085.0
2014-12-11,60350.0
2014-12-12,60435.0
2014-12-15,60440.0
2014-12-16,60575.0
2014-12-17,60395.0
2014-12-18,60245.0
2014-12-19,60255.0
2014-12-22,60480.0
2014-12-23,60520.0
2014-12-24,60540.0
2014-12-26,60675.0
2014-12-29,60870.0
2014-12-30,60895.0
2015-01-02,60710.0
