Date,KODEX 국채선물10년인버스
2014-01-13,52070.0
2014-01-14,52265.0
2014-01-15,52405.0
2014-01-16,52365.0
2014-01-17,52280.0
2014-01-20,52385.0
2014-01-21,52410.0
2014-01-22,52495.0
2014-01-23,52475.0
2014-01-24,52090.0
2014-01-27,52180.0
2014-01-28,52135.0
2014-01-29,52285.0
2014-02-03,52135.0
2014-02-04,51985.0
2014-02-05,51890.0
2014-02-06,51980.0
2014-02-07,51945.0
2014-02-10,52005.0
2014-02-11,51830.0
2014-02-12,51930.0
2014-02-13,51790.0
2014-02-14,51695.0
2014-02-17,51715.0
2014-02-18,51845.0
2014-02-19,51745.0
2014-02-20,51685.0
2014-02-21,51845.0
2014-02-24,51835.0
2014-02-25,51805.0
2014-02-26,51740.0
2014-02-27,51790.0
2014-02-28,51805.0
2014-03-03,52050.0
2014-03-04,52105.0
2014-03-05,52055.0
2014-03-06,52010.0
2014-03-07,52100.0
2014-03-10,52150.0
2014-03-11,52035.0
2014-03-12,51960.0
2014-03-13,51870.0
2014-03-14,51670.0
2014-03-17,51795.0
2014-03-18,51905.0
2014-03-19,51920.0
2014-03-20,51875.0
2014-03-21,52025.0
2014-03-24,51995.0
2014-03-25,51920.0
2014-03-26,51955.0
2014-03-27,51840.0
2014-03-28,51835.0
2014-03-31,51835.0
2014-04-01,51900.0
2014-04-02,52035.0
2014-04-03,52030.0
2014-04-04,52045.0
2014-04-07,51885.0
2014-04-08,51880.0
2014-04-09,51815.0
2014-04-10,51960.0
2014-04-11,51865.0
2014-04-14,51885.0
2014-04-15,51945.0
2014-04-16,51885.0
2014-04-17,51915.0
2014-04-18,51975.0
2014-04-21,52010.0
2014-04-22,52025.0
2014-04-23,51950.0
2014-04-24,52000.0
2014-04-25,51945.0
2014-04-28,51905.0
2014-04-29,51895.0
2014-04-30,51915.0
2014-05-02,51850.0
2014-05-07,51690.0
2014-05-08,51575.0
2014-05-09,51560.0
2014-05-12,51560.0
2014-05-13,51565.0
2014-05-14,51570.0
2014-05-15,51270.0
2014-05-16,51360.0
2014-05-19,51365.0
2014-05-20,51350.0
2014-05-21,51290.0
2014-05-22,51405.0
2014-05-23,51335.0
2014-05-26,51335.0
2014-05-27,51210.0
2014-05-28,51180.0
2014-05-29,51075.0
2014-05-30,51155.0
2014-06-02,51280.0
2014-06-03,51340.0
2014-06-05,51425.0
2014-06-09,51360.0
2014-06-10,51255.0
2014-06-11,51200.0
2014-06-12,51105.0
2014-06-13,51020.0
2014-06-16,51075.0
2014-06-17,50990.0
2014-06-18,51025.0
2014-06-19,50790.0
2014-06-20,50745.0
2014-06-23,50620.0
2014-06-24,50705.0
2014-06-25,50575.0
2014-06-26,50715.0
2014-06-27,50510.0
2014-06-30,50465.0
2014-07-01,50475.0
2014-07-02,50190.0
2014-07-03,50195.0
2014-07-04,50310.0
2014-07-07,50300.0
2014-07-08,50320.0
2014-07-09,50465.0
2014-07-10,50125.0
2014-07-11,50020.0
2014-07-14,50155.0
2014-07-15,50060.0
2014-07-16,49990.0
2014-07-17,49640.0
2014-07-18,49685.0
2014-07-21,49770.0
2014-07-22,49775.0
2014-07-23,49750.0
2014-07-24,49670.0
2014-07-25,49960.0
2014-07-28,49870.0
2014-07-29,50010.0
2014-07-30,50060.0
2014-07-31,50145.0
2014-08-01,50300.0
2014-08-04,50290.0
2014-08-05,50260.0
2014-08-06,50295.0
2014-08-07,50240.0
2014-08-08,50030.0
2014-08-11,50105.0
2014-08-12,50175.0
