Date,KODEX 기계장비
2014-01-13,16490.0
2014-01-14,16400.0
2014-01-15,16800.0
2014-01-16,16745.0
2014-01-17,16640.0
2014-01-20,16680.0
2014-01-21,16915.0
2014-01-22,16890.0
2014-01-23,16715.0
2014-01-24,16320.0
2014-01-27,15995.0
2014-01-28,15780.0
2014-01-29,15960.0
2014-02-03,15440.0
2014-02-04,15040.0
2014-02-05,15250.0
2014-02-06,15330.0
2014-02-07,15090.0
2014-02-10,15545.0
2014-02-11,15555.0
2014-02-12,15575.0
2014-02-13,15460.0
2014-02-14,15605.0
2014-02-17,16025.0
2014-02-18,16000.0
2014-02-19,15910.0
2014-02-20,15805.0
2014-02-21,16000.0
2014-02-24,16115.0
2014-02-25,16105.0
2014-02-26,16115.0
2014-02-27,15855.0
2014-02-28,15320.0
2014-03-03,15285.0
2014-03-04,15070.0
2014-03-05,15510.0
2014-03-06,15550.0
2014-03-07,15620.0
2014-03-10,15280.0
2014-03-11,15135.0
2014-03-12,14730.0
2014-03-13,14600.0
2014-03-14,14415.0
2014-03-17,14850.0
2014-03-18,14885.0
2014-03-19,14750.0
2014-03-20,14330.0
2014-03-21,14445.0
2014-03-24,14675.0
2014-03-25,14940.0
2014-03-26,14900.0
2014-03-27,14820.0
2014-03-28,14810.0
2014-03-31,15090.0
2014-04-01,15120.0
2014-04-02,15270.0
2014-04-03,15015.0
2014-04-04,15060.0
2014-04-07,15345.0
2014-04-08,15435.0
2014-04-09,15470.0
2014-04-10,15485.0
2014-04-11,15375.0
2014-04-14,15180.0
2014-04-15,14800.0
2014-04-16,14725.0
2014-04-17,14755.0
2014-04-18,14950.0
2014-04-21,14830.0
2014-04-22,14795.0
2014-04-23,14330.0
2014-04-24,14160.0
2014-04-25,14170.0
2014-04-28,14170.0
2014-04-29,14010.0
2014-04-30,13685.0
2014-05-02,13295.0
2014-05-07,13145.0
2014-05-08,13580.0
2014-05-09,13545.0
2014-05-12,13145.0
2014-05-13,13560.0
2014-05-14,13560.0
2014-05-15,13670.0
2014-05-16,13585.0
2014-05-19,13460.0
2014-05-20,13160.0
2014-05-21,13350.0
2014-05-22,13855.0
2014-05-23,13780.0
2014-05-26,13905.0
2014-05-27,13840.0
2014-05-28,13910.0
2014-05-29,13720.0
2014-05-30,13605.0
2014-06-02,13570.0
2014-06-03,13260.0
2014-06-05,13100.0
2014-06-09,13380.0
2014-06-10,13490.0
2014-06-11,13530.0
2014-06-12,13240.0
2014-06-13,13255.0
2014-06-16,13125.0
2014-06-17,13110.0
2014-06-18,12955.0
2014-06-19,13120.0
2014-06-20,12990.0
2014-06-23,12820.0
2014-06-24,12925.0
2014-06-25,12615.0
2014-06-26,12655.0
2014-06-27,12835.0
2014-06-30,12740.0
2014-07-01,12785.0
2014-07-02,12910.0
2014-07-03,13010.0
2014-07-04,12880.0
2014-07-07,12565.0
2014-07-08,12625.0
2014-07-09,12460.0
2014-07-10,12110.0
2014-07-11,11700.0
2014-07-14,11760.0
2014-07-15,11800.0
2014-07-16,11940.0
2014-07-17,12085.0
2014-07-18,12165.0
2014-07-21,12095.0
2014-07-22,12095.0
2014-07-23,12630.0
2014-07-24,12715.0
2014-07-25,12540.0
2014-07-28,12580.0
2014-07-29,12510.0
2014-07-30,11815.0
2014-07-31,11765.0
2014-08-01,11695.0
2014-08-04,11870.0
2014-08-05,11680.0
2014-08-06,11205.0
2014-08-07,11210.0
2014-08-08,11185.0
2014-08-11,11165.0
2014-08-12,11355.0
2014-08-13,11545.0
2014-08-14,11490.0
2014-08-18,11270.0
2014-08-19,11235.0
2014-08-20,10910.0
2014-08-21,10685.0
2014-08-22,10655.0
2014-08-25,10475.0
2014-08-26,10860.0
2014-08-27,10895.0
2014-08-28,11000.0
2014-08-29,11450.0
2014-09-01,11560.0
2014-09-02,11355.0
2014-09-03,11300.0
2014-09-04,11280.0
2014-09-05,11205.0
2014-09-11,11075.0
2014-09-12,10950.0
2014-09-15,10970.0
2014-09-16,11225.0
2014-09-17,11215.0
2014-09-18,11085.0
2014-09-19,11075.0
2014-09-22,10855.0
2014-09-23,10880.0
2014-09-24,10930.0
2014-09-25,10670.0
2014-09-26,10670.0
2014-09-29,10375.0
2014-09-30,10400.0
2014-10-01,9995.0
2014-10-02,9685.0
2014-10-06,9845.0
2014-10-07,9400.0
2014-10-08,9535.0
2014-10-10,9340.0
2014-10-13,9170.0
2014-10-14,9330.0
2014-10-15,8995.0
2014-10-16,9020.0
2014-10-17,8940.0
2014-10-20,9275.0
2014-10-21,8940.0
2014-10-22,8800.0
2014-10-23,8490.0
2014-10-24,8415.0
2014-10-27,8830.0
2014-10-28,8700.0
2014-10-29,9380.0
2014-10-30,8945.0
2014-10-31,8790.0
2014-11-03,8770.0
2014-11-04,8700.0
2014-11-05,8615.0
2014-11-06,8900.0
2014-11-07,9090.0
2014-11-10,9325.0
2014-11-11,9280.0
2014-11-12,9760.0
2014-11-13,9605.0
2014-11-14,9635.0
2014-11-17,9810.0
2014-11-18,9770.0
2014-11-19,9270.0
2014-11-20,9280.0
2014-11-21,9505.0
2014-11-24,10070.0
2014-11-25,10055.0
2014-11-26,9750.0
2014-11-27,9640.0
2014-11-28,9100.0
2014-12-01,8725.0
2014-12-02,8885.0
2014-12-03,8825.0
2014-12-04,9085.0
2014-12-05,9115.0
2014-12-08,9235.0
2014-12-09,8900.0
2014-12-10,8745.0
2014-12-11,8645.0
2014-12-12,8670.0
2014-12-15,8840.0
2014-12-16,8670.0
2014-12-17,8780.0
2014-12-18,8785.0
2014-12-19,8925.0
2014-12-22,8960.0
2014-12-23,8830.0
2014-12-24,8890.0
2014-12-26,8780.0
2014-12-29,8670.0
2014-12-30,8590.0
2015-01-02,8455.0
2015-01-05,8260.0
2015-01-06,7895.0
2015-01-07,7910.0
2015-01-08,7850.0
2015-01-09,8035.0
2015-01-12,7975.0
2015-01-13,7895.0
2015-01-14,7890.0
2015-01-15,7800.0
2015-01-16,7585.0
2015-01-19,8125.0
2015-01-20,8050.0
2015-01-21,7900.0
2015-01-22,8200.0
2015-01-23,8055.0
2015-01-26,8140.0
2015-01-27,8405.0
2015-01-28,8790.0
2015-01-29,8710.0
2015-01-30,8560.0
2015-02-02,8775.0
2015-02-03,8840.0
2015-02-04,8775.0
2015-02-05,8700.0
2015-02-06,8770.0
2015-02-09,9000.0
2015-02-10,8720.0
2015-02-11,8790.0
2015-02-12,8845.0
2015-02-13,8685.0
2015-02-16,8600.0
2015-02-17,8620.0
2015-02-23,8595.0
2015-02-24,8390.0
2015-02-25,8665.0
2015-02-26,9135.0
2015-02-27,9085.0
2015-03-02,9570.0
2015-03-03,9450.0
2015-03-04,9495.0
2015-03-05,9415.0
2015-03-06,9615.0
2015-03-09,9395.0
2015-03-10,9305.0
2015-03-11,9080.0
2015-03-12,8870.0
2015-03-13,8960.0
2015-03-16,8570.0
2015-03-17,8780.0
2015-03-18,8655.0
2015-03-19,8975.0
2015-03-20,9045.0
2015-03-23,9020.0
2015-03-24,8925.0
2015-03-25,8720.0
2015-03-26,8800.0
2015-03-27,8790.0
2015-03-30,8775.0
2015-03-31,8715.0
2015-04-01,8705.0
2015-04-02,8650.0
2015-04-03,8895.0
2015-04-06,9025.0
2015-04-07,9255.0
2015-04-08,9580.0
2015-04-09,9615.0
2015-04-10,9635.0
2015-04-13,10055.0
2015-04-14,10030.0
2015-04-15,10095.0
2015-04-16,10190.0
2015-04-17,9850.0
2015-04-20,9820.0
2015-04-21,9825.0
2015-04-22,9770.0
2015-04-23,9790.0
2015-04-24,9700.0
2015-04-27,9850.0
2015-04-28,10145.0
2015-04-29,9555.0
2015-04-30,9375.0
2015-05-04,9415.0
2015-05-06,9400.0
2015-05-07,9310.0
2015-05-08,9195.0
2015-05-11,9225.0
2015-05-12,9045.0
2015-05-13,9125.0
2015-05-14,9060.0
2015-05-15,8900.0
2015-05-18,8690.0
2015-05-19,8955.0
2015-05-20,8885.0
2015-05-21,8780.0
2015-05-22,9205.0
2015-05-26,9045.0
2015-05-27,8875.0
2015-05-28,8695.0
2015-05-29,8645.0
2015-06-01,8635.0
2015-06-02,8750.0
2015-06-03,8480.0
2015-06-04,8405.0
2015-06-05,8250.0
2015-06-08,8380.0
2015-06-09,8355.0
2015-06-10,8300.0
2015-06-11,8190.0
2015-06-12,7950.0
2015-06-15,7940.0
2015-06-16,7670.0
2015-06-17,7795.0
2015-06-18,7700.0
2015-06-19,7735.0
2015-06-22,7855.0
2015-06-23,8060.0
2015-06-24,8030.0
2015-06-25,7935.0
2015-06-26,7890.0
2015-06-29,7475.0
2015-06-30,7530.0
2015-07-01,8070.0
2015-07-02,8010.0
2015-07-03,8070.0
2015-07-06,7710.0
2015-07-07,7890.0
2015-07-08,7740.0
2015-07-09,7820.0
2015-07-10,7930.0
2015-07-13,7960.0
2015-07-14,7720.0
2015-07-15,7030.0
2015-07-16,7115.0
2015-07-17,6730.0
2015-07-20,6500.0
2015-07-21,6725.0
2015-07-22,6660.0
2015-07-23,6540.0
2015-07-24,6300.0
2015-07-27,6330.0
2015-07-28,6350.0
2015-07-29,6335.0
2015-07-30,6200.0
2015-07-31,6140.0
2015-08-03,6045.0
2015-08-04,6035.0
2015-08-05,6110.0
2015-08-06,6040.0
2015-08-07,6025.0
2015-08-10,5795.0
2015-08-11,5780.0
2015-08-12,5790.0
2015-08-13,5840.0
2015-08-17,5820.0
2015-08-18,5760.0
2015-08-19,5515.0
2015-08-20,5350.0
2015-08-21,5125.0
2015-08-24,5005.0
2015-08-25,5215.0
2015-08-26,5405.0
2015-08-27,5350.0
2015-08-28,5500.0
2015-08-31,5655.0
2015-09-01,5655.0
2015-09-02,5735.0
2015-09-03,5590.0
2015-09-04,5605.0
2015-09-07,5625.0
2015-09-08,5600.0
2015-09-09,5800.0
2015-09-10,6140.0
2015-09-11,6180.0
2015-09-14,6085.0
2015-09-15,6070.0
2015-09-16,6445.0
2015-09-17,6410.0
2015-09-18,6480.0
2015-09-21,6280.0
2015-09-22,6360.0
2015-09-23,6125.0
2015-09-24,6040.0
2015-09-25,6115.0
2015-09-30,6020.0
2015-10-01,6040.0
2015-10-02,5905.0
2015-10-05,5915.0
2015-10-06,5915.0
2015-10-07,6095.0
2015-10-08,6300.0
2015-10-12,6530.0
2015-10-13,6635.0
2015-10-14,6435.0
2015-10-15,6670.0
2015-10-16,6595.0
2015-10-19,6690.0
2015-10-20,6570.0
2015-10-21,6620.0
2015-10-22,6440.0
2015-10-23,6380.0
2015-10-26,6365.0
2015-10-27,6550.0
2015-10-28,6375.0
2015-10-29,6355.0
2015-10-30,6270.0
2015-11-02,6140.0
2015-11-03,6400.0
2015-11-04,6420.0
2015-11-05,6295.0
2015-11-06,6195.0
2015-11-09,6005.0
2015-11-10,5995.0
2015-11-11,5990.0
2015-11-12,5970.0
2015-11-13,5850.0
2015-11-16,5690.0
2015-11-17,5805.0
2015-11-18,5655.0
2015-11-19,5785.0
2015-11-20,5780.0
2015-11-23,5780.0
2015-11-24,5685.0
