Date,KODEX 단기채권
2014-01-13,100170.0
2014-01-14,100170.0
2014-01-15,100185.0
2014-01-16,100200.0
2014-01-17,100205.0
2014-01-20,100210.0
2014-01-21,100215.0
2014-01-22,100220.0
2014-01-23,100240.0
2014-01-24,100250.0
2014-01-27,100255.0
2014-01-28,100280.0
2014-01-29,100290.0
2014-02-03,100300.0
2014-02-04,100305.0
2014-02-05,100320.0
2014-02-06,100340.0
2014-02-07,100350.0
2014-02-10,100355.0
2014-02-11,100355.0
2014-02-12,100360.0
2014-02-13,100380.0
2014-02-14,100385.0
2014-02-17,100390.0
2014-02-18,100395.0
2014-02-19,100400.0
2014-02-20,100425.0
2014-02-21,100430.0
2014-02-24,100430.0
2014-02-25,100450.0
2014-02-26,100455.0
2014-02-27,100475.0
2014-02-28,100480.0
2014-03-03,100485.0
2014-03-04,100485.0
2014-03-05,100495.0
2014-03-06,100515.0
2014-03-07,100525.0
2014-03-10,100525.0
2014-03-11,100540.0
2014-03-12,100550.0
2014-03-13,100570.0
2014-03-14,100575.0
2014-03-17,100585.0
2014-03-18,100595.0
2014-03-19,100595.0
2014-03-20,100620.0
2014-03-21,100615.0
2014-03-24,100625.0
2014-03-25,100630.0
2014-03-26,100640.0
2014-03-27,100665.0
2014-03-28,100665.0
2014-03-31,100680.0
2014-04-01,100680.0
2014-04-02,100695.0
2014-04-03,100715.0
2014-04-04,100720.0
2014-04-07,100735.0
2014-04-08,100740.0
2014-04-09,100750.0
2014-04-10,100765.0
2014-04-11,100770.0
2014-04-14,100780.0
2014-04-15,100785.0
2014-04-16,100790.0
2014-04-17,100810.0
2014-04-18,100820.0
2014-04-21,100820.0
2014-04-22,100825.0
2014-04-23,100830.0
2014-04-24,100850.0
2014-04-25,100850.0
2014-04-28,100860.0
2014-04-29,100880.0
2014-04-30,100910.0
2014-05-02,100925.0
2014-05-07,100930.0
2014-05-08,100955.0
2014-05-09,100960.0
2014-05-12,100960.0
2014-05-13,100975.0
2014-05-14,100985.0
2014-05-15,101000.0
2014-05-16,101010.0
2014-05-19,101020.0
2014-05-20,101025.0
2014-05-21,101035.0
2014-05-22,101045.0
2014-05-23,101055.0
2014-05-26,101060.0
2014-05-27,101070.0
2014-05-28,101070.0
2014-05-29,101095.0
2014-05-30,101095.0
2014-06-02,101115.0
2014-06-03,101140.0
2014-06-05,101150.0
2014-06-09,101150.0
2014-06-10,101160.0
2014-06-11,101175.0
2014-06-12,101195.0
2014-06-13,101210.0
2014-06-16,101215.0
2014-06-17,101230.0
2014-06-18,101240.0
2014-06-19,101260.0
2014-06-20,101270.0
2014-06-23,101275.0
2014-06-24,101275.0
2014-06-25,101285.0
2014-06-26,101305.0
2014-06-27,101305.0
2014-06-30,101315.0
2014-07-01,101335.0
2014-07-02,101355.0
2014-07-03,101375.0
2014-07-04,101390.0
2014-07-07,101390.0
2014-07-08,101395.0
2014-07-09,101410.0
2014-07-10,101430.0
2014-07-11,101450.0
2014-07-14,101460.0
2014-07-15,101460.0
2014-07-16,101470.0
2014-07-17,101510.0
2014-07-18,101525.0
2014-07-21,101540.0
2014-07-22,101545.0
2014-07-23,101560.0
2014-07-24,101580.0
2014-07-25,101585.0
2014-07-28,101600.0
2014-07-29,101595.0
2014-07-30,101610.0
2014-07-31,101630.0
2014-08-01,101640.0
2014-08-04,101640.0
2014-08-05,101650.0
