Date,KODEX 레버리지
2014-01-13,11475.0
2014-01-14,11440.0
2014-01-15,11505.0
2014-01-16,11605.0
2014-01-17,11410.0
2014-01-20,11545.0
2014-01-21,11710.0
2014-01-22,11690.0
2014-01-23,11430.0
2014-01-24,11330.0
2014-01-27,11055.0
2014-01-28,11130.0
2014-01-29,11355.0
2014-02-03,11065.0
2014-02-04,10655.0
2014-02-05,10740.0
2014-02-06,10910.0
2014-02-07,11070.0
2014-02-10,11075.0
2014-02-11,11200.0
2014-02-12,11260.0
2014-02-13,11070.0
2014-02-14,11330.0
2014-02-17,11360.0
2014-02-18,11365.0
2014-02-19,11240.0
2014-02-20,11115.0
2014-02-21,11465.0
2014-02-24,11385.0
2014-02-25,11580.0
2014-02-26,11655.0
2014-02-27,11700.0
2014-02-28,11695.0
2014-03-03,11520.0
2014-03-04,11460.0
2014-03-05,11695.0
2014-03-06,11690.0
2014-03-07,11655.0
2014-03-10,11355.0
2014-03-11,11435.0
2014-03-12,11100.0
2014-03-13,11155.0
2014-03-14,10915.0
2014-03-17,11005.0
2014-03-18,11140.0
2014-03-19,11155.0
2014-03-20,10875.0
2014-03-21,11050.0
2014-03-24,11155.0
2014-03-25,11120.0
2014-03-26,11440.0
2014-03-27,11565.0
2014-03-28,11565.0
2014-03-31,11605.0
2014-04-01,11705.0
2014-04-02,11780.0
2014-04-03,11765.0
2014-04-04,11860.0
2014-04-07,11800.0
2014-04-08,11930.0
2014-04-09,11965.0
2014-04-10,12010.0
2014-04-11,11830.0
2014-04-14,11900.0
2014-04-15,11760.0
2014-04-16,11860.0
2014-04-17,11820.0
2014-04-18,12005.0
2014-04-21,11960.0
2014-04-22,11960.0
2014-04-23,11925.0
2014-04-24,11915.0
2014-04-25,11590.0
2014-04-28,11570.0
2014-04-29,11455.0
2014-04-30,11345.0
2014-05-02,11355.0
2014-05-07,11110.0
2014-05-08,11220.0
2014-05-09,11245.0
2014-05-12,11380.0
2014-05-13,11690.0
2014-05-14,12000.0
2014-05-15,11995.0
2014-05-16,11995.0
2014-05-19,12030.0
2014-05-20,12005.0
2014-05-21,12020.0
2014-05-22,12145.0
2014-05-23,12100.0
2014-05-26,12050.0
2014-05-27,11810.0
2014-05-28,12060.0
2014-05-29,12030.0
2014-05-30,11840.0
2014-06-02,11880.0
2014-06-03,11910.0
2014-06-05,11780.0
2014-06-09,11780.0
2014-06-10,12010.0
2014-06-11,11980.0
2014-06-12,11915.0
2014-06-13,11590.0
2014-06-16,11725.0
2014-06-17,11760.0
2014-06-18,11630.0
2014-06-19,11685.0
2014-06-20,11435.0
2014-06-23,11480.0
2014-06-24,11720.0
2014-06-25,11565.0
2014-06-26,11730.0
2014-06-27,11670.0
2014-06-30,11725.0
2014-07-01,11710.0
2014-07-02,11885.0
2014-07-03,11855.0
2014-07-04,11815.0
2014-07-07,11700.0
2014-07-08,11685.0
2014-07-09,11570.0
2014-07-10,11625.0
2014-07-11,11415.0
2014-07-14,11515.0
2014-07-15,11750.0
2014-07-16,11780.0
2014-07-17,11855.0
2014-07-18,11820.0
2014-07-21,11830.0
2014-07-22,11975.0
2014-07-23,11965.0
2014-07-24,11970.0
2014-07-25,12035.0
2014-07-28,12235.0
2014-07-29,12480.0
2014-07-30,12770.0
2014-07-31,12635.0
2014-08-01,12540.0
2014-08-04,12555.0
2014-08-05,12370.0
2014-08-06,12295.0
2014-08-07,12190.0
2014-08-08,11885.0
2014-08-11,12020.0
2014-08-12,12035.0
2014-08-13,12150.0
2014-08-14,12225.0
2014-08-18,12095.0
2014-08-19,12290.0
2014-08-20,12250.0
2014-08-21,11870.0
2014-08-22,12030.0
2014-08-25,12085.0
2014-08-26,12180.0
2014-08-27,12195.0
2014-08-28,12215.0
2014-08-29,12100.0
2014-09-01,12090.0
2014-09-02,11870.0
2014-09-03,11815.0
2014-09-04,11890.0
2014-09-05,11830.0
2014-09-11,11705.0
2014-09-12,11755.0
2014-09-15,11665.0
2014-09-16,11740.0
2014-09-17,11960.0
