Date,KODEX 미국S&P바이오(합성)
2014-01-13,12230.0
2014-01-14,12005.0
2014-01-15,12135.0
2014-01-16,12195.0
2014-01-17,12400.0
2014-01-20,12530.0
2014-01-21,12545.0
2014-01-22,12845.0
2014-01-23,12885.0
2014-01-24,12950.0
2014-01-27,12545.0
2014-01-28,12010.0
2014-01-29,12250.0
2014-02-03,12250.0
2014-02-04,11680.0
2014-02-05,11790.0
2014-02-06,11565.0
2014-02-07,11450.0
2014-02-10,12060.0
2014-02-11,12380.0
2014-02-12,12465.0
2014-02-13,12520.0
2014-02-14,12630.0
2014-02-17,12380.0
2014-02-18,12440.0
2014-02-19,12775.0
2014-02-20,12635.0
2014-02-21,12975.0
2014-02-24,13265.0
2014-02-25,13385.0
2014-02-26,13620.0
2014-02-27,13620.0
2014-02-28,13655.0
2014-03-03,13130.0
2014-03-04,13130.0
2014-03-05,13450.0
2014-03-06,13325.0
2014-03-07,12840.0
2014-03-10,12865.0
2014-03-11,12905.0
2014-03-12,12820.0
2014-03-13,12905.0
2014-03-14,12685.0
2014-03-17,12665.0
2014-03-18,12610.0
2014-03-19,13075.0
2014-03-20,13070.0
2014-03-21,12960.0
2014-03-24,12370.0
2014-03-25,11920.0
2014-03-26,11800.0
2014-03-27,11405.0
2014-03-28,11475.0
2014-03-31,11025.0
2014-04-01,11350.0
2014-04-02,11555.0
2014-04-03,11500.0
2014-04-04,11025.0
2014-04-07,10595.0
2014-04-08,10545.0
2014-04-09,10445.0
2014-04-10,10850.0
2014-04-11,10110.0
2014-04-14,9725.0
2014-04-15,9585.0
2014-04-16,9595.0
2014-04-17,9865.0
2014-04-18,9815.0
2014-04-21,9820.0
2014-04-22,10020.0
2014-04-23,10490.0
2014-04-24,10180.0
2014-04-25,10150.0
2014-04-28,9685.0
2014-04-29,9610.0
2014-04-30,9980.0
2014-05-02,10125.0
2014-05-07,9750.0
2014-05-08,9630.0
2014-05-09,9300.0
2014-05-12,9575.0
2014-05-13,9880.0
2014-05-14,9830.0
2014-05-15,9795.0
2014-05-16,9660.0
2014-05-19,9565.0
2014-05-20,9805.0
2014-05-21,9615.0
2014-05-22,9590.0
2014-05-23,9830.0
2014-05-26,9875.0
2014-05-27,9875.0
2014-05-28,10210.0
2014-05-29,10160.0
2014-05-30,10215.0
2014-06-02,10155.0
