Date,KODEX 반도체
2014-01-13,17420.0
2014-01-14,17405.0
2014-01-15,17340.0
2014-01-16,17345.0
2014-01-17,17320.0
2014-01-20,17675.0
2014-01-21,17645.0
2014-01-22,17790.0
2014-01-23,17645.0
2014-01-24,17705.0
2014-01-27,17255.0
2014-01-28,17490.0
2014-01-29,17770.0
2014-02-03,17765.0
2014-02-04,17285.0
2014-02-05,17300.0
2014-02-06,17660.0
2014-02-07,17810.0
2014-02-10,17810.0
2014-02-11,17935.0
2014-02-12,17975.0
2014-02-13,17960.0
2014-02-14,17925.0
2014-02-17,17905.0
2014-02-18,17970.0
2014-02-19,18035.0
2014-02-20,17885.0
2014-02-21,18180.0
2014-02-24,18090.0
2014-02-25,18075.0
2014-02-26,18230.0
2014-02-27,18150.0
2014-02-28,18175.0
2014-03-03,18040.0
2014-03-04,18130.0
2014-03-05,18230.0
2014-03-06,18300.0
2014-03-07,18360.0
2014-03-10,18115.0
2014-03-11,18285.0
2014-03-12,17975.0
2014-03-13,18195.0
2014-03-14,18130.0
2014-03-17,17740.0
2014-03-18,17895.0
2014-03-19,17970.0
2014-03-20,17960.0
2014-03-21,18300.0
2014-03-24,18175.0
2014-03-25,17885.0
2014-03-26,18150.0
2014-03-27,17875.0
2014-03-28,18050.0
2014-03-31,18005.0
2014-04-01,18240.0
2014-04-02,18415.0
2014-04-03,18445.0
2014-04-04,18560.0
2014-04-07,18470.0
2014-04-08,18475.0
2014-04-09,18245.0
2014-04-10,18445.0
2014-04-11,18295.0
2014-04-14,18365.0
2014-04-15,18360.0
2014-04-16,18435.0
2014-04-17,18280.0
2014-04-18,18840.0
2014-04-21,18950.0
2014-04-22,18950.0
2014-04-23,19000.0
2014-04-24,18995.0
2014-04-25,18795.0
2014-04-28,18745.0
2014-04-29,18585.0
2014-04-30,18620.0
2014-05-02,18510.0
2014-05-07,18295.0
2014-05-08,18130.0
2014-05-09,18200.0
2014-05-12,18455.0
2014-05-13,18670.0
2014-05-14,18720.0
2014-05-15,18630.0
2014-05-16,18710.0
2014-05-19,18415.0
2014-05-20,18530.0
2014-05-21,18490.0
2014-05-22,18510.0
2014-05-23,18605.0
2014-05-26,18680.0
2014-05-27,18765.0
2014-05-28,18900.0
2014-05-29,19025.0
2014-05-30,18880.0
2014-06-02,18890.0
2014-06-03,18865.0
2014-06-05,18735.0
2014-06-09,18710.0
2014-06-10,19035.0
2014-06-11,18910.0
2014-06-12,18880.0
2014-06-13,18730.0
2014-06-16,19000.0
2014-06-17,19130.0
2014-06-18,19195.0
2014-06-19,19080.0
2014-06-20,18870.0
2014-06-23,18590.0
2014-06-24,18935.0
2014-06-25,18780.0
2014-06-26,18565.0
2014-06-27,18320.0
2014-06-30,18615.0
2014-07-01,18800.0
2014-07-02,19075.0
2014-07-03,19270.0
2014-07-04,19125.0
2014-07-07,19210.0
2014-07-08,19345.0
2014-07-09,19195.0
2014-07-10,19080.0
2014-07-11,18810.0
2014-07-14,18955.0
2014-07-15,19125.0
2014-07-16,19150.0
2014-07-17,19340.0
2014-07-18,19265.0
2014-07-21,19240.0
2014-07-22,19290.0
2014-07-23,19190.0
2014-07-24,19030.0
2014-07-25,18960.0
2014-07-28,18560.0
2014-07-29,18210.0
2014-07-30,18330.0
2014-07-31,17770.0
2014-08-01,17825.0
2014-08-04,18105.0
2014-08-05,18000.0
2014-08-06,17555.0
2014-08-07,17525.0
2014-08-08,17300.0
2014-08-11,17465.0
2014-08-12,17275.0
2014-08-13,17475.0
2014-08-14,17625.0
2014-08-18,17500.0
2014-08-19,17525.0
2014-08-20,17710.0
2014-08-21,17800.0
2014-08-22,17790.0
2014-08-25,17935.0
2014-08-26,17780.0
2014-08-27,17720.0
2014-08-28,17765.0
2014-08-29,17860.0
2014-09-01,17595.0
2014-09-02,17415.0
2014-09-03,17040.0
2014-09-04,17185.0
2014-09-05,17310.0
2014-09-11,17460.0
2014-09-12,17430.0
2014-09-15,17205.0
2014-09-16,17300.0
2014-09-17,17390.0
2014-09-18,17250.0
2014-09-19,17335.0
2014-09-22,17100.0
2014-09-23,16900.0
2014-09-24,16945.0
2014-09-25,17020.0
2014-09-26,17070.0
2014-09-29,17045.0
2014-09-30,16990.0
2014-10-01,16625.0
2014-10-02,16810.0
2014-10-06,16790.0
2014-10-07,16880.0
2014-10-08,16960.0
2014-10-10,16670.0
2014-10-13,16150.0
2014-10-14,16470.0
2014-10-15,16470.0
2014-10-16,16425.0
2014-10-17,16125.0
2014-10-20,16420.0
2014-10-21,16445.0
2014-10-22,16840.0
2014-10-23,16870.0
2014-10-24,16615.0
2014-10-27,16525.0
2014-10-28,16665.0
2014-10-29,16870.0
2014-10-30,17130.0
2014-10-31,17495.0
2014-11-03,17295.0
2014-11-04,17130.0
2014-11-05,17050.0
2014-11-06,17000.0
2014-11-07,17225.0
2014-11-10,17490.0
2014-11-11,17430.0
2014-11-12,17550.0
2014-11-13,17475.0
2014-11-14,17425.0
2014-11-17,16860.0
2014-11-18,17030.0
2014-11-19,17300.0
2014-11-20,17285.0
2014-11-21,17225.0
2014-11-24,17325.0
2014-11-25,17455.0
2014-11-26,17540.0
2014-11-27,17770.0
2014-11-28,17850.0
2014-12-01,17805.0
2014-12-02,17770.0
2014-12-03,17820.0
