Date,KODEX 보험
2014-01-13,8270.0
2014-01-14,8155.0
2014-01-15,8155.0
2014-01-16,8205.0
2014-01-17,8175.0
2014-01-20,8165.0
2014-01-21,8175.0
2014-01-22,8230.0
2014-01-23,8100.0
2014-01-24,8025.0
2014-01-27,7945.0
2014-01-28,7935.0
2014-01-29,8250.0
2014-02-03,8005.0
2014-02-04,7865.0
2014-02-05,7970.0
2014-02-06,7960.0
2014-02-07,7995.0
2014-02-10,7955.0
2014-02-11,7900.0
2014-02-12,7915.0
2014-02-13,7835.0
2014-02-14,7870.0
2014-02-17,7870.0
2014-02-18,7805.0
2014-02-19,7890.0
2014-02-20,7830.0
2014-02-21,7820.0
2014-02-24,7775.0
2014-02-25,7850.0
2014-02-26,7810.0
2014-02-27,7860.0
2014-02-28,7865.0
2014-03-03,7780.0
2014-03-04,7795.0
2014-03-05,7850.0
2014-03-06,7840.0
2014-03-07,7770.0
2014-03-10,7730.0
2014-03-11,7785.0
2014-03-12,7705.0
2014-03-13,7760.0
2014-03-14,7635.0
2014-03-17,7730.0
2014-03-18,7735.0
2014-03-19,7705.0
2014-03-20,7685.0
2014-03-21,7780.0
2014-03-24,7840.0
2014-03-25,7805.0
2014-03-26,7940.0
2014-03-27,7935.0
2014-03-28,7925.0
2014-03-31,7995.0
2014-04-01,7910.0
2014-04-02,7930.0
2014-04-03,7910.0
2014-04-04,7870.0
2014-04-07,7805.0
2014-04-08,7840.0
2014-04-09,7890.0
2014-04-10,7925.0
2014-04-11,7940.0
2014-04-14,7955.0
2014-04-15,7880.0
2014-04-16,7860.0
2014-04-17,7865.0
2014-04-18,7880.0
2014-04-21,7870.0
2014-04-22,7830.0
2014-04-23,7805.0
2014-04-24,7890.0
2014-04-25,7795.0
2014-04-28,7825.0
2014-04-29,7785.0
2014-04-30,7795.0
2014-05-02,7790.0
2014-05-07,7785.0
2014-05-08,7745.0
2014-05-09,7775.0
2014-05-12,7795.0
2014-05-13,7785.0
2014-05-14,7935.0
2014-05-15,7965.0
2014-05-16,7965.0
2014-05-19,8070.0
2014-05-20,8000.0
2014-05-21,7925.0
2014-05-22,7945.0
2014-05-23,7975.0
2014-05-26,7990.0
2014-05-27,7910.0
2014-05-28,7935.0
2014-05-29,7975.0
2014-05-30,7870.0
2014-06-02,7860.0
2014-06-03,7880.0
2014-06-05,7775.0
2014-06-09,7840.0
2014-06-10,7930.0
2014-06-11,7995.0
2014-06-12,7925.0
2014-06-13,7920.0
2014-06-16,7920.0
2014-06-17,7885.0
2014-06-18,7830.0
2014-06-19,7800.0
2014-06-20,7715.0
2014-06-23,7685.0
2014-06-24,7700.0
2014-06-25,7630.0
2014-06-26,7765.0
2014-06-27,7730.0
2014-06-30,7790.0
2014-07-01,7770.0
2014-07-02,7815.0
2014-07-03,7810.0
2014-07-04,7805.0
2014-07-07,7770.0
2014-07-08,7830.0
2014-07-09,7805.0
2014-07-10,7765.0
2014-07-11,7750.0
2014-07-14,7735.0
2014-07-15,7725.0
2014-07-16,7740.0
2014-07-17,7770.0
2014-07-18,7720.0
2014-07-21,7775.0
2014-07-22,7785.0
2014-07-23,7780.0
2014-07-24,7775.0
2014-07-25,7785.0
2014-07-28,7940.0
2014-07-29,7945.0
2014-07-30,8130.0
2014-07-31,8355.0
2014-08-01,8350.0
2014-08-04,8345.0
2014-08-05,8260.0
2014-08-06,8330.0
2014-08-07,8360.0
2014-08-08,8235.0
2014-08-11,8285.0
2014-08-12,8310.0
2014-08-13,8410.0
2014-08-14,8445.0
2014-08-18,8415.0
2014-08-19,8465.0
2014-08-20,8515.0
2014-08-21,8360.0
2014-08-22,8525.0
2014-08-25,8545.0
2014-08-26,8520.0
2014-08-27,8685.0
2014-08-28,8555.0
2014-08-29,8445.0
2014-09-01,8480.0
2014-09-02,8435.0
2014-09-03,8485.0
2014-09-04,8470.0
2014-09-05,8430.0
2014-09-11,8350.0
2014-09-12,8380.0
2014-09-15,8285.0
2014-09-16,8330.0
2014-09-17,8345.0
2014-09-18,8495.0
2014-09-19,8410.0
2014-09-22,8380.0
2014-09-23,8370.0
2014-09-24,8385.0
2014-09-25,8355.0
2014-09-26,8330.0
2014-09-29,8290.0
2014-09-30,8365.0
2014-10-01,8240.0
2014-10-02,8245.0
2014-10-06,8200.0
2014-10-07,8235.0
2014-10-08,8290.0
2014-10-10,8345.0
2014-10-13,8320.0
2014-10-14,8255.0
2014-10-15,8310.0
2014-10-16,8245.0
2014-10-17,8220.0
2014-10-20,8240.0
2014-10-21,8180.0
2014-10-22,8315.0
2014-10-23,8190.0
2014-10-24,8345.0
2014-10-27,8390.0
2014-10-28,8460.0
2014-10-29,8595.0
2014-10-30,8645.0
2014-10-31,8730.0
2014-11-03,8700.0
2014-11-04,8680.0
2014-11-05,8705.0
2014-11-06,8660.0
2014-11-07,8615.0
2014-11-10,8710.0
2014-11-11,8660.0
2014-11-12,8755.0
2014-11-13,8660.0
2014-11-14,8740.0
2014-11-17,8790.0
2014-11-18,8725.0
2014-11-19,8735.0
2014-11-20,8750.0
2014-11-21,8750.0
2014-11-24,8740.0
2014-11-25,8890.0
2014-11-26,8970.0
2014-11-27,8980.0
2014-11-28,8915.0
2014-12-01,8810.0
2014-12-02,8900.0
2014-12-03,8905.0
2014-12-04,8910.0
2014-12-05,8890.0
2014-12-08,8765.0
2014-12-09,8765.0
2014-12-10,8580.0
2014-12-11,8570.0
2014-12-12,8740.0
2014-12-15,8600.0
2014-12-16,8545.0
2014-12-17,8540.0
2014-12-18,8615.0
2014-12-19,8540.0
2014-12-22,8580.0
2014-12-23,8630.0
2014-12-24,8640.0
2014-12-26,8690.0
2014-12-29,8705.0
2014-12-30,8710.0
2015-01-02,8605.0
2015-01-05,8560.0
2015-01-06,8560.0
2015-01-07,8615.0
2015-01-08,8770.0
2015-01-09,8775.0
2015-01-12,8620.0
2015-01-13,8620.0
2015-01-14,8630.0
2015-01-15,8630.0
2015-01-16,8375.0
2015-01-19,8410.0
2015-01-20,8395.0
2015-01-21,8470.0
2015-01-22,8450.0
2015-01-23,8480.0
2015-01-26,8550.0
2015-01-27,8635.0
2015-01-28,8715.0
2015-01-29,8630.0
2015-01-30,8505.0
2015-02-02,8510.0
2015-02-03,8410.0
2015-02-04,8475.0
2015-02-05,8415.0
2015-02-06,8425.0
2015-02-09,8420.0
2015-02-10,8330.0
2015-02-11,8400.0
2015-02-12,8350.0
2015-02-13,8240.0
2015-02-16,8265.0
2015-02-17,8065.0
2015-02-23,8125.0
2015-02-24,8125.0
2015-02-25,8140.0
2015-02-26,8060.0
2015-02-27,8055.0
2015-03-02,7930.0
2015-03-03,8000.0
2015-03-04,7995.0
2015-03-05,8005.0
2015-03-06,7950.0
2015-03-09,7965.0
2015-03-10,7945.0
2015-03-11,7665.0
2015-03-12,7775.0
2015-03-13,7800.0
2015-03-16,7750.0
2015-03-17,7835.0
2015-03-18,7950.0
2015-03-19,7850.0
2015-03-20,7855.0
2015-03-23,7820.0
2015-03-24,7840.0
2015-03-25,7780.0
2015-03-26,7820.0
2015-03-27,7795.0
2015-03-30,7760.0
2015-03-31,7830.0
2015-04-01,7770.0
2015-04-02,7790.0
2015-04-03,7855.0
2015-04-06,7775.0
2015-04-07,7755.0
2015-04-08,7745.0
2015-04-09,7750.0
2015-04-10,7800.0
2015-04-13,7830.0
2015-04-14,7995.0
2015-04-15,8045.0
2015-04-16,8100.0
2015-04-17,8160.0
2015-04-20,8165.0
2015-04-21,8065.0
2015-04-22,8115.0
2015-04-23,8310.0
2015-04-24,8585.0
2015-04-27,8465.0
2015-04-28,8400.0
2015-04-29,8395.0
2015-04-30,8430.0
2015-05-04,8575.0
2015-05-06,8565.0
2015-05-07,8470.0
2015-05-08,8410.0
2015-05-11,8445.0
2015-05-12,8465.0
2015-05-13,8815.0
2015-05-14,8765.0
2015-05-15,8585.0
2015-05-18,8675.0
2015-05-19,8650.0
2015-05-20,8690.0
2015-05-21,8535.0
2015-05-22,8750.0
2015-05-26,8810.0
2015-05-27,8655.0
2015-05-28,8645.0
2015-05-29,8745.0
2015-06-01,8520.0
2015-06-02,8515.0
2015-06-03,8370.0
2015-06-04,8335.0
2015-06-05,8350.0
2015-06-08,8345.0
2015-06-09,8280.0
2015-06-10,8385.0
2015-06-11,8530.0
2015-06-12,8385.0
2015-06-15,8430.0
2015-06-16,8460.0
2015-06-17,8340.0
2015-06-18,8385.0
2015-06-19,8515.0
2015-06-22,8525.0
2015-06-23,8615.0
2015-06-24,8765.0
2015-06-25,8750.0
2015-06-26,8820.0
2015-06-29,8685.0
2015-06-30,8730.0
2015-07-01,8635.0
2015-07-02,8640.0
2015-07-03,8795.0
2015-07-06,8625.0
2015-07-07,8760.0
2015-07-08,8630.0
2015-07-09,8520.0
2015-07-10,8640.0
2015-07-13,8760.0
2015-07-14,8685.0
2015-07-15,8660.0
2015-07-16,8700.0
2015-07-17,8630.0
2015-07-20,8505.0
2015-07-21,8600.0
2015-07-22,8475.0
2015-07-23,8490.0
2015-07-24,8385.0
2015-07-27,8400.0
2015-07-28,8460.0
2015-07-29,8370.0
2015-07-30,8700.0
2015-07-31,8805.0
2015-08-03,8645.0
2015-08-04,8720.0
2015-08-05,8655.0
2015-08-06,8655.0
2015-08-07,8470.0
2015-08-10,8535.0
