Date,KODEX 삼성그룹
2014-01-13,5955.0
2014-01-14,5945.0
2014-01-15,5990.0
2014-01-16,5990.0
2014-01-17,5965.0
2014-01-20,5985.0
2014-01-21,6015.0
2014-01-22,6035.0
2014-01-23,5970.0
2014-01-24,5950.0
2014-01-27,5850.0
2014-01-28,5835.0
2014-01-29,5930.0
2014-02-03,5850.0
2014-02-04,5710.0
2014-02-05,5735.0
2014-02-06,5800.0
2014-02-07,5840.0
2014-02-10,5815.0
2014-02-11,5855.0
2014-02-12,5830.0
2014-02-13,5800.0
2014-02-14,5850.0
2014-02-17,5905.0
2014-02-18,5895.0
2014-02-19,5895.0
2014-02-20,5845.0
2014-02-21,5955.0
2014-02-24,5910.0
2014-02-25,5940.0
2014-02-26,5960.0
2014-02-27,5960.0
2014-02-28,5935.0
2014-03-03,5910.0
2014-03-04,5885.0
2014-03-05,5935.0
2014-03-06,5930.0
2014-03-07,5915.0
2014-03-10,5835.0
2014-03-11,5845.0
2014-03-12,5745.0
2014-03-13,5780.0
2014-03-14,5690.0
2014-03-17,5740.0
2014-03-18,5755.0
2014-03-19,5730.0
2014-03-20,5685.0
2014-03-21,5720.0
2014-03-24,5760.0
2014-03-25,5780.0
2014-03-26,5830.0
2014-03-27,5885.0
2014-03-28,5895.0
2014-03-31,6010.0
2014-04-01,5985.0
2014-04-02,6000.0
2014-04-03,6020.0
2014-04-04,5995.0
2014-04-07,6030.0
2014-04-08,6030.0
2014-04-09,6030.0
2014-04-10,6075.0
2014-04-11,6040.0
2014-04-14,6055.0
2014-04-15,6010.0
2014-04-16,6020.0
2014-04-17,6030.0
2014-04-18,6055.0
2014-04-21,6020.0
2014-04-22,6035.0
2014-04-23,6000.0
2014-04-24,5990.0
2014-04-25,5955.0
2014-04-28,5965.0
2014-04-29,5875.0
2014-04-30,5895.0
2014-05-02,5865.0
2014-05-07,5800.0
2014-05-08,5850.0
2014-05-09,5875.0
2014-05-12,5940.0
2014-05-13,5975.0
2014-05-14,6050.0
2014-05-15,6085.0
2014-05-16,6165.0
2014-05-19,6260.0
2014-05-20,6215.0
2014-05-21,6170.0
2014-05-22,6150.0
2014-05-23,6170.0
2014-05-26,6150.0
2014-05-27,6095.0
2014-05-28,6180.0
2014-05-29,6215.0
2014-05-30,6130.0
2014-06-02,6130.0
2014-06-03,6245.0
2014-06-05,6265.0
2014-06-09,6195.0
2014-06-10,6255.0
2014-06-11,6195.0
2014-06-12,6160.0
2014-06-13,6095.0
2014-06-16,6120.0
2014-06-17,6130.0
2014-06-18,6080.0
2014-06-19,6080.0
2014-06-20,5980.0
2014-06-23,6005.0
2014-06-24,6065.0
2014-06-25,5995.0
2014-06-26,6010.0
2014-06-27,6005.0
2014-06-30,6035.0
2014-07-01,6040.0
2014-07-02,6090.0
2014-07-03,6100.0
2014-07-04,6065.0
2014-07-07,6025.0
2014-07-08,6045.0
2014-07-09,6030.0
2014-07-10,6015.0
2014-07-11,5955.0
2014-07-14,5975.0
2014-07-15,6025.0
2014-07-16,6025.0
2014-07-17,6025.0
2014-07-18,6020.0
2014-07-21,6035.0
2014-07-22,6060.0
2014-07-23,6075.0
2014-07-24,6085.0
2014-07-25,6070.0
2014-07-28,6070.0
2014-07-29,6150.0
2014-07-30,6220.0
2014-07-31,6210.0
2014-08-01,6145.0
2014-08-04,6175.0
2014-08-05,6110.0
2014-08-06,6085.0
2014-08-07,6080.0
2014-08-08,5940.0
2014-08-11,5970.0
2014-08-12,5985.0
2014-08-13,6035.0
2014-08-14,6085.0
2014-08-18,6050.0
2014-08-19,6090.0
2014-08-20,6075.0
2014-08-21,5970.0
2014-08-22,6005.0
2014-08-25,5980.0
2014-08-26,5965.0
2014-08-27,6000.0
2014-08-28,6020.0
2014-08-29,6005.0
2014-09-01,6080.0
2014-09-02,5990.0
2014-09-03,5960.0
2014-09-04,5960.0
2014-09-05,5940.0
2014-09-11,5870.0
2014-09-12,5895.0
2014-09-15,5885.0
2014-09-16,5885.0
2014-09-17,5945.0
2014-09-18,5970.0
2014-09-19,5965.0
2014-09-22,5905.0
2014-09-23,5815.0
2014-09-24,5770.0
2014-09-25,5780.0
