Date,KODEX 에너지화학
2014-01-13,10035.0
2014-01-14,9905.0
2014-01-15,9935.0
2014-01-16,9995.0
2014-01-17,9970.0
2014-01-20,9930.0
2014-01-21,10000.0
2014-01-22,10035.0
2014-01-23,10005.0
2014-01-24,9930.0
2014-01-27,9715.0
2014-01-28,9725.0
2014-01-29,9685.0
2014-02-03,9590.0
2014-02-04,9375.0
2014-02-05,9520.0
2014-02-06,9540.0
2014-02-07,9600.0
2014-02-10,9675.0
2014-02-11,9710.0
2014-02-12,9720.0
2014-02-13,9735.0
2014-02-14,9790.0
2014-02-17,9850.0
2014-02-18,9800.0
2014-02-19,9800.0
2014-02-20,9725.0
2014-02-21,9775.0
2014-02-24,9685.0
2014-02-25,9840.0
2014-02-26,9870.0
2014-02-27,9850.0
2014-02-28,9735.0
2014-03-03,9660.0
2014-03-04,9620.0
2014-03-05,9690.0
2014-03-06,9680.0
2014-03-07,9705.0
2014-03-10,9535.0
2014-03-11,9520.0
2014-03-12,9415.0
2014-03-13,9405.0
2014-03-14,9325.0
2014-03-17,9395.0
2014-03-18,9405.0
2014-03-19,9350.0
2014-03-20,9070.0
2014-03-21,9155.0
2014-03-24,9265.0
2014-03-25,9320.0
2014-03-26,9340.0
2014-03-27,9345.0
2014-03-28,9330.0
2014-03-31,9430.0
2014-04-01,9495.0
2014-04-02,9475.0
2014-04-03,9345.0
2014-04-04,9415.0
2014-04-07,9500.0
2014-04-08,9555.0
2014-04-09,9585.0
2014-04-10,9580.0
2014-04-11,9550.0
2014-04-14,9495.0
2014-04-15,9460.0
2014-04-16,9440.0
2014-04-17,9455.0
2014-04-18,9560.0
2014-04-21,9605.0
2014-04-22,9565.0
2014-04-23,9545.0
2014-04-24,9420.0
2014-04-25,9350.0
2014-04-28,9315.0
2014-04-29,9180.0
2014-04-30,9175.0
2014-05-02,9160.0
2014-05-07,8965.0
2014-05-08,8920.0
2014-05-09,8840.0
2014-05-12,8755.0
2014-05-13,8895.0
2014-05-14,8960.0
2014-05-15,8975.0
2014-05-16,9010.0
2014-05-19,9040.0
2014-05-20,9010.0
2014-05-21,9025.0
2014-05-22,9165.0
2014-05-23,9125.0
2014-05-26,9100.0
2014-05-27,9080.0
2014-05-28,9130.0
2014-05-29,8980.0
2014-05-30,8885.0
2014-06-02,8930.0
2014-06-03,8970.0
2014-06-05,8895.0
2014-06-09,9005.0
2014-06-10,9110.0
2014-06-11,9115.0
2014-06-12,9090.0
2014-06-13,9115.0
2014-06-16,9290.0
2014-06-17,9235.0
2014-06-18,9215.0
2014-06-19,9310.0
2014-06-20,9130.0
2014-06-23,9215.0
2014-06-24,9285.0
2014-06-25,9315.0
2014-06-26,9335.0
2014-06-27,9385.0
2014-06-30,9450.0
2014-07-01,9385.0
2014-07-02,9390.0
2014-07-03,9260.0
2014-07-04,9275.0
2014-07-07,9210.0
2014-07-08,9115.0
2014-07-09,9070.0
2014-07-10,9100.0
2014-07-11,9030.0
2014-07-14,8980.0
2014-07-15,9065.0
2014-07-16,9115.0
2014-07-17,9245.0
2014-07-18,9255.0
2014-07-21,9120.0
2014-07-22,9120.0
2014-07-23,9155.0
2014-07-24,9230.0
2014-07-25,9245.0
2014-07-28,9225.0
2014-07-29,9340.0
2014-07-30,9270.0
2014-07-31,9300.0
2014-08-01,9375.0
2014-08-04,9385.0
2014-08-05,9195.0
2014-08-06,9140.0
2014-08-07,9060.0
2014-08-08,8970.0
2014-08-11,8965.0
2014-08-12,8945.0
2014-08-13,8960.0
2014-08-14,8960.0
2014-08-18,8895.0
2014-08-19,8920.0
2014-08-20,8840.0
2014-08-21,8780.0
2014-08-22,8860.0
2014-08-25,8840.0
2014-08-26,8860.0
2014-08-27,8850.0
2014-08-28,8840.0
2014-08-29,8825.0
2014-09-01,8740.0
2014-09-02,8670.0
2014-09-03,8540.0
2014-09-04,8590.0
2014-09-05,8655.0
2014-09-11,8590.0
2014-09-12,8590.0
2014-09-15,8595.0
2014-09-16,8575.0
2014-09-17,8700.0
2014-09-18,8675.0
2014-09-19,8715.0
2014-09-22,8590.0
2014-09-23,8550.0
2014-09-24,8500.0
2014-09-25,8550.0
2014-09-26,8395.0
2014-09-29,8170.0
2014-09-30,8155.0
2014-10-01,8000.0
2014-10-02,7890.0
2014-10-06,7930.0
2014-10-07,7865.0
2014-10-08,7835.0
2014-10-10,7645.0
2014-10-13,7570.0
2014-10-14,7625.0
2014-10-15,7500.0
2014-10-16,7440.0
2014-10-17,7430.0
2014-10-20,7565.0
2014-10-21,7200.0
2014-10-22,7270.0
2014-10-23,7120.0
2014-10-24,7055.0
2014-10-27,7325.0
2014-10-28,7185.0
2014-10-29,7470.0
2014-10-30,7355.0
2014-10-31,7300.0
2014-11-03,7185.0
2014-11-04,6900.0
2014-11-05,6885.0
2014-11-06,7145.0
2014-11-07,7190.0
2014-11-10,7215.0
2014-11-11,7195.0
2014-11-12,7500.0
2014-11-13,7445.0
2014-11-14,7395.0
2014-11-17,7515.0
2014-11-18,7525.0
2014-11-19,7425.0
2014-11-20,7420.0
2014-11-21,7495.0
2014-11-24,7880.0
2014-11-25,7825.0
2014-11-26,7800.0
2014-11-27,7620.0
2014-11-28,7490.0
2014-12-01,7220.0
2014-12-02,7275.0
2014-12-03,7335.0
2014-12-04,7415.0
2014-12-05,7450.0
2014-12-08,7475.0
2014-12-09,7345.0
2014-12-10,7140.0
2014-12-11,7070.0
2014-12-12,7095.0
2014-12-15,7265.0
2014-12-16,7230.0
2014-12-17,7370.0
2014-12-18,7355.0
2014-12-19,7365.0
2014-12-22,7460.0
2014-12-23,7390.0
2014-12-24,7450.0
2014-12-26,7425.0
2014-12-29,7425.0
2014-12-30,7345.0
2015-01-02,7310.0
2015-01-05,7205.0
2015-01-06,6965.0
2015-01-07,6960.0
2015-01-08,7045.0
2015-01-09,7230.0
2015-01-12,7280.0
2015-01-13,7235.0
2015-01-14,7240.0
2015-01-15,7280.0
2015-01-16,7135.0
2015-01-19,7430.0
2015-01-20,7495.0
2015-01-21,7500.0
2015-01-22,7660.0
2015-01-23,7670.0
2015-01-26,7590.0
2015-01-27,7890.0
2015-01-28,7935.0
2015-01-29,7850.0
2015-01-30,7930.0
2015-02-02,8065.0
2015-02-03,8190.0
2015-02-04,8170.0
2015-02-05,7980.0
2015-02-06,8155.0
2015-02-09,8215.0
2015-02-10,8200.0
2015-02-11,8155.0
2015-02-12,8060.0
2015-02-13,8200.0
2015-02-16,8145.0
2015-02-17,8215.0
2015-02-23,8270.0
2015-02-24,8305.0
2015-02-25,8590.0
2015-02-26,8700.0
2015-02-27,8680.0
2015-03-02,8825.0
2015-03-03,8770.0
2015-03-04,8550.0
2015-03-05,8665.0
2015-03-06,8805.0
2015-03-09,8770.0
2015-03-10,8670.0
2015-03-11,8575.0
2015-03-12,8545.0
2015-03-13,8510.0
2015-03-16,8170.0
2015-03-17,8380.0
2015-03-18,8320.0
2015-03-19,8550.0
2015-03-20,8540.0
2015-03-23,8570.0
2015-03-24,8580.0
2015-03-25,8455.0
2015-03-26,8520.0
2015-03-27,8490.0
2015-03-30,8525.0
2015-03-31,8590.0
2015-04-01,8620.0
2015-04-02,8720.0
2015-04-03,8750.0
2015-04-06,8720.0
2015-04-07,8765.0
2015-04-08,9120.0
2015-04-09,9280.0
2015-04-10,9360.0
2015-04-13,9665.0
2015-04-14,9610.0
2015-04-15,9785.0
2015-04-16,9610.0
2015-04-17,9530.0
2015-04-20,10035.0
2015-04-21,9960.0
2015-04-22,10070.0
2015-04-23,10225.0
2015-04-24,10135.0
2015-04-27,9980.0
2015-04-28,10065.0
2015-04-29,9975.0
2015-04-30,9905.0
2015-05-04,9935.0
2015-05-06,9920.0
2015-05-07,9710.0
2015-05-08,9690.0
2015-05-11,9795.0
2015-05-12,9820.0
2015-05-13,9975.0
2015-05-14,9725.0
2015-05-15,9550.0
2015-05-18,9475.0
2015-05-19,9715.0
2015-05-20,9450.0
2015-05-21,9485.0
2015-05-22,9830.0
2015-05-26,9835.0
2015-05-27,9600.0
2015-05-28,9550.0
2015-05-29,9490.0
2015-06-01,9590.0
2015-06-02,9545.0
2015-06-03,9675.0
2015-06-04,9585.0
2015-06-05,9470.0
2015-06-08,9650.0
2015-06-09,9845.0
2015-06-10,9875.0
2015-06-11,9830.0
2015-06-12,9675.0
2015-06-15,9690.0
2015-06-16,9690.0
2015-06-17,9930.0
2015-06-18,10180.0
2015-06-19,10235.0
2015-06-22,10010.0
2015-06-23,10055.0
2015-06-24,10050.0
2015-06-25,10235.0
2015-06-26,10180.0
2015-06-29,9780.0
2015-06-30,9995.0
2015-07-01,10175.0
2015-07-02,10230.0
2015-07-03,10180.0
2015-07-06,9820.0
2015-07-07,9685.0
2015-07-08,9195.0
2015-07-09,9315.0
2015-07-10,9590.0
2015-07-13,9715.0
2015-07-14,9655.0
2015-07-15,9900.0
2015-07-16,9855.0
2015-07-17,9925.0
2015-07-20,9880.0
2015-07-21,10055.0
2015-07-22,9915.0
2015-07-23,9560.0
2015-07-24,9415.0
2015-07-27,9290.0
2015-07-28,9155.0
2015-07-29,9075.0
2015-07-30,9185.0
2015-07-31,9245.0
2015-08-03,8695.0
2015-08-04,8830.0
2015-08-05,9010.0
2015-08-06,9045.0
2015-08-07,8935.0
2015-08-10,8515.0
2015-08-11,8500.0
2015-08-12,8385.0
2015-08-13,8680.0
2015-08-17,8820.0
2015-08-18,8610.0
2015-08-19,8500.0
2015-08-20,8360.0
2015-08-21,8250.0
2015-08-24,8040.0
2015-08-25,8120.0
2015-08-26,8455.0
2015-08-27,8465.0
2015-08-28,8770.0
2015-08-31,8690.0
2015-09-01,8570.0
2015-09-02,8500.0
2015-09-03,8390.0
2015-09-04,8290.0
2015-09-07,8220.0
2015-09-08,8110.0
2015-09-09,8535.0
2015-09-10,8690.0
2015-09-11,8660.0
2015-09-14,8730.0
2015-09-15,8770.0
2015-09-16,9070.0
2015-09-17,9150.0
2015-09-18,9185.0
2015-09-21,8995.0
2015-09-22,9080.0
2015-09-23,9000.0
2015-09-24,9035.0
2015-09-25,9030.0
2015-09-30,9265.0
2015-10-01,9360.0
2015-10-02,9265.0
2015-10-05,9555.0
2015-10-06,9690.0
2015-10-07,9730.0
2015-10-08,9705.0
2015-10-12,9760.0
2015-10-13,9645.0
2015-10-14,9380.0
2015-10-15,9730.0
2015-10-16,9690.0
2015-10-19,9720.0
2015-10-20,9625.0
2015-10-21,9765.0
2015-10-22,9570.0
2015-10-23,9905.0
2015-10-26,9890.0
2015-10-27,9885.0
2015-10-28,10000.0
2015-10-29,10015.0
2015-10-30,9740.0
2015-11-02,9815.0
2015-11-03,9945.0
2015-11-04,10045.0
2015-11-05,9930.0
2015-11-06,9780.0
2015-11-09,9540.0
2015-11-10,9450.0
2015-11-11,9390.0
2015-11-12,9390.0
2015-11-13,9390.0
2015-11-16,9445.0
2015-11-17,9755.0
2015-11-18,9720.0
2015-11-19,10075.0
2015-11-20,10100.0
2015-11-23,10175.0
2015-11-24,10400.0
2015-11-25,10265.0
2015-11-26,10325.0
2015-11-27,10325.0
2015-11-30,10120.0
2015-12-01,10325.0
2015-12-02,10210.0
2015-12-03,10190.0
2015-12-04,10050.0
2015-12-07,10020.0
2015-12-08,9965.0
2015-12-09,10030.0
2015-12-10,9910.0
2015-12-11,10075.0
2015-12-14,9880.0
2015-12-15,9725.0
2015-12-16,10170.0
2015-12-17,10315.0
2015-12-18,10295.0
2015-12-21,10380.0
2015-12-22,10440.0
2015-12-23,10520.0
2015-12-24,10460.0
2015-12-28,10310.0
2015-12-29,10465.0
2015-12-30,10400.0
2016-01-04,10410.0
2016-01-05,10390.0
2016-01-06,10455.0
2016-01-07,10165.0
2016-01-08,10455.0
2016-01-11,10225.0
2016-01-12,10335.0
2016-01-13,10520.0
2016-01-14,10320.0
2016-01-15,10100.0
2016-01-18,10050.0
2016-01-19,9945.0
2016-01-20,9690.0
2016-01-21,9945.0
2016-01-22,10025.0
2016-01-25,10155.0
2016-01-26,9845.0
2016-01-27,9955.0
2016-01-28,9995.0
2016-01-29,10095.0
2016-02-01,10100.0
2016-02-02,10010.0
2016-02-03,10095.0
2016-02-04,10590.0
2016-02-05,10495.0
2016-02-11,10030.0
2016-02-12,9780.0
2016-02-15,9875.0
2016-02-16,10215.0
2016-02-17,10165.0
2016-02-18,10370.0
2016-02-19,10530.0
2016-02-22,10590.0
2016-02-23,10695.0
2016-02-24,10605.0
2016-02-25,10620.0
2016-02-26,10550.0
2016-02-29,10645.0
2016-03-02,10995.0
2016-03-03,10925.0
2016-03-04,10790.0
2016-03-07,10940.0
2016-03-08,10890.0
2016-03-09,10750.0
2016-03-10,10965.0
2016-03-11,10950.0
2016-03-14,10970.0
2016-03-15,11010.0
2016-03-16,10920.0
2016-03-17,11275.0
2016-03-18,11230.0
2016-03-21,11250.0
2016-03-22,11170.0
2016-03-23,11210.0
2016-03-24,11285.0
2016-03-25,11410.0
2016-03-28,11410.0
2016-03-29,11545.0
2016-03-30,11790.0
2016-03-31,11700.0
2016-04-01,11415.0
2016-04-04,11525.0
2016-04-05,11390.0
2016-04-06,11470.0
2016-04-07,11490.0
2016-04-08,11495.0
2016-04-11,11445.0
