Date,KODEX 운송
2014-01-13,3745.0
2014-01-14,3735.0
2014-01-15,3790.0
2014-01-16,3805.0
2014-01-17,3760.0
2014-01-20,3815.0
2014-01-21,3805.0
2014-01-22,3805.0
2014-01-23,3750.0
2014-01-24,3760.0
2014-01-27,3810.0
2014-01-28,3800.0
2014-01-29,3965.0
2014-02-03,3995.0
2014-02-04,3870.0
2014-02-05,3890.0
2014-02-06,3940.0
2014-02-07,3895.0
2014-02-10,3890.0
2014-02-11,3840.0
2014-02-12,3890.0
2014-02-13,3840.0
2014-02-14,3945.0
2014-02-17,3930.0
2014-02-18,3920.0
2014-02-19,3920.0
2014-02-20,3870.0
2014-02-21,3915.0
2014-02-24,3890.0
2014-02-25,3930.0
2014-02-26,3930.0
2014-02-27,3945.0
2014-02-28,3970.0
2014-03-03,3875.0
2014-03-04,3805.0
2014-03-05,3885.0
2014-03-06,3945.0
2014-03-07,3975.0
2014-03-10,3925.0
2014-03-11,3945.0
2014-03-12,3900.0
2014-03-13,3915.0
2014-03-14,3805.0
2014-03-17,3795.0
2014-03-18,3795.0
2014-03-19,3760.0
2014-03-20,3755.0
2014-03-21,3810.0
2014-03-24,3845.0
2014-03-25,3865.0
2014-03-26,3850.0
2014-03-27,3805.0
2014-03-28,3870.0
2014-03-31,3875.0
2014-04-01,3900.0
2014-04-02,3940.0
2014-04-03,3950.0
2014-04-04,3930.0
2014-04-07,3880.0
2014-04-08,3855.0
2014-04-09,3850.0
2014-04-10,3895.0
2014-04-11,3890.0
2014-04-14,3865.0
2014-04-15,3820.0
2014-04-16,3855.0
2014-04-17,3815.0
2014-04-18,3855.0
2014-04-21,3830.0
2014-04-22,3850.0
2014-04-23,3835.0
2014-04-24,3800.0
2014-04-25,3730.0
2014-04-28,3720.0
2014-04-29,3730.0
2014-04-30,3765.0
2014-05-02,3725.0
2014-05-07,3645.0
2014-05-08,3675.0
2014-05-09,3715.0
2014-05-12,3725.0
2014-05-13,3780.0
2014-05-14,3795.0
2014-05-15,3800.0
2014-05-16,3840.0
2014-05-19,3805.0
2014-05-20,3850.0
2014-05-21,3850.0
2014-05-22,3860.0
2014-05-23,3860.0
2014-05-26,3880.0
2014-05-27,3835.0
2014-05-28,3900.0
2014-05-29,3870.0
2014-05-30,3865.0
2014-06-02,3850.0
2014-06-03,3895.0
2014-06-05,3860.0
2014-06-09,3865.0
2014-06-10,3920.0
2014-06-11,3910.0
2014-06-12,3905.0
2014-06-13,3870.0
2014-06-16,3825.0
2014-06-17,3865.0
2014-06-18,3865.0
2014-06-19,3865.0
2014-06-20,3840.0
2014-06-23,3830.0
2014-06-24,3870.0
2014-06-25,3785.0
2014-06-26,3775.0
2014-06-27,3830.0
2014-06-30,3895.0
2014-07-01,3905.0
2014-07-02,3875.0
2014-07-03,3940.0
2014-07-04,3990.0
2014-07-07,3990.0
2014-07-08,3980.0
2014-07-09,3990.0
2014-07-10,3975.0
2014-07-11,3965.0
2014-07-14,3990.0
2014-07-15,3960.0
2014-07-16,3995.0
2014-07-17,3960.0
2014-07-18,4005.0
2014-07-21,3985.0
2014-07-22,3980.0
2014-07-23,3945.0
2014-07-24,3940.0
2014-07-25,3950.0
2014-07-28,3980.0
2014-07-29,3955.0
2014-07-30,3940.0
2014-07-31,3990.0
2014-08-01,4005.0
2014-08-04,4000.0
2014-08-05,3990.0
2014-08-06,4030.0
2014-08-07,4080.0
2014-08-08,4105.0
2014-08-11,4145.0
2014-08-12,4150.0
2014-08-13,4255.0
2014-08-14,4320.0
2014-08-18,4350.0
2014-08-19,4395.0
2014-08-20,4485.0
2014-08-21,4450.0
2014-08-22,4505.0
2014-08-25,4550.0
2014-08-26,4625.0
2014-08-27,4545.0
2014-08-28,4475.0
2014-08-29,4455.0
2014-09-01,4430.0
2014-09-02,4410.0
2014-09-03,4410.0
2014-09-04,4400.0
2014-09-05,4450.0
2014-09-11,4455.0
2014-09-12,4340.0
2014-09-15,4305.0
2014-09-16,4285.0
2014-09-17,4410.0
2014-09-18,4345.0
2014-09-19,4485.0
2014-09-22,4435.0
2014-09-23,4420.0
2014-09-24,4460.0
2014-09-25,4420.0
2014-09-26,4385.0
2014-09-29,4335.0
2014-09-30,4390.0
2014-10-01,4290.0
2014-10-02,4310.0
2014-10-06,4375.0
2014-10-07,4400.0
2014-10-08,4400.0
2014-10-10,4325.0
2014-10-13,4290.0
2014-10-14,4340.0
2014-10-15,4450.0
2014-10-16,4515.0
2014-10-17,4435.0
2014-10-20,4470.0
2014-10-21,4525.0
2014-10-22,4570.0
2014-10-23,4545.0
2014-10-24,4495.0
2014-10-27,4450.0
2014-10-28,4430.0
2014-10-29,4495.0
2014-10-30,4425.0
2014-10-31,4360.0
2014-11-03,4325.0
2014-11-04,4295.0
2014-11-05,4340.0
2014-11-06,4345.0
2014-11-07,4400.0
2014-11-10,4435.0
2014-11-11,4670.0
2014-11-12,4660.0
2014-11-13,4645.0
2014-11-14,4625.0
2014-11-17,4600.0
2014-11-18,4645.0
2014-11-19,4700.0
2014-11-20,4600.0
2014-11-21,4555.0
2014-11-24,4450.0
2014-11-25,4525.0
2014-11-26,4510.0
2014-11-27,4385.0
2014-11-28,4530.0
2014-12-01,4760.0
2014-12-02,4665.0
2014-12-03,4630.0
2014-12-04,4670.0
2014-12-05,4655.0
2014-12-08,4685.0
2014-12-09,4720.0
2014-12-10,4710.0
2014-12-11,4645.0
2014-12-12,4635.0
2014-12-15,4690.0
2014-12-16,4685.0
2014-12-17,4665.0
2014-12-18,4660.0
2014-12-19,4745.0
2014-12-22,4790.0
2014-12-23,4720.0
2014-12-24,4720.0
2014-12-26,4700.0
2014-12-29,4780.0
2014-12-30,4835.0
2015-01-02,4885.0
2015-01-05,4870.0
2015-01-06,4845.0
2015-01-07,4820.0
2015-01-08,4850.0
2015-01-09,4920.0
2015-01-12,4845.0
2015-01-13,4670.0
2015-01-14,4600.0
2015-01-15,4580.0
2015-01-16,4600.0
2015-01-19,4550.0
2015-01-20,4580.0
2015-01-21,4560.0
2015-01-22,4470.0
2015-01-23,4525.0
2015-01-26,4550.0
2015-01-27,4580.0
2015-01-28,4665.0
2015-01-29,4715.0
2015-01-30,4820.0
2015-02-02,4770.0
2015-02-03,4780.0
2015-02-04,4840.0
2015-02-05,4865.0
2015-02-06,4925.0
2015-02-09,4860.0
2015-02-10,4780.0
2015-02-11,4915.0
2015-02-12,4890.0
2015-02-13,4870.0
2015-02-16,4780.0
2015-02-17,4810.0
2015-02-23,4795.0
2015-02-24,4795.0
2015-02-25,4850.0
2015-02-26,4820.0
2015-02-27,4895.0
2015-03-02,4825.0
2015-03-03,4780.0
2015-03-04,4735.0
2015-03-05,4700.0
2015-03-06,4685.0
2015-03-09,4640.0
2015-03-10,4570.0
2015-03-11,4605.0
2015-03-12,4670.0
2015-03-13,4655.0
2015-03-16,4720.0
2015-03-17,4795.0
2015-03-18,4800.0
2015-03-19,4825.0
2015-03-20,4860.0
2015-03-23,4805.0
2015-03-24,4900.0
2015-03-25,4890.0
2015-03-26,4815.0
2015-03-27,4760.0
2015-03-30,4870.0
2015-03-31,4890.0
2015-04-01,4905.0
2015-04-02,4830.0
2015-04-03,4925.0
2015-04-06,4920.0
2015-04-07,4880.0
2015-04-08,4885.0
2015-04-09,4920.0
2015-04-10,5030.0
2015-04-13,5090.0
2015-04-14,5050.0
2015-04-15,5020.0
2015-04-16,4920.0
2015-04-17,4970.0
2015-04-20,5045.0
2015-04-21,5000.0
2015-04-22,4960.0
2015-04-23,5045.0
2015-04-24,4955.0
2015-04-27,4975.0
2015-04-28,5020.0
2015-04-29,4985.0
2015-04-30,4850.0
2015-05-04,4820.0
2015-05-06,4655.0
2015-05-07,4680.0
2015-05-08,4715.0
2015-05-11,4715.0
2015-05-12,4655.0
2015-05-13,4690.0
2015-05-14,4695.0
2015-05-15,4690.0
2015-05-18,4565.0
2015-05-19,4585.0
2015-05-20,4630.0
2015-05-21,4555.0
2015-05-22,4585.0
2015-05-26,4510.0
2015-05-27,4555.0
2015-05-28,4610.0
2015-05-29,4610.0
2015-06-01,4565.0
2015-06-02,4400.0
2015-06-03,4370.0
2015-06-04,4395.0
2015-06-05,4390.0
2015-06-08,4415.0
2015-06-09,4430.0
2015-06-10,4280.0
2015-06-11,4195.0
2015-06-12,4150.0
2015-06-15,4040.0
2015-06-16,4010.0
2015-06-17,4060.0
2015-06-18,4010.0
2015-06-19,4105.0
2015-06-22,4140.0
2015-06-23,4145.0
2015-06-24,4165.0
2015-06-25,4165.0
2015-06-26,4160.0
2015-06-29,4025.0
2015-06-30,4110.0
2015-07-01,4155.0
2015-07-02,4125.0
2015-07-03,4085.0
2015-07-06,4015.0
2015-07-07,4095.0
2015-07-08,4085.0
2015-07-09,4030.0
2015-07-10,4025.0
2015-07-13,4115.0
2015-07-14,4050.0
2015-07-15,4085.0
2015-07-16,4100.0
2015-07-17,3950.0
2015-07-20,3945.0
2015-07-21,3980.0
2015-07-22,3915.0
2015-07-23,4010.0
2015-07-24,3995.0
2015-07-27,4010.0
2015-07-28,3970.0
2015-07-29,3870.0
2015-07-30,3830.0
2015-07-31,3825.0
2015-08-03,3835.0
2015-08-04,3975.0
2015-08-05,4015.0
2015-08-06,3960.0
2015-08-07,3910.0
2015-08-10,3930.0
2015-08-11,3850.0
2015-08-12,3805.0
2015-08-13,3795.0
2015-08-17,3715.0
2015-08-18,3665.0
2015-08-19,3525.0
2015-08-20,3520.0
2015-08-21,3430.0
2015-08-24,3370.0
2015-08-25,3470.0
2015-08-26,3655.0
2015-08-27,3625.0
2015-08-28,3665.0
2015-08-31,3745.0
2015-09-01,3695.0
2015-09-02,3650.0
2015-09-03,3645.0
2015-09-04,3595.0
2015-09-07,3615.0
2015-09-08,3630.0
2015-09-09,3755.0
2015-09-10,3855.0
2015-09-11,3825.0
2015-09-14,3830.0
2015-09-15,3815.0
2015-09-16,3855.0
2015-09-17,3815.0
2015-09-18,3830.0
2015-09-21,3815.0
2015-09-22,3860.0
2015-09-23,3780.0
2015-09-24,3820.0
2015-09-25,3905.0
2015-09-30,3955.0
2015-10-01,3980.0
2015-10-02,3990.0
2015-10-05,3970.0
2015-10-06,3925.0
