Date,KODEX 은선물(H)
2014-01-13,5120.0
2014-01-14,5185.0
2014-01-15,5120.0
2014-01-16,5120.0
2014-01-17,5100.0
2014-01-20,5150.0
2014-01-21,5145.0
2014-01-22,5065.0
2014-01-23,5010.0
2014-01-24,5075.0
2014-01-27,5070.0
2014-01-28,5025.0
2014-01-29,4995.0
2014-02-03,4880.0
2014-02-04,4940.0
2014-02-05,4960.0
2014-02-06,5075.0
2014-02-07,5035.0
2014-02-10,5065.0
2014-02-11,5100.0
2014-02-12,5080.0
2014-02-13,5125.0
2014-02-14,5250.0
2014-02-17,5520.0
2014-02-18,5450.0
2014-02-19,5500.0
2014-02-20,5440.0
2014-02-21,5450.0
2014-02-24,5490.0
2014-02-25,5550.0
2014-02-26,5540.0
2014-02-27,5360.0
2014-02-28,5420.0
2014-03-03,5440.0
2014-03-04,5435.0
2014-03-05,5395.0
2014-03-06,5395.0
2014-03-07,5460.0
2014-03-10,5270.0
2014-03-11,5315.0
2014-03-12,5365.0
2014-03-13,5420.0
2014-03-14,5380.0
2014-03-17,5410.0
2014-03-18,5340.0
2014-03-19,5280.0
2014-03-20,5230.0
2014-03-21,5180.0
2014-03-24,5140.0
2014-03-25,5095.0
2014-03-26,5090.0
2014-03-27,5030.0
2014-03-28,5045.0
2014-03-31,5095.0
2014-04-01,5025.0
2014-04-02,5030.0
2014-04-03,5055.0
2014-04-04,5035.0
2014-04-07,5045.0
2014-04-08,5065.0
2014-04-09,5100.0
2014-04-10,5075.0
2014-04-11,5090.0
2014-04-14,5075.0
2014-04-15,5035.0
2014-04-16,4960.0
2014-04-17,4975.0
2014-04-18,4985.0
2014-04-21,4925.0
2014-04-22,4935.0
2014-04-23,4935.0
2014-04-24,4950.0
2014-04-25,4965.0
2014-04-28,4985.0
2014-04-29,4970.0
2014-04-30,4945.0
2014-05-02,4830.0
2014-05-07,4980.0
2014-05-08,4895.0
2014-05-09,4885.0
2014-05-12,4885.0
2014-05-13,4920.0
2014-05-14,4945.0
2014-05-15,4995.0
2014-05-16,4935.0
2014-05-19,4925.0
2014-05-20,4915.0
2014-05-21,4925.0
2014-05-22,4930.0
2014-05-23,4940.0
2014-05-26,4920.0
2014-05-27,4920.0
2014-05-28,4860.0
2014-05-29,4845.0
2014-05-30,4845.0
2014-06-02,4755.0
2014-06-03,4780.0
2014-06-05,4780.0
2014-06-09,4840.0
2014-06-10,4855.0
2014-06-11,4870.0
2014-06-12,4870.0
2014-06-13,4950.0
2014-06-16,5025.0
2014-06-17,4960.0
2014-06-18,4990.0
2014-06-19,5030.0
2014-06-20,5280.0
2014-06-23,5290.0
2014-06-24,5275.0
2014-06-25,5260.0
2014-06-26,5315.0
2014-06-27,5355.0
2014-06-30,5320.0
2014-07-01,5340.0
2014-07-02,5325.0
2014-07-03,5345.0
2014-07-04,5350.0
2014-07-07,5300.0
2014-07-08,5325.0
2014-07-09,5355.0
2014-07-10,5395.0
2014-07-11,5445.0
2014-07-14,5375.0
2014-07-15,5310.0
2014-07-16,5255.0
2014-07-17,5305.0
2014-07-18,5335.0
2014-07-21,5300.0
2014-07-22,5300.0
2014-07-23,5300.0
2014-07-24,5265.0
2014-07-25,5200.0
2014-07-28,5240.0
2014-07-29,5205.0
2014-07-30,5210.0
2014-07-31,5235.0
2014-08-01,5180.0
2014-08-04,5160.0
2014-08-05,5140.0
2014-08-06,5050.0
2014-08-07,5085.0
2014-08-08,5085.0
2014-08-11,5040.0
2014-08-12,5090.0
2014-08-13,5075.0
2014-08-14,5045.0
2014-08-18,4980.0
2014-08-19,5005.0
2014-08-20,4955.0
2014-08-21,4935.0
2014-08-22,4960.0
2014-08-25,4930.0
