Date,KODEX 은행
2014-01-13,8105.0
2014-01-14,8015.0
2014-01-15,8070.0
2014-01-16,8075.0
2014-01-17,7975.0
2014-01-20,7925.0
2014-01-21,8010.0
2014-01-22,7980.0
2014-01-23,7860.0
2014-01-24,7950.0
2014-01-27,7850.0
2014-01-28,7790.0
2014-01-29,8020.0
2014-02-03,7820.0
2014-02-04,7680.0
2014-02-05,7685.0
2014-02-06,7750.0
2014-02-07,7740.0
2014-02-10,7585.0
2014-02-11,7645.0
2014-02-12,7700.0
2014-02-13,7620.0
2014-02-14,7645.0
2014-02-17,7940.0
2014-02-18,7960.0
2014-02-19,7910.0
2014-02-20,7865.0
2014-02-21,7970.0
2014-02-24,8030.0
2014-02-25,8065.0
2014-02-26,8090.0
2014-02-27,8065.0
2014-02-28,8145.0
2014-03-03,7985.0
2014-03-04,8005.0
2014-03-05,8090.0
2014-03-06,8110.0
2014-03-07,8065.0
2014-03-10,7875.0
2014-03-11,7955.0
2014-03-12,7790.0
2014-03-13,7780.0
2014-03-14,7720.0
2014-03-17,7770.0
2014-03-18,7785.0
2014-03-19,7825.0
2014-03-20,7660.0
2014-03-21,7710.0
2014-03-24,7765.0
2014-03-25,7760.0
2014-03-26,7925.0
2014-03-27,7890.0
2014-03-28,7965.0
2014-03-31,7975.0
2014-04-01,7935.0
2014-04-02,7945.0
2014-04-03,7825.0
2014-04-04,7840.0
2014-04-07,7800.0
2014-04-08,7870.0
2014-04-09,7950.0
2014-04-10,8005.0
2014-04-11,7925.0
2014-04-14,7950.0
2014-04-15,7895.0
2014-04-16,7845.0
2014-04-17,7850.0
2014-04-18,7880.0
2014-04-21,7870.0
2014-04-22,7830.0
2014-04-23,7805.0
2014-04-24,7770.0
2014-04-25,7630.0
2014-04-28,7590.0
2014-04-29,7495.0
2014-04-30,7550.0
2014-05-02,7575.0
2014-05-07,7470.0
2014-05-08,7550.0
2014-05-09,7595.0
2014-05-12,7560.0
2014-05-13,7645.0
2014-05-14,7820.0
2014-05-15,7850.0
2014-05-16,7845.0
2014-05-19,7860.0
2014-05-20,7775.0
2014-05-21,7670.0
2014-05-22,7745.0
2014-05-23,7725.0
2014-05-26,7675.0
2014-05-27,7640.0
2014-05-28,7645.0
2014-05-29,7605.0
2014-05-30,7525.0
2014-06-02,7585.0
2014-06-03,7550.0
2014-06-05,7510.0
2014-06-09,7605.0
2014-06-10,7650.0
2014-06-11,7730.0
2014-06-12,7690.0
2014-06-13,7610.0
2014-06-16,7610.0
2014-06-17,7595.0
2014-06-18,7540.0
2014-06-19,7575.0
2014-06-20,7485.0
2014-06-23,7515.0
2014-06-24,7605.0
2014-06-25,7555.0
2014-06-26,7610.0
2014-06-27,7600.0
2014-06-30,7635.0
2014-07-01,7565.0
2014-07-02,7570.0
2014-07-03,7560.0
2014-07-04,7515.0
2014-07-07,7540.0
2014-07-08,7540.0
2014-07-09,7570.0
2014-07-10,7560.0
2014-07-11,7505.0
2014-07-14,7535.0
2014-07-15,7615.0
2014-07-16,7655.0
2014-07-17,7675.0
2014-07-18,7585.0
2014-07-21,7665.0
2014-07-22,7720.0
2014-07-23,7815.0
