Date,KODEX 자동차
2014-01-13,21305.0
2014-01-14,21350.0
2014-01-15,21440.0
2014-01-16,21370.0
2014-01-17,21200.0
2014-01-20,21325.0
2014-01-21,21675.0
2014-01-22,21860.0
2014-01-23,21850.0
2014-01-24,21530.0
2014-01-27,21450.0
2014-01-28,21915.0
2014-01-29,22105.0
2014-02-03,21655.0
2014-02-04,21340.0
2014-02-05,21645.0
2014-02-06,21590.0
2014-02-07,21925.0
2014-02-10,21955.0
2014-02-11,21860.0
2014-02-12,21735.0
2014-02-13,21800.0
2014-02-14,22075.0
2014-02-17,21875.0
2014-02-18,21790.0
2014-02-19,21680.0
2014-02-20,21600.0
2014-02-21,21935.0
2014-02-24,21850.0
2014-02-25,22130.0
2014-02-26,22315.0
2014-02-27,22400.0
2014-02-28,22635.0
2014-03-03,22630.0
2014-03-04,22295.0
2014-03-05,22485.0
2014-03-06,22360.0
2014-03-07,22175.0
2014-03-10,21915.0
2014-03-11,22170.0
2014-03-12,21950.0
2014-03-13,21785.0
2014-03-14,21685.0
2014-03-17,22005.0
2014-03-18,22200.0
2014-03-19,22240.0
2014-03-20,21980.0
2014-03-21,22250.0
2014-03-24,22340.0
2014-03-25,22355.0
2014-03-26,22755.0
2014-03-27,23000.0
2014-03-28,22960.0
2014-03-31,23160.0
2014-04-01,23095.0
2014-04-02,23325.0
2014-04-03,22955.0
2014-04-04,23100.0
2014-04-07,22920.0
2014-04-08,22935.0
2014-04-09,22605.0
2014-04-10,22450.0
2014-04-11,22435.0
2014-04-14,22575.0
2014-04-15,22410.0
2014-04-16,22415.0
2014-04-17,22445.0
2014-04-18,22595.0
2014-04-21,22410.0
2014-04-22,22500.0
2014-04-23,22400.0
2014-04-24,22410.0
2014-04-25,22030.0
2014-04-28,22220.0
2014-04-29,22060.0
2014-04-30,21890.0
2014-05-02,21540.0
2014-05-07,21360.0
2014-05-08,21710.0
2014-05-09,21715.0
2014-05-12,21610.0
2014-05-13,21825.0
2014-05-14,22310.0
2014-05-15,22350.0
2014-05-16,22030.0
2014-05-19,22065.0
2014-05-20,21845.0
2014-05-21,21960.0
2014-05-22,22060.0
2014-05-23,22130.0
2014-05-26,22105.0
2014-05-27,21930.0
2014-05-28,22040.0
2014-05-29,21905.0
2014-05-30,21850.0
2014-06-02,21785.0
2014-06-03,21850.0
2014-06-05,21720.0
2014-06-09,21785.0
2014-06-10,21840.0
2014-06-11,21905.0
2014-06-12,21950.0
2014-06-13,21940.0
2014-06-16,21820.0
2014-06-17,22105.0
2014-06-18,21765.0
2014-06-19,21830.0
2014-06-20,21405.0
2014-06-23,21300.0
2014-06-24,21465.0
2014-06-25,21515.0
2014-06-26,21765.0
2014-06-27,21830.0
2014-06-30,21935.0
2014-07-01,21650.0
2014-07-02,21650.0
2014-07-03,21650.0
2014-07-04,21670.0
2014-07-07,21510.0
2014-07-08,21470.0
2014-07-09,21455.0
2014-07-10,21585.0
2014-07-11,21320.0
2014-07-14,21330.0
2014-07-15,21745.0
2014-07-16,21965.0
2014-07-17,21970.0
2014-07-18,22025.0
2014-07-21,21765.0
2014-07-22,21855.0
2014-07-23,21680.0
2014-07-24,21765.0
2014-07-25,21905.0
2014-07-28,21840.0
2014-07-29,22535.0
2014-07-30,22700.0
2014-07-31,22910.0
2014-08-01,22870.0
2014-08-04,22715.0
2014-08-05,22505.0
2014-08-06,22205.0
2014-08-07,22250.0
2014-08-08,22030.0
2014-08-11,22115.0
2014-08-12,22090.0
2014-08-13,22405.0
2014-08-14,22185.0
2014-08-18,21955.0
2014-08-19,22170.0
2014-08-20,22255.0
2014-08-21,21900.0
2014-08-22,22090.0
2014-08-25,21980.0
2014-08-26,22100.0
2014-08-27,22250.0
2014-08-28,22165.0
2014-08-29,22515.0
2014-09-01,22330.0
2014-09-02,22060.0
2014-09-03,21795.0
2014-09-04,21695.0
2014-09-05,21440.0
2014-09-11,21340.0
2014-09-12,21645.0
2014-09-15,21715.0
2014-09-16,21740.0
2014-09-17,21745.0
2014-09-18,20540.0
2014-09-19,20620.0
2014-09-22,20445.0
2014-09-23,20250.0
2014-09-24,20250.0
2014-09-25,20310.0
2014-09-26,20010.0
2014-09-29,20070.0
2014-09-30,20215.0
2014-10-01,20070.0
2014-10-02,19680.0
2014-10-06,19835.0
2014-10-07,19970.0
2014-10-08,19820.0
2014-10-10,19925.0
2014-10-13,19755.0
2014-10-14,19410.0
2014-10-15,19285.0
2014-10-16,18740.0
2014-10-17,18665.0
2014-10-20,19080.0
2014-10-21,18905.0
2014-10-22,18655.0
2014-10-23,19110.0
2014-10-24,19200.0
2014-10-27,19395.0
2014-10-28,19205.0
2014-10-29,19240.0
2014-10-30,19300.0
2014-10-31,19200.0
2014-11-03,18365.0
2014-11-04,18165.0
2014-11-05,17930.0
2014-11-06,18555.0
2014-11-07,18720.0
2014-11-10,19040.0
2014-11-11,19285.0
2014-11-12,19260.0
2014-11-13,19330.0
2014-11-14,19290.0
2014-11-17,19285.0
2014-11-18,19385.0
2014-11-19,19335.0
2014-11-20,19105.0
2014-11-21,18995.0
2014-11-24,19315.0
2014-11-25,19380.0
2014-11-26,19345.0
2014-11-27,19540.0
2014-11-28,19540.0
2014-12-01,19575.0
2014-12-02,19240.0
2014-12-03,19330.0
2014-12-04,20005.0
2014-12-05,20170.0
2014-12-08,19900.0
2014-12-09,19550.0
2014-12-10,19400.0
2014-12-11,19125.0
2014-12-12,19305.0
2014-12-15,19260.0
2014-12-16,19210.0
2014-12-17,18670.0
2014-12-18,18610.0
2014-12-19,18750.0
2014-12-22,18880.0
2014-12-23,18955.0
2014-12-24,19150.0
2014-12-26,19100.0
2014-12-29,19150.0
2014-12-30,18930.0
2015-01-02,18955.0
2015-01-05,18800.0
2015-01-06,18430.0
2015-01-07,18690.0
2015-01-08,18910.0
2015-01-09,19215.0
2015-01-12,19145.0
2015-01-13,19730.0
2015-01-14,19400.0
2015-01-15,19360.0
2015-01-16,19120.0
2015-01-19,19140.0
2015-01-20,19190.0
2015-01-21,18795.0
2015-01-22,18735.0
2015-01-23,18755.0
2015-01-26,18445.0
2015-01-27,18430.0
2015-01-28,18450.0
2015-01-29,18550.0
2015-01-30,18605.0
2015-02-02,18565.0
2015-02-03,18190.0
2015-02-04,18340.0
2015-02-05,18350.0
2015-02-06,17955.0
2015-02-09,17510.0
2015-02-10,17510.0
2015-02-11,17640.0
2015-02-12,17640.0
2015-02-13,17790.0
2015-02-16,17740.0
2015-02-17,18000.0
2015-02-23,18120.0
2015-02-24,18125.0
2015-02-25,18245.0
2015-02-26,18185.0
2015-02-27,18020.0
2015-03-02,18030.0
2015-03-03,18470.0
2015-03-04,18380.0
2015-03-05,18500.0
2015-03-06,18890.0
2015-03-09,18590.0
2015-03-10,18695.0
2015-03-11,18820.0
2015-03-12,18510.0
2015-03-13,18410.0
2015-03-16,18605.0
2015-03-17,18925.0
2015-03-18,18940.0
2015-03-19,18970.0
2015-03-20,18640.0
2015-03-23,18470.0
2015-03-24,18245.0
2015-03-25,17845.0
2015-03-26,17905.0
2015-03-27,17865.0
2015-03-30,17860.0
2015-03-31,17945.0
2015-04-01,17650.0
2015-04-02,17555.0
2015-04-03,17715.0
2015-04-06,17420.0
2015-04-07,17445.0
2015-04-08,17495.0
2015-04-09,17375.0
2015-04-10,17725.0
2015-04-13,17650.0
2015-04-14,18010.0
2015-04-15,18050.0
2015-04-16,17915.0
2015-04-17,18180.0
2015-04-20,18230.0
2015-04-21,18085.0
2015-04-22,18030.0
2015-04-23,18600.0
2015-04-24,18855.0
2015-04-27,18920.0
2015-04-28,18600.0
2015-04-29,18400.0
2015-04-30,18250.0
2015-05-04,18340.0
2015-05-06,18250.0
2015-05-07,18215.0
2015-05-08,18330.0
2015-05-11,18050.0
2015-05-12,18085.0
2015-05-13,17930.0
2015-05-14,17800.0
2015-05-15,17645.0
2015-05-18,17435.0
2015-05-19,17400.0
2015-05-20,17500.0
2015-05-21,17310.0
2015-05-22,17570.0
2015-05-26,17325.0
2015-05-27,17065.0
2015-05-28,17080.0
2015-05-29,17220.0
2015-06-01,16965.0
2015-06-02,15840.0
2015-06-03,15675.0
2015-06-04,15670.0
2015-06-05,15700.0
2015-06-08,15475.0
2015-06-09,15470.0
2015-06-10,15480.0
2015-06-11,16030.0
2015-06-12,15875.0
2015-06-15,15940.0
2015-06-16,15660.0
2015-06-17,15665.0
2015-06-18,15465.0
2015-06-19,15485.0
2015-06-22,15585.0
2015-06-23,15535.0
2015-06-24,15800.0
2015-06-25,15700.0
2015-06-26,15745.0
2015-06-29,15560.0
2015-06-30,15700.0
2015-07-01,15725.0
2015-07-02,15550.0
2015-07-03,15470.0
2015-07-06,15185.0
2015-07-07,15240.0
2015-07-08,15095.0
2015-07-09,14905.0
2015-07-10,14450.0
2015-07-13,14560.0
2015-07-14,14590.0
2015-07-15,14800.0
2015-07-16,14735.0
2015-07-17,14280.0
2015-07-20,14430.0
2015-07-21,14905.0
2015-07-22,14850.0
2015-07-23,15200.0
2015-07-24,15150.0
2015-07-27,15725.0
2015-07-28,15680.0
2015-07-29,15590.0
2015-07-30,15790.0
2015-07-31,15840.0
2015-08-03,15415.0
2015-08-04,15485.0
2015-08-05,15620.0
2015-08-06,15230.0
2015-08-07,15160.0
2015-08-10,15205.0
2015-08-11,15055.0
2015-08-12,15605.0
2015-08-13,15460.0
2015-08-17,15465.0
2015-08-18,15810.0
2015-08-19,15965.0
2015-08-20,15760.0
2015-08-21,15405.0
2015-08-24,14990.0
2015-08-25,15475.0
2015-08-26,15780.0
2015-08-27,15625.0
2015-08-28,15620.0
2015-08-31,15910.0
2015-09-01,15690.0
2015-09-02,16055.0
2015-09-03,16045.0
2015-09-04,15910.0
2015-09-07,16115.0
2015-09-08,16420.0
2015-09-09,16530.0
2015-09-10,16760.0
2015-09-11,16605.0
2015-09-14,16520.0
2015-09-15,16685.0
2015-09-16,17180.0
2015-09-17,17090.0
2015-09-18,17090.0
2015-09-21,16750.0
2015-09-22,17300.0
2015-09-23,16780.0
2015-09-24,16845.0
2015-09-25,17140.0
2015-09-30,17575.0
2015-10-01,17900.0
2015-10-02,17855.0
2015-10-05,17580.0
2015-10-06,17115.0
2015-10-07,17315.0
2015-10-08,17565.0
2015-10-12,17480.0
2015-10-13,17840.0
2015-10-14,17980.0
2015-10-15,17890.0
2015-10-16,17535.0
2015-10-19,17650.0
2015-10-20,17805.0
2015-10-21,17825.0
2015-10-22,17730.0
2015-10-23,17645.0
2015-10-26,17970.0
2015-10-27,18000.0
2015-10-28,17805.0
2015-10-29,17680.0
2015-10-30,17920.0
2015-11-02,17970.0
2015-11-03,18605.0
2015-11-04,18715.0
2015-11-05,18780.0
2015-11-06,18570.0
2015-11-09,18735.0
2015-11-10,18665.0
2015-11-11,18550.0
2015-11-12,18570.0
2015-11-13,18275.0
2015-11-16,18160.0
2015-11-17,18075.0
2015-11-18,18280.0
2015-11-19,18460.0
2015-11-20,18325.0
2015-11-23,18120.0
2015-11-24,18100.0
