Date,KODEX 중국본토 A50
2014-01-13,8230.0
2014-01-14,8285.0
2014-01-15,8315.0
2014-01-16,8375.0
2014-01-17,8195.0
2014-01-20,8160.0
2014-01-21,8290.0
2014-01-22,8450.0
2014-01-23,8415.0
2014-01-24,8510.0
2014-01-27,8405.0
2014-01-28,8370.0
2014-01-29,8350.0
2014-02-03,8265.0
2014-02-04,8120.0
2014-02-05,8140.0
2014-02-06,8160.0
2014-02-07,8220.0
2014-02-10,8370.0
2014-02-11,8485.0
2014-02-12,8455.0
2014-02-13,8505.0
2014-02-14,8475.0
2014-02-17,8475.0
2014-02-18,8400.0
2014-02-19,8490.0
2014-02-20,8515.0
2014-02-21,8385.0
2014-02-24,8205.0
2014-02-25,8060.0
2014-02-26,7900.0
2014-02-27,7995.0
2014-02-28,7965.0
2014-03-03,8010.0
2014-03-04,7960.0
2014-03-05,8000.0
2014-03-06,7980.0
2014-03-07,7980.0
2014-03-10,7825.0
2014-03-11,7795.0
2014-03-12,7795.0
2014-03-13,7885.0
2014-03-14,7830.0
2014-03-17,7875.0
2014-03-18,7865.0
2014-03-19,7700.0
2014-03-20,7740.0
2014-03-21,7900.0
2014-03-24,8060.0
2014-03-25,8050.0
2014-03-26,8000.0
2014-03-27,7995.0
2014-03-28,8020.0
2014-03-31,7950.0
2014-04-01,7955.0
2014-04-02,7970.0
2014-04-03,7960.0
2014-04-04,7960.0
2014-04-07,7950.0
2014-04-08,8185.0
2014-04-09,8065.0
2014-04-10,8155.0
2014-04-11,8240.0
2014-04-14,8175.0
2014-04-15,8070.0
2014-04-16,8025.0
2014-04-17,7990.0
2014-04-18,7940.0
2014-04-21,7945.0
2014-04-22,7815.0
2014-04-23,7865.0
2014-04-24,7865.0
2014-04-25,7850.0
2014-04-28,7730.0
2014-04-29,7685.0
2014-04-30,7775.0
2014-05-02,7760.0
2014-05-07,7660.0
2014-05-08,7710.0
2014-05-09,7640.0
2014-05-12,7790.0
2014-05-13,7745.0
2014-05-14,7805.0
2014-05-15,7740.0
2014-05-16,7680.0
2014-05-19,7560.0
2014-05-20,7560.0
2014-05-21,7600.0
2014-05-22,7670.0
2014-05-23,7715.0
2014-05-26,7700.0
2014-05-27,7685.0
2014-05-28,7690.0
2014-05-29,7695.0
2014-05-30,7685.0
2014-06-02,7715.0
2014-06-03,7695.0
2014-06-05,7615.0
2014-06-09,7650.0
2014-06-10,7720.0
2014-06-11,7710.0
2014-06-12,7730.0
2014-06-13,7840.0
2014-06-16,7910.0
2014-06-17,7835.0
2014-06-18,7790.0
2014-06-19,7720.0
2014-06-20,7695.0
2014-06-23,7700.0
2014-06-24,7650.0
2014-06-25,7665.0
2014-06-26,7685.0
2014-06-27,7685.0
2014-06-30,7700.0
2014-07-01,7660.0
2014-07-02,7670.0
2014-07-03,7730.0
2014-07-04,7725.0
2014-07-07,7770.0
2014-07-08,7765.0
2014-07-09,7730.0
2014-07-10,7675.0
2014-07-11,7690.0
2014-07-14,7780.0
2014-07-15,7855.0
2014-07-16,7925.0
2014-07-17,7850.0
2014-07-18,7910.0
2014-07-21,7900.0
2014-07-22,8020.0
2014-07-23,8085.0
2014-07-24,8330.0
2014-07-25,8360.0
2014-07-28,8655.0
2014-07-29,8735.0
2014-07-30,8700.0
2014-07-31,8710.0
2014-08-01,8955.0
2014-08-04,8950.0
2014-08-05,8780.0
2014-08-06,8810.0
2014-08-07,8740.0
2014-08-08,8710.0
2014-08-11,8805.0
2014-08-12,8675.0
2014-08-13,8665.0
2014-08-14,8660.0
2014-08-18,8635.0
2014-08-19,8615.0
2014-08-20,8610.0
2014-08-21,8490.0
2014-08-22,8540.0
2014-08-25,8495.0
2014-08-26,8430.0
2014-08-27,8415.0
2014-08-28,8360.0
2014-08-29,8405.0
2014-09-01,8465.0
2014-09-02,8530.0
2014-09-03,8720.0
2014-09-04,8725.0
2014-09-05,8870.0
2014-09-11,8850.0
2014-09-12,8850.0
2014-09-15,8815.0
2014-09-16,8785.0
2014-09-17,8675.0
2014-09-18,8750.0
2014-09-19,8810.0
2014-09-22,8640.0
2014-09-23,8655.0
2014-09-24,8800.0
2014-09-25,8900.0
2014-09-26,8815.0
2014-09-29,8870.0
2014-09-30,8880.0
2014-10-01,8835.0
2014-10-02,8800.0
2014-10-06,8875.0
2014-10-07,8885.0
2014-10-08,9080.0
2014-10-10,9025.0
2014-10-13,8880.0
2014-10-14,8835.0
2014-10-15,8925.0
2014-10-16,8925.0
2014-10-17,8890.0
2014-10-20,8955.0
2014-10-21,8815.0
2014-10-22,8835.0
2014-10-23,8795.0
2014-10-24,8775.0
2014-10-27,8555.0
2014-10-28,8615.0
2014-10-29,8780.0
2014-10-30,8955.0
2014-10-31,9185.0
2014-11-03,9315.0
2014-11-04,9265.0
2014-11-05,9240.0
2014-11-06,9235.0
2014-11-07,9460.0
2014-11-10,9550.0
2014-11-11,9760.0
2014-11-12,9835.0
2014-11-13,9875.0
2014-11-14,9910.0
2014-11-17,9830.0
2014-11-18,9565.0
2014-11-19,9635.0
2014-11-20,9740.0
2014-11-21,9755.0
2014-11-24,10140.0
2014-11-25,10045.0
2014-11-26,10180.0
2014-11-27,10400.0
2014-11-28,10700.0
2014-12-01,11145.0
2014-12-02,11400.0
2014-12-03,11555.0
2014-12-04,12090.0
2014-12-05,12790.0
2014-12-08,13020.0
2014-12-09,12985.0
2014-12-10,12285.0
2014-12-11,12330.0
2014-12-12,12290.0
2014-12-15,12060.0
2014-12-16,12315.0
2014-12-17,13055.0
2014-12-18,13440.0
2014-12-19,13170.0
2014-12-22,13790.0
2014-12-23,13700.0
2014-12-24,12695.0
2014-12-26,13645.0
2014-12-29,14210.0
2014-12-30,14275.0
2015-01-02,14700.0
2015-01-05,15220.0
2015-01-06,14900.0
2015-01-07,14825.0
2015-01-08,14490.0
2015-01-09,14850.0
2015-01-12,14080.0
2015-01-13,14185.0
2015-01-14,14165.0
2015-01-15,14370.0
2015-01-16,14675.0
2015-01-19,13150.0
2015-01-20,13300.0
2015-01-21,13885.0
2015-01-22,14000.0
2015-01-23,14220.0
2015-01-26,14070.0
2015-01-27,13800.0
2015-01-28,13855.0
2015-01-29,13575.0
2015-01-30,13560.0
2015-02-02,13170.0
2015-02-03,13145.0
2015-02-04,13170.0
2015-02-05,13345.0
2015-02-06,12980.0
2015-02-09,13200.0
2015-02-10,13265.0
2015-02-11,13450.0
2015-02-12,13590.0
2015-02-13,13640.0
2015-02-16,13560.0
2015-02-17,13620.0
2015-02-23,13670.0
2015-02-24,13800.0
2015-02-25,13535.0
2015-02-26,13670.0
2015-02-27,13810.0
2015-03-02,13660.0
2015-03-03,13335.0
2015-03-04,13255.0
2015-03-05,12940.0
2015-03-06,13040.0
2015-03-09,13260.0
2015-03-10,13500.0
2015-03-11,13460.0
2015-03-12,13900.0
2015-03-13,13945.0
2015-03-16,14270.0
2015-03-17,14420.0
2015-03-18,14690.0
2015-03-19,14670.0
2015-03-20,15180.0
2015-03-23,15100.0
2015-03-24,14805.0
2015-03-25,14545.0
2015-03-26,14845.0
2015-03-27,14840.0
2015-03-30,15275.0
2015-03-31,15610.0
2015-04-01,15310.0
2015-04-02,15100.0
2015-04-03,15250.0
2015-04-06,15310.0
2015-04-07,15575.0
2015-04-08,15905.0
2015-04-09,15740.0
2015-04-10,15900.0
2015-04-13,16555.0
2015-04-14,16550.0
2015-04-15,16985.0
2015-04-16,17250.0
2015-04-17,17810.0
2015-04-20,17300.0
2015-04-21,17220.0
2015-04-22,17570.0
2015-04-23,17850.0
2015-04-24,17135.0
2015-04-27,17595.0
2015-04-28,17780.0
2015-04-29,17740.0
2015-04-30,17700.0
2015-05-04,17720.0
2015-05-06,17200.0
2015-05-07,16880.0
2015-05-08,16560.0
2015-05-11,17095.0
2015-05-12,17355.0
2015-05-13,17240.0
2015-05-14,17040.0
2015-05-15,16630.0
2015-05-18,16435.0
2015-05-19,16880.0
2015-05-20,17300.0
2015-05-21,17205.0
2015-05-22,17560.0
2015-05-26,18480.0
2015-05-27,18330.0
2015-05-28,17840.0
2015-05-29,17330.0
2015-06-01,17765.0
2015-06-02,17720.0
2015-06-03,17660.0
2015-06-04,17660.0
2015-06-05,18185.0
2015-06-08,19185.0
2015-06-09,19010.0
2015-06-10,18790.0
2015-06-11,18420.0
2015-06-12,18450.0
2015-06-15,18325.0
2015-06-16,17665.0
2015-06-17,17700.0
2015-06-18,17160.0
2015-06-19,16630.0
2015-06-22,15950.0
2015-06-23,16550.0
2015-06-24,16685.0
2015-06-25,16850.0
2015-06-26,15995.0
2015-06-29,15480.0
2015-06-30,16225.0
2015-07-01,16275.0
2015-07-02,15715.0
2015-07-03,15320.0
2015-07-06,15550.0
2015-07-07,15800.0
2015-07-08,15315.0
2015-07-09,15775.0
2015-07-10,16800.0
2015-07-13,16700.0
2015-07-14,16050.0
2015-07-15,15820.0
2015-07-16,15990.0
2015-07-17,16160.0
2015-07-20,16245.0
2015-07-21,16260.0
2015-07-22,15955.0
2015-07-23,16425.0
2015-07-24,16450.0
2015-07-27,15815.0
2015-07-28,14935.0
2015-07-29,14795.0
2015-07-30,14970.0
2015-07-31,14835.0
2015-08-03,14650.0
2015-08-04,15180.0
2015-08-05,15170.0
2015-08-06,14935.0
2015-08-07,15095.0
2015-08-10,15480.0
2015-08-11,15395.0
2015-08-12,15200.0
2015-08-13,14990.0
2015-08-17,14990.0
2015-08-18,14810.0
2015-08-19,13995.0
2015-08-20,14045.0
2015-08-21,13600.0
2015-08-24,12500.0
2015-08-25,11475.0
2015-08-26,11980.0
2015-08-27,11955.0
2015-08-28,12450.0
2015-08-31,12490.0
2015-09-01,12600.0
2015-09-02,12800.0
2015-09-03,13120.0
2015-09-04,12700.0
2015-09-07,12760.0
2015-09-08,12820.0
2015-09-09,13290.0
2015-09-10,13245.0
2015-09-11,13195.0
2015-09-14,12920.0
2015-09-15,12940.0
2015-09-16,12820.0
2015-09-17,13065.0
2015-09-18,12965.0
2015-09-21,12870.0
2015-09-22,13060.0
2015-09-23,12940.0
2015-09-24,12880.0
2015-09-25,12770.0
2015-09-30,12740.0
2015-10-01,12865.0
2015-10-02,12845.0
2015-10-05,12845.0
2015-10-06,13070.0
2015-10-07,13380.0
2015-10-08,13075.0
2015-10-12,13255.0
2015-10-13,13220.0
2015-10-14,13100.0
2015-10-15,13140.0
