Date,KODEX 증권
2014-01-13,5530.0
2014-01-14,5525.0
2014-01-15,5555.0
2014-01-16,5570.0
2014-01-17,5560.0
2014-01-20,5525.0
2014-01-21,5545.0
2014-01-22,5530.0
2014-01-23,5510.0
2014-01-24,5485.0
2014-01-27,5445.0
2014-01-28,5390.0
2014-01-29,5445.0
2014-02-03,5380.0
2014-02-04,5200.0
2014-02-05,5160.0
2014-02-06,5125.0
2014-02-07,5115.0
2014-02-10,5115.0
2014-02-11,5125.0
2014-02-12,5170.0
2014-02-13,5130.0
2014-02-14,5175.0
2014-02-17,5210.0
2014-02-18,5175.0
2014-02-19,5125.0
2014-02-20,5080.0
2014-02-21,5115.0
2014-02-24,5100.0
2014-02-25,5205.0
2014-02-26,5190.0
2014-02-27,5240.0
2014-02-28,5375.0
2014-03-03,5365.0
2014-03-04,5300.0
2014-03-05,5350.0
2014-03-06,5365.0
2014-03-07,5310.0
2014-03-10,5260.0
2014-03-11,5275.0
2014-03-12,5175.0
2014-03-13,5200.0
2014-03-14,5105.0
2014-03-17,5085.0
2014-03-18,5125.0
2014-03-19,5135.0
2014-03-20,5095.0
2014-03-21,5115.0
2014-03-24,5135.0
2014-03-25,5245.0
2014-03-26,5280.0
2014-03-27,5255.0
2014-03-28,5290.0
2014-03-31,5325.0
2014-04-01,5300.0
2014-04-02,5385.0
2014-04-03,5340.0
2014-04-04,5320.0
2014-04-07,5325.0
2014-04-08,5410.0
2014-04-09,5565.0
2014-04-10,5600.0
2014-04-11,5575.0
2014-04-14,5600.0
2014-04-15,5615.0
2014-04-16,5600.0
2014-04-17,5610.0
2014-04-18,5620.0
2014-04-21,5595.0
2014-04-22,5595.0
2014-04-23,5540.0
2014-04-24,5525.0
2014-04-25,5450.0
2014-04-28,5425.0
2014-04-29,5390.0
2014-04-30,5425.0
2014-05-02,5360.0
2014-05-07,5260.0
2014-05-08,5260.0
2014-05-09,5285.0
2014-05-12,5210.0
2014-05-13,5300.0
2014-05-14,5465.0
2014-05-15,5480.0
2014-05-16,5525.0
2014-05-19,5625.0
2014-05-20,5575.0
2014-05-21,5570.0
2014-05-22,5615.0
2014-05-23,5605.0
2014-05-26,5595.0
2014-05-27,5500.0
2014-05-28,5560.0
2014-05-29,5510.0
2014-05-30,5390.0
2014-06-02,5395.0
2014-06-03,5410.0
2014-06-05,5350.0
2014-06-09,5415.0
2014-06-10,5530.0
2014-06-11,5605.0
2014-06-12,5590.0
2014-06-13,5515.0
2014-06-16,5580.0
2014-06-17,5570.0
2014-06-18,5540.0
2014-06-19,5555.0
2014-06-20,5470.0
2014-06-23,5505.0
2014-06-24,5515.0
2014-06-25,5465.0
2014-06-26,5535.0
2014-06-27,5510.0
2014-06-30,5550.0
2014-07-01,5530.0
2014-07-02,5705.0
2014-07-03,5730.0
2014-07-04,5750.0
2014-07-07,5755.0
2014-07-08,5800.0
2014-07-09,5780.0
2014-07-10,5885.0
2014-07-11,5915.0
2014-07-14,5985.0
2014-07-15,6015.0
2014-07-16,5875.0
2014-07-17,5960.0
2014-07-18,6020.0
2014-07-21,6025.0
2014-07-22,6055.0
2014-07-23,6185.0
2014-07-24,6130.0
2014-07-25,6215.0
2014-07-28,6450.0
2014-07-29,6380.0
2014-07-30,6505.0
2014-07-31,6550.0
2014-08-01,6535.0
2014-08-04,6515.0
2014-08-05,6420.0
2014-08-06,6460.0
2014-08-07,6550.0
2014-08-08,6435.0
2014-08-11,6565.0
2014-08-12,6780.0
2014-08-13,6730.0
2014-08-14,6660.0
2014-08-18,6605.0
2014-08-19,6665.0
2014-08-20,6615.0
2014-08-21,6435.0
2014-08-22,6450.0
2014-08-25,6590.0
2014-08-26,6620.0
2014-08-27,6950.0
2014-08-28,6920.0
2014-08-29,6920.0
2014-09-01,6905.0
2014-09-02,6810.0
2014-09-03,6935.0
2014-09-04,6975.0
2014-09-05,6920.0
2014-09-11,6925.0
2014-09-12,6845.0
2014-09-15,6655.0
2014-09-16,6760.0
2014-09-17,6815.0
2014-09-18,6820.0
2014-09-19,6980.0
2014-09-22,6900.0
2014-09-23,6945.0
2014-09-24,6955.0
2014-09-25,6970.0
2014-09-26,6795.0
2014-09-29,6805.0
2014-09-30,6630.0
2014-10-01,6380.0
2014-10-02,6535.0
2014-10-06,6565.0
2014-10-07,6550.0
2014-10-08,6530.0
2014-10-10,6345.0
2014-10-13,6360.0
2014-10-14,6620.0
2014-10-15,6485.0
2014-10-16,6460.0
2014-10-17,6450.0
2014-10-20,6600.0
2014-10-21,6560.0
2014-10-22,6760.0
2014-10-23,6685.0
2014-10-24,6630.0
2014-10-27,6615.0
2014-10-28,6615.0
2014-10-29,6870.0
2014-10-30,6830.0
2014-10-31,6760.0
2014-11-03,6940.0
2014-11-04,6945.0
2014-11-05,7050.0
2014-11-06,6860.0
2014-11-07,6945.0
2014-11-10,6895.0
2014-11-11,6900.0
2014-11-12,6855.0
2014-11-13,6840.0
2014-11-14,6800.0
2014-11-17,6800.0
2014-11-18,6935.0
2014-11-19,6950.0
2014-11-20,6895.0
2014-11-21,6895.0
2014-11-24,7130.0
2014-11-25,7170.0
2014-11-26,7185.0
2014-11-27,6890.0
2014-11-28,6890.0
2014-12-01,6665.0
2014-12-02,6850.0
2014-12-03,6810.0
2014-12-04,6870.0
2014-12-05,6805.0
2014-12-08,6745.0
2014-12-09,6620.0
2014-12-10,6515.0
2014-12-11,6465.0
