Date,KODEX 철강
2014-01-13,9570.0
2014-01-14,9470.0
2014-01-15,9565.0
2014-01-16,9630.0
2014-01-17,9650.0
2014-01-20,9720.0
2014-01-21,9665.0
2014-01-22,9695.0
2014-01-23,9620.0
2014-01-24,9585.0
2014-01-27,9485.0
2014-01-28,9435.0
2014-01-29,9585.0
2014-02-03,9375.0
2014-02-04,9190.0
2014-02-05,9280.0
2014-02-06,9290.0
2014-02-07,9330.0
2014-02-10,9490.0
2014-02-11,9500.0
2014-02-12,9705.0
2014-02-13,9630.0
2014-02-14,9670.0
2014-02-17,9750.0
2014-02-18,9745.0
2014-02-19,9740.0
2014-02-20,9630.0
2014-02-21,9685.0
2014-02-24,9600.0
2014-02-25,9530.0
2014-02-26,9460.0
2014-02-27,9340.0
2014-02-28,9260.0
2014-03-03,9195.0
2014-03-04,9150.0
2014-03-05,9220.0
2014-03-06,9310.0
2014-03-07,9300.0
2014-03-10,9245.0
2014-03-11,9285.0
2014-03-12,9070.0
2014-03-13,9140.0
2014-03-14,9095.0
2014-03-17,9140.0
2014-03-18,9180.0
2014-03-19,9260.0
2014-03-20,9175.0
2014-03-21,9245.0
2014-03-24,9410.0
2014-03-25,9500.0
2014-03-26,9545.0
2014-03-27,9525.0
2014-03-28,9385.0
2014-03-31,9500.0
2014-04-01,9570.0
2014-04-02,9580.0
2014-04-03,9540.0
2014-04-04,9565.0
2014-04-07,9625.0
2014-04-08,9625.0
2014-04-09,9840.0
2014-04-10,9905.0
2014-04-11,9845.0
2014-04-14,9870.0
2014-04-15,9850.0
2014-04-16,9645.0
2014-04-17,9680.0
2014-04-18,9695.0
2014-04-21,9605.0
2014-04-22,9540.0
2014-04-23,9500.0
2014-04-24,9500.0
2014-04-25,9365.0
2014-04-28,9510.0
2014-04-29,9480.0
2014-04-30,9600.0
2014-05-02,9465.0
2014-05-07,9345.0
2014-05-08,9360.0
2014-05-09,9460.0
2014-05-12,9465.0
2014-05-13,9680.0
2014-05-14,9720.0
2014-05-15,9760.0
2014-05-16,9750.0
2014-05-19,9700.0
2014-05-20,9625.0
2014-05-21,9840.0
2014-05-22,9980.0
2014-05-23,9930.0
2014-05-26,9965.0
2014-05-27,9860.0
2014-05-28,9935.0
2014-05-29,9890.0
2014-05-30,9845.0
2014-06-02,9835.0
2014-06-03,9745.0
2014-06-05,9620.0
2014-06-09,9775.0
2014-06-10,9870.0
2014-06-11,9960.0
2014-06-12,9880.0
2014-06-13,9805.0
2014-06-16,9835.0
2014-06-17,9835.0
2014-06-18,9755.0
2014-06-19,9960.0
2014-06-20,9840.0
2014-06-23,9980.0
2014-06-24,10000.0
2014-06-25,9980.0
