Date,KODEX 콩선물(H)
2014-01-13,12215.0
2014-01-14,12395.0
2014-01-15,12505.0
2014-01-16,12605.0
2014-01-17,12545.0
2014-01-20,12605.0
2014-01-21,12545.0
2014-01-22,12310.0
2014-01-23,12300.0
2014-01-24,12210.0
2014-01-27,12310.0
2014-01-28,12275.0
2014-01-29,12280.0
2014-02-03,12260.0
2014-02-04,12380.0
2014-02-05,12615.0
2014-02-06,12600.0
2014-02-07,12655.0
2014-02-10,12720.0
2014-02-11,12690.0
2014-02-12,12810.0
2014-02-13,12705.0
2014-02-14,12905.0
2014-02-17,12820.0
2014-02-18,12850.0
2014-02-19,13035.0
2014-02-20,12990.0
2014-02-21,12960.0
2014-02-24,13225.0
2014-02-25,13210.0
2014-02-26,13365.0
2014-02-27,13440.0
2014-02-28,13320.0
2014-03-03,13815.0
2014-03-04,13650.0
2014-03-05,13825.0
2014-03-06,13735.0
2014-03-07,14040.0
2014-03-10,14035.0
2014-03-11,13725.0
2014-03-12,13580.0
2014-03-13,13440.0
2014-03-14,13380.0
2014-03-17,13335.0
2014-03-18,13425.0
2014-03-19,13935.0
2014-03-20,13840.0
2014-03-21,13850.0
2014-03-24,13615.0
2014-03-25,13780.0
2014-03-26,13800.0
2014-03-27,13930.0
2014-03-28,13915.0
2014-03-31,13930.0
2014-04-01,14280.0
2014-04-02,14395.0
2014-04-03,14180.0
2014-04-04,14270.0
2014-04-07,14250.0
2014-04-08,14220.0
2014-04-09,14450.0
2014-04-10,14440.0
2014-04-11,14245.0
2014-04-14,14265.0
2014-04-15,14320.0
2014-04-16,14650.0
2014-04-17,14820.0
2014-04-18,14715.0
2014-04-21,14710.0
2014-04-22,14615.0
2014-04-23,14340.0
2014-04-24,14315.0
2014-04-25,14465.0
2014-04-28,14770.0
2014-04-29,14645.0
2014-04-30,14805.0
2014-05-02,14270.0
2014-05-07,14215.0
2014-05-08,14180.0
2014-05-09,14330.0
2014-05-12,14550.0
2014-05-13,14375.0
2014-05-14,14565.0
2014-05-15,14555.0
2014-05-16,14410.0
2014-05-19,14450.0
2014-05-20,14600.0
2014-05-21,14465.0
2014-05-22,14855.0
2014-05-23,14815.0
2014-05-26,14820.0
2014-05-27,14660.0
2014-05-28,14680.0
2014-05-29,14770.0
2014-05-30,14750.0
2014-06-02,14530.0
2014-06-03,14680.0
2014-06-05,14520.0
2014-06-09,14520.0
2014-06-10,14340.0
2014-06-11,14330.0
2014-06-12,14220.0
2014-06-13,14140.0
2014-06-16,14245.0
2014-06-17,14110.0
2014-06-18,14060.0
2014-06-19,14155.0
2014-06-20,14260.0
2014-06-23,14425.0
2014-06-24,14295.0
2014-06-25,14265.0
2014-06-26,14300.0
2014-06-27,14390.0
2014-06-30,14310.0
2014-07-01,13370.0
2014-07-02,13485.0
2014-07-03,13315.0
2014-07-04,13195.0
2014-07-07,13200.0
2014-07-08,13100.0
2014-07-09,12945.0
2014-07-10,12895.0
2014-07-11,13035.0
2014-07-14,12575.0
2014-07-15,12620.0
2014-07-16,12730.0
2014-07-17,12720.0
2014-07-18,12690.0
2014-07-21,12570.0
2014-07-22,12480.0
2014-07-23,12315.0
2014-07-24,12540.0
2014-07-25,12570.0
2014-07-28,12750.0
2014-07-29,12935.0
2014-07-30,12755.0
2014-07-31,12650.0
2014-08-01,12545.0
2014-08-04,12455.0
2014-08-05,12490.0
2014-08-06,12400.0
2014-08-07,12525.0
2014-08-08,12520.0
2014-08-11,12590.0
2014-08-12,12455.0
2014-08-13,12350.0
2014-08-14,12160.0
2014-08-18,12250.0
2014-08-19,12305.0
2014-08-20,12200.0
2014-08-21,12150.0
2014-08-22,12145.0
2014-08-25,12075.0
2014-08-26,11985.0
2014-08-27,12015.0
2014-08-28,11930.0
2014-08-29,12000.0
2014-09-01,11970.0
2014-09-02,12000.0
2014-09-03,11950.0
2014-09-04,11875.0
2014-09-05,11745.0
2014-09-11,11540.0
2014-09-12,11485.0
2014-09-15,11480.0
2014-09-16,11585.0
2014-09-17,11515.0
2014-09-18,11500.0
2014-09-19,11285.0
2014-09-22,11040.0
2014-09-23,11010.0
2014-09-24,10950.0
2014-09-25,10930.0
2014-09-26,10745.0
2014-09-29,10610.0
2014-09-30,10715.0
2014-10-01,10570.0
2014-10-02,10700.0
2014-10-06,10715.0
2014-10-07,10960.0
2014-10-08,10965.0
2014-10-10,10900.0
2014-10-13,10875.0
2014-10-14,11160.0
2014-10-15,11195.0
2014-10-16,11130.0
2014-10-17,11240.0
2014-10-20,11035.0
2014-10-21,11135.0
2014-10-22,11215.0
2014-10-23,11205.0
2014-10-24,11595.0
2014-10-27,11300.0
2014-10-28,11620.0
2014-10-29,11690.0
2014-10-30,12120.0
2014-10-31,12085.0
2014-11-03,12010.0
2014-11-04,11850.0
2014-11-05,11675.0
2014-11-06,11660.0
2014-11-07,11760.0
2014-11-10,11985.0
2014-11-11,11785.0
2014-11-12,12330.0
2014-11-13,12180.0
2014-11-14,12055.0
2014-11-17,11870.0
2014-11-18,11955.0
2014-11-19,11900.0
2014-11-20,11740.0
2014-11-21,11720.0
2014-11-24,11860.0
2014-11-25,11860.0
2014-11-26,12000.0
2014-11-27,12010.0
2014-11-28,12145.0
2014-12-01,11680.0
2014-12-02,11820.0
2014-12-03,11485.0
2014-12-04,11535.0
2014-12-05,11675.0
2014-12-08,11900.0
2014-12-09,12025.0
2014-12-10,12180.0
2014-12-11,11990.0
2014-12-12,12000.0
2014-12-15,12150.0
2014-12-16,12000.0
2014-12-17,11825.0
2014-12-18,11865.0
2014-12-19,11945.0
2014-12-22,11835.0
2014-12-23,11925.0
2014-12-24,12000.0
2014-12-26,11920.0
2014-12-29,12125.0
2014-12-30,12050.0
2015-01-02,11780.0
2015-01-05,11670.0
2015-01-06,11940.0
2015-01-07,12000.0
2015-01-08,12085.0
2015-01-09,12000.0
2015-01-12,12085.0
2015-01-13,11745.0
2015-01-14,11650.0
2015-01-15,11645.0
2015-01-16,11360.0
2015-01-19,11425.0
2015-01-20,11320.0
2015-01-21,11295.0
2015-01-22,11355.0
2015-01-23,11250.0
2015-01-26,11165.0
2015-01-27,11300.0
2015-01-28,11200.0
2015-01-29,11340.0
2015-01-30,11190.0
2015-02-02,11300.0
2015-02-03,11300.0
2015-02-04,11315.0
2015-02-05,11170.0
2015-02-06,11285.0
2015-02-09,11225.0
2015-02-10,11225.0
2015-02-11,11110.0
2015-02-12,11200.0
2015-02-13,11345.0
2015-02-16,11360.0
2015-02-17,11380.0
2015-02-23,11550.0
2015-02-24,11460.0
2015-02-25,11520.0
2015-02-26,11515.0
2015-02-27,11675.0
2015-03-02,11735.0
2015-03-03,11735.0
2015-03-04,11625.0
2015-03-05,11380.0
2015-03-06,11255.0
2015-03-09,11500.0
2015-03-10,11505.0
2015-03-11,11405.0
2015-03-12,11355.0
2015-03-13,11355.0
2015-03-16,11135.0
2015-03-17,11135.0
2015-03-18,10990.0
2015-03-19,11165.0
2015-03-20,11030.0
2015-03-23,11260.0
2015-03-24,11230.0
2015-03-25,11250.0
2015-03-26,11290.0
2015-03-27,11180.0
2015-03-30,11190.0
2015-03-31,11175.0
2015-04-01,11200.0
2015-04-02,11270.0
2015-04-03,11270.0
2015-04-06,11320.0
2015-04-07,11240.0
2015-04-08,11145.0
2015-04-09,11060.0
2015-04-10,11045.0
2015-04-13,10860.0
2015-04-14,10905.0
2015-04-15,10980.0
2015-04-16,11000.0
2015-04-17,10980.0
2015-04-20,11055.0
2015-04-21,11095.0
2015-04-22,11015.0
2015-04-23,10950.0
2015-04-24,11035.0
2015-04-27,11035.0
2015-04-28,11035.0
2015-04-29,11065.0
2015-04-30,11245.0
2015-05-04,11200.0
2015-05-06,11250.0
2015-05-07,11345.0
2015-05-08,11345.0
2015-05-11,11165.0
2015-05-12,11100.0
2015-05-13,10965.0
2015-05-14,10940.0
2015-05-15,10910.0
2015-05-18,10865.0
2015-05-19,10890.0
2015-05-20,10880.0
2015-05-21,10865.0
2015-05-22,10845.0
2015-05-26,12440.0
2015-05-27,10575.0
2015-05-28,10565.0
2015-05-29,10570.0
2015-06-01,10540.0
2015-06-02,10605.0
2015-06-03,10695.0
2015-06-04,10590.0
2015-06-05,10685.0
2015-06-08,10615.0
2015-06-09,10700.0
2015-06-10,10745.0
2015-06-11,10735.0
2015-06-12,10610.0
2015-06-15,10590.0
2015-06-16,10605.0
2015-06-17,10875.0
2015-06-18,10875.0
2015-06-19,10910.0
2015-06-22,10960.0
2015-06-23,11210.0
2015-06-24,11135.0
2015-06-25,11220.0
2015-06-26,11400.0
2015-06-29,11500.0
2015-06-30,11440.0
2015-07-01,12000.0
2015-07-02,11860.0
2015-07-03,11970.0
2015-07-06,11830.0
