Date,KOSEF 200 선물
2014-01-13,10595.0
2014-01-14,10575.0
2014-01-15,10605.0
2014-01-16,10645.0
2014-01-17,10580.0
2014-01-20,10620.0
2014-01-21,10705.0
2014-01-22,10695.0
2014-01-23,10590.0
2014-01-24,10510.0
2014-01-27,10430.0
2014-01-28,10435.0
2014-01-29,10550.0
2014-02-03,10415.0
2014-02-04,10215.0
2014-02-05,10265.0
2014-02-06,10340.0
2014-02-07,10420.0
2014-02-10,10430.0
2014-02-11,10495.0
2014-02-12,10510.0
2014-02-13,10435.0
2014-02-14,10555.0
2014-02-17,10575.0
2014-02-18,10575.0
2014-02-19,10515.0
2014-02-20,10460.0
2014-02-21,10625.0
2014-02-24,10580.0
2014-02-25,10685.0
2014-02-26,10725.0
2014-02-27,10740.0
2014-02-28,10745.0
2014-03-03,10670.0
2014-03-04,10640.0
2014-03-05,10755.0
2014-03-06,10740.0
2014-03-07,10730.0
2014-03-10,10590.0
2014-03-11,10610.0
2014-03-12,10465.0
2014-03-13,10500.0
2014-03-14,10390.0
2014-03-17,10405.0
2014-03-18,10480.0
2014-03-19,10485.0
2014-03-20,10360.0
2014-03-21,10430.0
2014-03-24,10495.0
2014-03-25,10475.0
2014-03-26,10635.0
2014-03-27,10700.0
2014-03-28,10715.0
2014-03-31,10725.0
2014-04-01,10760.0
2014-04-02,10805.0
2014-04-03,10815.0
2014-04-04,10800.0
2014-04-07,10805.0
2014-04-08,10875.0
2014-04-09,10900.0
2014-04-10,10905.0
2014-04-11,10825.0
2014-04-14,10860.0
2014-04-15,10780.0
2014-04-16,10815.0
2014-04-17,10795.0
2014-04-18,10885.0
2014-04-21,10905.0
2014-04-22,10900.0
2014-04-23,10900.0
2014-04-24,10865.0
2014-04-25,10740.0
2014-04-28,10730.0
2014-04-29,10660.0
2014-04-30,10615.0
2014-05-02,10615.0
2014-05-07,10535.0
2014-05-08,10540.0
2014-05-09,10570.0
2014-05-12,10640.0
2014-05-13,10785.0
2014-05-14,10935.0
2014-05-15,10940.0
2014-05-16,10925.0
2014-05-19,10945.0
2014-05-20,10940.0
2014-05-21,10955.0
2014-05-22,11010.0
2014-05-23,10990.0
2014-05-26,10965.0
2014-05-27,10860.0
2014-05-28,10965.0
2014-05-29,10960.0
2014-05-30,10905.0
2014-06-02,10895.0
2014-06-03,10920.0
2014-06-05,10835.0
2014-06-09,10865.0
2014-06-10,10945.0
2014-06-11,10930.0
2014-06-12,10905.0
2014-06-13,10750.0
2014-06-16,10815.0
2014-06-17,10835.0
2014-06-18,10775.0
2014-06-19,10805.0
2014-06-20,10645.0
2014-06-23,10715.0
2014-06-24,10830.0
2014-06-25,10760.0
2014-06-26,10825.0
2014-06-27,10800.0
2014-06-30,10830.0
2014-07-01,10810.0
2014-07-02,10895.0
2014-07-03,10895.0
2014-07-04,10870.0
2014-07-07,10870.0
2014-07-08,10805.0
2014-07-09,10750.0
2014-07-10,10810.0
2014-07-11,10700.0
2014-07-14,10775.0
2014-07-15,10870.0
2014-07-16,10880.0
2014-07-17,10925.0
2014-07-18,10895.0
2014-07-21,10910.0
2014-07-22,10975.0
2014-07-23,10965.0
2014-07-24,10980.0
2014-07-25,11010.0
2014-07-28,11115.0
2014-07-29,11215.0
2014-07-30,11330.0
2014-07-31,11280.0
2014-08-01,11235.0
2014-08-04,11250.0
2014-08-05,11180.0
2014-08-06,11155.0
2014-08-07,11105.0
2014-08-08,10965.0
2014-08-11,11040.0
2014-08-12,11045.0
2014-08-13,11065.0
2014-08-14,11105.0
2014-08-18,11070.0
2014-08-19,11145.0
2014-08-20,11130.0
2014-08-21,10965.0
2014-08-22,11030.0
2014-08-25,11060.0
2014-08-26,11105.0
2014-08-27,11115.0
2014-08-28,11125.0
2014-08-29,11075.0
2014-09-01,11070.0
2014-09-02,10965.0
2014-09-03,10970.0
2014-09-04,10980.0
2014-09-05,10940.0
2014-09-11,10895.0
2014-09-12,10925.0
2014-09-15,10880.0
2014-09-16,10915.0
2014-09-17,11015.0
2014-09-18,10945.0
2014-09-19,10995.0
2014-09-22,10875.0
2014-09-23,10845.0
2014-09-24,10820.0
2014-09-25,10810.0
2014-09-26,10775.0
2014-09-29,10765.0
2014-09-30,10700.0
2014-10-01,10565.0
2014-10-02,10440.0
2014-10-06,10420.0
2014-10-07,10440.0
2014-10-08,10420.0
2014-10-10,10215.0
2014-10-13,10210.0
2014-10-14,10225.0
2014-10-15,10185.0
2014-10-16,10145.0
2014-10-17,10045.0
2014-10-20,10170.0
2014-10-21,10090.0
2014-10-22,10180.0
2014-10-23,10180.0
2014-10-24,10130.0
2014-10-27,10195.0
2014-10-28,10185.0
2014-10-29,10375.0
2014-10-30,10355.0
2014-10-31,10425.0
2014-11-03,10370.0
2014-11-04,10310.0
2014-11-05,10280.0
2014-11-06,10325.0
2014-11-07,10345.0
2014-11-10,10455.0
2014-11-11,10455.0
2014-11-12,10480.0
2014-11-13,10455.0
2014-11-14,10350.0
2014-11-17,10380.0
2014-11-18,10460.0
2014-11-19,10445.0
2014-11-20,10410.0
2014-11-21,10445.0
2014-11-24,10540.0
2014-11-25,10545.0
2014-11-26,10520.0
2014-11-27,10600.0
2014-11-28,10590.0
2014-12-01,10490.0
2014-12-02,10475.0
2014-12-03,10510.0
2014-12-04,10620.0
2014-12-05,10615.0
2014-12-08,10600.0
2014-12-09,10550.0
2014-12-10,10405.0
2014-12-11,10265.0
2014-12-12,10285.0
2014-12-15,10265.0
2014-12-16,10195.0
2014-12-17,10195.0
2014-12-18,10160.0
2014-12-19,10340.0
2014-12-22,10400.0
2014-12-23,10390.0
2014-12-24,10425.0
2014-12-26,10425.0
2014-12-29,10400.0
2014-12-30,10265.0
2015-01-02,10300.0
2015-01-05,10295.0
2015-01-06,10075.0
2015-01-07,10115.0
2015-01-08,10235.0
2015-01-09,10365.0
2015-01-12,10340.0
2015-01-13,10380.0
2015-01-14,10350.0
2015-01-15,10365.0
2015-01-16,10200.0
2015-01-19,10330.0
2015-01-20,10425.0
2015-01-21,10440.0
2015-01-22,10480.0
2015-01-23,10560.0
2015-01-26,10540.0
2015-01-27,10610.0
2015-01-28,10625.0
2015-01-29,10565.0
2015-01-30,10600.0
2015-02-02,10525.0
2015-02-03,10575.0
2015-02-04,10635.0
2015-02-05,10510.0
2015-02-06,10500.0
2015-02-09,10545.0
2015-02-10,10460.0
2015-02-11,10455.0
2015-02-12,10470.0
2015-02-13,10505.0
