Date,KOSEF 200
2014-01-13,25710.0
2014-01-14,25675.0
2014-01-15,25760.0
2014-01-16,25855.0
2014-01-17,25650.0
2014-01-20,25810.0
2014-01-21,26010.0
2014-01-22,25980.0
2014-01-23,25675.0
2014-01-24,25560.0
2014-01-27,25285.0
2014-01-28,25330.0
2014-01-29,25630.0
2014-02-03,25265.0
2014-02-04,24810.0
2014-02-05,24945.0
2014-02-06,25130.0
2014-02-07,25340.0
2014-02-10,25325.0
2014-02-11,25460.0
2014-02-12,25540.0
2014-02-13,25350.0
2014-02-14,25625.0
2014-02-17,25650.0
2014-02-18,25675.0
2014-02-19,25540.0
2014-02-20,25435.0
2014-02-21,25780.0
2014-02-24,25680.0
2014-02-25,25910.0
2014-02-26,25990.0
2014-02-27,26050.0
2014-02-28,26125.0
2014-03-03,25875.0
2014-03-04,25775.0
2014-03-05,26045.0
2014-03-06,26030.0
2014-03-07,26010.0
2014-03-10,25685.0
2014-03-11,25765.0
2014-03-12,25385.0
2014-03-13,25455.0
2014-03-14,25195.0
2014-03-17,25300.0
2014-03-18,25445.0
2014-03-19,25470.0
2014-03-20,25170.0
2014-03-21,25360.0
2014-03-24,25505.0
2014-03-25,25465.0
2014-03-26,25805.0
2014-03-27,25970.0
2014-03-28,25965.0
2014-03-31,26115.0
2014-04-01,26125.0
2014-04-02,26205.0
2014-04-03,26175.0
2014-04-04,26260.0
2014-04-07,26215.0
2014-04-08,26345.0
2014-04-09,26375.0
2014-04-10,26430.0
2014-04-11,26255.0
2014-04-14,26305.0
2014-04-15,26195.0
2014-04-16,26265.0
2014-04-17,26240.0
2014-04-18,26420.0
2014-04-21,26405.0
2014-04-22,26380.0
2014-04-23,26345.0
2014-04-24,26340.0
2014-04-25,25965.0
2014-04-28,25980.0
2014-04-29,25580.0
2014-04-30,25555.0
2014-05-02,25475.0
2014-05-07,25220.0
2014-05-08,25335.0
2014-05-09,25375.0
2014-05-12,25520.0
2014-05-13,25885.0
2014-05-14,26215.0
2014-05-15,26190.0
2014-05-16,26210.0
2014-05-19,26250.0
2014-05-20,26220.0
2014-05-21,26215.0
2014-05-22,26360.0
2014-05-23,26315.0
2014-05-26,26255.0
2014-05-27,26010.0
2014-05-28,26295.0
2014-05-29,26260.0
2014-05-30,26060.0
2014-06-02,26095.0
2014-06-03,26130.0
2014-06-05,25995.0
2014-06-09,25995.0
2014-06-10,26255.0
2014-06-11,26225.0
2014-06-12,26170.0
2014-06-13,25805.0
2014-06-16,25945.0
2014-06-17,25990.0
2014-06-18,25865.0
2014-06-19,25935.0
2014-06-20,25555.0
2014-06-23,25680.0
2014-06-24,25980.0
2014-06-25,25820.0
2014-06-26,26000.0
2014-06-27,25930.0
2014-06-30,26125.0
2014-07-01,25980.0
2014-07-02,26175.0
2014-07-03,26130.0
2014-07-04,26095.0
2014-07-07,25945.0
2014-07-08,25930.0
2014-07-09,25835.0
2014-07-10,25890.0
2014-07-11,25675.0
2014-07-14,25770.0
2014-07-15,26010.0
2014-07-16,26060.0
2014-07-17,26165.0
2014-07-18,26100.0
2014-07-21,26125.0
2014-07-22,26295.0
2014-07-23,26275.0
2014-07-24,26270.0
2014-07-25,26330.0
2014-07-28,26565.0
2014-07-29,26835.0
2014-07-30,27145.0
2014-07-31,27045.0
2014-08-01,26910.0
2014-08-04,26935.0
2014-08-05,26715.0
2014-08-06,26645.0
2014-08-07,26555.0
2014-08-08,26200.0
2014-08-11,26345.0
2014-08-12,26370.0
2014-08-13,26525.0
2014-08-14,26595.0
2014-08-18,26460.0
2014-08-19,26640.0
2014-08-20,26630.0
2014-08-21,26230.0
2014-08-22,26410.0
2014-08-25,26475.0
2014-08-26,26580.0
2014-08-27,26595.0
2014-08-28,26595.0
2014-08-29,26620.0
2014-09-01,26490.0
2014-09-02,26245.0
2014-09-03,26195.0
2014-09-04,26280.0
2014-09-05,26195.0
2014-09-11,26080.0
2014-09-12,26125.0
2014-09-15,26065.0
2014-09-16,26115.0
2014-09-17,26380.0
2014-09-18,26220.0
2014-09-19,26310.0
2014-09-22,26010.0
2014-09-23,25920.0
2014-09-24,25900.0
2014-09-25,25880.0
2014-09-26,25805.0
2014-09-29,25760.0
2014-09-30,25715.0
2014-10-01,25325.0
2014-10-02,25025.0
2014-10-06,24945.0
2014-10-07,24990.0
2014-10-08,24915.0
2014-10-10,24505.0
2014-10-13,24465.0
2014-10-14,24450.0
2014-10-15,24400.0
2014-10-16,24310.0
2014-10-17,24020.0
2014-10-20,24340.0
2014-10-21,24165.0
2014-10-22,24350.0
2014-10-23,24365.0
2014-10-24,24300.0
2014-10-27,24405.0
2014-10-28,24360.0
2014-10-29,24835.0
2014-10-30,24825.0
2014-10-31,25065.0
2014-11-03,24870.0
2014-11-04,24690.0
2014-11-05,24620.0
2014-11-06,24735.0
2014-11-07,24770.0
2014-11-10,25050.0
2014-11-11,25010.0
2014-11-12,25105.0
2014-11-13,25035.0
2014-11-14,24820.0
2014-11-17,24875.0
2014-11-18,25080.0
2014-11-19,25010.0
2014-11-20,24945.0
2014-11-21,25015.0
2014-11-24,25230.0
2014-11-25,25240.0
2014-11-26,25200.0
2014-11-27,25350.0
2014-11-28,25400.0
2014-12-01,25105.0
2014-12-02,25085.0
2014-12-03,25165.0
2014-12-04,25435.0
2014-12-05,25425.0
2014-12-08,25375.0
2014-12-09,25320.0
2014-12-10,24950.0
2014-12-11,24635.0
2014-12-12,24690.0
2014-12-15,24665.0
2014-12-16,24530.0
2014-12-17,24450.0
2014-12-18,24390.0
2014-12-19,24765.0
2014-12-22,24955.0
2014-12-23,24930.0
2014-12-24,25050.0
2014-12-26,25035.0
2014-12-29,24975.0
2014-12-30,24775.0
2015-01-02,24760.0
2015-01-05,24760.0
2015-01-06,24285.0
2015-01-07,24320.0
2015-01-08,24655.0
2015-01-09,24935.0
2015-01-12,24875.0
2015-01-13,24975.0
2015-01-14,24855.0
2015-01-15,24920.0
2015-01-16,24590.0
2015-01-19,24840.0
2015-01-20,25035.0
