Date,KOSEF 고배당
2014-01-13,7075.0
2014-01-14,7020.0
2014-01-15,7060.0
2014-01-16,7080.0
2014-01-17,7040.0
2014-01-20,7035.0
2014-01-21,7030.0
2014-01-22,7050.0
2014-01-23,7000.0
2014-01-24,7015.0
2014-01-27,6905.0
2014-01-28,6930.0
2014-01-29,6995.0
2014-02-03,6970.0
2014-02-04,6840.0
2014-02-05,6820.0
2014-02-06,6825.0
2014-02-07,6840.0
2014-02-10,6840.0
2014-02-11,6850.0
2014-02-12,6875.0
2014-02-13,6830.0
2014-02-14,6865.0
2014-02-17,6880.0
2014-02-18,6865.0
2014-02-19,6865.0
2014-02-20,6850.0
2014-02-21,6850.0
2014-02-24,6820.0
2014-02-25,6915.0
2014-02-26,6925.0
2014-02-27,6945.0
2014-02-28,6990.0
2014-03-03,6850.0
2014-03-04,6790.0
2014-03-05,6825.0
2014-03-06,6875.0
2014-03-07,6845.0
2014-03-10,6800.0
2014-03-11,6880.0
2014-03-12,6825.0
2014-03-13,6905.0
2014-03-14,6850.0
2014-03-17,6850.0
2014-03-18,6880.0
2014-03-19,6910.0
2014-03-20,6870.0
2014-03-21,6870.0
2014-03-24,6905.0
2014-03-25,6900.0
2014-03-26,6970.0
2014-03-27,6965.0
2014-03-28,6990.0
2014-03-31,6965.0
2014-04-01,6955.0
2014-04-02,6915.0
2014-04-03,6860.0
2014-04-04,6855.0
2014-04-07,6830.0
2014-04-08,6890.0
2014-04-09,6980.0
2014-04-10,6980.0
2014-04-11,7000.0
2014-04-14,7035.0
2014-04-15,7045.0
2014-04-16,7015.0
2014-04-17,6980.0
2014-04-18,7010.0
2014-04-21,7015.0
2014-04-22,6980.0
2014-04-23,7020.0
2014-04-24,6970.0
2014-04-25,6895.0
2014-04-28,6895.0
2014-04-29,6740.0
2014-04-30,6835.0
2014-05-02,6865.0
2014-05-07,6800.0
2014-05-08,6785.0
2014-05-09,6850.0
2014-05-12,6790.0
2014-05-13,6815.0
2014-05-14,6905.0
2014-05-15,6885.0
2014-05-16,6865.0
2014-05-19,6860.0
2014-05-20,6825.0
2014-05-21,6790.0
2014-05-22,6835.0
2014-05-23,6855.0
2014-05-26,6845.0
2014-05-27,6820.0
2014-05-28,6790.0
2014-05-29,6705.0
2014-05-30,6680.0
2014-06-02,6670.0
2014-06-03,6600.0
2014-06-05,6575.0
2014-06-09,6620.0
2014-06-10,6665.0
2014-06-11,6655.0
2014-06-12,6685.0
2014-06-13,6695.0
2014-06-16,6695.0
2014-06-17,6690.0
2014-06-18,6685.0
2014-06-19,6715.0
2014-06-20,6635.0
2014-06-23,6660.0
2014-06-24,6720.0
2014-06-25,6740.0
2014-06-26,6820.0
2014-06-27,6820.0
2014-06-30,6860.0
2014-07-01,6860.0
2014-07-02,6875.0
2014-07-03,6820.0
2014-07-04,6835.0
2014-07-07,6830.0
2014-07-08,6815.0
2014-07-09,6820.0
2014-07-10,6785.0
2014-07-11,6795.0
2014-07-14,6815.0
2014-07-15,6835.0
2014-07-16,6835.0
2014-07-17,6875.0
2014-07-18,6825.0
2014-07-21,6875.0
2014-07-22,6930.0
2014-07-23,6915.0
2014-07-24,6970.0
2014-07-25,6955.0
2014-07-28,7080.0
2014-07-29,7125.0
2014-07-30,7245.0
2014-07-31,7255.0
2014-08-01,7325.0
2014-08-04,7340.0
2014-08-05,7245.0
2014-08-06,7265.0
2014-08-07,7270.0
2014-08-08,7225.0
2014-08-11,7260.0
2014-08-12,7240.0
2014-08-13,7260.0
2014-08-14,7260.0
2014-08-18,7260.0
2014-08-19,7290.0
2014-08-20,7215.0
2014-08-21,7130.0
2014-08-22,7180.0
2014-08-25,7220.0
2014-08-26,7255.0
2014-08-27,7275.0
2014-08-28,7315.0
2014-08-29,7260.0
2014-09-01,7230.0
2014-09-02,7235.0
2014-09-03,7275.0
2014-09-04,7270.0
2014-09-05,7270.0
2014-09-11,7210.0
2014-09-12,7205.0
2014-09-15,7220.0
2014-09-16,7200.0
2014-09-17,7260.0
2014-09-18,7240.0
2014-09-19,7305.0
2014-09-22,7230.0
2014-09-23,7170.0
2014-09-24,7195.0
2014-09-25,7140.0
2014-09-26,7070.0
2014-09-29,7020.0
2014-09-30,6995.0
2014-10-01,6940.0
2014-10-02,6860.0
2014-10-06,6780.0
2014-10-07,6810.0
2014-10-08,6890.0
2014-10-10,6815.0
2014-10-13,6810.0
2014-10-14,6820.0
2014-10-15,6745.0
2014-10-16,6740.0
2014-10-17,6705.0
2014-10-20,6775.0
2014-10-21,6805.0
2014-10-22,6905.0
2014-10-23,6875.0
2014-10-24,6850.0
2014-10-27,6940.0
2014-10-28,6900.0
2014-10-29,7050.0
2014-10-30,6975.0
2014-10-31,6945.0
2014-11-03,6925.0
2014-11-04,6860.0
2014-11-05,6900.0
2014-11-06,6970.0
2014-11-07,6945.0
2014-11-10,6950.0
2014-11-11,6935.0
2014-11-12,6980.0
2014-11-13,6940.0
2014-11-14,6930.0
2014-11-17,6955.0
2014-11-18,7020.0
2014-11-19,7025.0
2014-11-20,6995.0
2014-11-21,6990.0
2014-11-24,7135.0
2014-11-25,7110.0
2014-11-26,7085.0
2014-11-27,7015.0
2014-11-28,6930.0
2014-12-01,6790.0
2014-12-02,6780.0
2014-12-03,6790.0
2014-12-04,6825.0
2014-12-05,6855.0
2014-12-08,6795.0
2014-12-09,6765.0
2014-12-10,6675.0
2014-12-11,6580.0
2014-12-12,6590.0
2014-12-15,6700.0
2014-12-16,6695.0
2014-12-17,6770.0
2014-12-18,6740.0
2014-12-19,6785.0
2014-12-22,6885.0
2014-12-23,6880.0
2014-12-24,6880.0
2014-12-26,6860.0
2014-12-29,6810.0
2014-12-30,6740.0
2015-01-02,6750.0
2015-01-05,6735.0
2015-01-06,6590.0
2015-01-07,6595.0
2015-01-08,6665.0
2015-01-09,6780.0
2015-01-12,6750.0
2015-01-13,6720.0
2015-01-14,6700.0
2015-01-15,6665.0
2015-01-16,6590.0
2015-01-19,6745.0
2015-01-20,6795.0
2015-01-21,6810.0
2015-01-22,6900.0
2015-01-23,6950.0
2015-01-26,6940.0
2015-01-27,6995.0
2015-01-28,7040.0
2015-01-29,7000.0
2015-01-30,6990.0
2015-02-02,7040.0
2015-02-03,7085.0
2015-02-04,7120.0
2015-02-05,7075.0
2015-02-06,7120.0
2015-02-09,7105.0
2015-02-10,7100.0
2015-02-11,7150.0
2015-02-12,7115.0
2015-02-13,7215.0
2015-02-16,7235.0
2015-02-17,7260.0
2015-02-23,7275.0
2015-02-24,7300.0
2015-02-25,7360.0
2015-02-26,7360.0
2015-02-27,7310.0
2015-03-02,7330.0
2015-03-03,7360.0
2015-03-04,7285.0
2015-03-05,7350.0
2015-03-06,7320.0
2015-03-09,7235.0
2015-03-10,7185.0
2015-03-11,7050.0
2015-03-12,7095.0
2015-03-13,7085.0
2015-03-16,7010.0
2015-03-17,7050.0
2015-03-18,7070.0
2015-03-19,7145.0
2015-03-20,7080.0
2015-03-23,7090.0
2015-03-24,7080.0
2015-03-25,7040.0
2015-03-26,7110.0
2015-03-27,7090.0
2015-03-30,7090.0
2015-03-31,7140.0
2015-04-01,7180.0
2015-04-02,7220.0
2015-04-03,7280.0
2015-04-06,7235.0
2015-04-07,7300.0
2015-04-08,7470.0
2015-04-09,7465.0
2015-04-10,7530.0
2015-04-13,7575.0
2015-04-14,7645.0
2015-04-15,7655.0
2015-04-16,7745.0
2015-04-17,7765.0
2015-04-20,7790.0
2015-04-21,7735.0
2015-04-22,7685.0
2015-04-23,7930.0
2015-04-24,7925.0
2015-04-27,7935.0
2015-04-28,7925.0
2015-04-29,7730.0
2015-04-30,7675.0
2015-05-04,7740.0
2015-05-06,7720.0
2015-05-07,7595.0
2015-05-08,7535.0
2015-05-11,7555.0
2015-05-12,7560.0
2015-05-13,7610.0
2015-05-14,7610.0
2015-05-15,7480.0
2015-05-18,7465.0
2015-05-19,7470.0
2015-05-20,7460.0
2015-05-21,7435.0
2015-05-22,7585.0
2015-05-26,7655.0
2015-05-27,7460.0
2015-05-28,7395.0
2015-05-29,7375.0
2015-06-01,7390.0
2015-06-02,7285.0
2015-06-03,7270.0
2015-06-04,7150.0
2015-06-05,7100.0
2015-06-08,7215.0
2015-06-09,7320.0
2015-06-10,7365.0
2015-06-11,7300.0
2015-06-12,7290.0
2015-06-15,7235.0
2015-06-16,7235.0
2015-06-17,7130.0
2015-06-18,7160.0
2015-06-19,7185.0
2015-06-22,7195.0
2015-06-23,7310.0
2015-06-24,7360.0
2015-06-25,7365.0
2015-06-26,7330.0
2015-06-29,7270.0
2015-06-30,7305.0
2015-07-01,7315.0
2015-07-02,7320.0
2015-07-03,7345.0
2015-07-06,7220.0
2015-07-07,7310.0
2015-07-08,7265.0
2015-07-09,7225.0
2015-07-10,7240.0
2015-07-13,7315.0
2015-07-14,7345.0
2015-07-15,7330.0
2015-07-16,7285.0
2015-07-17,7240.0
2015-07-20,7185.0
2015-07-21,7185.0
2015-07-22,7180.0
2015-07-23,7165.0
2015-07-24,7085.0
2015-07-27,7060.0
2015-07-28,7170.0
2015-07-29,7110.0
2015-07-30,7210.0
2015-07-31,7350.0
2015-08-03,7280.0
2015-08-04,7365.0
2015-08-05,7405.0
2015-08-06,7400.0
2015-08-07,7340.0
2015-08-10,7310.0
2015-08-11,7255.0
2015-08-12,7380.0
2015-08-13,7265.0
2015-08-17,7210.0
2015-08-18,7300.0
2015-08-19,7370.0
2015-08-20,7275.0
2015-08-21,7115.0
2015-08-24,6960.0
2015-08-25,6820.0
2015-08-26,6970.0
2015-08-27,7025.0
2015-08-28,7075.0
2015-08-31,7110.0
2015-09-01,7035.0
2015-09-02,6960.0
2015-09-03,6945.0
2015-09-04,6890.0
2015-09-07,6870.0
2015-09-08,6870.0
2015-09-09,7065.0
2015-09-10,7130.0
2015-09-11,7100.0
2015-09-14,7110.0
2015-09-15,7150.0
2015-09-16,7240.0
2015-09-17,7255.0
2015-09-18,7245.0
2015-09-21,7185.0
2015-09-22,7280.0
2015-09-23,7190.0
2015-09-24,7155.0
2015-09-25,7155.0
2015-09-30,7270.0
2015-10-01,7305.0
2015-10-02,7285.0
2015-10-05,7280.0
2015-10-06,7270.0
2015-10-07,7250.0
2015-10-08,7240.0
2015-10-12,7380.0
2015-10-13,7345.0
2015-10-14,7375.0
2015-10-15,7400.0
2015-10-16,7395.0
2015-10-19,7435.0
2015-10-20,7415.0
2015-10-21,7500.0
2015-10-22,7390.0
2015-10-23,7535.0
2015-10-26,7565.0
2015-10-27,7520.0
2015-10-28,7540.0
2015-10-29,7440.0
2015-10-30,7450.0
2015-11-02,7460.0
2015-11-03,7505.0
2015-11-04,7535.0
2015-11-05,7505.0
2015-11-06,7355.0
2015-11-09,7355.0
2015-11-10,7295.0
2015-11-11,7250.0
2015-11-12,7275.0
2015-11-13,7255.0
2015-11-16,7125.0
2015-11-17,7125.0
2015-11-18,7040.0
2015-11-19,7045.0
2015-11-20,7010.0
2015-11-23,7040.0
2015-11-24,7095.0
2015-11-25,7010.0
2015-11-26,7040.0
2015-11-27,7070.0
2015-11-30,7025.0
2015-12-01,7155.0
2015-12-02,7105.0
2015-12-03,7055.0
2015-12-04,7005.0
2015-12-07,7045.0
2015-12-08,6975.0
2015-12-09,6975.0
2015-12-10,7030.0
2015-12-11,7020.0
2015-12-14,6970.0
2015-12-15,6955.0
2015-12-16,7050.0
2015-12-17,7070.0
2015-12-18,7100.0
2015-12-21,7115.0
2015-12-22,7130.0
2015-12-23,7170.0
2015-12-24,7190.0
2015-12-28,7140.0
2015-12-29,7115.0
2015-12-30,7090.0
2016-01-04,6945.0
2016-01-05,6995.0
2016-01-06,6925.0
2016-01-07,6850.0
2016-01-08,6905.0
2016-01-11,6845.0
2016-01-12,6830.0
2016-01-13,6895.0
2016-01-14,6800.0
2016-01-15,6715.0
2016-01-18,6730.0
2016-01-19,6740.0
2016-01-20,6550.0
2016-01-21,6530.0
2016-01-22,6580.0
2016-01-25,6640.0
2016-01-26,6650.0
2016-01-27,6710.0
2016-01-28,6840.0
2016-01-29,6970.0
2016-02-01,6995.0
2016-02-02,6970.0
2016-02-03,6925.0
2016-02-04,7010.0
2016-02-05,7110.0
2016-02-11,6995.0
2016-02-12,6935.0
2016-02-15,7130.0
2016-02-16,7240.0
2016-02-17,7235.0
2016-02-18,7340.0
2016-02-19,7325.0
2016-02-22,7320.0
2016-02-23,7355.0
2016-02-24,7325.0
2016-02-25,7345.0
2016-02-26,7325.0
2016-02-29,7355.0
2016-03-02,7430.0
2016-03-03,7415.0
2016-03-04,7430.0
2016-03-07,7480.0
2016-03-08,7475.0
2016-03-09,7475.0
2016-03-10,7570.0
2016-03-11,7540.0
2016-03-14,7400.0
2016-03-15,7400.0
2016-03-16,7395.0
2016-03-17,7460.0
2016-03-18,7490.0
2016-03-21,7430.0
2016-03-22,7435.0
2016-03-23,7440.0
2016-03-24,7350.0
2016-03-25,7360.0
