Date,KOSEF 국고채10년
2014-01-13,104400.0
2014-01-14,104230.0
2014-01-15,103975.0
2014-01-16,104070.0
2014-01-17,104140.0
2014-01-20,104075.0
2014-01-21,103915.0
2014-01-22,103790.0
2014-01-23,104035.0
2014-01-24,104585.0
2014-01-27,104565.0
2014-01-28,104485.0
2014-01-29,104370.0
2014-02-03,104495.0
2014-02-04,104980.0
2014-02-05,105040.0
2014-02-06,104840.0
2014-02-07,104860.0
2014-02-10,105105.0
2014-02-11,105245.0
2014-02-12,105185.0
2014-02-13,105480.0
2014-02-14,105715.0
2014-02-17,105610.0
2014-02-18,105355.0
2014-02-19,105530.0
2014-02-20,105645.0
2014-02-21,105425.0
2014-02-24,105510.0
2014-02-25,105605.0
2014-02-26,105470.0
2014-02-27,105655.0
2014-02-28,105610.0
2014-03-03,105370.0
2014-03-04,105055.0
2014-03-05,105120.0
2014-03-06,105115.0
2014-03-07,105065.0
2014-03-10,105190.0
2014-03-11,105265.0
2014-03-12,105435.0
2014-03-13,105565.0
2014-03-14,105950.0
2014-03-17,105740.0
2014-03-18,105665.0
2014-03-19,105680.0
2014-03-20,105700.0
2014-03-21,105460.0
2014-03-24,105580.0
2014-03-25,105600.0
2014-03-26,105650.0
2014-03-27,105795.0
2014-03-28,105875.0
2014-03-31,105900.0
2014-04-01,105710.0
2014-04-02,105550.0
2014-04-03,105420.0
2014-04-04,105640.0
2014-04-07,105950.0
2014-04-08,105830.0
2014-04-09,105910.0
2014-04-10,105900.0
2014-04-11,105920.0
2014-04-14,105780.0
2014-04-15,105835.0
2014-04-16,105860.0
2014-04-17,105930.0
2014-04-18,105795.0
2014-04-21,105825.0
2014-04-22,105800.0
2014-04-23,105895.0
2014-04-24,105940.0
2014-04-25,106055.0
2014-04-28,105945.0
2014-04-29,106110.0
2014-04-30,106105.0
2014-05-02,106295.0
2014-05-07,106595.0
2014-05-08,106720.0
2014-05-09,106890.0
2014-05-12,106885.0
2014-05-13,106890.0
2014-05-14,106845.0
2014-05-15,107460.0
2014-05-16,107355.0
2014-05-19,107385.0
2014-05-20,107380.0
2014-05-21,107545.0
2014-05-22,107325.0
2014-05-23,107410.0
2014-05-26,107540.0
2014-05-27,107600.0
2014-05-28,107675.0
2014-05-29,108000.0
2014-05-30,107905.0
2014-06-02,107745.0
2014-06-03,107710.0
2014-06-05,107545.0
2014-06-09,107660.0
2014-06-10,107925.0
2014-06-11,107870.0
2014-06-12,108215.0
2014-06-13,108310.0
2014-06-16,108330.0
2014-06-17,108385.0
2014-06-18,108405.0
2014-06-19,108805.0
2014-06-20,109100.0
2014-06-23,109175.0
2014-06-24,109290.0
2014-06-25,109170.0
2014-06-26,109270.0
2014-06-27,109550.0
2014-06-30,109660.0
2014-07-01,109650.0
2014-07-02,110255.0
2014-07-03,110240.0
2014-07-04,110115.0
2014-07-07,110090.0
2014-07-08,109905.0
2014-07-09,109815.0
2014-07-10,110435.0
2014-07-11,110545.0
2014-07-14,110530.0
2014-07-15,110490.0
2014-07-16,110855.0
2014-07-17,111485.0
2014-07-18,111505.0
2014-07-21,111265.0
2014-07-22,111300.0
2014-07-23,111450.0
2014-07-24,111225.0
2014-07-25,111065.0
2014-07-28,111235.0
2014-07-29,111005.0
2014-07-30,110945.0
2014-07-31,110760.0
2014-08-01,110465.0
2014-08-04,110500.0
2014-08-05,110610.0
2014-08-06,110495.0
2014-08-07,110700.0
2014-08-08,111055.0
2014-08-11,110960.0
2014-08-12,110805.0
2014-08-13,110815.0
2014-08-14,110860.0
2014-08-18,110690.0
2014-08-19,110025.0
2014-08-20,110165.0
2014-08-21,110290.0
2014-08-22,110250.0
2014-08-25,110545.0
2014-08-26,110915.0
2014-08-27,111100.0
2014-08-28,111275.0
2014-08-29,111195.0
2014-09-01,111275.0
2014-09-02,111125.0
2014-09-03,110875.0
2014-09-04,110700.0
2014-09-05,110865.0
2014-09-11,110895.0
2014-09-12,111200.0
2014-09-15,111205.0
2014-09-16,111600.0
2014-09-17,111400.0
2014-09-18,111635.0
2014-09-19,111665.0
2014-09-22,111885.0
2014-09-23,112050.0
2014-09-24,112080.0
2014-09-25,112165.0
2014-09-26,112375.0
2014-09-29,112540.0
2014-09-30,113035.0
2014-10-01,113425.0
2014-10-02,113365.0
2014-10-06,113210.0
2014-10-07,113110.0
2014-10-08,113220.0
2014-10-10,113505.0
2014-10-13,113450.0
2014-10-14,113450.0
2014-10-15,113685.0
2014-10-16,113955.0
2014-10-17,114190.0
2014-10-20,114010.0
2014-10-21,114160.0
2014-10-22,114180.0
2014-10-23,114495.0
2014-10-24,114795.0
2014-10-27,114600.0
2014-10-28,114615.0
2014-10-29,114655.0
2014-10-30,114890.0
2014-10-31,115240.0
2014-11-03,115215.0
2014-11-04,115420.0
2014-11-05,115390.0
2014-11-06,115330.0
2014-11-07,115155.0
2014-11-10,115060.0
2014-11-11,114785.0
2014-11-12,114300.0
2014-11-13,114045.0
2014-11-14,114245.0
2014-11-17,114285.0
2014-11-18,114465.0
2014-11-19,114585.0
2014-11-20,114800.0
2014-11-21,114810.0
2014-11-24,115025.0
2014-11-25,115485.0
2014-11-26,115700.0
2014-11-27,115605.0
2014-11-28,115980.0
2014-12-01,115985.0
2014-12-02,116015.0
2014-12-03,115530.0
2014-12-04,114670.0
2014-12-05,114920.0
2014-12-08,114445.0
2014-12-09,114610.0
2014-12-10,114560.0
2014-12-11,114965.0
2014-12-12,115170.0
2014-12-15,115215.0
2014-12-16,115435.0
2014-12-17,115335.0
2014-12-18,115060.0
2014-12-19,114900.0
2014-12-22,115250.0
2014-12-23,115415.0
2014-12-24,115410.0
2014-12-26,115680.0
2014-12-29,112665.0
2014-12-30,112880.0
2015-01-02,112620.0
2015-01-05,112540.0
2015-01-06,113290.0
2015-01-07,113595.0
2015-01-08,113110.0
2015-01-09,113490.0
2015-01-12,114245.0
2015-01-13,114405.0
2015-01-14,115000.0
2015-01-15,114405.0
2015-01-16,115185.0
2015-01-19,115095.0
2015-01-20,115140.0
2015-01-21,115100.0
2015-01-22,114775.0
2015-01-23,115295.0
2015-01-26,115780.0
2015-01-27,115675.0
2015-01-28,115995.0
2015-01-29,116315.0
2015-01-30,116220.0
2015-02-02,116220.0
2015-02-03,116550.0
2015-02-04,116085.0
2015-02-05,115975.0
2015-02-06,115970.0
2015-02-09,115780.0
2015-02-10,115345.0
2015-02-11,115160.0
2015-02-12,115125.0
2015-02-13,114950.0
2015-02-16,114385.0
2015-02-17,115030.0
2015-02-23,114845.0
2015-02-24,114710.0
2015-02-25,115180.0
2015-02-26,115290.0
2015-02-27,115400.0
2015-03-02,115760.0
2015-03-03,115495.0
2015-03-04,115560.0
2015-03-05,115505.0
2015-03-06,115845.0
2015-03-09,115515.0
2015-03-10,115515.0
2015-03-11,115580.0
2015-03-12,115800.0
2015-03-13,115600.0
2015-03-16,115910.0
2015-03-17,116055.0
2015-03-18,116100.0
2015-03-19,116860.0
2015-03-20,116905.0
2015-03-23,117130.0
2015-03-24,117060.0
2015-03-25,117230.0
2015-03-26,117320.0
2015-03-27,117150.0
2015-03-30,117460.0
2015-03-31,117580.0
2015-04-01,117530.0
2015-04-02,117780.0
2015-04-03,118000.0
