Date,KOSEF 국고채10년레버리지
2014-01-13,96495.0
2014-01-14,96270.0
2014-01-15,95730.0
2014-01-16,95900.0
2014-01-17,96000.0
2014-01-20,95925.0
2014-01-21,95685.0
2014-01-22,95500.0
2014-01-23,95855.0
2014-01-24,96700.0
2014-01-27,96780.0
2014-01-28,96760.0
2014-01-29,96390.0
2014-02-03,96700.0
2014-02-04,97620.0
2014-02-05,97705.0
2014-02-06,97125.0
2014-02-07,97520.0
2014-02-10,97695.0
2014-02-11,98030.0
2014-02-12,97830.0
2014-02-13,98320.0
2014-02-14,98785.0
2014-02-17,98655.0
2014-02-18,98150.0
2014-02-19,98515.0
2014-02-20,98650.0
2014-02-21,98205.0
2014-02-24,98415.0
2014-02-25,98555.0
2014-02-26,98440.0
2014-02-27,98645.0
2014-02-28,98485.0
2014-03-03,98050.0
2014-03-04,97420.0
2014-03-05,97640.0
2014-03-06,97620.0
2014-03-07,97465.0
2014-03-10,97715.0
2014-03-11,97865.0
2014-03-12,98220.0
2014-03-13,98420.0
2014-03-14,99045.0
2014-03-17,98685.0
2014-03-18,98660.0
2014-03-19,98540.0
2014-03-20,98640.0
2014-03-21,98170.0
2014-03-24,98190.0
2014-03-25,98255.0
2014-03-26,98300.0
2014-03-27,98590.0
2014-03-28,98800.0
2014-03-31,98880.0
2014-04-01,98770.0
2014-04-02,98320.0
2014-04-03,98000.0
2014-04-04,98340.0
2014-04-07,98800.0
2014-04-08,98715.0
2014-04-09,99000.0
2014-04-10,98555.0
2014-04-11,98695.0
2014-04-14,98830.0
2014-04-15,98810.0
2014-04-16,98750.0
2014-04-17,99030.0
2014-04-18,98710.0
2014-04-21,98330.0
2014-04-22,98330.0
2014-04-23,98885.0
2014-04-24,98845.0
2014-04-25,99010.0
2014-04-28,99165.0
2014-04-29,99175.0
2014-04-30,99265.0
2014-05-02,99400.0
2014-05-07,100000.0
2014-05-08,100300.0
2014-05-09,100525.0
2014-05-12,100640.0
2014-05-13,100455.0
2014-05-14,100540.0
2014-05-15,101650.0
2014-05-16,101475.0
2014-05-19,101585.0
2014-05-20,101495.0
2014-05-21,101535.0
2014-05-22,101350.0
2014-05-23,101590.0
2014-05-26,101750.0
2014-05-27,101890.0
2014-05-28,101750.0
2014-05-29,102640.0
2014-05-30,102485.0
2014-06-02,102135.0
2014-06-03,101970.0
2014-06-05,101640.0
2014-06-09,101870.0
2014-06-10,102180.0
2014-06-11,102215.0
2014-06-12,103000.0
2014-06-13,103145.0
2014-06-16,103065.0
2014-06-17,103195.0
2014-06-18,103225.0
2014-06-19,104000.0
2014-06-20,104600.0
2014-06-23,104555.0
2014-06-24,104850.0
2014-06-25,104785.0
2014-06-26,104850.0
2014-06-27,105425.0
2014-06-30,105455.0
2014-07-01,105610.0
2014-07-02,106970.0
2014-07-03,106640.0
2014-07-04,106500.0
2014-07-07,106405.0
2014-07-08,105690.0
2014-07-09,105900.0
2014-07-10,107230.0
2014-07-11,107400.0
2014-07-14,107210.0
2014-07-15,107305.0
2014-07-16,108000.0
2014-07-17,109555.0
2014-07-18,109185.0
2014-07-21,108480.0
2014-07-22,108645.0
2014-07-23,109100.0
2014-07-24,108400.0
2014-07-25,108490.0
2014-07-28,108600.0
2014-07-29,107975.0
2014-07-30,107860.0
2014-07-31,107700.0
2014-08-01,107215.0
2014-08-04,107090.0
2014-08-05,107255.0
2014-08-06,107040.0
2014-08-07,107425.0
2014-08-08,107870.0
2014-08-11,107765.0
2014-08-12,107810.0
2014-08-13,107650.0
2014-08-14,107845.0
2014-08-18,107180.0
2014-08-19,106080.0
2014-08-20,106025.0
2014-08-21,106385.0
2014-08-22,106365.0
2014-08-25,107040.0
2014-08-26,107740.0
2014-08-27,108000.0
2014-08-28,108170.0
2014-08-29,108355.0
2014-09-01,108085.0
2014-09-02,108040.0
2014-09-03,107240.0
2014-09-04,107260.0
2014-09-05,107630.0
2014-09-11,107600.0
2014-09-12,108710.0
2014-09-15,108230.0
2014-09-16,108870.0
2014-09-17,108520.0
2014-09-18,109065.0
2014-09-19,109055.0
2014-09-22,109655.0
2014-09-23,109825.0
2014-09-24,109860.0
2014-09-25,109860.0
2014-09-26,110605.0
2014-09-29,110645.0
2014-09-30,111750.0
2014-10-01,112800.0
2014-10-02,111945.0
2014-10-06,111680.0
2014-10-07,111745.0
2014-10-08,112090.0
2014-10-10,112540.0
2014-10-13,112555.0
2014-10-14,112450.0
2014-10-15,112680.0
2014-10-16,113595.0
2014-10-17,114000.0
2014-10-20,113500.0
2014-10-21,113925.0
2014-10-22,113875.0
2014-10-23,114535.0
2014-10-24,115000.0
2014-10-27,114770.0
2014-10-28,114610.0
2014-10-29,114885.0
2014-10-30,115240.0
2014-10-31,116135.0
2014-11-03,115700.0
2014-11-04,116315.0
2014-11-05,116290.0
2014-11-06,116000.0
2014-11-07,115775.0
2014-11-10,115475.0
2014-11-11,114820.0
2014-11-12,113925.0
2014-11-13,113605.0
2014-11-14,113510.0
2014-11-17,113745.0
2014-11-18,114330.0
2014-11-19,114570.0
2014-11-20,114995.0
2014-11-21,114675.0
2014-11-24,115690.0
2014-11-25,116310.0
2014-11-26,116665.0
2014-11-27,116590.0
2014-11-28,117415.0
2014-12-01,117305.0
2014-12-02,117280.0
2014-12-03,116090.0
2014-12-04,114810.0
2014-12-05,114920.0
2014-12-08,113985.0
2014-12-09,114535.0
2014-12-10,114350.0
2014-12-11,115255.0
2014-12-12,115450.0
2014-12-15,115575.0
2014-12-16,116085.0
2014-12-17,115525.0
2014-12-18,115115.0
2014-12-19,114785.0
2014-12-22,115955.0
2014-12-23,115850.0
2014-12-24,115955.0
2014-12-26,116495.0
2014-12-29,113830.0
2014-12-30,114060.0
2015-01-02,113250.0
2015-01-05,113615.0
2015-01-06,115045.0
2015-01-07,115040.0
2015-01-08,114800.0
2015-01-09,115290.0
2015-01-12,116830.0
2015-01-13,117260.0
2015-01-14,118560.0
2015-01-15,116800.0
2015-01-16,119350.0
2015-01-19,118330.0
2015-01-20,118500.0
2015-01-21,118490.0
2015-01-22,118040.0
2015-01-23,119260.0
