Date,KOSEF 단기자금
2014-01-13,100425.0
2014-01-14,100415.0
2014-01-15,100420.0
2014-01-16,100435.0
2014-01-17,100435.0
2014-01-20,100455.0
2014-01-21,100445.0
2014-01-22,100445.0
2014-01-23,100470.0
2014-01-24,100460.0
2014-01-27,100300.0
2014-01-28,100495.0
2014-01-29,100535.0
2014-02-03,100520.0
2014-02-04,100535.0
2014-02-05,100555.0
2014-02-06,100575.0
2014-02-07,100590.0
2014-02-10,100600.0
2014-02-11,100625.0
2014-02-12,100620.0
2014-02-13,100640.0
2014-02-14,100645.0
2014-02-17,100645.0
2014-02-18,100665.0
2014-02-19,100665.0
2014-02-20,100690.0
2014-02-21,100695.0
2014-02-24,100700.0
2014-02-25,100710.0
2014-02-26,100735.0
2014-02-27,100745.0
2014-02-28,100745.0
2014-03-03,100750.0
2014-03-04,100755.0
2014-03-05,100760.0
2014-03-06,100775.0
2014-03-07,100790.0
2014-03-10,100780.0
2014-03-11,100795.0
2014-03-12,100800.0
2014-03-13,100820.0
2014-03-14,100840.0
2014-03-17,100830.0
2014-03-18,100845.0
2014-03-19,100850.0
2014-03-20,100865.0
2014-03-21,100875.0
2014-03-24,100870.0
2014-03-25,100880.0
2014-03-26,100895.0
2014-03-27,100930.0
2014-03-28,100930.0
2014-03-31,100960.0
2014-04-01,100950.0
2014-04-02,100950.0
2014-04-03,100975.0
2014-04-04,100995.0
2014-04-07,100995.0
2014-04-08,101020.0
2014-04-09,100995.0
2014-04-10,101025.0
2014-04-11,101035.0
2014-04-14,101055.0
2014-04-15,101045.0
2014-04-16,101065.0
2014-04-17,101085.0
2014-04-18,101100.0
2014-04-21,101085.0
2014-04-22,101095.0
2014-04-23,101095.0
2014-04-24,101110.0
2014-04-25,101120.0
2014-04-28,101130.0
2014-04-29,101135.0
2014-04-30,101180.0
2014-05-02,101185.0
2014-05-07,101195.0
2014-05-08,101240.0
2014-05-09,101245.0
2014-05-12,101240.0
2014-05-13,101245.0
2014-05-14,101240.0
2014-05-15,101275.0
2014-05-16,101285.0
2014-05-19,101285.0
2014-05-20,101295.0
2014-05-21,101315.0
2014-05-22,101320.0
2014-05-23,101340.0
2014-05-26,101350.0
2014-05-27,101335.0
2014-05-28,101340.0
2014-05-29,101370.0
2014-05-30,101380.0
2014-06-02,101375.0
2014-06-03,101395.0
2014-06-05,101430.0
2014-06-09,101425.0
2014-06-10,101440.0
2014-06-11,101435.0
2014-06-12,101450.0
2014-06-13,101500.0
2014-06-16,101495.0
2014-06-17,101500.0
2014-06-18,101490.0
2014-06-19,101520.0
2014-06-20,101515.0
2014-06-23,101520.0
2014-06-24,101530.0
2014-06-25,101545.0
2014-06-26,101550.0
2014-06-27,101570.0
2014-06-30,101595.0
2014-07-01,101585.0
2014-07-02,101610.0
2014-07-03,101625.0
2014-07-04,101650.0
2014-07-07,101655.0
2014-07-08,101665.0
2014-07-09,101680.0
2014-07-10,101715.0
2014-07-11,101725.0
2014-07-14,101730.0
2014-07-15,101740.0
2014-07-16,101765.0
2014-07-17,101795.0
2014-07-18,101790.0
2014-07-21,101805.0
2014-07-22,101795.0
2014-07-23,101820.0
2014-07-24,101835.0
2014-07-25,101855.0
2014-07-28,101880.0
2014-07-29,101885.0
2014-07-30,101975.0
2014-07-31,101930.0
2014-08-01,101910.0
2014-08-04,101895.0
2014-08-05,101935.0
2014-08-06,101920.0
2014-08-07,101925.0
2014-08-08,101955.0
2014-08-11,101965.0
2014-08-12,101970.0
2014-08-13,101995.0
2014-08-14,102020.0
2014-08-18,102040.0
2014-08-19,102050.0
2014-08-20,102050.0
2014-08-21,102055.0
2014-08-22,102045.0
2014-08-25,102070.0
2014-08-26,102075.0
2014-08-27,102080.0
2014-08-28,102075.0
2014-08-29,102095.0
2014-09-01,102105.0
2014-09-02,102095.0
2014-09-03,102105.0
2014-09-04,102160.0
2014-09-05,102170.0
2014-09-11,102180.0
2014-09-12,102195.0
2014-09-15,102215.0
2014-09-16,102225.0
2014-09-17,102250.0
2014-09-18,102285.0
2014-09-19,102310.0
2014-09-22,102260.0
2014-09-23,102300.0
2014-09-24,102300.0
2014-09-25,102305.0
2014-09-26,102320.0
2014-09-29,102315.0
2014-09-30,102345.0
2014-10-01,102365.0
2014-10-02,102405.0
2014-10-06,102405.0
2014-10-07,102430.0
2014-10-08,102435.0
2014-10-10,102435.0
2014-10-13,102435.0
2014-10-14,102425.0
2014-10-15,102460.0
2014-10-16,102495.0
2014-10-17,102500.0
2014-10-20,102500.0
2014-10-21,102500.0
2014-10-22,102525.0
2014-10-23,102540.0
2014-10-24,102530.0
2014-10-27,102535.0
2014-10-28,102545.0
2014-10-29,102565.0
2014-10-30,102590.0
2014-10-31,102585.0
2014-11-03,102585.0
2014-11-04,102620.0
2014-11-05,102635.0
2014-11-06,102635.0
2014-11-07,102640.0
2014-11-10,102675.0
2014-11-11,102680.0
2014-11-12,102700.0
2014-11-13,102680.0
2014-11-14,102680.0
2014-11-17,102670.0
2014-11-18,102700.0
2014-11-19,102685.0
2014-11-20,102700.0
2014-11-21,102715.0
2014-11-24,102720.0
2014-11-25,102725.0
2014-11-26,102710.0
2014-11-27,102745.0
2014-11-28,102750.0
2014-12-01,102765.0
2014-12-02,102740.0
2014-12-03,102770.0
2014-12-04,102750.0
2014-12-05,102765.0
2014-12-08,102755.0
2014-12-09,102750.0
2014-12-10,102750.0
2014-12-11,102755.0
2014-12-12,102795.0
2014-12-15,102810.0
2014-12-16,102810.0
2014-12-17,102810.0
2014-12-18,102820.0
2014-12-19,102815.0
2014-12-22,102815.0
2014-12-23,102820.0
2014-12-24,102820.0
2014-12-26,102840.0
