Date,KOSEF 미국달러선물
2014-01-13,11210.0
2014-01-14,11235.0
2014-01-15,11260.0
2014-01-16,11265.0
2014-01-17,11240.0
2014-01-20,11275.0
2014-01-21,11290.0
2014-01-22,11320.0
2014-01-23,11380.0
2014-01-24,11440.0
2014-01-27,11475.0
2014-01-28,11465.0
2014-01-29,11345.0
2014-02-03,11490.0
2014-02-04,11480.0
2014-02-05,11430.0
2014-02-06,11440.0
2014-02-07,11390.0
2014-02-10,11365.0
2014-02-11,11345.0
2014-02-12,11265.0
2014-02-13,11285.0
2014-02-14,11260.0
2014-02-17,11245.0
2014-02-18,11290.0
2014-02-19,11290.0
2014-02-20,11345.0
2014-02-21,11365.0
2014-02-24,11375.0
2014-02-25,11355.0
2014-02-26,11280.0
2014-02-27,11310.0
2014-02-28,11315.0
2014-03-03,11330.0
2014-03-04,11375.0
2014-03-05,11355.0
2014-03-06,11280.0
2014-03-07,11245.0
2014-03-10,11305.0
2014-03-11,11280.0
2014-03-12,11335.0
2014-03-13,11315.0
2014-03-14,11365.0
2014-03-17,11315.0
2014-03-18,11325.0
2014-03-19,11350.0
2014-03-20,11405.0
2014-03-21,11435.0
2014-03-24,11420.0
2014-03-25,11440.0
2014-03-26,11375.0
2014-03-27,11355.0
2014-03-28,11335.0
2014-03-31,11290.0
2014-04-01,11230.0
2014-04-02,11200.0
2014-04-03,11210.0
2014-04-04,11175.0
2014-04-07,11185.0
2014-04-08,11160.0
2014-04-09,11045.0
2014-04-10,11020.0
2014-04-11,10975.0
2014-04-14,10995.0
2014-04-15,11035.0
2014-04-16,10990.0
2014-04-17,11000.0
2014-04-18,10985.0
2014-04-21,10990.0
2014-04-22,11005.0
2014-04-23,11025.0
2014-04-24,11015.0
2014-04-25,11025.0
2014-04-28,10980.0
2014-04-29,10930.0
2014-04-30,10940.0
2014-05-02,10925.0
2014-05-07,10855.0
2014-05-08,10845.0
2014-05-09,10850.0
2014-05-12,10860.0
2014-05-13,10840.0
2014-05-14,10900.0
2014-05-15,10850.0
2014-05-16,10860.0
2014-05-19,10825.0
2014-05-20,10870.0
2014-05-21,10880.0
2014-05-22,10845.0
2014-05-23,10840.0
2014-05-26,10845.0
2014-05-27,10845.0
2014-05-28,10825.0
2014-05-29,10820.0
2014-05-30,10820.0
2014-06-02,10850.0
2014-06-03,10825.0
2014-06-05,10805.0
2014-06-09,10775.0
2014-06-10,10775.0
2014-06-11,10760.0
2014-06-12,10780.0
2014-06-13,10795.0
2014-06-16,10810.0
2014-06-17,10835.0
2014-06-18,10835.0
2014-06-19,10785.0
2014-06-20,10805.0
2014-06-23,10785.0
2014-06-24,10790.0
2014-06-25,10815.0
2014-06-26,10780.0
2014-06-27,10745.0
2014-06-30,10725.0
2014-07-01,10720.0
2014-07-02,10705.0
2014-07-03,10700.0
2014-07-04,10705.0
2014-07-07,10720.0
2014-07-08,10735.0
2014-07-09,10730.0
2014-07-10,10740.0
2014-07-11,10810.0
2014-07-14,10810.0
2014-07-15,10905.0
2014-07-16,10950.0
2014-07-17,10920.0
2014-07-18,10920.0
2014-07-21,10890.0
2014-07-22,10865.0
2014-07-23,10855.0
2014-07-24,10925.0
2014-07-25,10900.0
2014-07-28,10895.0
2014-07-29,10870.0
2014-07-30,10865.0
2014-07-31,10915.0
2014-08-01,11015.0
2014-08-04,10980.0
2014-08-05,10925.0
2014-08-06,10980.0
2014-08-07,11010.0
2014-08-08,10995.0
2014-08-11,10945.0
2014-08-12,10910.0
2014-08-13,10920.0
2014-08-14,10845.0
2014-08-18,10805.0
2014-08-19,10805.0
2014-08-20,10855.0
2014-08-21,10855.0
2014-08-22,10795.0
2014-08-25,10830.0
2014-08-26,10795.0
2014-08-27,10775.0
2014-08-28,10775.0
2014-08-29,10775.0
2014-09-01,10765.0
2014-09-02,10815.0
2014-09-03,10830.0
2014-09-04,10810.0
2014-09-05,10860.0
2014-09-11,10985.0
2014-09-12,10970.0
2014-09-15,11025.0
2014-09-16,10995.0
2014-09-17,10990.0
2014-09-18,11060.0
2014-09-19,11100.0
2014-09-22,11060.0
2014-09-23,11035.0
2014-09-24,11030.0
2014-09-25,11075.0
2014-09-26,11075.0
2014-09-29,11180.0
2014-09-30,11215.0
2014-10-01,11285.0
2014-10-02,11255.0
2014-10-06,11350.0
2014-10-07,11310.0
2014-10-08,11400.0
2014-10-10,11355.0
2014-10-13,11325.0
2014-10-14,11300.0
2014-10-15,11295.0
2014-10-16,11255.0
2014-10-17,11295.0
2014-10-20,11245.0
2014-10-21,11180.0
2014-10-22,11170.0
2014-10-23,11195.0
2014-10-24,11220.0
2014-10-27,11175.0
2014-10-28,11150.0
2014-10-29,11105.0
2014-10-30,11210.0
2014-10-31,11330.0
2014-11-03,11400.0
2014-11-04,11445.0
2014-11-05,11475.0
2014-11-06,11545.0
