Date,KOSEF 미국달러선물인버스
2014-01-13,11335.0
2014-01-14,11315.0
2014-01-15,11265.0
2014-01-16,11265.0
2014-01-17,11325.0
2014-01-20,11275.0
2014-01-21,11260.0
2014-01-22,11240.0
2014-01-23,11180.0
2014-01-24,11125.0
2014-01-27,11075.0
2014-01-28,11105.0
2014-01-29,11190.0
2014-02-03,11080.0
2014-02-04,11065.0
2014-02-05,11125.0
2014-02-06,11135.0
2014-02-07,11175.0
2014-02-10,11220.0
2014-02-11,11210.0
2014-02-12,11295.0
2014-02-13,11290.0
2014-02-14,11310.0
2014-02-17,11330.0
2014-02-18,11285.0
2014-02-19,11270.0
2014-02-20,11225.0
2014-02-21,11225.0
2014-02-24,11185.0
2014-02-25,11225.0
2014-02-26,11295.0
2014-02-27,11270.0
2014-02-28,11315.0
2014-03-03,11245.0
2014-03-04,11205.0
2014-03-05,11280.0
2014-03-06,11315.0
2014-03-07,11345.0
2014-03-10,11325.0
2014-03-11,11320.0
2014-03-12,11265.0
2014-03-13,11280.0
2014-03-14,11225.0
2014-03-17,11295.0
2014-03-18,11280.0
2014-03-19,11240.0
2014-03-20,11205.0
2014-03-21,11175.0
2014-03-24,11190.0
2014-03-25,11165.0
2014-03-26,11200.0
2014-03-27,11245.0
2014-03-28,11290.0
2014-03-31,11325.0
2014-04-01,11380.0
2014-04-02,11420.0
2014-04-03,11405.0
2014-04-04,11460.0
2014-04-07,11430.0
2014-04-08,11485.0
2014-04-09,11580.0
2014-04-10,11610.0
2014-04-11,11680.0
2014-04-14,11635.0
2014-04-15,11600.0
2014-04-16,11635.0
2014-04-17,11635.0
2014-04-18,11660.0
2014-04-21,11635.0
2014-04-22,11610.0
2014-04-23,11635.0
2014-04-24,11625.0
2014-04-25,11620.0
2014-04-28,11665.0
2014-04-29,11725.0
2014-04-30,11725.0
2014-05-02,11730.0
2014-05-07,11835.0
2014-05-08,11830.0
2014-05-09,11810.0
2014-05-12,11830.0
2014-05-13,11845.0
2014-05-14,11795.0
2014-05-15,11810.0
2014-05-16,11840.0
2014-05-19,11845.0
2014-05-20,11825.0
2014-05-21,11815.0
2014-05-22,11820.0
2014-05-23,11835.0
2014-05-26,11845.0
2014-05-27,11840.0
2014-05-28,11860.0
2014-05-29,11870.0
2014-05-30,11875.0
2014-06-02,11850.0
2014-06-03,11850.0
2014-06-05,11885.0
2014-06-09,11935.0
2014-06-10,11945.0
2014-06-11,11945.0
2014-06-12,11930.0
2014-06-13,11930.0
2014-06-16,11920.0
2014-06-17,11890.0
2014-06-18,11870.0
2014-06-19,11935.0
2014-06-20,11915.0
2014-06-23,11935.0
2014-06-24,11940.0
2014-06-25,11920.0
2014-06-26,11955.0
2014-06-27,12000.0
2014-06-30,12010.0
2014-07-01,12025.0
2014-07-02,12050.0
2014-07-03,12050.0
2014-07-04,12070.0
2014-07-07,12045.0
2014-07-08,12030.0
2014-07-09,12025.0
2014-07-10,12035.0
2014-07-11,11945.0
2014-07-14,11970.0
2014-07-15,11865.0
2014-07-16,11810.0
2014-07-17,11825.0
2014-07-18,11830.0
2014-07-21,11865.0
2014-07-22,11895.0
2014-07-23,11910.0
2014-07-24,11855.0
2014-07-25,11885.0
2014-07-28,11895.0
2014-07-29,11910.0
2014-07-30,11930.0
2014-07-31,11880.0
2014-08-01,11770.0
2014-08-04,11800.0
2014-08-05,11865.0
2014-08-06,11800.0
2014-08-07,11770.0
2014-08-08,11780.0
2014-08-11,11845.0
2014-08-12,11890.0
2014-08-13,11860.0
2014-08-14,11955.0
2014-08-18,12015.0
2014-08-19,12020.0
2014-08-20,11965.0
2014-08-21,11945.0
2014-08-22,12010.0
2014-08-25,11990.0
2014-08-26,12030.0
2014-08-27,12060.0
2014-08-28,12060.0
2014-08-29,12065.0
2014-09-01,12075.0
2014-09-02,12025.0
2014-09-03,12005.0
2014-09-04,12025.0
2014-09-05,11965.0
2014-09-11,11840.0
2014-09-12,11825.0
2014-09-15,11810.0
2014-09-16,11820.0
2014-09-17,11835.0
2014-09-18,11760.0
2014-09-19,11735.0
2014-09-22,11765.0
2014-09-23,11795.0
2014-09-24,11795.0
2014-09-25,11750.0
2014-09-26,11750.0
2014-09-29,11625.0
2014-09-30,11630.0
2014-10-01,11555.0
2014-10-02,11565.0
2014-10-06,11480.0
2014-10-07,11500.0
2014-10-08,11430.0
2014-10-10,11465.0
2014-10-13,11505.0
2014-10-14,11540.0
2014-10-15,11535.0
2014-10-16,11560.0
2014-10-17,11540.0
2014-10-20,11570.0
2014-10-21,11660.0
2014-10-22,11680.0
2014-10-23,11655.0
2014-10-24,11635.0
2014-10-27,11670.0
2014-10-28,11700.0
2014-10-29,11730.0
2014-10-30,11660.0
2014-10-31,11530.0
2014-11-03,11500.0
2014-11-04,11400.0
2014-11-05,11375.0
2014-11-06,11335.0
2014-11-07,11255.0
2014-11-10,11340.0
2014-11-11,11270.0
2014-11-12,11250.0
2014-11-13,11225.0
2014-11-14,11190.0
2014-11-17,11255.0
2014-11-18,11200.0
2014-11-19,11140.0
2014-11-20,11055.0
2014-11-21,11065.0
2014-11-24,11055.0
2014-11-25,11080.0
2014-11-26,11125.0
2014-11-27,11200.0
2014-11-28,11135.0
2014-12-01,11075.0
2014-12-02,11135.0
2014-12-03,11080.0
2014-12-04,11050.0
2014-12-05,11050.0
2014-12-08,11030.0
2014-12-09,11100.0
2014-12-10,11180.0
2014-12-11,11205.0
2014-12-12,11165.0
2014-12-15,11195.0
2014-12-16,11340.0
2014-12-17,11255.0
2014-12-18,11190.0
2014-12-19,11170.0
2014-12-22,11250.0
2014-12-23,11170.0
2014-12-24,11180.0
2014-12-26,11220.0
2014-12-29,11220.0
2014-12-30,11220.0
2015-01-02,11200.0
2015-01-05,11115.0
2015-01-06,11225.0
2015-01-07,11200.0
2015-01-08,11235.0
2015-01-09,11325.0
2015-01-12,11420.0
2015-01-13,11415.0
2015-01-14,11425.0
2015-01-15,11390.0
2015-01-16,11475.0
2015-01-19,11445.0
2015-01-20,11370.0
2015-01-21,11395.0
2015-01-22,11380.0
2015-01-23,11410.0
2015-01-26,11435.0
2015-01-27,11435.0
2015-01-28,11405.0
2015-01-29,11320.0
2015-01-30,11315.0
2015-02-02,11220.0
2015-02-03,11270.0
2015-02-04,11400.0
2015-02-05,11320.0
2015-02-06,11340.0
2015-02-09,11295.0
2015-02-10,11350.0
2015-02-11,11280.0
2015-02-12,11160.0
2015-02-13,11270.0
2015-02-16,11235.0
2015-02-17,11235.0
2015-02-23,11165.0
2015-02-24,11165.0
2015-02-25,11255.0
2015-02-26,11265.0
2015-02-27,11275.0
2015-03-02,11240.0
2015-03-03,11275.0
2015-03-04,11270.0
2015-03-05,11250.0
2015-03-06,11285.0
2015-03-09,11150.0
2015-03-10,11060.0
2015-03-11,10985.0
2015-03-12,11010.0
2015-03-13,10970.0
2015-03-16,10935.0
2015-03-17,10960.0
2015-03-18,10955.0
2015-03-19,11070.0
2015-03-20,11045.0
2015-03-23,11110.0
2015-03-24,11200.0
2015-03-25,11250.0
2015-03-26,11180.0
2015-03-27,11215.0
2015-03-30,11210.0
2015-03-31,11180.0
2015-04-01,11245.0
2015-04-02,11300.0
2015-04-03,11340.0
2015-04-06,11415.0
2015-04-07,11385.0
2015-04-08,11365.0
2015-04-09,11360.0
2015-04-10,11350.0
2015-04-13,11300.0
2015-04-14,11335.0
2015-04-15,11330.0
2015-04-16,11405.0
2015-04-17,11445.0
2015-04-20,11490.0
2015-04-21,11475.0
2015-04-22,11495.0
2015-04-23,11485.0
