Date,KOSEF 블루칩
2014-01-13,6475.0
2014-01-14,6460.0
2014-01-15,6510.0
2014-01-16,6525.0
2014-01-17,6490.0
2014-01-20,6540.0
2014-01-21,6525.0
2014-01-22,6565.0
2014-01-23,6515.0
2014-01-24,6470.0
2014-01-27,6360.0
2014-01-28,6405.0
2014-01-29,6495.0
2014-02-03,6420.0
2014-02-04,6315.0
2014-02-05,6330.0
2014-02-06,6355.0
2014-02-07,6435.0
2014-02-10,6390.0
2014-02-11,6375.0
2014-02-12,6390.0
2014-02-13,6370.0
2014-02-14,6455.0
2014-02-17,6480.0
2014-02-18,6445.0
2014-02-19,6400.0
2014-02-20,6345.0
2014-02-21,6410.0
2014-02-24,6365.0
2014-02-25,6425.0
2014-02-26,6485.0
2014-02-27,6510.0
2014-02-28,6520.0
2014-03-03,6485.0
2014-03-04,6435.0
2014-03-05,6495.0
2014-03-06,6500.0
2014-03-07,6515.0
2014-03-10,6480.0
2014-03-11,6505.0
2014-03-12,6410.0
2014-03-13,6435.0
2014-03-14,6375.0
2014-03-17,6390.0
2014-03-18,6445.0
2014-03-19,6395.0
2014-03-20,6350.0
2014-03-21,6405.0
2014-03-24,6435.0
2014-03-25,6430.0
2014-03-26,6470.0
2014-03-27,6505.0
2014-03-28,6490.0
2014-03-31,6530.0
2014-04-01,6520.0
2014-04-02,6535.0
2014-04-03,6495.0
2014-04-04,6500.0
2014-04-07,6500.0
2014-04-08,6540.0
2014-04-09,6600.0
2014-04-10,6635.0
2014-04-11,6605.0
2014-04-14,6610.0
2014-04-15,6605.0
2014-04-16,6565.0
2014-04-17,6595.0
2014-04-18,6610.0
2014-04-21,6590.0
2014-04-22,6630.0
2014-04-23,6645.0
2014-04-24,6600.0
2014-04-25,6485.0
2014-04-28,6500.0
2014-04-29,6455.0
2014-04-30,6490.0
2014-05-02,6505.0
2014-05-07,6415.0
2014-05-08,6465.0
2014-05-09,6485.0
2014-05-12,6485.0
2014-05-13,6530.0
2014-05-14,6635.0
2014-05-15,6630.0
2014-05-16,6660.0
2014-05-19,6665.0
2014-05-20,6665.0
2014-05-21,6630.0
2014-05-22,6665.0
2014-05-23,6665.0
2014-05-26,6655.0
2014-05-27,6625.0
2014-05-28,6650.0
2014-05-29,6615.0
2014-05-30,6575.0
2014-06-02,6590.0
2014-06-03,6610.0
2014-06-05,6565.0
2014-06-09,6580.0
2014-06-10,6635.0
2014-06-11,6650.0
2014-06-12,6680.0
2014-06-13,6620.0
2014-06-16,6625.0
2014-06-17,6645.0
2014-06-18,6650.0
2014-06-19,6670.0
2014-06-20,6585.0
2014-06-23,6625.0
2014-06-24,6670.0
2014-06-25,6650.0
2014-06-26,6690.0
2014-06-27,6690.0
2014-06-30,6750.0
2014-07-01,6705.0
2014-07-02,6760.0
2014-07-03,6760.0
2014-07-04,6810.0
2014-07-07,6795.0
2014-07-08,6800.0
2014-07-09,6775.0
2014-07-10,6795.0
2014-07-11,6775.0
2014-07-14,6800.0
2014-07-15,6810.0
2014-07-16,6795.0
2014-07-17,6825.0
2014-07-18,6815.0
2014-07-21,6810.0
2014-07-22,6840.0
2014-07-23,6835.0
2014-07-24,6815.0
2014-07-25,6850.0
2014-07-28,6910.0
2014-07-29,6915.0
2014-07-30,7020.0
2014-07-31,7070.0
2014-08-01,7115.0
2014-08-04,7120.0
2014-08-05,7080.0
2014-08-06,7110.0
2014-08-07,7115.0
2014-08-08,7040.0
2014-08-11,7075.0
2014-08-12,7065.0
2014-08-13,7180.0
2014-08-14,7170.0
2014-08-18,7195.0
2014-08-19,7265.0
2014-08-20,7225.0
2014-08-21,7120.0
2014-08-22,7145.0
2014-08-25,7240.0
2014-08-26,7230.0
2014-08-27,7235.0
2014-08-28,7250.0
2014-08-29,7210.0
2014-09-01,7185.0
2014-09-02,7195.0
2014-09-03,7215.0
2014-09-04,7190.0
2014-09-05,7170.0
2014-09-11,7060.0
2014-09-12,7075.0
2014-09-15,7100.0
2014-09-16,7125.0
2014-09-17,7170.0
2014-09-18,7205.0
2014-09-19,7225.0
2014-09-22,7180.0
2014-09-23,7180.0
2014-09-24,7180.0
2014-09-25,7155.0
2014-09-26,7145.0
2014-09-29,7130.0
2014-09-30,7080.0
2014-10-01,6985.0
2014-10-02,6915.0
2014-10-06,6865.0
2014-10-07,6850.0
2014-10-08,6845.0
2014-10-10,6780.0
2014-10-13,6725.0
2014-10-14,6740.0
2014-10-15,6715.0
2014-10-16,6715.0
2014-10-17,6630.0
2014-10-20,6745.0
2014-10-21,6740.0
2014-10-22,6810.0
2014-10-23,6805.0
2014-10-24,6740.0
2014-10-27,6760.0
2014-10-28,6760.0
2014-10-29,6860.0
2014-10-30,6790.0
2014-10-31,6790.0
2014-11-03,6780.0
2014-11-04,6775.0
2014-11-05,6795.0
2014-11-06,6765.0
2014-11-07,6765.0
2014-11-10,6785.0
2014-11-11,6840.0
2014-11-12,6865.0
2014-11-13,6875.0
2014-11-14,6810.0
2014-11-17,6815.0
2014-11-18,6900.0
2014-11-19,6905.0
2014-11-20,6880.0
