Date,KOSEF 코스피100
2014-01-13,19615.0
2014-01-14,19615.0
2014-01-15,19670.0
2014-01-16,19710.0
2014-01-17,19560.0
2014-01-20,19670.0
2014-01-21,19795.0
2014-01-22,19850.0
2014-01-23,19585.0
2014-01-24,19520.0
2014-01-27,19285.0
2014-01-28,19300.0
2014-01-29,19585.0
2014-02-03,19280.0
2014-02-04,18910.0
2014-02-05,18940.0
2014-02-06,19165.0
2014-02-07,19305.0
2014-02-10,19295.0
2014-02-11,19400.0
2014-02-12,19435.0
2014-02-13,19330.0
2014-02-14,19475.0
2014-02-17,19545.0
2014-02-18,19545.0
2014-02-19,19485.0
2014-02-20,19380.0
2014-02-21,19675.0
2014-02-24,19585.0
2014-02-25,19755.0
2014-02-26,19845.0
2014-02-27,19900.0
2014-02-28,20010.0
2014-03-03,19770.0
2014-03-04,19655.0
2014-03-05,19850.0
2014-03-06,19820.0
2014-03-07,19795.0
2014-03-10,19580.0
2014-03-11,19595.0
2014-03-12,19315.0
2014-03-13,19375.0
2014-03-14,19180.0
2014-03-17,19250.0
2014-03-18,19395.0
2014-03-19,19350.0
2014-03-20,19170.0
2014-03-21,19270.0
2014-03-24,19410.0
2014-03-25,19325.0
2014-03-26,19610.0
2014-03-27,19815.0
2014-03-28,19825.0
2014-03-31,19960.0
2014-04-01,19905.0
2014-04-02,20000.0
2014-04-03,19955.0
2014-04-04,19965.0
2014-04-07,19955.0
2014-04-08,20035.0
2014-04-09,20060.0
2014-04-10,20100.0
2014-04-11,19995.0
2014-04-14,20080.0
2014-04-15,19960.0
2014-04-16,20000.0
2014-04-17,19970.0
2014-04-18,20085.0
2014-04-21,20060.0
2014-04-22,20080.0
2014-04-23,20135.0
2014-04-24,20050.0
2014-04-25,20075.0
2014-04-28,19840.0
2014-04-29,19470.0
2014-04-30,19500.0
2014-05-02,19450.0
2014-05-07,19260.0
2014-05-08,19340.0
2014-05-09,19350.0
2014-05-12,19515.0
2014-05-13,19725.0
2014-05-14,19985.0
2014-05-15,20040.0
2014-05-16,20085.0
2014-05-19,20135.0
2014-05-20,20100.0
2014-05-21,20045.0
2014-05-22,20110.0
2014-05-23,20115.0
2014-05-26,20025.0
2014-05-27,19870.0
2014-05-28,20070.0
2014-05-29,20050.0
2014-05-30,20015.0
2014-06-02,19960.0
2014-06-03,20050.0
2014-06-05,19925.0
2014-06-09,19845.0
2014-06-10,20070.0
2014-06-11,20065.0
2014-06-12,20015.0
2014-06-13,19740.0
2014-06-16,19810.0
2014-06-17,19890.0
2014-06-18,19745.0
2014-06-19,19750.0
2014-06-20,19470.0
2014-06-23,19600.0
2014-06-24,19830.0
2014-06-25,19715.0
2014-06-26,19845.0
2014-06-27,19745.0
2014-06-30,19960.0
2014-07-01,19825.0
2014-07-02,19955.0
2014-07-03,19920.0
2014-07-04,19875.0
2014-07-07,19840.0
2014-07-08,19825.0
2014-07-09,19740.0
2014-07-10,19760.0
2014-07-11,19560.0
2014-07-14,19585.0
2014-07-15,19865.0
2014-07-16,19900.0
2014-07-17,19980.0
2014-07-18,19970.0
2014-07-21,19945.0
2014-07-22,19945.0
2014-07-23,20010.0
2014-07-24,19980.0
2014-07-25,20035.0
2014-07-28,20230.0
2014-07-29,20420.0
2014-07-30,20670.0
2014-07-31,20605.0
2014-08-01,20445.0
2014-08-04,20525.0
2014-08-05,20365.0
2014-08-06,20290.0
2014-08-07,20230.0
2014-08-08,19940.0
2014-08-11,20060.0
2014-08-12,20040.0
2014-08-13,20235.0
2014-08-14,20220.0
2014-08-18,20080.0
2014-08-19,20255.0
2014-08-20,20280.0
2014-08-21,19960.0
2014-08-22,20080.0
2014-08-25,20075.0
2014-08-26,20125.0
2014-08-27,20195.0
2014-08-28,20220.0
2014-08-29,20950.0
2014-09-01,20155.0
2014-09-02,19950.0
2014-09-03,19915.0
2014-09-04,20010.0
2014-09-05,19910.0
2014-09-11,19735.0
2014-09-12,19860.0
2014-09-15,19795.0
2014-09-16,19855.0
2014-09-17,20045.0
2014-09-18,19865.0
2014-09-19,19900.0
2014-09-22,19735.0
2014-09-23,19600.0
2014-09-24,19615.0
2014-09-25,19590.0
2014-09-26,19570.0
2014-09-29,19560.0
2014-09-30,19570.0
2014-10-01,19150.0
2014-10-02,18920.0
2014-10-06,18860.0
2014-10-07,18860.0
2014-10-08,18810.0
2014-10-10,18525.0
2014-10-13,18505.0
2014-10-14,18525.0
2014-10-15,18480.0
2014-10-16,18405.0
2014-10-17,18175.0
2014-10-20,18480.0
2014-10-21,18300.0
2014-10-22,18480.0
2014-10-23,18410.0
2014-10-24,18380.0
2014-10-27,18460.0
2014-10-28,18420.0
2014-10-29,18840.0
2014-10-30,18840.0
2014-10-31,19100.0
2014-11-03,18885.0
2014-11-04,18680.0
2014-11-05,18655.0
2014-11-06,18785.0
2014-11-07,18790.0
2014-11-10,19065.0
2014-11-11,19040.0
2014-11-12,19100.0
2014-11-13,19005.0
2014-11-14,18860.0
2014-11-17,18875.0
2014-11-18,19050.0
2014-11-19,19015.0
2014-11-20,18920.0
2014-11-21,18985.0
2014-11-24,19190.0
2014-11-25,19140.0
2014-11-26,19160.0
2014-11-27,19275.0
2014-11-28,19385.0
2014-12-01,19165.0
2014-12-02,19135.0
2014-12-03,19150.0
2014-12-04,19340.0
2014-12-05,19355.0
2014-12-08,19320.0
2014-12-09,19290.0
2014-12-10,18990.0
2014-12-11,18645.0
2014-12-12,18780.0
2014-12-15,18740.0
2014-12-16,18595.0
2014-12-17,18535.0
2014-12-18,18555.0
2014-12-19,18845.0
2014-12-22,19010.0
2014-12-23,18960.0
2014-12-24,19020.0
2014-12-26,19005.0
2014-12-29,18975.0
2014-12-30,18855.0
2015-01-02,18860.0
2015-01-05,18810.0
2015-01-06,18475.0
2015-01-07,18515.0
2015-01-08,18785.0
2015-01-09,18950.0
2015-01-12,18910.0
2015-01-13,18960.0
2015-01-14,18930.0
2015-01-15,18905.0
2015-01-16,18620.0
2015-01-19,18825.0
2015-01-20,19010.0
2015-01-21,19105.0
2015-01-22,19095.0
2015-01-23,19235.0
2015-01-26,19215.0
2015-01-27,19250.0
2015-01-28,19360.0
2015-01-29,19245.0
2015-01-30,19225.0
2015-02-02,19270.0
2015-02-03,19245.0
2015-02-04,19345.0
2015-02-05,19200.0
2015-02-06,19225.0
2015-02-09,19175.0
2015-02-10,19045.0
2015-02-11,19095.0
2015-02-12,19030.0
2015-02-13,19185.0
2015-02-16,19180.0
2015-02-17,19200.0
2015-02-23,19250.0
2015-02-24,19280.0
2015-02-25,19415.0
2015-02-26,19425.0
2015-02-27,19305.0
2015-03-02,19480.0
2015-03-03,19555.0
2015-03-04,19535.0
2015-03-05,19510.0
2015-03-06,19660.0
2015-03-09,19415.0
2015-03-10,19325.0
2015-03-11,19370.0
2015-03-12,19225.0
2015-03-13,19360.0
2015-03-16,19375.0
2015-03-17,19830.0
2015-03-18,19820.0
2015-03-19,19870.0
2015-03-20,19825.0
2015-03-23,19840.0
2015-03-24,19845.0
2015-03-25,19820.0
2015-03-26,19590.0
2015-03-27,19545.0
2015-03-30,19585.0
