Date,KTOP 코스피50
2014-01-13,16815.0
2014-01-14,16840.0
2014-01-15,16820.0
2014-01-16,16960.0
2014-01-17,16880.0
2014-01-20,16915.0
2014-01-21,16925.0
2014-01-22,16925.0
2014-01-23,16880.0
2014-01-24,16635.0
2014-01-27,16610.0
2014-01-28,16610.0
2014-01-29,16755.0
2014-02-03,16585.0
2014-02-04,16305.0
2014-02-05,16340.0
2014-02-06,16445.0
2014-02-07,16610.0
2014-02-10,16550.0
2014-02-11,16610.0
2014-02-12,16700.0
2014-02-13,16645.0
2014-02-14,16770.0
2014-02-17,16770.0
2014-02-18,16740.0
2014-02-19,16735.0
2014-02-20,16580.0
2014-02-21,16820.0
2014-02-24,16820.0
2014-02-25,16900.0
2014-02-26,17100.0
2014-02-27,17100.0
2014-02-28,17100.0
2014-03-03,17040.0
2014-03-04,16840.0
2014-03-05,17005.0
2014-03-06,16965.0
2014-03-07,17035.0
2014-03-10,16745.0
2014-03-11,16880.0
2014-03-12,16725.0
2014-03-13,16635.0
2014-03-14,16465.0
2014-03-17,16465.0
2014-03-18,16640.0
2014-03-19,16630.0
2014-03-20,16440.0
2014-03-21,16525.0
2014-03-24,16555.0
2014-03-25,16555.0
2014-03-26,16775.0
2014-03-27,17040.0
2014-03-28,17040.0
2014-03-31,17060.0
2014-04-01,17115.0
2014-04-02,17115.0
2014-04-03,17200.0
2014-04-04,17200.0
2014-04-07,17210.0
2014-04-08,17315.0
2014-04-09,17315.0
2014-04-10,17315.0
2014-04-11,17225.0
2014-04-14,17280.0
2014-04-15,17225.0
2014-04-16,17270.0
2014-04-17,17225.0
2014-04-18,17225.0
2014-04-21,17325.0
2014-04-22,17325.0
2014-04-23,17375.0
2014-04-24,17375.0
2014-04-25,17125.0
2014-04-28,17095.0
2014-04-29,16795.0
2014-04-30,16685.0
2014-05-02,16765.0
2014-05-07,16610.0
2014-05-08,16695.0
2014-05-09,16680.0
2014-05-12,16855.0
2014-05-13,17030.0
2014-05-14,17180.0
2014-05-15,17305.0
2014-05-16,17290.0
2014-05-19,17290.0
2014-05-20,17290.0
2014-05-21,17325.0
2014-05-22,17360.0
2014-05-23,17285.0
2014-05-26,17285.0
2014-05-27,17160.0
2014-05-28,17290.0
2014-05-29,17290.0
2014-05-30,17170.0
2014-06-02,17265.0
2014-06-03,17295.0
2014-06-05,17215.0
2014-06-09,17160.0
2014-06-10,17265.0
2014-06-11,17260.0
2014-06-12,17255.0
2014-06-13,16965.0
2014-06-16,16965.0
2014-06-17,17010.0
2014-06-18,17040.0
2014-06-19,16980.0
2014-06-20,16775.0
2014-06-23,16785.0
2014-06-24,17075.0
2014-06-25,17035.0
2014-06-26,17010.0
2014-06-27,17010.0
2014-06-30,17015.0
2014-07-01,17015.0
2014-07-02,17170.0
2014-07-03,17145.0
2014-07-04,17060.0
2014-07-07,17030.0
2014-07-08,17025.0
2014-07-09,16860.0
2014-07-10,16860.0
2014-07-11,16765.0
2014-07-14,16735.0
2014-07-15,17085.0
2014-07-16,17110.0
2014-07-17,17180.0
2014-07-18,17165.0
2014-07-21,17140.0
2014-07-22,17215.0
2014-07-23,17175.0
2014-07-24,17175.0
2014-07-25,17185.0
2014-07-28,17455.0
2014-07-29,17505.0
2014-07-30,17840.0
2014-07-31,17635.0
2014-08-01,17575.0
2014-08-04,17575.0
2014-08-05,17510.0
2014-08-06,17470.0
2014-08-07,17335.0
2014-08-08,17135.0
2014-08-11,17170.0
2014-08-12,17150.0
2014-08-13,17310.0
2014-08-14,17295.0
2014-08-18,17270.0
2014-08-19,17360.0
2014-08-20,17290.0
2014-08-21,17065.0
2014-08-22,17125.0
2014-08-25,17140.0
2014-08-26,17140.0
2014-08-27,17175.0
2014-08-28,17320.0
2014-08-29,17235.0
2014-09-01,17225.0
2014-09-02,17035.0
2014-09-03,16925.0
2014-09-04,17015.0
2014-09-05,16950.0
2014-09-11,16910.0
2014-09-12,17035.0
2014-09-15,16875.0
2014-09-16,16965.0
2014-09-17,17060.0
2014-09-18,16945.0
2014-09-19,16950.0
2014-09-22,16755.0
2014-09-23,16660.0
2014-09-24,16625.0
2014-09-25,16540.0
2014-09-26,16570.0
2014-09-29,16660.0
2014-09-30,16500.0
2014-10-01,16300.0
2014-10-02,16085.0
2014-10-06,16050.0
2014-10-07,16145.0
2014-10-08,15975.0
2014-10-10,15705.0
2014-10-13,15765.0
2014-10-14,15810.0
2014-10-15,15730.0
2014-10-16,15665.0
2014-10-17,15435.0
2014-10-20,15675.0
2014-10-21,15505.0
2014-10-22,15640.0
2014-10-23,15640.0
2014-10-24,15575.0
2014-10-27,15700.0
2014-10-28,15700.0
2014-10-29,15865.0
2014-10-30,15955.0
2014-10-31,16275.0
2014-11-03,16075.0
2014-11-04,16050.0
2014-11-05,15900.0
2014-11-06,15910.0
2014-11-07,16035.0
2014-11-10,16355.0
2014-11-11,16295.0
2014-11-12,16295.0
2014-11-13,16275.0
2014-11-14,16105.0
2014-11-17,16085.0
2014-11-18,16295.0
2014-11-19,16295.0
2014-11-20,16205.0
2014-11-21,16290.0
2014-11-24,16440.0
2014-11-25,16390.0
2014-11-26,16380.0
2014-11-27,16510.0
2014-11-28,16565.0
2014-12-01,16480.0
2014-12-02,16440.0
2014-12-03,16440.0
2014-12-04,16490.0
2014-12-05,16650.0
2014-12-08,16610.0
2014-12-09,16610.0
2014-12-10,16405.0
2014-12-11,16180.0
2014-12-12,16245.0
2014-12-15,16105.0
2014-12-16,16010.0
2014-12-17,15985.0
2014-12-18,15925.0
2014-12-19,16200.0
2014-12-22,16280.0
2014-12-23,16290.0
2014-12-24,16395.0
2014-12-26,16385.0
2014-12-29,16415.0
2014-12-30,16185.0
2015-01-02,16185.0
2015-01-05,16185.0
2015-01-06,15895.0
2015-01-07,15895.0
2015-01-08,16055.0
2015-01-09,16235.0
2015-01-12,16260.0
2015-01-13,16260.0
2015-01-14,16260.0
2015-01-15,16260.0
2015-01-16,16045.0
2015-01-19,16180.0
2015-01-20,16245.0
2015-01-21,16305.0
2015-01-22,16340.0
2015-01-23,16425.0
2015-01-26,16425.0
2015-01-27,16590.0
2015-01-28,16590.0
2015-01-29,16535.0
2015-01-30,16520.0
2015-02-02,16505.0
2015-02-03,16495.0
2015-02-04,16650.0
2015-02-05,16400.0
2015-02-06,16310.0
2015-02-09,16315.0
2015-02-10,16315.0
2015-02-11,16315.0
2015-02-12,16245.0
2015-02-13,16350.0
2015-02-16,16350.0
2015-02-17,16350.0
2015-02-23,16350.0
2015-02-24,16355.0
2015-02-25,16470.0
2015-02-26,16470.0
2015-02-27,16490.0
2015-03-02,16540.0
2015-03-03,16595.0
2015-03-04,16605.0
2015-03-05,16605.0
2015-03-06,16770.0
2015-03-09,16570.0
2015-03-10,16570.0
2015-03-11,16515.0
2015-03-12,16515.0
2015-03-13,16630.0
2015-03-16,16635.0
2015-03-17,16710.0
2015-03-18,16960.0
2015-03-19,16960.0
2015-03-20,16925.0
2015-03-23,16925.0
2015-03-24,16925.0
2015-03-25,16905.0
2015-03-26,16715.0
2015-03-27,16665.0
2015-03-30,16665.0
2015-03-31,16690.0
2015-04-01,16430.0
2015-04-02,16440.0
2015-04-03,16510.0
2015-04-06,16540.0
2015-04-07,16540.0
2015-04-08,16635.0
2015-04-09,16635.0
2015-04-10,16840.0
2015-04-13,16885.0
2015-04-14,17120.0
2015-04-15,17050.0
2015-04-16,17200.0
2015-04-17,17230.0
2015-04-20,17230.0
2015-04-21,17195.0
2015-04-22,17195.0
2015-04-23,17385.0
2015-04-24,17420.0
2015-04-27,17475.0
2015-04-28,17215.0
2015-04-29,17050.0
2015-04-30,16970.0
2015-05-04,16925.0
2015-05-06,16805.0
2015-05-07,16770.0
2015-05-08,16630.0
2015-05-11,16580.0
2015-05-12,16575.0
2015-05-13,16575.0
2015-05-14,16575.0
2015-05-15,16485.0
2015-05-18,16455.0
2015-05-19,16455.0
2015-05-20,16555.0
2015-05-21,16500.0
2015-05-22,16545.0
2015-05-26,16545.0
