Date,TIGER 200 IT
2014-01-13,14770.0
2014-01-14,14780.0
2014-01-15,14835.0
2014-01-16,14965.0
2014-01-17,14870.0
2014-01-20,15010.0
2014-01-21,15000.0
2014-01-22,14945.0
2014-01-23,14805.0
2014-01-24,14685.0
2014-01-27,14485.0
2014-01-28,14465.0
2014-01-29,14595.0
2014-02-03,14415.0
2014-02-04,14180.0
2014-02-05,14230.0
2014-02-06,14730.0
2014-02-07,14815.0
2014-02-10,14760.0
2014-02-11,14830.0
2014-02-12,15010.0
2014-02-13,14995.0
2014-02-14,15060.0
2014-02-17,14970.0
2014-02-18,14990.0
2014-02-19,14995.0
2014-02-20,14720.0
2014-02-21,14895.0
2014-02-24,14765.0
2014-02-25,14955.0
2014-02-26,15080.0
2014-02-27,15230.0
2014-02-28,15255.0
2014-03-03,15220.0
2014-03-04,15290.0
2014-03-05,15470.0
2014-03-06,15465.0
2014-03-07,15350.0
2014-03-10,15270.0
2014-03-11,15255.0
2014-03-12,15015.0
2014-03-13,15225.0
2014-03-14,15030.0
2014-03-17,14935.0
2014-03-18,15175.0
2014-03-19,15230.0
2014-03-20,15145.0
2014-03-21,15335.0
2014-03-24,15370.0
2014-03-25,15180.0
2014-03-26,15250.0
2014-03-27,15220.0
2014-03-28,15280.0
2014-03-31,15195.0
2014-04-01,15380.0
2014-04-02,15555.0
2014-04-03,15515.0
2014-04-04,15500.0
2014-04-07,15350.0
2014-04-08,15365.0
2014-04-09,15415.0
2014-04-10,15470.0
2014-04-11,15255.0
2014-04-14,15445.0
2014-04-15,15350.0
2014-04-16,15600.0
2014-04-17,15475.0
2014-04-18,15645.0
2014-04-21,15760.0
2014-04-22,15960.0
2014-04-23,15940.0
2014-04-24,15880.0
2014-04-25,15710.0
2014-04-28,15645.0
2014-04-29,15375.0
2014-04-30,15285.0
2014-05-02,15430.0
2014-05-07,15310.0
2014-05-08,15180.0
2014-05-09,15170.0
2014-05-12,15370.0
2014-05-13,15680.0
2014-05-14,15760.0
2014-05-15,15805.0
2014-05-16,15735.0
2014-05-19,15615.0
2014-05-20,15780.0
2014-05-21,15890.0
2014-05-22,15915.0
2014-05-23,15860.0
2014-05-26,15800.0
2014-05-27,15825.0
2014-05-28,15950.0
2014-05-29,16050.0
2014-05-30,16045.0
2014-06-02,16110.0
2014-06-03,16170.0
2014-06-05,16320.0
2014-06-09,16290.0
2014-06-10,16610.0
2014-06-11,16615.0
2014-06-12,16585.0
2014-06-13,16440.0
2014-06-16,16560.0
2014-06-17,16725.0
2014-06-18,16490.0
2014-06-19,16630.0
2014-06-20,16425.0
2014-06-23,16640.0
2014-06-24,16780.0
2014-06-25,16685.0
2014-06-26,16710.0
2014-06-27,16515.0
2014-06-30,16610.0
2014-07-01,16685.0
2014-07-02,16930.0
2014-07-03,16935.0
2014-07-04,16810.0
2014-07-07,16875.0
2014-07-08,16950.0
2014-07-09,16635.0
2014-07-10,16590.0
2014-07-11,16395.0
2014-07-14,16540.0
2014-07-15,16745.0
2014-07-16,16710.0
2014-07-17,16785.0
2014-07-18,16720.0
2014-07-21,16615.0
2014-07-22,16765.0
2014-07-23,16485.0
2014-07-24,16415.0
2014-07-25,16335.0
2014-07-28,16280.0
2014-07-29,16095.0
2014-07-30,16405.0
2014-07-31,16230.0
2014-08-01,16220.0
2014-08-04,16510.0
2014-08-05,16270.0
2014-08-06,16140.0
2014-08-07,16080.0
2014-08-08,15940.0
2014-08-11,16005.0
2014-08-12,15900.0
2014-08-13,16085.0
2014-08-14,15970.0
2014-08-18,16035.0
2014-08-19,16100.0
2014-08-20,16180.0
2014-08-21,16065.0
2014-08-22,16000.0
2014-08-25,16085.0
2014-08-26,16075.0
2014-08-27,15995.0
2014-08-28,16025.0
2014-08-29,16050.0
2014-09-01,15980.0
